тунел	tunel
освоен	osvojio
дијана	diana
дијана	dijana
дијана	dajana
дијана	diane
виртемберг	württemberg
молитва	molitva
молитва	molitvu
посетеност	prisustvo
посетеност	nazočnost
признае	prepoznati
динамика	dinamičan
динамика	dynamics
динамика	zamah
огледало	zrcalo
огледало	ogledalo
дигитален	digitalni
дигитален	digitalno
дигитален	digitalna
узбекистан	uzbekistan
видеа	videozapise
видеа	videozapisi
пустината	pustinja
дигитална	digitalni
дигитална	digitalno
дигитална	digitalna
остри	oštar
остри	oštri
остри	oštro
остри	oštra
остри	sharp
остри	grubo
сексуални	seksualna
сексуални	seksualno
обновен	obnovljena
обновен	obnovljen
обновен	vraćena
обновен	obnovljen
обновен	obnovljena
обновен	vraćeno
аргументи	argumenata
аргументи	argumente
аргументи	argumenti
бојан	bojan
бојан	bojana
полинезиски	polinezijski
понеделник	ponedjeljak
партнерство	partnerstva
партнерство	partnerstvo
напуштат	napusti
американците	amerikanci
дефиниран	definirana
дефиниран	aps
воведени	uveo
воведени	uvela
воведени	predstavio
лесен	lagano
лесен	lako
низи	žice
глобално	globalno
глобално	globalno
гер	guerre
екологија	ekologije
надминува	premašuje
достигнување	postignuće
достигнување	dostignuće
достигнување	ostvarenje
достигнување	postignuće
достигнување	dostignuće
даглас	douglasa
даглас	douglas
тото	toto
даг	iskopali
даг	iskopao
даг	kopao
даг	dag
даг	doug
лок	lok
лок	locke
започнување	lansiranje
започнување	pokretanje
сиетл	seattle
вектор	vektor
пиво	piva
пиво	pivo
пиво	pivu
пиво	pive
метју	mathew
метју	matthew
метју	matej
метју	mater
аеродроми	aerodromima
одбивање	odbijanje
одбивање	odbijanja
одбивање	odbacivanje
одбивање	odbijanje
стомакот	trbuh
стомакот	stomak
хормони	hormon
хормони	hormoni
микеланџело	michelangelo
шок	šok
тенис	tenis
емил	emile
емил	emile
емил	emil
герман	njemački
герман	nijemac
герман	njemacki
траење	trajanje
гај	gaius
гај	gaj
гај	tip
гај	guy
гај	momak
идентификација	identifikacija
тули	cigle
тули	cigle
тули	brick
тули	ciglu
тули	cigla
тули	tully
алтернатива	alternativni
алтернатива	alternativa
експанзија	proširenja
експанзија	širenje
експанзија	proširenje
оженет	oženjen
презентација	prezentacije
презентација	predstavljanje
презентација	prezentacija
мекларен	mclaren
сатурн	saturn
перспектива	prospect
перспектива	perspektiva
перспектива	perspektive
малтретирање	maltretiranje
малтретирање	maltretiranje
малтретирање	uznemiravanje
изразена	izrazila
изразена	izrazio
стратешки	strateške
стратешки	strateški
винсент	vincent
реализација	realizaciji
реализација	ostvarenje
реализација	shvaćanje
еднина	jednina
чисти	čisti
чисти	očisti
чисти	čisto
полско	poljska
полско	poljski
паднала	pala
паднала	pao
глад	glad
глад	gladi
глад	gladi
глад	glad
рене	renee
рене	rene
рене	rené
рене	rené
рене	rene
крунисан	okrunjen
претходна	prethodni
претходна	prethodna
неопределено	neodređeno
директни	izravno
директни	direktno
директни	izravna
директни	direct
шанси	šanse
шанси	prilika
шанси	chance
шанси	šansa
шанси	priliku
шанси	shaanxi
гете	goethe
илиноис	illinois
заробеништво	zatočeništvu
бура	oluja
бура	oluje
бура	oluja
бура	storm
валверде	valverde
театри	kazališta
театри	kazališta
четврто	četvrti
четврто	četvrta
четврто	četvrto
григор	grigor
бренд	brand
бренд	marka
бренд	brend
верувале	vjerovala
верувале	vjerovao
верувале	vjerovali
подолги	duze
подолги	duži
подолги	duže
подолги	dulje
признаен	prepoznao
признаен	prepoznat
признаен	priznata
сервер	domaćin
сервер	voditelj
сервер	poslužitelj
сервер	server
пирамида	piramide
пирамида	piramida
пирамида	piramidu
асистенции	asistencija
бремен	bremen
велигден	uskrs
велигден	uskrsa
опкружен	okružen
графика	grafika
махмуд	mahmud
махмуд	mahmoud
платон	platon
платите	plaće
платите	plaće
значителни	znatan
оружја	oružje
оружја	oružja
администратори	administratori
стандардни	standardni
стандардни	standardno
стандардни	standardna
стандардни	standard
решено	riješeno
решено	riješen
решено	riješeno
решено	riješena
решено	riješio
прсти	prste
прсти	prsti
рангиран	rangirani
арѓеш	argeş
означи	označi
означи	oznaku
означи	tag
означи	oznaka
марсел	marcela
марсел	marcel
клод	claude
бордо	bordeaux
фока	pečat
парма	parma
стабилна	pouzdano
стабилна	stabilna
стабилна	stabilan
стабилна	stabilno
лекари	liječnici
лекари	doktori
натриум	natrij
албрехт	albrecht
поинаку	drukčije
поинаку	drugačiji
поинаку	drugačija
поинаку	drugačije
наставник	učiteljica
наставник	nastavnik
наставник	učitelj
групирани	grupirani
далас	dallas
банско	bansko
картичка	karticu
картичка	kartica
моторот	motora
моторот	motor
мото	moto
мото	moto
дрвена	drvena
дрвена	drveni
дрвена	drvene
признал	priznao
колорадо	colorada
колорадо	colorado
зимбабве	zimbabve
тереза	teresa
тереза	tereza
тереза	theresa
тереза	tereza
студијата	studij
студијата	prouči
студијата	studija
кејп	rt
кејп	cape
кејп	plašt
кејп	ogrtač
сегмент	nišu
сегмент	segment
патрон	zaštitnika
патрон	zaštitnik
службеник	činovnik
службеник	službenik
роди	rođeni
роди	rođen
роди	rođena
роди	roddy
војводина	vojvodine
војводина	vojvodina
црево	crijevo
црево	crijeva
темите	teme
јута	utah
типична	tipični
типична	tipičan
типична	tipično
кристали	kristali
кристали	kristale
магазин	magazin
магазин	časopis
седмиот	sedmi
седмиот	sedmo
седмиот	sedma
сезонски	sezonski
аргумент	argument
аргумент	argumenti
колонизација	kolonizaciju
сали	sully
сали	sali
сали	sali
сали	sally
секција	odjeljak
секција	sekcija
плеј	doigravanja
плеј	doigravanje
воспаление	upale
воспаление	upala
максимум	maksimum
максимум	maksimalno
фил	phila
фил	phil
фил	fil
течности	tekućine
течности	tekućine
охајо	ohio
војување	ratovanja
војување	ratovanje
јакоб	jakob
јакоб	jacob
јакоб	jakov
нејзе	joj
нејзе	nju
ломбардија	lombardiji
бакар	bakra
бакар	bakar
мерења	mjere
мерења	mjerenja
усвоено	usvojen
усвоено	usvojena
усвоено	usvojila
варираат	varirati
известување	savjetodavno
известување	obavijesti
известување	obavijest
индивидуи	pojedinci
жица	žica
жица	žicu
жица	žice
педесет	pedeset
педесет	fifty
нормални	normalno
нормални	normalan
нормални	normalna
нормални	normalni
адријан	hadrijan
адријан	adriane
адријан	adrian
дрим	drin
бангладеш	bangladešu
измислен	izmišljeni
