pen	ปากกา
pensie	บำนาญ
angels	เทวดา
txt	txt
dispozitivul	อุปกรณ์
limited	จำกัด
contractului	สัญญา
mcnaught	mcnaught
traversarea	ข้าม
adaptari	adaptations
costuri	ต้นทุน
costuri	ต้นทุน
marginile	ขอบ
dale	dale
dale	เดล
dale	ดล
frontierele	พรมแดน
brat	วงเล็บ
brat	แขน
brat	arm
brat	แขน
brat	arm
incerc	พยายาม
forumul	forum
referiri	อ้างอิง
accidental	บังเอิญ
accidental	เผลอ
regnum	regnum
butonul	กระดุม
butonul	ปุ่ม
fenomenele	ปรากฏการณ์
dylan	dylan
pixeli	พิกเซล
lavinia	lavinia
inventatorul	ประดิษฐ์
reactiile	ปฏิกิริยา
bara	bara
ramurile	กิ่ง
ramurile	สาขา
vida	beef
explorarea	สำรวจ
reclame	โฆษณา
pacificului	แปซิฟิก
pacificului	แปซิฟิค
tunelul	อุโมงค์
buc	พีซ
société	société
protestele	ประท้วง
schimburi	กะ
imensa	ใหญ่
sorbona	sorbonne
spider	แมงมุม
liberala	เสรีนิยม
accidentul	อุบัติเหตุ
adanca	ลึก
adanca	deep
suleiman	suleiman
impuls	โปรโมท
impuls	กระตุ้น
impuls	โปรโมต
placea	ถูกใจ
belgiana	เบลเยียม
belgiana	เบลเยี่ยม
relative	สัมพันธ์
relative	ญาติ
respingerea	ยกเลิก
egee	อีเจียน
matrice	matrices
quest	quest
virtuala	เสมือน
blogul	blog
blogul	บล็อก
zboara	ฟลาย
zboara	บิน
zboara	ฟลาย
zboara	บิน
intunecat	เข้ม
intunecat	มืด
pavilion	ธงชาติ
pavilion	ธง
pavilion	ศาลา
bangladesh	บังกลาเทศ
holding	ถือ
holding	อุ้ม
hainele	เสื้อผ้า
veri	ญาติ
chirurgicale	ผ่าตัด
pictilor	pictish
profesorilor	ครู
capra	แพะ
capra	แพะ
chinezesc	จีน
corps	คอร์ป
agresiv	ก้าวร้าว
agresiv	ดุดัน
selectat	เลือก
egipteni	อียิปต์
thai	ไทย
firul	ด้าย
andrás	andrás
nkvd	nkvd
protagonistul	ตัวเอก
tab	แท็บ
realist	สมจริง
metroul	เมโทร
avantajele	ข้อดี
jena	jena
incercati	ลอง
coreean	เกาหลี
uniforma	ยูนิฟอร์ม
uniforma	ยูนิฟอร์ม
juriul	ลูกขุน
rainer	rainer
soccerway	soccerway
ustring	ustring
recupera	กู้
georgian	จอร์เจีย
inundatii	อุทกภัย
demnitatea	ศักดิ์ศรี
rotunde	กลม
rotunde	กลมๆ
rotunde	รอบ
bahrain	บาห์เรน
solzi	เกล็ด
solzi	ตาชั่ง
margini	ขอบ
textcolor	textcolor
minele	เหมือง
aluzie	ใบ้
hal	ฮาล
gora	gora
extremadura	extremadura
variatia	แปรผัน
pista	แทร็ก
pista	แทร็ค
pista	แทร็ก
pista	แทร็ค
admite	ยอมรับ
vanator	hunter
vanator	hunter
balcanic	balkan
nicodim	nicodemus
uniform	ยูนิฟอร์ม
lana	ฝอย
lana	ฝอย
diamant	diamond
diamant	ไดมอนด์
diamant	เพชร
jura	สาบาน
jura	สาบาน
rezervor	แท็งค์
rezervor	ถัง
ruda	สัมพันธ์
ruda	ญาติ
ruda	สัมพันธ์
ruda	ญาติ
alocat	จัดสรร
pachete	แพ็ค
testele	ทดสอบ
bengal	เบงกอล
profesionista	professional
profesionista	วิชาชีพ
rush	รัช
rush	รัส
iubitul	lover
iubitul	แฟน
analizeaza	วิเคราะห์
marini	นาวิก
efectiva	ประสิทธิ์
efectiva	ประสิทธิผล
prizonierii	นักโทษ
prizonierii	เชลย
firefox	firefox
gran	ปู่ย่า
baterii	แบตเตอรี่
bautura	ดื่ม
kemal	kemal
ciment	ปูน
rupe	พัก
rupe	ฉีก
rupe	rip
camin	หอพัก
camin	หอ
administreaza	จัดการ
codurile	รหัส
permisa	อนุญาต
poznań	poznań
submarin	ซับ
submarin	ย่อย
submarin	sub
berlinul	berlin
berlinul	เบอร์ลิน
bucuria	joy
bucuria	จอย
severa	รุนแรง
severa	สาหัส
severa	รุนแรง
severa	สาหัส
arcuri	สปริง
arcuri	น้ำพุ
arcuri	โบว์
doborat	กระดก
malaezia	มาเลเซีย
lippe	lippe
masterat	มาสเตอร์
concentrata	โฟกัส
concentrata	จดจ่อ
experimentat	ประสบ
capitolele	บท
christos	christos
sos	sos
sos	ซอส
sos	น้ำปลา
incarcare	โหลด
incarcare	อัพโหลด
incarcare	ชาร์จ
incarcare	โหลด
philips	philips
gatul	คอ
gatul	คอร์
gatul	คอ
gatul	คอง
gatul	ต้นคอ
rebeliunea	กบฏ
kirk	เคิร์ก
neutra	ฉนวน
rossi	รอสซี่
animalia	animalia
ierburi	สมุนไพร
supune	ส่ง
plaza	พลาซ่า
trandafir	rose
trandafir	กุหลาบ
trandafir	โรส
trandafir	โร
vitale	สำคัญ
trimit	ส่ง
toxice	พิษ
cada	อ่าง
cada	อ่างอาบน้ำ
cada	อ่าง
cada	อ่างอาบน้ำ
maldive	มัลดีฟ
trup	body
trup	ร่าง
trup	กาย
trup	ร่างกาย
decor	ตกแต่ง
cadou	ปัจจุบัน
cadou	พรสวรรค์
mongol	มองโกเลีย
mongol	มองโกเลีย
precisa	แม่นยำ
precisa	แม่นยำ
toxic	พิษ
prietenia	มิตรภาพ
tacere	เงียบ
domul	โดม
etica	จริยธรรม
etica	จริยธรรม
etica	จริยธรรม
triunghiul	สามเหลี่ยม
comentariul	หมายเหตุ
conifere	coniferous
hero	วีรบุรุษ
hero	ฮีโร่
motto	คติพจน์
motto	คำขวัญ
limiteaza	จำกัด
limiteaza	วงเงิน
cazare	ที่พัก
woods	ป่า
pitica	แคระ
mecanisme	กลไก
zinc	สังกะสี
lenta	ชะลอ
lenta	ช้า
lenta	ช้าๆ
mani	มณี
udine	udine
tran	ราน
tran	ทราน
humboldt	humboldt
rue	rue
tragedia	โศกนาฏกรรม
android	android
comunism	คอมมิวนิสต์
incidente	เหตุการณ์
brut	หยาบ
biologica	ชีวภาพ
abstract	นามธรรม
highway	ทางด่วน
highway	ทางหลวง
highway	ไฮเวย์
québec	québec
coastele	ซี่โครง
gustaf	gustaf
clone	โคลน
clone	โคลนนิ่ง
clone	โคลน
coroane	มงกุฎ
trase	วาด
eddy	eddy
nakhon	นคร
topire	ละลาย
topire	ละลาย
bean	ถั่ว
teatro	teatro
rsr	rsr
lgbt	lgbt
clientii	ลูกค้า
clientii	ลูกค้า
atlanticului	แอตแลนติก
litoral	ชายทะเล
istoriografia	historiography
homme	homme
periculoasa	อันตราย
periculoasa	อันตราย
unitara	unitary
sexe	เพศ
simti	รู้สึก
superiori	อธิการ
superiori	superior
routledge	routledge
fernández	fernández
metalul	โลหะ
metalul	เหล็ก
portocaliu	ส้ม
ceramice	เซรามิค
ceramice	ceramic
tragedie	โศกนาฏกรรม
twin	twin
twin	ฝาแฝด
twin	แฝด
lotus	โลตัส
lotus	lotus
sacre	ศักดิ์สิทธิ์
orez	ข้าว
distribuitor	จำหน่าย
preferate	ขวัญใจ
preferate	ชอบ
iad	นรก
inmormantare	ฝัง
tensiuni	ตึงเครียด
tensiuni	ตึง
vinul	ไวน์
vinul	สุรา
interactiunea	กิริยา
interactiunea	ปฏิสัมพันธ์
gluma	มุข
gluma	มุก
gluma	ตลก
gluma	อำ
gluma	มุข
gluma	มุก
gluma	ตลก
gluma	อำ
demn	คู่ควร
campus	วิทยาลัย
campus	วิทยาเขต
campus	มหาวิทยาลัย
eng	eng
circle	วงกลม
cupola	โดม
pfalz	pfalz
modulul	โมดูล
datorii	หนี้
datorii	หนี้
cultiva	ฝึกฝน
cultiva	ฝึกฝน
henriette	henriette
dansatoare	dancer
ideologie	อุดมการณ์
umple	กรอก
umple	เติม
angajata	จ้าง
angajata	ลูกจ้าง
angajata	พนักงาน
exceptand	ยกเว้น
calculat	คำนวณ
simbolica	สัญลักษณ์
indicele	ดัชนี
sanul	อก
citirea	อ่าน
blana	ขน
blana	ขน
cucerire	ชัยชนะ
mentale	จิต
postat	โพสต์
pietele	ตลาด
horse	ม้า
mao	เหมา
defini	กำหนด
defini	นิยาม
liturghie	มวล
liturghie	ก้อน
posta	จดหมาย
