ve	そして
bir	一つ
bir	one
bir	一人
bir	ワン
bu	この
bu	これ
de	say
de	セイ
için	for
en	お気に入り
daha	もっと
sonra	それから
sonra	アフター
sonra	後で
ilk	ファースト
ilk	最初
yer	会場
yer	place
yer	場所
yer	スポット
yer	所在地
yer	ロケーション
yer	場所
dış	外側
dış	アウター
dış	dis
büyük	大きい
büyük	大きな
büyük	大きい
büyük	ビッグ
büyük	巨大
bağlantılar	つながり
bağlantılar	接続
bağlantılar	リンク
of	uff
türkiye	トルコ
türkiye	七面鳥
iki	壱岐
iki	二つ
iki	二人
ancak	しかしながら
center	センター
center	中央
center	中心
ayrıca	also
ayrıca	また
istanbul	イスタンブール
diğer	その他
yeni	new
yeni	新しい
yeni	新規
un	粉末
un	小麦粉
aynı	同じ
aynı	おなじ
kulüp	クラブ
kulüp	棍棒
bağlı	束縛
bağlı	バウンド
iyi	良い
iyi	グッド
ilgili	関連
ilgili	関連
son	最終
son	ラスト
son	最後
son	終了
son	エンド
alan	フィールド
alan	ドメイン
alan	アラン
alan	面積
alan	領域
alan	エリア
dünya	世界
dünya	ワールド
dünya	地球
dünya	アース
abd	米国
birlikte	together
eski	古い
eski	オールド
eski	オールディーズ
and	アンデス
önemli	見どころ
önemli	ハイライト
önemli	重要
madde	物質
madde	条項
madde	素材
madde	材料
madde	マテリアル
madde	物質
madde	事柄
madde	記事
madde	冠詞
sağlık	ウェルネス
sağlık	医学
sağlık	健康
genel	ジェネリック
genel	全体
genel	全般
genel	一般
genel	将軍
mart	マート
mart	マーチ
mart	行進曲
adı	名前
adı	氏名
adı	名称
film	映画
film	ムービー
film	映画
film	フィルム
film	映画
haziran	六月
mayıs	メイ
mayıs	五月
dosya	ファイル
dosya	ファイル
ocak	ヤン
ocak	コンロ
ocak	ストーブ
yıl	イヤー
dan	ダン
dan	dan
kasım	十一月
kasım	カシム
kasım	nov
avrupa	欧州
avrupa	ヨーロッパ
avrupa	エウロパ
ama	でも
ama	しかし
karşı	カウンタ
karşı	カウンター
karşı	反対
toplam	生涯
toplam	通算
toplam	合計
toplam	総和
toplam	合計
toplam	全体
jpg	jpg
ikinci	番目
ikinci	セカンド
eylül	九月
ağustos	アウグスト
içinde	インサイド
önce	以前
önce	ファースト
önce	最初
tüm	全体
nisan	四月
nisan	エイプリル
resim	画像
resim	写真
resim	画像
resim	イメージ
resim	絵画
resim	図面
resim	描画
resim	ドローイング
üniversitesi	大学
ye	食べる
ye	eat
ekim	十月
şehir	タウン
şehir	シティ
şehir	都市
şehir	アーバン
ptt	ptt
zaman	タイム
zaman	時間
bazı	いくつか
bazı	一部
bazı	いくらか
aralık	dec
aralık	間隔
aralık	音程
aralık	インターバル
aralık	区間
köy	村落
köy	ヴィレッジ
yüksek	ハイ
yüksek	高い
birçok	多数
şubat	二月
sadece	のみ
sadece	ちょうど
sadece	ジャスト
sadece	ただ
yol	パス
yol	経路
yol	ルート
yol	ウェイ
yol	道路
fakat	でも
fakat	しかし
grup	band
grup	バンド
grup	集団
grup	グループ
takım	分隊
takım	チーム
kendi	own
şekilde	ウェイ
tek	シングルス
tek	シングル
tek	独身
bilgi	情報
bilgi	情報
bilgi	知識
kez	タイムズ
hakkında	について
latns	latns
longew	longew
latd	latd
longd	longd
longm	longm
latm	latm
devlet	都道府県
devlet	状態
devlet	政府
colspan	colspan
üç	三人
üç	three
üç	スリー
tarihi	デート
tarihi	日付
tarihi	履歴
tarihi	由緒
tarihi	歴史
tarihi	沿革
küçük	小さな
küçük	スモール
küçük	小さい
küçük	lil
küçük	リル
küçük	リトル
küçük	小さい
müzik	ミュージック
müzik	音楽
gelen	着信
gelen	受信
resmi	フォーマル
resmi	画像
resmi	写真
resmi	公式
resmi	職員
kabul	同意
kabul	合意
kabul	承諾
kabul	受入れ
kabul	承認
kabul	受付
kabul	受け入れ
kabul	受け入れる
kabul	承認
kabul	賛成
devam	続行
devam	continue
devam	続ける
devam	キープ
kupası	カップ
kupası	コップ
kupası	cup
fazla	超過
okulu	学校
okulu	スクール
aldı	受け取り
aldı	受信
em	吸う
farklı	異なる
futbol	サッカー
futbol	フットボール
ileti	メッセージ
ileti	伝言
doğru	トゥルー
doğru	true
doğru	本当
doğru	正解
doğru	正しい
tarım	農業
tarım	農業
tarım	農業
on	テン
on	ten
özel	独占
özel	非公開
özel	プライベート
özel	スペシャル
özel	風習
özel	カスタム
biri	誰か
biri	一つ
biri	one
biri	一人
biri	ワン
alanı	フィールド
alanı	面積
alanı	領域
alanı	エリア
vikipedi	wikipedia
vikipedi	ウィキペディア
uzun	高い
uzun	拡張
uzun	延長
uzun	長い
uzun	ロング
şarkı	歌う
şarkı	ソング
şarkı	歌曲
şarkı	ソング
eden	エデン
lig	リーグ
orta	真ん中
orta	ミドル
orta	ミディアム
orta	メディア
orta	mid
orta	センター
orta	中央
orta	中心
orta	中央
orta	センター
orta	中心
oyuncu	プレイヤー
oyuncu	プレーヤー
oyuncu	俳優
oyuncu	女優
oyuncu	俳優
geri	後方
geri	戻る
geri	後ろ
geri	背中
geri	裏側
geri	後ろ向き
mesaj	テキスト
mesaj	メッセージ
mesaj	伝言
mesaj	メッセージ
elektrik	電力
elektrik	電気
elektrik	エレクトリック
elektrik	電気
ardından	アフター
merkezi	中央
merkezi	セントラル
merkezi	センター
merkezi	中央
merkezi	中心
merkezi	中央
merkezi	センター
merkezi	中心
kısa	短い
kısa	ショート
güney	サザン
güney	南部
güney	サウス
almanya	ドイツ
kişi	人物
değil	not
kuzey	ノース
kuzey	ノーザン
kuzey	北方
kuzey	北部
çeşitli	品種
çeşitli	バラエティ
çeşitli	変種
açıklama	キャプション
açıklama	説明
açıklama	解説
açıklama	説明
açıklama	解説
team	チーム
bilgileri	情報
fransa	フランス
ingilizce	イングリッシュ
ingilizce	英語
olmak	being
amerika	アメリカ
amerika	米国
el	ハンド
başka	else
burada	ここ
yok	なし
gol	ゴール
gol	ゴール
gol	目標
ana	メイン
ana	ana
ana	アナ
ana	おかあさん
ana	母親
suyu	ジュース
özellikle	特に
özellikle	特に
ilköğretim	小学校
birleşik	unified
birleşik	ユナイテッド
ödülü	報酬
ödülü	受賞
ödülü	表彰
altyapı	インフラストラクチャー
yerine	置換
gün	day
gün	一日
geçen	合格
geçen	経過
doğu	イースト
doğu	東部
doğu	オリエンタル
doğu	オリエント
doğu	東部
süre	タイム
süre	時間
süre	期間
sabit	固定
sabit	固定された
sabit	定数
sabit	安定
eğitim	トレーニング
eğitim	講習
eğitim	修行
eğitim	訓練
eğitim	研修
eğitim	教育
eğitim	学歴
eğitim	チュートリアル
su	ウォーター
uluslararası	インターナショナル
uluslararası	国際
yaklaşık	について
yaklaşık	おおよそ
yaklaşık	おおよそ
alman	ドイツ語
az	リトル
az	小さい
az	少ない
millî	国民
millî	ナショナル
kaynak	ソース
kaynak	出典
kaynak	リソース
kaynak	資源
kaynak	リソース
kaynak	資源
kaynak	溶接
ali	アリー
ali	アリ
ali	ali
paşa	パシャ
ligi	リーグ
görev	義務
görev	タスク
görev	譲渡
görev	代入
görev	割り当て
görev	ミッション
halk	公衆
halk	公開
halk	パブリック
halk	ピープル
tv	テレビ
onun	his
yine	再び
yine	アゲイン
ekonomisi	経済
yılı	イヤー
telefon	電話機
telefon	電話
telefon	電話機
yeniden	再び
yeniden	アゲイン
yeniden	再建
içme	飲む
etki	インパクト
etki	衝撃
etki	影響力
etki	影響
etki	エフェクト
etki	効果
ben	ベン
sezon	季節
sezon	シーズン
john	ジョン
albüm	アルバム
albüm	アルバム
ingiliz	ブリット
ingiliz	イングリッシュ
ingiliz	英語
puan	ポイント
puan	評価
puan	格付
puan	スコア
puan	得点
puan	ポイント
nedeniyle	締切
nüfus	人口
nüfus	人口
batı	ウエスト
batı	西部
batı	ウェスト
batı	ウェスタン
batı	ウエスタン
tür	ジャンル
tür	種類
tür	タイプ
amerikan	アメリカン
savaş	バトル
savaş	戦闘
savaş	戦い
savaş	戦争
savaş	戦闘
savaş	ファイト
tekrar	再び
tekrar	アゲイン
tekrar	繰り返す
tekrar	繰り返し
tekrar	リプレイ
anadolu	アジア
söz	約束
söz	promise
söz	ワード
söz	言葉
söz	単語
söz	word
rağmen	にもかかわらず
grubu	集団
grubu	グループ
elde	後天性
elde	達成
https	https
ait	属する
ait	所属
ait	所有
kadın	女性
kadın	女性
kadın	女性
türkçe	イングリッシュ
türkçe	英語
wikipedia	wikipedia
wikipedia	ウィキペディア
kullanıcı	ユーザー
kullanıcı	ユーザ
kullanıcı	ユーザー
kullanıcı	ユーザ
tam	いっぱい
tam	フル
tam	コンプリート
tam	完備
tam	tam
birliği	ユニオン
kanalizasyon	下水道
kanalizasyon	下水道
kanalizasyon	下水
maç	mac
maç	マック
maç	ゲーム
maç	マッチ
maç	一致
white	白い
white	ホワイト
http	http
roma	ローマ
roma	ロマ
roma	ローマ
at	ウマ
at	投げる
bölüm	チャプター
bölüm	師団
bölüm	ディビジョン
bölüm	エピソード
bölüm	セクション
bölüm	パート
bölüm	部分
bölüm	部署
bölüm	学科
bölüm	部門
yazar	作家
yazar	ライター
yazar	作家
yazar	著者
yazar	作者
ulusal	国民
ulusal	ナショナル
köyü	村落
köyü	ヴィレッジ
teknik	テクニカル
teknik	テクニック
teknik	技法
teknik	テック
nüfusu	人口
nüfusu	人口
deniz	マリン
deniz	sea
uygun	フィット
uygun	fit
uygun	便利
bütün	全体
yakın	近い
yakın	付近
yakın	近く
yakın	閉じる
yakın	クローズ
listesi	リスト
dört	four
dört	フォー
iç	内部
iç	内装
iç	内面
iç	インテリア
iç	ため息
iç	飲み物
iç	ドリンク
iç	飲む
club	クラブ
club	棍棒
ingiltere	イギリス
from	から
alt	サブ
alt	ボトム
alt	beat
alt	ビート
alt	alt
asfalt	アスファルト
fransız	フレンチ
fransız	フランス語
mehmet	メフメト
mehmet	メフメト
belediye	市町村
stadyumu	スタジアム
sonucu	帰結
rusya	ベラルーシ
rusya	ロシア
genellikle	通常
space	スペース
space	空間
com	com
bar	バール
bar	バー
bar	パブ
sonunda	ついに
sonunda	やっと
sonunda	遂に
parti	パーティ
parti	パーティー
erkek	男性
erkek	メン
erkek	男性
erkek	オス
erkek	男性
erkek	man
beyaz	白い
beyaz	ホワイト
bölge	リージョン
bölge	地域
bölge	縄張り
bölge	地区
bölge	ディストリクト
bölge	ゾーン
bölge	zone
bölge	面積
bölge	領域
bölge	エリア
italya	イタリア
onu	him
hava	天候
hava	天気
hava	気象
hava	空気
hava	航空
hava	エア
verilen	与えられた
çünkü	なぜなら
çünkü	だって
çünkü	原因
birkaç	少数
dönem	用語
dönem	期間
dönem	ピリオド
dönem	学期
açık	クリア
açık	オープン
açık	開館
açık	開く
insan	人物
insan	男性
insan	man
insan	ヒト
insan	ヒューマン
insan	人間
merkez	本社
merkez	本部
merkez	司令部
merkez	中央
merkez	セントラル
merkez	センター
merkez	中央
merkez	中心
merkez	中央
merkez	センター
merkez	中心
düşük	流産
düşük	低い
olmayan	non
altın	ゴールデン
altın	黄金
altın	gold
altın	ゴールド
neden	なぜ
neden	why
bin	bin
genç	teen
genç	十代
genç	ティーン
genç	若い
genç	若い
genç	ヤング
genç	青年
genç	若者
genç	ユース
genç	青春
genç	ティーンエイジャー
kır	休憩
kır	ブレーク
kır	区切り
stadyum	スタジアム
ülke	国名
ülke	カントリー
dil	言語
dil	言語
pozisyon	位置
pozisyon	ポジション
pozisyon	役職
pozisyon	ポジション
mustafa	ムスタファ
dahil	含める
dahil	含む
dahil	含む
an	moment
an	瞬間
an	モーメント
iş	職業
iş	仕事
iş	ジョブ
iş	作業
iş	仕事
iş	ワーク
