jefferson	jefferson
integrasi	povezovanje
integrasi	vključitev
integrasi	integracija
integrasi	vključevanje
staff	osebje
output	izhod
output	izpis
fisiologi	fiziologija
ibm	ibm
zeus	zevs
zeus	zeus
mengingatkan	spomnil
mengingatkan	opomnil
mengingatkan	spomni
mengingatkan	opomni
dinamis	dinamika
dinamis	dinamična
dinamis	dinamični
dinamis	dinamično
dinamis	dinamičen
zhao	zhao
animation	animacija
cacing	črv
cacing	črve
cacing	črvi
highland	highland
pembuluh	vene
pembuluh	žile
orangtua	starše
orangtua	starša
orangtua	starši
orangtua	starši
orangtua	starša
orangtua	staršev
orangtua	starš
omar	omarja
omar	omar
gandum	žito
gandum	žita
gandum	zrna
gandum	zrnje
gandum	pšenični
gandum	pšenica
gandum	pšenico
gandum	pšenice
account	račun
digit	števki
dog	dog
dog	pasja
dog	kuža
dog	pasji
dog	pes
krim	kreme
krim	smetana
krim	kremo
krim	smetane
krim	smetano
krim	krema
sebastian	sebastian
sebastian	sebastiana
ottoman	otomanskih
cerah	svetlo
cerah	svetla
cerah	sončna
cerah	sončni
cerah	sončen
cerah	sunny
cerah	sončno
herbert	herbert
konstantinus	constantine
karim	karim
rupanya	očitno
iron	železo
iron	železov
iron	železna
iron	železa
each	vsak
each	vsaka
norte	norte
eagle	orel
eagle	eagle
eagle	orla
indiana	indiana
abi	abi
xiii	xiii
berikan	dej
berikan	daj
gara	gara
rap	rap
transformasi	preoblikovanje
transformasi	transformacije
transformasi	preobrazba
transformasi	preobrazb
transformasi	preoblikovanja
kekacauan	kaos
ade	ade
graham	graham
siam	siamska
siam	siam
entry	vstop
entry	vnos
pilih	izberi
pilih	izberi
impor	uvoz
impor	uvozi
impor	uvožena
impor	uvoženi
impor	uvoženo
impor	uvožene
impor	uvoz
impor	uvozi
erik	erik
ferry	trajekt
jump	preskok
jump	skok
jump	skoči
kesan	vtis
seng	seng
seng	cinkov
seng	cink
seng	cinka
korintus	korint
marsekal	maršal
acak	naključna
acak	naključno
acak	naključni
acak	naključen
acak	shuffle
terkejut	šok
terkejut	presenečen
terkejut	presenečeni
terkejut	presenečena
terkejut	šokiran
terkejut	pretresen
terkejut	šokirana
botol	plastenke
botol	steklenice
botol	stekleničke
botol	steklenica
botol	steklenička
botol	steklenico
syuting	snemanje
beat	ritem
beat	premagal
kehancuran	opustošenje
kehancuran	uniči
kehancuran	razdejanje
kehancuran	uničenje
kehancuran	uničevanje
kenangan	spomine
kenangan	spominov
kenangan	spomini
kenangan	pomnilnik
kenangan	spomini
kenangan	spomin
kenangan	spomina
brigadir	brigadir
ditembak	ustreljen
ditembak	ustreljena
ditembak	strel
plan	načrt
plan	plan
dam	jez
caesar	cezar
caesar	cezarja
winner	zmagovalec
winner	zmagovalka
pukulan	udarci
pukulan	piha
pukulan	udarec
mendesak	nujno
