rob	rob
chaco	chaco
luchador	harcos
luchador	bunyós
luchador	birkózó
ligera	fény
ligera	light
ligera	fényt
ligera	enyhe
tocando	megható
tocando	érintés
tocando	játszik
tocando	játszom
recuerdos	emlékek
recuerdos	emlék
recuerdos	memória
recuerdos	emlék
recuerdos	emlékezet
recuerdos	emlékek
site	helyszín
site	helyén
site	webhely
mantenido	tartott
mantenido	tartotta
mantenido	megtartotta
mantenido	megtartott
específicos	specifikus
específicos	konkrét
wright	wright
falla	bukta
falla	kudarc
falla	meghibásodás
falla	bukás
falla	kudarc
llano	llano
llano	sima
romper	szünet
romper	törés
huerta	gyümölcsös
huerta	huerta
septentrional	észak
septentrional	északi
seguimiento	nyomkövető
seguimiento	követés
seguimiento	monitoring
seguimiento	megfigyelés
seguimiento	ellenőrzés
difíciles	nehéz
difíciles	bonyolult
cerveza	sör
cerveza	sört
proyección	szűrés
proyección	vetítés
neerlandés	holland
neerlandés	dutch
compuestas	kompozit
compuestas	összetett
compuestas	összetett
compuestas	vegyület
bloqueado	zárva
bloqueado	bezárva
bloqueado	letiltott
maneras	módok
tocó	megérintette
tocó	megérintett
infierno	pokol
infierno	pokol
gastos	kiadások
gastos	kiadás
gastos	kiadások
gastos	ráfordítások
gastos	kiadások
gastos	költségek
africana	afrikai
depósito	betétek
depósito	betét
depósito	letétbe
depósito	foglaló
lucio	lucio
lucio	pike
lucio	lucius
montenegro	montenegró
avanzada	fejlett
avanzada	haladó
avanzada	előrehaladott
nucleares	nukleáris
emma	emmával
emma	emma
terry	terry
jornadas	napok
jornadas	napokban
jornadas	napokat
jornadas	napokon
lobos	farkas
lobos	wolf
lobos	farkasok
lobos	lobos
especialista	szakember
especialista	specialista
octava	nyolcadik
octava	octave
pendiente	lejtő
pendiente	fülbevaló
pendiente	függőben
pendiente	folyamatban
pendiente	kiváló
pendiente	kiemelkedő
pendiente	kimagasló
realista	realista
realista	realista
realista	reális
century	évszázad
century	század
definitivo	határozott
definitivo	döntő
definitivo	végleges
definitivo	záró
definitivo	utolsó
definitivo	végső
recordar	emlékezni
recordar	emlékezés
comenzando	kezdetek
comenzando	kezdete
comenzando	eleje
comenzando	kezdet
comenzando	kezdem
comenzando	kezdő
comenzando	kezdve
paraíso	paradicsom
paraíso	mennyország
paraíso	paradise
autora	író
autora	szerző
testimonio	szemtanú
testimonio	tanú
testimonio	vallomása
testimonio	vallomás
malta	maláta
malta	máltai
malta	málta
aerolíneas	légitársaság
aerolíneas	légitársaságok
aerolíneas	airlines
aerolíneas	légitársaság
balonmano	kézilabda
bloques	tömb
positiva	pozitívak
positiva	pozitív
turner	turner
vidal	vidal
polvo	por
polvo	port
polvo	por
polvo	port
tomada	foglalt
balón	bál
balón	labdát
balón	golyó
balón	labda
balón	ball
fija	javítások
alegría	joy
alegría	öröm
alegría	örömöt
alegría	jókedv
alegría	vidámság
luxemburgo	luxemburgi
luxemburgo	luxemburgban
luxemburgo	luxemburg
luxemburgo	luxembourg
prusia	poroszország
prusia	porosz
declaraciones	nyilatkozatok
declaraciones	kimutatások
declaraciones	állítások
declaraciones	nyilatkozatok
reconoció	elismerte
reconoció	elismert
cronología	kronológia
cronología	idővonal
cría	tenyésztés
cría	tenyésztési
ilustraciones	illusztrációk
cross	kereszt
cross	cross
cross	keresztbe
ron	ron
ron	ront
ron	rumot
ron	rum
estrada	estrada
vital	létfontosságú
vital	életbevágó
comenzado	kezdődött
comenzado	kezdte
comenzado	elkezdődött
phoenix	főnix
phoenix	phoenix
semi	félig
maine	maine
varsovia	varsó
masacre	mészárlás
masacre	vérfürdő
masacre	mészárlás
masacre	vágás
vinos	bor
vinos	borok
vinos	borok
nominada	jelöltek
nominada	jelölt
denuncia	jelentést
denuncia	jelentés
denuncia	beszámoló
denuncia	panaszt
denuncia	panasza
denuncia	panasz
denuncia	felmondás
frutas	gyümölcs
frutas	gyümölcsök
frutas	gyümölcsöt
frutas	gyümölcs
frutas	gyümölcsök
periodos	időszakok
graham	graham
duquesa	hercegnő
delito	bűntett
delito	bűncselekmény
delito	bűnözés
delito	bűn
delito	bűntény
delito	bűncselekmény
delito	bűncselekmények
preocupación	aggályok
preocupación	aggodalmak
preocupación	aggodalmát
preocupación	aggodalom
metales	metál
metales	metal
metales	fémek
metales	fém
metales	fémek
sufrir	szenved
golf	golf
asistencias	segíti
creencias	hit
sucre	sucre
baltimore	baltimore
stars	csillagok
stars	sztárok
stars	csillag
reputación	hírneve
reputación	hírnév
party	party
party	buli
party	parti
norman	norman
humberto	humbert
humberto	umberto
humberto	hubert
participante	résztvevő
conexiones	kapcsolatai
conexiones	kapcsolatok
cumplimiento	megfelelés
cumplimiento	megfelelőség
cumplimiento	megfeleltetés
aurora	aurora
quedarse	marad
quedarse	maradni
condujo	vezetett
condujo	hajtott
htm	htm
australiana	ausztrál
australiana	ausztrália
ámsterdam	amsterdam
ámsterdam	amszterdam
ámsterdam	amszterdami
ilustración	megvilágosodás
ilustración	illusztráció
efectiva	hatékony
efectiva	hatásos
efectiva	effektív
efectiva	eredményes
convertir	átalakítás
convertir	konvertáló
emite	kibocsát
llanura	sima
llanura	síkság
levantamiento	felkelés
levantamiento	emelő
levantamiento	emelés
hebreo	héber
propaganda	propaganda
desea	kívánom
desea	kívánság
desea	bárcsak
desea	kívánság
desea	kívánja
thompson	thompson
jay	jay
secuela	folytatás
tributo	tribute
placas	rendszám
placas	tányér
placas	lemezek
placas	jelvény
placas	tányér
placas	lemez
placas	tányért
estructural	szerkezeti
estructural	strukturális
culpa	hibás
culpa	bűntudat
causar	okoz
singapur	szingapúr
