और	and
से	from
है	hai
एक	one
श्रेणी	category
श्रेणी	series
श्रेणी	categories
भी	even
भी	also
भी	too
यह	this
किया	did
किया	done
इस	this
हैं	are
कि	that
भारत	india
जो	joe
जो	who
ही	hee
रूप	form
रूप	appearance
कर	tax
कर	taxes
नहीं	not
नहीं	nope
उत्तराखण्ड	uttarakhand
साथ	with
साथ	together
पूर्व	east
पूर्व	former
होता	would
बाद	later
बाद	after
तक	until
तक	till
तक	tak
अपने	own
अपने	your
जिले	districts
था	had
था	was
राज्य	states
राज्य	state
बाहरी	outdoor
बाहरी	external
कुछ	some
कुछ	something
ईसा	jesus
गाँव	village
सरकार	govt
सरकार	government
कड़ियाँ	chains
कड़ियाँ	links
प्रदेश	region
इसके	its
दिया	given
दिया	gave
अन्य	other
अन्य	others
जा	jaa
वर्ष	years
वर्ष	year
समय	timing
समय	time
नाम	name
वे	they
प्रकार	kind
प्रकार	type
प्रकार	types
भारतीय	indian
किसी	someone
क्षेत्र	area
क्षेत्र	region
क्षेत्र	areas
अधिक	more
कई	many
कई	several
स्थित	located
मण्डल	zone
आधिकारिक	official
कारण	reasons
कारण	reason
कारण	cause
कारण	causes
होने	being
जैसे	like
करता	bullies
करता	does
उनके	their
उनके	them
सबसे	most
हिन्दी	hindi
बहुत	very
पहले	before
पहले	ago
पहले	earlier
पहले	first
अपनी	own
अपनी	carnal
दो	two
जिला	district
जब	when
उन्होंने	they
उन्होंने	egyptians
जन्म	born
जन्म	birth
कोई	koi
कोई	any
इन	inn
लेकिन	but
ये	this
ये	these
कम	low
कम	less
कहा	said
लोग	people
आदि	etc
आदि	more
आदि	adi
उसके	his
उसके	her
प्राचीन	primitive
प्राचीन	ancient
प्राचीन	praetor
देखें	watch
देखें	see
देखें	view
उत्तर	answer
उत्तर	north
उत्तर	answers
भाषा	languages
भाषा	language
लिये	for
सभी	all
प्राप्त	obtained
प्राप्त	received
प्राप्त	receive
इसका	its
प्रयोग	experiments
प्रयोग	usage
प्रयोग	experiment
शामिल	involved
शामिल	includes
शामिल	included
शामिल	include
उन्हें	them
उस	that
स्थान	places
स्थान	venue
स्थान	locations
स्थान	place
स्थान	location
प्रमुख	chief
प्रमुख	major
प्रमुख	main
हुई	hui
बीच	beach
बीच	center
गए	gone
मुख्य	chief
मुख्य	main
थी	was
बिहार	bihar
उसे	him
उसे	her
कार्य	tasks
कार्य	job
कार्य	work
कार्य	jobs
कार्य	task
उनकी	their
आंध्र	andhra
आंध्र	andra
नगर	town
नगर	city
नगर	nagar
उपयोग	usage
उपयोग	use
उपयोग	uses
लोगों	people
आधार	base
आधार	premise
काम	work
जीवन	life
विश्व	world
भाग	sections
भाग	part
भाग	parts
निर्माण	creation
निर्माण	construction
निर्माण	build
निर्माण	manufacturing
दोनों	both
राष्ट्रीय	national
जानकारी	info
जानकारी	information
पोर्टल	portal
शहर	downtown
शहर	city
शहर	cities
बार	bars
बार	bar
बार	times
वाली	wali
लगभग	almost
लगभग	approximately
फिल्म	movie
फिल्म	film
यहाँ	here
प्रसिद्ध	famous
प्रसिद्ध	renowned
विकास	development
विकास	growth
केवल	only
देश	country
देश	nation
देश	countries
वेबसाइट	website
अलग	separated
अलग	different
अलग	separate
विशेष	exclusive
विशेष	special
इसकी	its
कभी	ever
दी	given
दी	gave
पृष्ठ	page
पृष्ठ	pages
माना	considered
माना	mana
माना	supposedly
शब्द	word
शब्द	words
फिर	then
तीन	three
पुरस्कार	rewards
पुरस्कार	prize
पुरस्कार	award
पुरस्कार	awards
पुरस्कार	prizes
पुरस्कार	reward
लेख	articles
लेख	thesis
लेख	article
जिसे	whom
अब	now
दौरान	during
अमेरिका	america
मंदिर	temple
अलावा	addition
अलावा	apart
वार्ता	talks
दक्षिण	south
स्थल	venue
विभिन्न	various
विभिन्न	miscellaneous
इतिहास	history
लिया	taken
फ़िल्म	movie
फ़िल्म	film
क्योंकि	because
पास	pass
विस्तृत	detailed
विस्तृत	elaborate
विस्तृत	exhaustive
विस्तृत	advanced
दिन	day
दिन	daytime
दिन	days
कृषि	agriculture
कृषि	tillage
गढ़वाल	garhwal
जाना	viability
शुरू	started
शुरू	begin
व्यक्ति	person
व्यक्ति	individual
व्यक्ति	individualism
उनका	their
विज्ञान	science
सदस्य	member
सदस्य	subscriber
सदस्य	subscribers
सदस्य	members
हालांकि	although
हालांकि	though
सिंह	singh
सिंह	leo
अनेक	many
अनेक	several
अनेक	multiple
यहां	here
संख्या	number
संख्या	numbers
अपना	own
अपना	your
बात	thing
बात	talk
साहित्य	literature
शिक्षा	education
शिक्षा	tuition
दिल्ली	delhi
धर्म	religion
धर्म	religions
धर्म	dharma
मूल	origin
मूल	originals
मूल	native
मूल	original
मूल	basic
तब	then
बना	make
बना	made
कोड	code
कोड	codes
संयुक्त	concurrent
संयुक्त	united
संयुक्त	combined
संयुक्त	joint
जुलाई	july
युद्ध	battle
युद्ध	war
नदी	river
वाला	vala
काल	tense
काल	call
काल	period
ऐसे	such
वर्षों	years
वर्षों	rainforest
प्रति	per
स्टेशन	station
स्टेशन	stations
बड़े	large
बड़े	big
