törstig	смагне
tålmodiga	пацыента
tålmodiga	доўгацярплівым
tålmodiga	доўгацярплівымі
tålmodiga	цярплівасьць
blankett	формы
blankett	выглядзе
beredningar	пасху
frestad	спакушаны
behållning	баланс
ögonblicken	момантаў
ögonblicken	моманты
avgrund	бездані
egoistiska	сварлівасьць
egoistiska	сварлівасьці
labbet	лабараторыі
labbet	лабараторыя
labbet	лабараторыях
värmande	грэўся
ihärdighet	цярплівасьць
vrål	ільва
vrål	голас
destruktion	загубы
destruktion	зьнішчэньне
destruktion	загуба
destruktion	загубу
kvällsmat	вячэру
kvällsmat	вячэры
