poprawnie	正しく
atlancie	アトランタ
smoka	ドラゴン
tajne	秘密
julius	ジュリアス
julius	ユリウス
ciepło	ヒート
ciepło	あったかい
ciepło	暖かい
ciepło	温かい
rozwiązać	解決
rozwiązać	解消
ilustracje	挿絵
ilustracje	イラスト
aniołów	エンジェルス
aniołów	天使
wycofanie	脱退
wycofanie	離脱
wycofanie	撤退
gość	ビジター
gość	ガイ
gość	ゲスト
gran	グラン
fale	波動
fale	ウェーブ
dochodów	収入
dochodów	所得
strażnik	ガーディアン
strażnik	後見人
strażnik	ガード
szerokiej	広い
częstotliwość	周波数
częstotliwość	頻度
too	too
matematyka	数学
matematyka	数学
wbc	wbc
berkeley	バークリー
rydze	リガ
wiarę	信仰
wiarę	信念
wiarę	フェイス
kostki	足首
kostki	立方体
kostki	キューブ
kostki	ナックルズ
rozbudowa	延長
rozbudowa	内線
rozbudowa	膨張
nowoczesne	モダン
emily	エミリー
ostateczny	アルティメット
ostateczny	最終
ostateczny	決勝
ostateczny	ファイナル
fin	フィン
clinton	クリントン
czwartek	木曜日
czwartek	木曜
rejestr	原簿
rejestr	登録
rejestr	レジスタ
rejestr	登記簿
holowania	レッカー
koch	コッホ
rzadkie	レア
syntezy	合成
replika	レプリカ
bellona	ベローナ
przemysłowy	工業
doradca	顧問
doradca	アドバイザー
doradca	コンサルタント
doradca	カウンセラー
doradca	アドバイザー
uderzył	hit
uderzył	ヒット
cokolwiek	何でも
audi	アウディ
oskarżenia	告発
oskarżenia	告発
rejs	クルーズ
panie	婦人
panie	レディース
kong	コング
tradycję	伝統
cali	カリ
cali	インチ
edgar	エドガー
clausura	clausura
chrzest	洗礼
przegrana	敗北
potomków	子孫
potomków	子孫
potomków	後裔
potomków	末裔
england	イギリス
dee	ディー
asystenta	助手
asystenta	アシスタント
wagon	ワゴン
zniszczyć	破壊
dialogu	台詞
missisipi	ミシシッピ
christine	クリスティン
marynarka	海軍
marynarka	ネイビー
marynarka	ジャケット
stężenia	濃度
wyjaśnienie	説明
wyjaśnienie	解説
wyjaśnienie	釈明
polo	ポロ
czynne	アクティブ
odbiór	オーバー
odbiór	over
odbiór	レシート
odbiór	受領
odbiór	受信
odbiór	レセプション
odbiór	披露宴
odbiór	受付
odbiór	ピックアップ
represji	抑圧
wicehrabia	子爵
ashley	アシュリー
ashley	アシュレイ
obywatele	市民
obywatele	市民
piętro	フロア
salon	ラウンジ
salon	サロン
mięsa	食肉
mięsa	食肉
czynnik	ファクター
czynnik	因子
czynnik	係数
speedway	スピードウェイ
nbc	nbc
podłoże	基質
podłoże	地面
podłoże	グラウンド
mauzoleum	霊廟
mauzoleum	陵墓
butler	バトラー
obserwuje	観測
samuela	サミュエル
paliwo	燃料
paliwo	ガソリン
skuteczności	実効
skuteczności	効能
zatrudnienia	雇用
ren	ren
grey	灰色
grey	グレイ
grey	グレー
tokyo	東京
okno	ウィンドウ
odzyskać	回復
odzyskać	取得
kolumbia	コロンビア
kolumbia	コロンビア
cameron	キャメロン
piw	ビール
motorsport	モータースポーツ
germain	ジェルマン
glenn	グレン
treningi	トレーニング
treningi	講習
treningi	修行
treningi	訓練
treningi	研修
kwiat	flower
kwiat	フラワー
wieki	年齢
wieki	世紀
aaron	アロン
aaron	アーロン
camp	camp
camp	キャンプ
fabio	ファビオ
fabio	ファビオ
komiksów	漫画
komiksów	コミック
mann	マン
zwykły	レギュラー
zwykły	普通
misje	クエスト
misje	ミッション
misje	ミッション
rycerzy	ナイツ
rycerzy	騎士
norm	基準
norm	規格
peugeot	プジョー
standardy	基準
standardy	規格
węgiel	石炭
węgiel	木炭
węgiel	炭素
bass	バス
bass	ベース
automatyczna	自動
automatyczna	オートマチック
aspekty	側面
aspekty	アスペクト
aspekty	側面
prosto	まっすぐ
prosto	ストレート
prezentacji	プレゼン
prezentacji	プレゼンテーション
prezentacji	プレゼン
prezentacji	プレゼンテーション
domeny	ドメイン
domeny	ドメイン
pracujący	働く
pracujący	作業
wzory	モデル
wzory	パターン
wzory	デザイン
wzory	数式
zatonął	埋没
joel	ジョエル
porównanie	比較
dell	デル
dell	dell
ewy	イブ
ewy	イヴ
fra	フラ
osobisty	パーソナル
osobisty	個人
carmen	カルメン
montgomery	モンゴメリー
oun	cns
jądro	カーネル
jądro	原子核
jądro	精巣
jądro	コア
jądro	core
salomona	ソロモン
pearl	真珠
wiktoria	ビクトリア
wiktoria	ヴィクトリア
przodków	先祖
przodków	先祖
chińskie	中国語
chińskie	中国人
przydatne	役に立つ
jowisza	ジュピター
jowisza	木星
zaangażowanie	婚約
zaangażowanie	関与
zaangażowanie	コミットメント
zaangażowanie	収容
rzemiosła	工芸
zapach	香り
zapach	匂い
zapach	におい
zapach	香り
żyjący	リビング
żyjący	living
rozszerzenie	引き伸ばし
rozszerzenie	膨張
rozszerzenie	延長
rozszerzenie	内線
mercury	水星
mercury	マーキュリー
mercury	水銀
konsulat	領事館
prezentowane	注目
prezentowane	提示
kazań	説教
kazań	カザン
venus	ウェヌス
venus	金星
venus	ヴィーナス
armata	大砲
homo	ホモ
