категория	kategori
през	gennem
през	igennem
като	gerne
като	like
година	aars
година	året
година	år
след	efter
това	dette
това	denne
български	bulgarsk
български	bulgarske
българия	bulgarien
част	del
години	år
време	tid
време	tidspunkt
време	gang
време	klokkeslæt
време	tiden
със	med
която	hvilket
която	hvilken
която	hvilke
което	hvilket
което	hvilken
което	hvilke
препратки	henvisninger
препратки	referencer
град	town
град	byen
град	by
град	city
град	byen
град	storby
град	by
много	meget
много	mange
също	også
век	århundrede
село	village
село	landsbyen
село	landsby
един	et
един	en
един	én
между	mellem
между	imellem
около	omkring
софия	sofia
софия	sofie
софия	sophia
други	andre
други	andet
други	andre
още	stadig
още	stadigvæk
още	mere
още	flere
война	krigen
война	krig
война	war
война	krige
само	kun
само	bare
област	region
област	oblast
област	distriktet
област	district
област	distrikt
област	areal
област	område
под	under
община	kommune
община	kommunen
община	kommun
място	stedet
място	place
място	sted
място	plads
място	lokalisering
място	beliggenhed
място	sted
място	placering
място	lokation
когато	da
когато	når
когато	hvornår
вид	indtast
вид	skriv
вид	type
вид	dyrearter
вид	art
вид	dyreart
вид	arter
една	edna
една	et
една	en
една	én
всички	alle
всички	alt
всички	alle
семейство	familien
семейство	familie
семейство	family
започва	begynder
започва	begynder
започва	starter
македония	makedonien
сащ	usa
над	over
над	derover
над	slut
над	ovenfor
над	over
над	ovenover
над	ovenstående
него	ham
срещу	versus
срещу	kontra
срещу	imod
срещу	mod
тези	disse
души	sjæle
мини	mini
мини	miner
мини	minerne
мини	minnie
намира	finder
република	republik
република	republikken
късно	sen
късно	forsinket
късно	sent
май	may
май	maj
май	kan
път	path
път	sti
път	stien
път	route
път	ruten
път	rute
път	vejen
път	vej
път	landevej
отбор	holdet
отбор	hold
отбор	teamet
отбор	team
няколко	få
няколко	adskillige
няколко	flere
август	august
август	aug
роден	born
роден	fødte
роден	født
беседа	samtalen
беседа	samtale
беседа	konversation
беседа	diskurs
септември	september
преди	inden
преди	før
името	betegnelse
името	navn
група	band
група	bandet
група	orkester
група	gruppe
група	group
група	gruppen
език	tunge
език	tongue
език	tungen
език	sprog
език	sproget
юли	juli
някои	nogle
тях	them
тях	dem
река	river
река	floden
река	flod
януари	januar
юни	juni
юни	june
две	to
октомври	oktober
октомври	olt
име	betegnelse
име	navn
заедно	sammen
фон	von
фон	baggrund
фон	baggrunden
американски	amerikaner
американски	american
американски	amerikanske
американски	amerikansk
март	marts
март	march
март	marchere
ноември	november
ноември	nov
април	apr
април	april
декември	december
декември	dec
чрез	gennem
чрез	via
чрез	gennem
чрез	igennem
история	historien
история	story
история	historie
история	historik
история	historie
жители	indbyggerne
жители	indbyggere
жители	beboere
жители	fastboende
жители	bosiddende
жители	residenter
жители	indbyggere
жители	beboere
различни	forskellige
различни	forskelligt
различни	anderledes
различни	forskellig
различни	forskellige
различни	diverse
различни	forskelligt
без	uden
често	tit
често	ofte
февруари	februar
февруари	feb
работи	arbejder
работи	arbejd
работи	arbejde
работи	arbejdet
работи	arbejder
работи	virker
провинция	provins
провинция	provinsen
империя	empire
империя	imperiet
империя	imperium
иван	ivan
център	centrum
център	midtpunkt
център	center
център	midten
център	centreret
център	centret
център	centrum
център	centre
център	center
център	centreret
повече	mere
повече	flere
вече	allerede
сред	blandt
сред	iblandt
три	tre
три	three
страна	landet
страна	land
страна	lande
страна	side
въпреки	trods
градове	byer
градове	byerne
градове	storbyer
градове	byer
население	demografi
население	befolkningen
население	indbyggertal
население	befolkning
население	indbyggere
завършва	slutter
завършва	ender
бил	regning
бил	bill
бил	lovforslag
малко	små
малко	lille
хора	mennesker
хора	personer
хора	folk
хора	people
университет	university
университет	universitet
университет	universitetet
германия	tyskland
могат	kan
могат	can
син	blå
син	blåt
син	blue
син	søn
награда	belønning
награда	dusør
награда	præmie
награда	tilslag
награда	award
награда	tildeling
георги	georgi
георги	georgy
голяма	large
голяма	store
голяма	stor
голяма	stort
голяма	big
голяма	store
голяма	stor
голяма	stort
италия	italien
сайт	website
сайт	hjemmeside
сайт	webside
сайт	hjemmesiden
сайт	websted
сайт	site
участва	deltager
световна	verdensomspændende
край	slutning
край	afslutning
край	slut
край	ende
край	ophør
уикипедия	wikipedia
използва	anvendelser
сезон	årstid
сезон	sæsonen
сезон	sæson
окръг	county
окръг	amtet
окръг	amt
окръг	amtskommune
окръг	distriktet
окръг	district
окръг	distrikt
днес	idag
смъртта	death
смъртта	død
смъртта	døden
смъртта	dødsfald
франция	frankrig
франция	france
национален	nationale
национален	nationalt
национален	national
национален	landsdækkende
гърция	grækenland
вижте	se
русия	rusland
русия	ruslands
английски	englændere
английски	engelske
английски	engelsk
английски	english
едно	et
едно	en
едно	én
първи	første
първи	først
отново	igen
член	medlem
височина	højde
височина	elevation
височина	højden
височина	højde
дъщеря	datter
дъщеря	datteren
там	der
система	systemet
система	ordning
система	system
нея	hende
нея	hendes
училище	skolen
училище	school
училище	skole
били	billy
били	billie
света	world
света	verden
села	landsbyer
села	landsbyerne
филми	film
филми	film
александър	aleksandar
александър	alexander
умира	dør
умира	døende
умира	dør
умира	dø
южна	sydlige
южна	sydpå
южна	sydlige
южна	syd
европа	eu
европа	europe
европа	europa
европа	europa
димитър	dimitar
всеки	nogen
всеки	alle
всеки	hver
всеки	hver
части	reservedele
части	dele
баща	far
баща	fader
нова	ny
нова	nyt
нова	nye
нова	nova
крал	konge
крал	kongens
крал	kong
крал	kongen
крал	king
армия	hær
армия	hæren
армия	hærens
армия	army
църква	church
църква	kirken
църква	kirke
докато	mens
докато	indtil
официален	officielt
официален	embedsmand
официален	tjenestemand
официален	officiel
северна	nordpå
северна	nordlige
северна	north
северна	nord
северна	nordlige
северна	nordlig
времето	vejret
времето	vejr
времето	tid
времето	tidspunkt
времето	gang
времето	klokkeslæt
времето	tiden
българска	bulgarsk
българска	bulgarske
освен	undtagen
места	pladser
места	steder
места	pladser
места	sæder
начин	vej
начин	way
начин	måde
период	tidsrum
период	periode
период	perioden
резултат	udfald
резултат	resultat
резултат	scoring
резултат	score
резултат	resultat
резултат	resultatet
футболисти	fodboldspillere
данни	oplysninger
данни	data
страница	siden
страница	side
страница	page
картинка	billed
картинка	billede
картинка	image
картинка	billede
картинка	billedet
граф	graff
граф	graf
родени	born
родени	fødte
родени	født
играе	play
играе	spille
играе	spil
играе	leg
играе	spiller
играе	skuespil
играе	leger
играе	afspilning
играе	spiller
играе	spille
живот	liv
живот	livet
живот	livstid
живот	life
тук	her
император	kejseren
император	kejser
църквата	church
църквата	kirken
църквата	kirke
ден	dag
ден	dagen
ден	kampdag
жени	kvinderne
жени	kvinder
руски	russeren
руски	russer
руски	russiske
руски	russisk
известен	vidst
известен	kendte
известен	kendt
известен	berømt
известен	berømte
известен	berømtheder
известен	kendt
добре	god
добре	gode
добре	godt
мария	maria
дори	selv
води	leads
води	fører
води	waters
води	farvande
води	vandområder
води	farvand
води	føring
води	bly
води	føre
води	lead
тогава	derefter
тогава	så
голям	large
голям	store
голям	stor
голям	stort
голям	big
голям	store
голям	stor
голям	stort
род	slægter
род	slægt
род	rod
род	ke
род	stang
филм	movie
филм	film
филм	folie
