string	griežtas
fisiologia	fiziologija
preocupado	susirūpinęs
suspeito	įtariama
suspeito	įtartinas
suspeito	įtariamieji
suspeito	įtariamasis
periódicos	periodiškai
unida	jungtinės
unida	jungtinė
socialistas	socialistai
socialistas	socialistų
pára	sustabdyti
cálculos	apskaičiavimas
cálculos	skaičiavimas
cálculos	skaičiavimus
cálculos	skaičiavimai
self	save
semelhanças	panašumų
ivo	boi
alfonso	alfonso
levante	levante
levante	levant
boom	bum
primos	pusbroliai
pasta	aplankas
sapo	dau
sapo	varlė
escondido	slepiasi
herdou	paveldėjo
ontem	vakar
judas	judas
judas	jude
portais	vartus
portais	vartai
portais	portalų
competidores	konkurentų
competidores	konkurentai
resgatar	išpirkti
doces	saldumynų
doces	saldainis
doces	sweet
doces	saldus
doces	miela
desembarque	iškrovimo
pétalas	žiedlapiai
spring	pavasario
spring	pavasaris
distinta	skiriamasis
distinta	skiriamieji
heat	karštis
heat	šiluma
heat	šiluminė
heat	šilumos
abusos	piktnaudžiavimas
abusos	netinkamo
casino	kazino
abundante	maistingos
abundante	gausus
aprendizado	mokymosi
aprendizado	mokymuisi
aprendizado	mokytis
aprendizado	mokymasis
conquistaram	užkariavo
julius	julius
materno	gimdyvių
juniores	juniors
justificação	pagrindimas
justificação	pateisinimas
willy	willy
traduzida	išversti
valério	valerius
finalista	vyr
finalista	vyresnysis
finalista	finalistas
comentar	komentaras
comentar	komentarų
comentar	komentuoti
comentar	komentarai
comentar	pastabas
comentar	pastabos
comentar	komentaruose
droga	narkotikai
droga	miltelių
negado	atmestas
negado	atmesta
balanço	balansas
realizador	direktorius
bauru	bauru
espadas	kardus
avós	seneliai
montgomery	montgomery
atacaram	užpuolė
malcolm	malcolm
vampiros	vampyrai
compatível	suderinama
ouviu	girdėjau
ouviu	klausėsi
descrições	aprašymai
consultar	konsultuotis
credibilidade	patikimumas
racial	rasinės
governar	valdančioji
queima	dega
queima	dega
queima	deginimas
queima	deginti
queima	degimo
batata	bulvės
batata	bulvių
batata	bulves
batata	bulvėms
batata	bulvės
batata	bulvių
contorno	pasienio
contorno	kontūrai
contorno	kontūras
calcular	apskaičiuoti
promotor	prokuratūra
promotor	prokuroras
desculpa	gaila
obrigações	obligacijų
obrigações	obligacijos
obrigações	įsipareigojimai
obrigações	pareiga
obrigações	įsipareigojimas
obrigações	įpareigojimas
renata	renata
truth	tiesa
truth	tiesos
impact	poveikio
reinaldo	renaud
prometeu	prometėjas
expectativas	lūkesčius
expectativas	lūkesčių
gangue	gaujos
gangue	gauja
armamento	ginklas
armamento	ginklai
armamento	ginkluotė
armamento	ginklavimuisi
armamento	ginklų
armamento	rankos
armamento	ginklai
animados	animacinis
extremos	ekstremalus
homossexual	homoseksualus
homossexual	gėjai
homossexual	gėjų
homossexual	gėjus
arqueológicos	archeologijos
espirituais	dvasinis
referendo	referendumo
referendo	referendumas
comprado	perkami
comprado	įsigytas
comprado	pirktas
comprado	nupirkti
comprado	įsigyta
comprado	nusipirko
gêmeos	dvynys
gêmeos	gemini
gêmeos	dvyniai
homossexualidade	lgbt
homossexualidade	homoseksualumas
pittsburgh	pitsburgo
comercialização	rinkodara
comercialização	prekybos
farmácia	vaistinės
farmácia	vaistinė
ruptura	plyšimas
integridade	vientisumas
integridade	vientisumą
ángel	ángel
ángel	angelas
reforçar	stiprinti
agradável	malonaus
perguntar	klausti
perguntar	paprašyti
libertado	išlaisvinta
libertado	išleistas
libertado	išlaisvinti
combatentes	kovotojai
sanção	sankcija
sanção	bausmę
sanção	bauda
sanção	bausmė
sanção	nuobauda
sanção	sankcija
emérito	emeritas
burocrata	biurokratas
temporária	laikinai
fisicamente	fiziškai
saneamento	sanitarijos
warriors	kariai
matilde	mathilde
matilde	maud
ancestrais	protėviai
forçar	force
dívidas	skolos
dívidas	skola
abs	abs
cumprimentos	linkėjimai
cumprimentos	sveikinimai
mentira	melas
amália	amalie
amália	amalia
hand	ranka
cativeiro	nelaisvėje
cativeiro	uždarasis
gênio	genijus
gênio	džinas
kriegsmarine	kriegsmarine
furacões	uraganai
forçando	priverčia
violento	smurtinių
ocultar	slėpti
ortografia	rašybos
brooks	bruksas
extreme	ekstremalus
habitada	apgyvendintas
manobra	manevrą
isolada	izoliuota
fungo	grybas
fungo	grybai
adeus	atsisveikinimo
astro	astro
pia	pia
pia	užimtumą
maya	maja
asteraceae	asteraceae
oceania	okeanijos
preferencialmente	pageidautina
escrevi	parašiau
escrevi	parašė
escrevi	rašė
veneno	nuodai
conservadores	konservatoriai
conservadores	konservatorių
vidal	vidal
ulmer	ulmer
montado	surinktas
montado	surinkti
montado	surenkamos
montado	surinktos
consultor	konsultantas
consultor	patarėjas
consultor	patarėja
curvas	kreivės
cardíaco	širdies
televisa	televisa
rush	rush
bacon	kumpis
tel	tel
seio	krūtų
seio	krūties
jerônimo	jerome
clássicas	klasikinio
utc+	utc+
garotos	berniukai
caldeira	kaldera
caldeira	katilas
dedo	pirštas
dedo	pirštą
prosperidade	klestėjimas
prosperidade	gerovės
prosperidade	gerovė
fisher	fišeris
toyota	toyota
burton	burton
literários	literatūros
desconhecidos	svetimi
académica	akademinių
autônoma	savarankiška
concert	koncerto
concert	koncertas
aquáticos	vandens
revelando	atskleidžia
cabos	kabeliai
cabos	laidai
cabos	kabeliai
cabos	kabelių
adão	adamas
eterna	amžina
versa	versa
castelos	pilys
mann	mann
vetor	vektorius
transmite	perduoda
eusébio	euzebijus
dramático	dramatiška
mouros	maurai
egípcios	egiptiečiai
egípcios	egiptas
egípcios	egipto
czar	caras
perfect	tobulos
perfect	tobulas
perfect	tobula
titãs	titanai
instalados	įdiegti
instalados	įdiegtas
instalados	įdiegta
urbanização	urbanizacija
isolado	izoliuoti
isolado	izoliacija
isolado	izoliuota
isolado	izoliuotas
isolado	izoliuota
tolerância	tolerancija
tolerância	tolerancijos
emoção	emocija
emoção	emocijos
emoção	įtampa
newman	newman
comunhão	komunija
quest	žygis
amantes	mylėtojai
colónias	kolonijos
colónias	kolonijų
convencionais	įprastinis
pioneira	pioneer
manchas	dėmes
manchas	erdvę
mikhail	michailas
ídolos	idol
federico	federico
everything	viskuo
everything	visko
everything	viską
everything	viskas
capas	rankovių
capas	apima
feel	jaustis
assassinos	žudikai
assassinos	meistrų
escada	kopėčios
escada	kils
escada	laiptai
escada	laiptų
escada	laiptai
crioulo	kreolų
fiat	fiat
borboleta	drugelis
temple	šventyklą
indian	indas
indian	indijos
cavernas	olas
seine	seine
voluntário	savanorišką
diálogos	dialogai
diálogos	dialogas
diálogos	dialogo
diálogos	dialogai
diálogos	dialogus
pano	audinys
pano	rpg
giorgio	giorgio
fúria	fury
fúria	pyktis
fúria	rūstybė
fúria	pykčio
ricas	turtingas
interações	sąveika
mascote	talismanas
judô	dziudo
fitas	ribbon
freqüência	dažnumas
freqüência	dažnis
ritmos	ritmai
springs	spyruoklės
biológicas	biologinė
primitivo	primal
comissões	komitetai
gala	gala
montar	australija
roxo	violetinė
lucros	pelnas
lucros	pelno
teatros	teatre
comercialmente	komerciškai
falava	kalbėjo
intermediário	tarpininkas
moldávia	kreditoriai
moldávia	moldovos
beck	bek
ressurreição	prisikėlimo
egipto	egipte
egipto	egipto
egipto	egiptas
ferimentos	sužalojimai
ferimentos	žaizdos
treinado	apmokyti
emitido	išmestas
chumbo	švino
germânica	germanų
skate	raja
despertar	pabudimas
dino	dino
coca	kokso
coca	koksas
coca	coca
bicicleta	dviračiu
bicicleta	dviratis
bicicleta	dviratis
bicicleta	dviračio
bicicleta	dviračių
estratégico	strateginiai
cazaquistão	kazachstano
cazaquistão	kazachstanas
mitos	mitai
mitos	mitas
guillermo	guillermo
sinceramente	nuoširdžiai
sinceramente	atvirai
stock	atsargų
educacionais	švietimo
requerido	atsakovas
requerido	atsakovo
mônaco	monako
terrorista	teroristų
terrorista	teroristai
interessantes	įdomu
interessantes	įdomus
latinos	latino
garagem	garažas
aldo	aldo
herzegovina	hercegovina
valencia	valensijos
maré	potvynių
cooperativa	kooperatyvas
georgia	gruzija
georgia	gruzijos
critica	esminė
snow	sniegas
snow	sniego
consórcio	konsorciumo
consórcio	konsorciumas
câmbio	keitimosi
câmbio	mainai
cerimónia	ceremonijoje
cerimónia	ceremonijos
cerimónia	ceremonija
eco	eco
eco	aidas
regatas	regatas
vândalos	vandalai
klaus	klaus
consciente	sąmoningo
colisão	susidūrimas
colisão	susidūrimo
colisão	kolizijos
vita	vita
comemorar	švęsti
imaginação	vaizduotę
dresden	dresden
justiniano	justinianas
brilhantes	nuostabusis
brilhantes	šviesus
brilhantes	šviesi
testemunho	diplomas
simulação	modeliavimas
guerrilha	partizanams
guerrilha	partizanų
janet	sudomino
baterias	baterijų
baterias	akumuliatoriai
baterias	baterijos
roubo	vagystės
roubo	apiplėšimas
roubo	vagystės
roubo	vogti
boot	įkrovos
bradley	bradley
dose	dozė
ardenas	ardėnai
parcela	kreivės
parcela	sklypas
pneus	padangos
pneus	padangas
pneus	padanga
pneus	padangos
tres	tres
enzima	fermentų
enzima	fermentas
motivação	motyvacija
fantasmas	vaiduoklis
fantasmas	vaiduokliai
nacionalismo	nacionalizmas
secos	sausa
secos	sausas
secos	sausos
secos	džiovintas
secos	išdžiovinti
secos	džiovinta
maçonaria	mūro
bosque	grove
bosque	miškas
bosque	miško
bosque	miškas
emilio	emilio
birmingham	birmingham
andes	andai
pérsia	persija
veteranos	veteranų
subsidiária	dukterinė
ressonância	rezonanso
maldição	prakeiksmas
transferir	atsiųsti
vaca	karvės
vaca	karvė
vaca	ku
vara	rodai
cartago	kartagina
sofrem	kenčia
produtividade	našumas
produtividade	produktyvumas
instabilidade	nestabilumas
partidários	rėmėjų
vergonha	gėda
verdadeiramente	tikrai
sólida	kietu
sólida	tvirtas
dorothy	doroti
poços	wells
novidade	naujovė
piada	pokštas
despedida	atsisveikinimo
observando	stebi
adoração	maldos
ortiz	ortiz
exato	tikslios
exato	tikslūs
tumba	kapas
dançar	šokio
dançar	šoka
dançar	šokiai
dançar	šokis
dançar	šokti
audição	nusifilmuoti
audição	klausos
audição	klausymas
peste	kenkėjų
peste	maras
mera	mera
étnicos	etninės
joy	džiaugsmas
joy	džiaugsmo
descobriram	atrado
descobriram	aptikta
sobrevivente	našlių
otomanos	osmanų
zeppelin	zeppelin
jungle	džiunglės
coburgo	coburg
trazido	atnešė
bahá	baha
granito	granitas
controvérsias	nesutarimų
misto	sumaišyti
barata	pigiai
barata	pigūs
barata	pigus
barata	pigios
barata	pigu
negociar	derėtis
doug	dagas
úmido	drėgnas
astronauta	astronautas
mick	mikai
visualização	vizualizacijos
falls	krenta
oceanos	vandenynų
oceanos	vandenynai
oceanos	vandenynas
danças	šoka
barriga	pilvo
barriga	pilvas
platão	plato
maximiliano	maximilian
garganta	gerklės
blumenau	blumenau
apaixonada	aistringas
word	žodžiai
burns	dega
conhecia	žinojo
condutor	vairuotojo
condutor	mašinistas
condutor	vairuotojas
estudado	tiriamas
homenageado	pagerbtas
inovações	naujovės
inovações	naujovė
inovações	naujovės
alicia	alicija
integrando	integruoti
calibre	kalibro
faraó	faraonas
calçada	šaligatvio
beber	geria
beber	gert
beber	gėrimas
beber	gerti
shin	shin
jacinto	jacinto
cego	aklas
cego	aklai
cego	akla
cego	aklu
guadalupe	gvadalupė
guadalupe	gvadelupa
inside	viduje
salgueiro	willow
obrigatória	privalomi
obrigatória	privalomas
bowie	bowie
raúl	raúl
guns	ginklus
guns	ginklų
guns	ginklai
nation	tauta
óculos	akiniai
perspectivas	perspektyvas
perspectivas	perspektyvos
celebrar	švęsti
bossa	bossa
prefácio	pratarmė
detecção	aptikimas
detecção	aptikimo
vocabulário	žodyno
vocabulário	žodynas
doom	doom
wide	platus
fórmulas	formulės
fórmulas	formules
condenados	nuteistas
condenados	pasmerktas
wrestlemania	wrestlemania
cox	cox
arménia	armėnų
arménia	armėnijos
arménia	armėnija
ângulos	kampai
belle	belle
toulouse	tulūzos
cercado	aptvertos
cercado	apsupti
mystery	marijos
mystery	paslaptis
celebrado	švenčiama
klein	klein
orquídeas	orchidėja
orquídeas	orchidėjos
fadas	fėjos
soja	sojos
soja	sojų
beethoven	bethoveno
bosco	bosco
falsos	suvaidinta
falsos	klaidingai
falsos	netikra
falsos	netikras
cruzes	esančiuose
cruzes	kerta
revolucionários	revoliucinė
anatólia	anatolijos
correa	correa
formosa	taivano
formosa	formosa
senegal	senegalas
acreditando	manyti
húngara	vengrijos
champion	čempionas
hey	ei
hey	labas
hey	sveikas
apontar	siekiama
vivido	gyveno
vivido	gyvenau
moderada	vidutinis
aprendiz	mokinys
arkansas	arkanzaso
luciana	luciana
somália	somalio
blair	blair
telefonia	telefonijos
paralela	lygiagrečiai
weimar	weimar
juramento	priesaika
amazon	amazon
cyrus	cyrus
princess	princesė
princess	princese
princess	princesės
marcantes	įspūdingų
proporcional	proporcinga
proporcional	proporcingas
proporcional	proporcingos
alfabetização	raštingumo
diversão	smagu
diversão	smagiai
diversão	linksma
diversão	linksmai
ciclones	ciklonai
riaa	riaa
forçados	priverstinis
amores	dievina
amores	mėgsta
amores	myli
sobreviveram	išgyveno
mali	malio
mali	mali
maturidade	terminas
paralelos	lygiagrečiai
lionel	lionel
bertrand	bertrand
materna	gimdyvių
atribuições	uždaviniai
atribuições	užduotys
orações	maldos
orações	maldas
dependências	priklausomybė
dependências	priklausomybės
dependências	priklausomybių
dependências	priklausomybės
westminster	vestminsterio
chen	čen
batida	nugalėti
tampa	dangčiu
tampa	tampos
fazendeiro	ūkininkas
incêndios	gaisrai
incêndios	gaisrų
zoológico	zoo
distinto	skiriamasis
distinto	skiriamieji
moderado	vidutinis
musa	musa
musa	mūza
marilyn	marilyn
marinhos	jūrų
marinhos	jūrinė
vôo	skrydžio
vôo	skrydis
camboja	kambodžos
camboja	kambodža
clay	molis
clay	molio
eclipse	eclipse
módulos	moduliai
unix	unix
altitudes	aukščius
borba	borba
acalypha	šeriuotoji
conclusões	išvados
legítimo	teisėtų
legítimo	teisėta
legítimo	teisėti
midnight	vidurnakčio
traje	kostiumas
satisfação	pasitenkinimo
satisfação	pasitenkinimas
tempestades	audros
tempestades	audrų
estônia	estijos
estônia	estija
guardião	laikytojas
guardião	globėjas
imparcialidade	nešališkumas
imparcialidade	nešališkumo
mobilidade	mobilumo
mobilidade	mobilumas
encenação	sustojimo
quedas	krenta
apolo	apollo
rali	ralio
lourdes	lourdes
won	laimėjo
alliance	aljanso
filtros	filtras
filtros	filtruoti
filtros	filtrai
volkswagen	volkswagen
rápidos	rapids
públio	publius
dai	dai
monica	monika
leões	liūtai
geológica	geologinio
renal	inkstai
dominação	dominavimo
dominação	dominavimo
vhs	vhs
funcionando	darbingo
funcionando	darbo
grove	grove
baleia	banginis
rancho	rancho
rancho	rančą
nebulosa	ūkas
coalizão	koalicijos
coalizão	koalicija
lois	luis
promessas	pažadai
promessas	pažadų
idosos	abiturientai
especulações	spekuliacija
especulações	spekuliacijos
decisivo	lemiamas
griffin	grifinas
dana	dana
corredores	koridoriai
corredores	koridorių
corredores	koridorius
corredores	bėgikai
corredores	sales
glasgow	glasgow
nazi	nacių
casca	žievė
casca	žievės
casca	shell
casca	apvalkalas
casca	žievelės
compras	pirkimai
compras	pirkimas
compras	pirkimo
compras	apsipirkti
desaparecido	dingo
stones	akmenų
stones	akmenys
pádua	padua
gerald	džeraldas
rocky	rokis
gentil	švelnios
gentil	švelnus
gentil	švelni
mentor	apmokymą
ártico	arkties
eve	ieva
mate	mate
mate	nužudyti
excelentes	puikiai
excelentes	puiki
excelentes	puikų
excelentes	puikaus
excelentes	puikus
respeitar	pagarba
convenceu	įtikino
óptica	optika
guarulhos	guaruljosas
carrega	paims
detentor	laikytojas
detentor	turėtojas
pastores	piemenys
pastores	pastorių
invisível	nematomas
trinidad	trinidadas
anselmo	anselmo
anselmo	anselm
che	che
renascença	renesanso
ego	ego
cardíaca	širdies
bundesliga	bundesliga
jordânia	jordan
jordânia	jordanija
jordânia	jordanijos
moniz	moniz
bernardino	bernardino
idades	amžiaus
íons	jonų
feriados	šventės
friburgo	freiburg
holocausto	holokausto
morrendo	mirti
morrendo	miršta
sexualidade	seksualumo
porter	porter
simpatia	užuojautą
intercâmbio	mainų
intercâmbio	keitimosi
intercâmbio	mainai
mvp	mvp
cheiro	kvapas
cheiro	kvapą
cheiro	kvapas
compressão	spaudimą
submarinos	povandeninis
fios	vielos
fios	laido
fios	viela
fios	gijos
fios	verpalai
fios	siūlai
fios	vielų
yale	yale
cartaz	billboard
cartaz	plakatas
wonder	įdomu
erva	žolių
erva	herbas
erva	žole
erva	žolė
erva	žolės
erva	žolė
erva	žolės
expulsos	išmestas
álgebra	algebra
diamantes	deimantas
diamantes	deimantai
diamantes	deimantų
nine	devyni
sócrates	socrates
serrano	serrano
márcia	marcia
nashville	nešvilio
discute	aptaria
apóstolo	apaštalo
trailer	priekabos
trailer	priekabų
trailer	priekaba
berry	uoga
android	android
limpa	švarus
limpa	švari
mandioca	manijokai
sólidos	kietu
sólidos	tvirtas
míssil	raketa
míssil	raketų
lynn	lynn
fertilidade	vaisingumo
enzimas	fermentai
enzimas	fermentų
enzimas	fermentas
propulsão	varymo
propagação	dauginimo
ingredientes	ingredientas
ingredientes	ingredientų
ingredientes	ingredientai
muçulmano	musulmonų
batendo	griūna
comemorações	šventės
varzim	varzim
aliada	sąjungininkas
angélica	angelica
mágicos	magai
mágicos	stebuklingas
mágicos	stebuklinga
impactos	poveikio
berg	berg
arbitragem	arbitražo
arbitragem	arbitražo
balão	balionas
balão	baliono
poeira	dulkes
poeira	dulkės
poeira	dulkių
minerva	minerva
carreiras	karjerai
carreiras	karjera
carreiras	karjeros
moldes	pelėsių
moldes	pelėsiai
suspeitas	įtartinas
rebecca	rebecca
protege	apsaugoti
califado	kalifatas
aguda	ūmaus
aguda	ūminis
gripe	gripas
gripe	gripo
gripe	gripas
leopoldina	leopoldina
operou	valdomi
susana	susana
susana	susanna
susana	siuzana
ride	ri
castillo	castillo
surpreendente	stebina
surpreendente	stebina
osório	osório
fechados	uždaryta
fechados	uždara
óperas	opera
draper	draper
ensina	išmokyti
ensina	moko
lâmina	blade
lil	lil
privacidade	privatumas
privacidade	privatumo
suzuki	suzuki
restaurada	atkurtas
restaurada	atkuriama
restaurada	atkurta
seqüência	seka
fraternidade	brolija
fraternidade	brolijos
fraternidade	brolija
fumaça	dūmai
fumaça	dūmų
ajudante	padėjėjas
ajudante	pagalbininkas
engraçado	juokinga
forçou	priverstinis
animation	animacija
predadores	plėšrūnų
theodore	teodoras
alvorada	aušra
alvorada	aušros
legalmente	teisiškai
legalmente	teisėtai
orgânicos	ekologinio
dionísio	dioniso
assessor	patarėjas
assessor	patarėja
jet	jet
densa	tankus
secular	pasaulietinės
sharon	šeron
nacionalistas	nacionalistinių
nacionalistas	nacionalistai
legiões	legionus
elliott	eliotas
peer	dalyvis
sturm	sturm
fbi	ftb
esgoto	kanalizacijos
corações	širdys
ido	dingo
ido	ido
rod	rodai
faith	tikėjimą
dispersão	dispersija
assistido	stebėjo
andre	andre
aproximada	apytikslis
teóricos	teoretikai
rafa	rafai
rafa	rafa
modernismo	modernizmas
zhang	zhang
rodriguez	rodriguez
informal	neoficialus
informal	laisvai
controversa	ginčytinas
canoas	kanojos
rapazes	berniukai
acusados	kaltina
aquino	aquino
aquino	akvinietis
formatação	formatavimo
elefante	dramblys
dançarina	šokėja
buracos	skylių
maxwell	maxwell
coloniais	kolonijinės
hook	kablys
ventura	ventura
barba	barzda
hbo	hbo
comentarista	komentatorius
ilusão	iliuzija
pressões	spaudimu
pressões	slėgis
pressões	slėgis
pressões	slėgio
bon	bon
investir	investavimas
investir	investuoti
autorizado	įgaliotasis
puramente	grynai
doou	dovanojo
caminhões	sunkvežimiai
caminhões	sunkvežimiai
caminhões	sunkvežimių
nhl	nhl
enfrentando	susiduria
tobias	tobias
ofensivo	puolimas
enfermagem	slaugos
sexy	seksualus
bruxas	raganos
atacando	puola
anunciar	reklamuoti
thor	toras
desemprego	nedarbas
desemprego	nedarbo
pistola	pistoletas
pistola	pistoletas
pistola	ginklą
pistola	ginklas
ingresso	bilietas
ingresso	bilietų
ingresso	bilieto
líquidos	grynasis
líquidos	grynoji
líquidos	grynosios
líquidos	grynieji
líquidos	skysčius
líquidos	skysčiai
líquidos	skystis
líquidos	skystas
nora	nora
atrai	traukia
rousseff	rousseff
conforto	komforto
conforto	paguodos
operadora	vežėjas
convencido	įsitikinęs
souto	souto
desejava	norėjo
sobe	lipti
madrinha	rolę
degradação	skilimo
degradação	skilimas
degradação	skaidymas
combustão	deginimas
combustão	degimo
ney	ney
répteis	roplių
répteis	ropliai
urânio	uranas
urânio	urano
damasco	damaskas
panda	panda
reunindo	rinkti
influenciar	įtaka
realizações	pasiekimai
realizações	pasiekimų
realizações	pasiekimus
realizações	laimėjimai
cume	ridge
cereais	grūdų
cereais	grūdai
cereais	grūdų
cereais	javai
cereais	grūdai
cereais	grūdų
cereais	javai
cereais	grūdai
budista	budistų
cronista	metraštininkas
morales	morales
pomerânia	pamario
aperfeiçoamento	gerinimo
aperfeiçoamento	pagerėjimas
genealogia	genealogija
forum	forumas
forum	forum
flying	skrenda
flying	skraidyti
honras	pagyrimu
recriação	poilsis
fóssil	iškastinio
periferia	pakraštys
clínicas	klinikų
berço	lopšys
robson	robson
prejuízo	traumos
prejuízo	žala
prejuízo	trauma
prejuízo	žalos
prejuízo	sužalojimas
diaz	diaz
favela	lūšnyno
fera	žvėris
bel	bel
ellis	elis
crises	krizių
crises	krizė
crises	krizės
metas	tikslai
metas	tikslų
metas	taikiniai
revoltas	riaušės
revoltas	sukilimus
revoltas	maištus
administrar	daromi
alcunha	slapyvardis
cher	cher
resistente	atsparus
resistente	atsparių
responsabilidades	atsakomybė
responsabilidades	pareigos
responsabilidades	įsipareigojimai
grito	rėkti
baptiste	baptiste
cobrança	sąskaitos
manobras	manevrus
hansen	hansen
lavagem	nuplauti
lavagem	plauti
lavagem	plauti
lavagem	plovimas
lavagem	skalbimo
superando	įveikti
cal	kalkių
cal	kalkės
gaza	gazos
estimular	stimuliuoti
tratamentos	gydymas
sírio	sirijos
agressão	puolimą
agressão	užpuolimas
agressão	agresijos
agressão	agresija
dínamo	dinamo
rihanna	rihanna
guru	guru
mago	vedlys
mago	burtininkas
mago	mage
mago	magas
culpado	atliktų
rainbow	rainbow
elisa	elisa
artefatos	artefaktas
integrados	integruotos
integrados	integruota
amada	mylimas
amada	mylėjo
amada	mylima
amada	mylimas
alcança	pasiekia
sábados	šeštadieniais
sábados	šeštadienį
sábados	šeštadienis
atari	atari
gomez	gomez
ferrovias	geležinkeliai
protetor	apsauginis
wings	sparnai
wings	sparnus
doo	dū
burke	burke
lily	lily
gate	vartų
gate	vartai
suprimentos	atsargų
espn	espn
civilizações	civilizacijos
capcom	capcom
pecados	nuodėmes
biológico	biologinė
ecológico	ekologinė
condenação	pasmerkimo
condenação	įsitikinimas
condenação	pažiūrų
alien	ateivių
perguntou	paprašė
habsburgo	habsburg
buffalo	buivolo
lambert	lambert
destruindo	naikina
classificações	reitingais
classificações	reitingų
classificações	reitingai
classificações	klasifikacijas
olivia	olivija
malha	megzti
fear	baimė
fear	baime
fear	baimės
desaparece	dingsta
