din	출신
care	who
care	어느
mai	기타
lui	그의
sit	사이트
lea	리아
lea	레아
prin	통해
regiunea	지방
regiunea	지역
mare	바다
anul	year
anul	연도
externe	외부
locuitori	레지던트
locuitori	주민들
legături	링크
legături	커넥션
legături	연결
dar	그런데
dar	그러나
dar	근데
dar	하지만
cod	코드
cod	부호
cod	대구
populație	인구순
populație	인구
bucurești	부쿠레슈티
românia	루마니아
românia	루마니아인
românia	루마니아어
jpg	jpeg
jpg	jpg
lista	리스트
lista	목록
lista	명단
ucraina	우크라이나
nume	이름
ani	수년
poate	아마도
poate	아마
poate	아마도
poate	아마
două	두두
două	두분
alte	기타
alte	다른
când	언제쯤
când	언제
regiune	지방
regiune	지역
anii	수년
parte	부분
parte	부품
parte	파트
centura	벨트
dinastia	왕조
septembrie	구월
timp	시간
timp	타임
timp	time
despre	소개
despre	대략
unde	어디서
unde	어디
unde	어디에
unde	어디로
majoritatea	대부분의
majoritatea	대부분
majoritatea	다수
densitate	밀도
limbă	언어
multe	많은
prima	우선
prima	퍼스트
prima	처음
prima	먼저
august	아우구스트
sat	빌리지
sat	마을
sat	sat
martie	행진
martie	행진곡
biserica	교회
fișier	파일
toate	모두
toate	전체
ianuarie	일월
adresă	주소
cum	어떻게
imagine	사진
imagine	그림
imagine	그림
imagine	이미지
statul	상태
statul	국가
lor	그들의
familia	가족
familia	가족과
familia	패밀리
numele	이름
timpul	시간
timpul	타임
timpul	time
nord	북부
nord	북쪽
nord	노스
principală	메인
sud	남부
sud	사우스
sud	남쪽
aprilie	에이프릴
aprilie	사월
loc	장소
primul	우선
primul	퍼스트
primul	처음
primul	먼저
doar	단발
doar	오직
doar	단지
doar	그냥
editura	출판사
editura	퍼블리셔
editura	출판
asteroid	소행성
recensământului	인구조사
listă	리스트
listă	목록
listă	명단
asteroizi	소행성
limba	언어
discuție	토론
discuție	논의
franța	프랑스
partea	부분
partea	부품
partea	파트
mult	많이
mult	훨씬
fără	without
departamentul	부서
foarte	아주
foarte	매우
raionul	통로
raionul	통로로
data	날짜
data	데이트
data	자료
data	데이터
departament	부서
unul	하나
apoi	그렇다면
apoi	그러면
apoi	그때
grup	그룹
grup	집단
locul	장소
oraș	시내
oraș	도시
oraș	타운
oraș	마을
oraș	도시
oraș	시티
camp	캠프
germania	독일
face	make
satul	빌리지
satul	마을
național	국립
național	내셔널
național	국민
note	노트
perioada	기간
perioada	시대
perioada	주기
minoritate	소수
ucraineană	우크라이나
ucraineană	우크라이나어
cadrul	프레임워크
general	장군
general	일반
general	일반인
război	전쟁
română	루마니아
română	루마니아인
română	루마니아어
află	배운다
află	배워
început	시작되었습니다
început	시작했습니다
început	시작됨
duce	공작
duce	듀크
român	루마니아
român	루마니아인
român	루마니아어
existând	존재
existând	기존
vedere	조회
vedere	보기
wikipedia	위키백과의
wikipedia	위키백과
specie	종족
punct	dot
punct	지점
punct	포인트
stat	상태
stat	국가
unite	united
unite	유나이티드
moldova	몰도바
atunci	그렇다면
atunci	그러면
atunci	그때
secolul	세기
una	하나
aceasta	이거
life	생명
life	생활
life	라이프
life	인생
reședință	거주지
reședință	주택
reședință	레지던스
reședință	주택지
orașul	도시
orașul	시티
tot	모두
tot	전체
tot	아직도
tot	여전히
chiar	심지어
chiar	조차도
făcut	made
făcut	만든
cunoscute	알려진
film	영화
film	필름
film	영화
perioadă	기간
perioadă	시대
perioadă	주기
vorbitori	스피커
date	날짜
date	데이트
