eesti	ایسٹونیائی.
aastal	(موسم
aastal	مقیم
aastal	عرصے
aastal	چالو
aastal	حدود
aastal	مکان
aastal	مدعا.
aastal	ترتیب
aastal	موافق
aastal	داخل
aastal	میں.
aastal	ذیل
aastal	اندرونی
aastal	سازگار
aastal	زمان
aastal	گاڑی
aastal	ذات
aastal	(موسم
aastal	مقیم
aastal	عرصے
aastal	چالو
aastal	حدود
aastal	مکان
aastal	مدعا.
aastal	ترتیب
aastal	موافق
aastal	داخل
aastal	میں.
aastal	در
aastal	ذیل
aastal	اندرونی
aastal	سازگار
aastal	اندر
aastal	زمان
aastal	گاڑی
aastal	ذات
mis	جوبھی
mis	کتنا
mis	جسے
mis	جس
mis	کسے
mis	کس
kui	حالانکہ
kui	تب
kui	حالانکہ
kui	جب
kui	تب
kui	چاہے
kui	اگرچہ.
kui	اگرچہ
kui	شرط
kui	خواہ.
kui	بالفرض
kui	لوازم.
või	خوشامد
või	چاپلوسی.
või	لیکن
aasta	زمانہ
aasta	برس
see	حال
see	قریبی
see	اس
see	اتنا
see	اتنا.
see	بہت.
see	عمل
oma	مخصوص-
oma	امتیازی
oma	مخصوص-
oma	ماننا
oma	امتیازی
selle	حال
selle	قریبی
selle	اس
selle	اتنا
kuid	سوائے
kuid	بغیر
kuid	اگرچہ
kuid	بس
kuid	صرف
kuid	حجّت
kuid	علاوہ
kuid	اعتراض
kuid	سوائے
kuid	بغیر
kuid	اگرچہ
kuid	بس
kuid	صرف
kuid	حجّت
kuid	لیکن
kuid	علاوہ
kuid	اعتراض
kes	جنھیں
kes	جسے
kes	جنھیں
kes	جو
kes	جسے
seda	حال
seda	قریبی
seda	اس
seda	اتنا
seda	اتنا.
seda	بہت.
seda	عمل
aga	سوائے
aga	بغیر
aga	اگرچہ
aga	بس
aga	صرف
aga	حجّت
aga	علاوہ
aga	اعتراض
aga	سوائے
aga	بغیر
aga	اگرچہ
aga	بس
aga	صرف
aga	حجّت
aga	لیکن
aga	علاوہ
aga	اعتراض
pärast	اتباع
pärast	نسبت
pärast	پیچھے
pärast	بابت
pärast	گوکہ
pärast	حالانکہ
pärast	فروتر
pärast	متعاقب
pärast	مابعد
pärast	اتباع
pärast	نسبت
pärast	پیچھے
pärast	بابت
pärast	گوکہ
pärast	حالانکہ
pärast	فروتر
pärast	متعاقب
pärast	بعد
pärast	مابعد
kus	جدھر
kus	کدھر
kus	جدھر
kus	کدھر
kus	جہاں
välja	(داغ
välja	ہرادینا.
välja	ظاہر-
välja	ڈانٹ
välja	(آگ
välja	معروف-
välja	نیل
välja	لاموجود
välja	دور
välja	(داغ
välja	ہرادینا.
välja	ظاہر-
välja	ڈانٹ
välja	(آگ
välja	معروف-
välja	نیل
välja	لاموجود
välja	دور
välja	باہر
ehk	شاید
nii	ایسا
nii	پھر
üle	بیش
üle	بالا-
üle	اوپر
üle	قبضہ
üle	ختم
üle	مزید
üle	اضافی.
üle	زائد
üle	بیرونی.
üle	برتر.
üle	لیٹنے
üle	افضل
üle	بعبور
saksa	(brother
saksa	سوتیلا
saksa	sister
mida	جوبھی
mida	کتنا
inglise	انگلستانی
inglise	انگریزی
inglise	انگلستانی
vaata	پانا
vaata	شاہد
vaata	ناظر
vaata	سوچنا
vaata	ملنا
vaata	نگہبانی
vaata	چوکسی.
vaata	طالب
vaata	بشرہ.
vaata	تحقیق
vaata	وضع.
vaata	جانچنا.
vaata	تفتیش
vaata	گھورنا
vaata	رنگ
vaata	نظر
vaata	طالب
vaata	بشرہ.
vaata	تحقیق
vaata	وضع.
vaata	جانچنا.
vaata	تفتیش
vaata	گھورنا
üks	ایک.
üks	شراب-
üks	وحدت-
üks	واحد-
üks	اکائی
ajal	عرصے
ajal	اثنا
ajal	عرصے
järgi	سمجھنا
järgi	رفتار
järgi	بوجھنا.
nad	she
nad	انسان
nad	وہ
nad	she
nad	انسان
vastu	خلاف
vald	بلدیہ
alates	ابتدا
alates	سبب
alates	وجہ
alates	جگہ
alates	مقصد
alates	اصل
alates	فریسندہ
alates	مترادف
alates	از
alates	ابتدا
alates	سبب
alates	وجہ
alates	جگہ
alates	مقصد
alates	سے
alates	اصل
alates	فریسندہ
alates	مترادف
koos	مخاصمت
koos	وصف
koos	مقابلہ.
koos	نااتفاقی
koos	رشتہ.
koos	مخاصمت
koos	وصف
koos	مقابلہ.
koos	نااتفاقی
koos	رشتہ.
koos	سے
koos	لگاتار
koos	ملاکر
koos	مربوط.
koos	منضبط
koos	باہم
koos	لگاتار
koos	ملاکر
koos	مربوط.
koos	منضبط
sündinud	پیدا
sündinud	پیدا
sündinud	زائیدہ
august	محترم
august	گرامی
kohta	اکثربعدہ
kohta	برسرعمل-
kohta	فوراً
kohta	قریب
kohta	پاس
kohta	ڈھاپتے
kohta	ہمدست
kohta	آگے
kohta	دراثنا
kohta	محور
kohta	موجود-
kohta	اکثربعدہ
kohta	برسرعمل-
kohta	فوراً
kohta	قریب
kohta	پاس
kohta	پر
kohta	ڈھاپتے
kohta	ہمدست
kohta	آگے
kohta	دراثنا
kohta	محور
kohta	موجود-
poolt	بجانب
poolt	تدریجاً
poolt	جونہی
poolt	متواتر
poolt	برابر
poolt	بمعیار
poolt	اتنا
poolt	بمطابق
poolt	محاذی
poolt	ذریعے
poolt	نزدیک
poolt	براہِ
esimene	البتہ
esimene	مقدم
esimene	مرتبے
esimene	بیّن
esimene	سبقت
esimene	بنیادی
esimene	سابق
esimene	ترجیحاً
esimene	اسبق
esimene	مقام
nagu	جونسا
nagu	خصوصیت
nagu	جواب
nagu	جوڑ
nagu	غالباً
nagu	یعنی
nagu	بدل
nagu	طور
nagu	مثل
nagu	مائل
nagu	آمادہ
nagu	خصوصیت
nagu	جواب
nagu	جوڑ
nagu	غالباً
nagu	یعنی
nagu	بدل
nagu	طور
nagu	مثل
nagu	طرح
nagu	مائل
nagu	آمادہ
kaks	ii
kaks	ii)
saab	canned
saab	سنڈاس.
umbes	گرداگرد
umbes	مصروف
umbes	متواتر
umbes	لگاتار
umbes	(الف)درمیان
umbes	گرداگرد
umbes	مصروف
umbes	متواتر
umbes	لگاتار
umbes	(الف)درمیان
umbes	نزدیک
liidu	اتفاق
liidu	اتحاد
liidu	ملاپ
liidu	شادی
küla	موضع
küla	دیہاتی.
küla	دیہہ
küla	موضع
küla	دیہاتی.
samuti	نیز
samuti	نیز
samuti	بھی
linn	بلدیہ
olla	زندہ
olla	امکان
linna	بلدیہ
all	نچلا
all	معمولی
all	زیریں.
all	نچلا
all	زیر
all	معمولی
all	زیریں.
all	تلے
väga	یہی
väga	اصلی
väga	اہمیت
väga	بالکل
väga	this
väga	خالص-
väga	حقیقی
väga	بہت
väga	عین
neid	وہ.
neid	بجائے.
kõik	انتہائ
kõik	حتمی
kõik	بالکل
kõik	ازبس
kõik	سارے
kõik	انتہائی-
kõik	کسی
kõik	بہت
kõik	کانپتا
kõik	انتہائ
kõik	حتمی
kõik	بالکل
kõik	ازبس
kõik	سارے
kõik	انتہائی-
kõik	کسی
kõik	بہت
kõik	تمام
kõik	کانپتا
nime	معروف.
nime	شہرت
nime	افکار
nime	بتانا
nime	جگہ
nime	دینا.
ainult	واحد
ainult	محض-
ainult	ابھی
ainult	صرف
ainult	اکیلا-
ainult	واحد
ainult	محض-
ainult	تنہا
ainult	ابھی
ainult	صرف
ainult	اکیلا-
ainult	فقط
sest	چونکہ
pilt	نقش
pilt	خاکہ
pilt	خیال.
pilt	چربہ
pilt	شبیہہ.
kuna	چونکہ
põhja	شمالی
kell	ساعت.
kell	چوٹ
kell	چانٹا
kell	ساعت.
kell	چوٹ
kell	چانٹا
kell	گھڑی
kell	گھنٹہ
läbi	تا
läbi	آرپار.
läbi	تک
läbi	بشمول
jaanuar	جنوری.
kokku	قطعی
alla	پَستی
alla	پتلی
alla	زیر
alla	ہمراہ
alla	باریک
alla	کھلی
alla	پسماندہ
alla	پست
alla	پَستی
alla	پتلی
alla	زیر
alla	ہمراہ
alla	باریک
alla	کھلی
alla	پسماندہ
seal	توثیق
seal	توثیق
seal	وہاں
kogu	ڈھیر
kogu	بٹورنا
prantsuse	بری
prantsuse	سوئزرلینڈ
tagasi	سابقہ
tagasi	پچھلا
tagasi	دھکیلنا
tagasi	سابقہ
tagasi	پچھلا
tagasi	دھکیلنا
tagasi	کمر
enne	بجائے
enne	مقدّم
enne	آگے
enne	بجائے
enne	پیشتر
enne	مقدّم
lääne	مغربی
mai	بہار
mai	جوانی.
mai	مئی.
näitleja	اداکارہ.
näitleja	اداکار؛ناٹک
kas	دونوں
liige	عضو.
liige	ضلع.
liige	ٹکڑا
suur	ضخیم
suur	مفصّل
suur	جامع.
suur	بڑا
suur	ضخیم
suur	مفصّل
suur	جامع.
suur	مقدار
suur	اہم
suur	حاملہ
suur	نمایاں
palju	متعدد
palju	کئی
palju	متعدد
palju	ممتاز.
palju	اتنا
palju	how
palju	پانسہ
palju	قسمت
palju	مقسوم.
palju	تقدیر
palju	پانسہ
palju	قسمت
palju	مقسوم.
märts	off
märts	لمبی
märts	رفتار
märts	on
märts	روانی
september	ستمبر
korda	ڈیزائن.
korda	دہرانا
korda	دہراون
kirjanik	محرر.
kirjanik	کلرک
kirjanik	راقم.
kirjanik	کاتب
kirjanik	مصنف
kirjanik	ادیب
kirjanik	محرر.
kirjanik	نویسندہ
kirjanik	کلرک
kirjanik	راقم.
kirjanik	کاتب
kirjanik	مصنف
teda	وہ
lõuna	دکھن.
lõuna	جنوبی
lõuna	جنوب
valla	اکیلا
valla	مخلص.
valla	سیدھا
valla	جریدہ
valla	سچّا
valla	متحد
valla	اکیلا
valla	ایک
valla	مخلص.
valla	سیدھا
valla	تنہا
valla	جریدہ
valla	سچّا
valla	متحد
ühe	ایک.
ühe	شراب-
ühe	وحدت-
ühe	واحد-
ühe	اکائی
oktoober	اکتوبر.
uus	اچھوتا
uus	حالیہ.
uus	نودیدہ
uus	عجیب.
uus	جدید
uus	اچھوتا
uus	حالیہ.
uus	نودیدہ
uus	اجنبی
uus	عجیب.
uus	جدید
poola	جِلاکاری.
detsember	دسمبر
november	نومبر.
teine	مماثل
teine	اضافی
teine	تعاون
teine	دوسرا
teine	اگلا
teine	مزید
teine	مماثل
teine	اضافی
teine	تعاون
teine	ثانوی
teine	دوسرا
teine	اگلا
teine	مزید
teine	مماثل
teine	دوسرا
teine	اشارہ
teine	مختلف
teine	کوئی
iga	جملہ
iga	استفہام
iga	مطلق
iga	معمولی
kirik	عبادت
kirik	کلیسا
kirik	عبادت
maa	دنیا
maa	بھٹ
maa	(الف)خشکی
maa	طین
maa	بل.
maa	پانا
maa	قوم
maa	پانی
maa	ریاست.
maa	(سواری
maa	دیس
maa	جیتنا
maa	پانا
maa	قوم
maa	پانی
maa	ریاست.
maa	(سواری
maa	دیس
maa	جیتنا
maa	زمین
tee	شارع
tee	جادہ-
võimalik	شاید
võimalik	ممکن
klubi	سونٹا.
klubi	ٹھونکنا
klubi	گروہ
klubi	سونٹا.
klubi	ٹھونکنا
klubi	ڈنڈا
klubi	گروہ
kuigi	تاہم
kuigi	گوکہ.
kuigi	اگرچہ
kuigi	تاہم
kuigi	گوکہ.
maailma	متوسط
maailma	زمانے
mõis	حویلی
rohkem	بیشتر
rohkem	مکرر
rohkem	بیشتر
rohkem	مزید
rohkem	مکرر
tavaliselt	عموماً
kolm	تگڈّم
kolm	iii
kolm	تگّی
kolm	iii
kolm	۳)
siiski	تاہم
siiski	البتہ.
tuleb	رسیدگی.
tuleb	آمد
tuleb	پہنچ
tuleb	اگلا
tuleb	رسیدگی.
tuleb	آمد
tuleb	پہنچ
tuli	روشن
tuli	نور
tuli	into
tuli	آتشزدگی
tuli	لپک
tuli	الہام
tuli	جذبہ
tuli	سوزش
tuli	روشنی
tuli	چمک
