और	dhe
से	nga
है	hai
एक	një
एक	njera
एक	nje
एक	one
श्रेणी	kategoria
श्रेणी	kategori
श्रेणी	kategorinë
श्रेणी	kategorisë
श्रेणी	seritë
श्रेणी	seria
श्रेणी	seri
श्रेणी	kategori
श्रेणी	kategoritë
भी	madje
भी	edhe
भी	gjithashtu
यह	këtë
यह	ky
यह	kjo
यह	kete
किया	bërë
किया	kry
किया	bë
इस	këtë
इस	ky
इस	kjo
इस	kete
हैं	je
हैं	janë
कि	që
कि	qe
कि	kjo
कि	se
भारत	indi
भारत	india
जो	xho
जो	joe
जो	kush
जो	kushe
ही	hee
रूप	formular
रूप	formulari
रूप	forma
रूप	formë
रूप	form
रूप	daljen
रूप	paraqitja
कर	tatimi
कर	taksat
कर	taksa
कर	taksë
कर	taksa
कर	taksat
नहीं	jo
नहीं	nuk
नहीं	jo
गया	shkuan
गया	shkoi
गया	vajti
गया	shkove
साथ	përgjatë
साथ	me
साथ	bashk
साथ	sëbashku
साथ	bashkë
साथ	bashke
साथ	sebashku
पूर्व	lindja
पूर्व	lindje
पूर्व	ish
बाद	pas
बाद	mbas
बाद	pasi
तक	derisa
तक	deri
तक	derisa
तक	deri
तक	tak
अपने	tuaj
अपने	suaj
अपने	jot
अपने	tu
अपने	juaj
अपने	jote
जिले	qarqet
था	pasur
था	kish
था	kishte
था	kishin
था	ishte
राज्य	shtetet
राज्य	shteteve
राज्य	shtete
राज्य	shtet
राज्य	shteti
राज्य	shtetit
बाहरी	outdoor
बाहरी	jashtme
बाहरी	jashtëm
कुछ	disa
कुछ	dicka
कुछ	diçka
कुछ	diqka
ईसा	jezusi
ईसा	jezus
गाँव	fshat
गाँव	fshati
सरकार	informacionet
सरकार	qeveria
सरकार	qeveri
सरकार	qeveritare
कड़ियाँ	pranga
कड़ियाँ	zinxhirë
कड़ियाँ	lidhje
कड़ियाँ	lidhjet
प्रदेश	rajon
प्रदेश	rajoni
इसके	saj
इसके	its
दिया	jepen
दिया	dhene
दिया	dhënë
दिया	dhën
दिया	dhane
दिया	dha
अन्य	tjera
अन्य	tjetër
अन्य	tjeret
अन्य	tjerë
जा	jaa
वर्ष	vjet
वर्ष	vite
वर्ष	vitet
वर्ष	viti
वर्ष	vit
समय	radhe
समय	koha
समय	kohe
समय	here
समय	ora
नाम	emri
नाम	emrin
नाम	emër
वे	ato
वे	ata
प्रकार	lloji
प्रकार	lloji
प्रकार	tip
प्रकार	llojet
प्रकार	tipe
प्रकार	lloje
भारतीय	indian
भारतीय	indiane
किसी	dikujt
किसी	dikë
किसी	dike
किसी	dikush
तहसील	tehsil
क्षेत्र	zona
क्षेत्र	zonë
क्षेत्र	rajon
क्षेत्र	rajoni
क्षेत्र	zonat
क्षेत्र	fusha
स्थित	vendoset
स्थित	gjendur
स्थित	lokalizuar
स्थित	vendosur
स्थित	ndodhet
मण्डल	zonë
मण्डल	zona
मण्डल	zone
आधिकारिक	zyrtar
आधिकारिक	official
आधिकारिक	zyrtare
कारण	arsyet
कारण	arsye
कारण	arsyje
कारण	arsyen
कारण	arsyeja
कारण	arsye
कारण	kauzë
कारण	shkaku
कारण	sepse
कारण	shkaqet
कारण	shkaqe
कारण	shkakton
जैसे	si
जैसे	psh
जैसे	sikur
जैसे	like
करता	bën
उनके	tyre
उनके	to
उनके	atyre
उनके	ato
उनके	tyre
उनके	ata
बहुत	shum
बहुत	shumë
बहुत	shume
पहले	përpara
पहले	perpara
पहले	para
पहले	ago
पहले	mëparë
पहले	first
दो	dy
जिला	distrikti
जिला	qark
जिला	rajoni
जब	kur
जब	ur
उन्होंने	ato
उन्होंने	ata
उन्होंने	egjiptianët
जन्म	lindur
जन्म	lindë
जन्म	lind
जन्म	lindja
जन्म	lindi
जन्म	linde
कोई	koi
कोई	ndonjë
कोई	çdo
इन	hanit
इन	inn
लेकिन	por
ये	këtë
ये	ky
ये	kjo
ये	kete
ये	kto
ये	keto
ये	këto
ये	keta
कम	low
कम	ulët
कहा	tha
लोग	popull
लोग	njerëz
लोग	njerez
लोग	personat
लोग	njerëzit
लोग	njerzit
आदि	etj
आदि	adin
आदि	adi
उसके	vet
उसके	tij
उसके	saj
उसके	asaj
प्राचीन	primitiv
प्राचीन	primitive
प्राचीन	antike
प्राचीन	lashtë
देखें	kujdes
देखें	shikon
देखें	shihni
देखें	shikoni
देखें	shiko
देखें	sheh
देखें	pamje
देखें	pamja
देखें	paraqitja
उत्तर	pergjigje
उत्तर	përgjigje
उत्तर	përgjigju
उत्तर	veri
उत्तर	veriut
उत्तर	veriu
उत्तर	përgjigjet
भाषा	gjuhët
भाषा	gjuhë
भाषा	gjuhe
भाषा	gjuha
भाषा	gjuhën
भाषा	gjuhë
लिये	për
लिये	per
सभी	krejt
सभी	gjith
प्राप्त	përftuar
प्राप्त	mori
प्राप्त	marrin
इसका	saj
इसका	its
प्रयोग	eksperimente
प्रयोग	eksperimentet
प्रयोग	përdorimi
प्रयोग	eksperiment
प्रयोग	eksperimenti
शामिल	përfshirë
शामिल	përfshin
शामिल	përfshinte
शामिल	përfshihen
शामिल	përfshirë
शामिल	përfshihet
शामिल	përfshi
शामिल	përfshinë
शामिल	përfshi
उन्हें	to
उन्हें	atyre
उन्हें	ato
उन्हें	tyre
उन्हें	ata
उस	që
उस	qe
उस	kjo
उस	se
स्थान	vënde
स्थान	vendet
स्थान	vëndet
स्थान	vende
स्थान	vend
स्थान	vendodhja
स्थान	vendndodhje
स्थान	vendndodhjet
स्थान	vend
स्थान	vendi
स्थान	place
