tiros	shots
trigo	wheat
persa	farsi
persa	persian
tennessee	tennessee
civilización	civilization
civilización	civilisation
complejos	complexes
complejos	complex
mariana	mariana
turco	turco
turco	turk
turco	turkish
colegios	schools
colegios	colleges
enfrentamientos	clashes
enfrentamientos	confrontations
iluminación	illumination
iluminación	lighting
convocado	convened
convocado	summoned
apartado	paragraph
participando	participating
mineral	ore
mineral	mineral
sustancias	substances
entero	integer
entero	whole
entero	entire
impulso	impetus
impulso	impulse
impulso	boost
impulso	momentum
computadora	computer
lectores	readership
lectores	reader
lectores	readers
castellana	castellana
catedrático	professor
elevación	uplift
elevación	elevation
móviles	mobile
móviles	mobiles
integra	integrates
integra	integra
rotación	rotating
rotación	rotation
estabilidad	stability
dependiente	dependent
dependiente	subsidiary
dependiente	dependant
curva	curved
curva	curve
curva	bend
alabama	alabama
maestría	mastery
centra	focuses
centra	centers
hidrógeno	hydrogen
krai	krai
criminal	criminal
tejidos	tissues
tejidos	tissue
tejidos	woven
tejidos	fabrics
tejidos	textiles
fabricante	manufacturer
adquisición	purchase
adquisición	procurement
adquisición	acquisition
cuadrado	square
israelí	israeli
israelí	israelis
israelí	israel
existían	existed
expulsado	expelled
expulsado	ejected
guerreros	warriors
positivo	positive
combatir	combat
iguales	equal
iguales	equals
impuesto	tax
impuesto	taxes
modificación	amendment
modificación	alteration
modificación	modification
ginebra	gin
ginebra	geneva
luces	lights
concluyó	concluded
interiores	interiors
interiores	interior
juveniles	juvenile
juveniles	juveniles
historieta	comics
historieta	comic
sindicato	union
sindicato	unión
sindicato	syndicate
períodos	periods
masculina	masculine
inclusión	inclusion
rick	rick
suspensión	suspension
desplazamiento	displacement
reconocidos	acknowledged
reconocidos	recognised
reconocidos	recognized
proporcionar	provide
proporcionar	providing
berlin	berlin
reveló	revealed
reveló	unveiled
pedido	order
históricamente	historically
educativa	educational
específica	specific
huelga	strike
centrocampista	midfielder
distinta	different
eddie	eddie
claudia	claudia
claudia	claude
apple	apple
benjamin	benjamin
capitales	capitals
capitales	capital
sostiene	sustains
sostiene	holds
adecuada	adequate
just	just
huesos	bones
huesos	bone
vídeos	videos
serena	serena
declarada	declared
unam	unam
salsa	salsa
salsa	gravy
salsa	sauce
salvaje	wild
salvaje	savage
baleares	balearic
bryan	bryan
alfabeto	alphabet
manuscrito	manuscript
petersburgo	petersburg
gosse	gosse
visitó	visited
horizontal	horizontal
vestido	dressed
vestido	dress
especializada	specialised
especializada	specialized
octavo	eighth
palestina	palestine
palestina	palestinian
ampliar	enlarge
ampliar	zoom
ampliar	expand
cartel	poster
cartel	billboard
cartel	cartel
maryland	maryland
arm	arm
granja	farm
granja	farmhouse
patas	legs
patas	paws
vanguardia	vanguard
vanguardia	forefront
presentada	presented
presentada	submitted
masters	masters
préstamo	loan
préstamo	lending
estatuto	statute
estatuto	statutes
dream	dream
liderazgo	leadership
mostrando	showing
mostrando	displaying
space	space
célula	cell
lineal	linear
franquicia	franchise
franquicia	franchising
tervuren	tervuren
adquirir	purchase
adquirir	acquiring
adquirir	acquire
expulsión	expulsion
expulsión	deportation
linda	linda
linda	cute
linda	nice
genes	genes
genes	gene
plana	flat
nicolas	nicolas
perón	perón
observaciones	remarks
observaciones	observations
observaciones	comments
desembocadura	mouth
pepe	jiminy
pepe	pepe
rivales	rivals
rivales	rival
alice	alice
rayo	beam
rayo	ray
rayo	thunderbolt
rayo	lightning
físicos	physicists
físicos	physical
organiza	organize
organiza	organises
organiza	arranges
organiza	organizes
bombas	pumps
bombas	bombs
maurice	maurice
financieros	financiers
financieros	financial
cecilia	cecile
cecilia	cecilia
marte	mars
retratos	portraits
loco	insane
loco	crazy
loco	mad
loco	loco
exitoso	successful
harrison	harrison
stewart	stewart
formalmente	formally
argelia	algiers
argelia	algerian
argelia	algeria
sound	sound
novio	groom
novio	boyfriend
rechazo	refusal
rechazo	rejection
rechazo	reject
parker	parker
eligió	chose
firmar	signing
firmar	sign
describir	describe
describir	describing
xavier	xavier
chipre	cyprus
guy	guy
expresiones	expressions
songs	songs
ruptura	breakup
ruptura	rupture
emisora	broadcaster
filósofos	philosophers
previsto	planned
thys	thys
adolescente	teen
adolescente	teenage
adolescente	adolescent
adolescente	teenager
inés	inez
inés	inés
inés	agnes
actualizado	updated
prototipo	prototype
dinámica	dynamics
dinámica	dynamic
mencionada	mentioned
variación	variance
variación	variations
variación	change
variación	variation
latitud	latitude
trío	threesome
trío	trio
óleo	oil
usted	you
sabía	knew
alfa	alpha
alfa	alfa
caudal	caudal
caudal	flow
ann	ann
antecedentes	backgrounds
antecedentes	background
grabada	engraved
irlandés	irish
irlandés	irishman
asiático	asiatic
asiático	asian
guarda	guard
edgar	edgar
anchura	width
anchura	breadth
marciales	martial
barry	barry
utilidad	useful
utilidad	usefulness
utilidad	utility
manchester	manchester
beatles	beatles
higgins	higgins
celebrada	celebrated
receptor	receptor
receptor	receiver
receptor	recipient
personalmente	personally
desapareció	vanished
desapareció	disappeared
prólogo	preface
prólogo	foreword
prólogo	prologue
valenciano	valencian
xbox	xbox
force	force
tramos	tranches
tramos	sections
tramos	stretches
contemporáneos	contemporaneous
contemporáneos	contemporary
contemporáneos	contemporaries
ken	ken
campeona	champ
campeona	champion
lgbt	lgbt
automáticamente	automatically
centre	centre
pacheco	pacheco
necesarias	necessary
abraham	abraham
colaboradores	partners
colaboradores	collaborators
colaboradores	contributors
lost	lost
baterista	drummer
caras	expensive
caras	faces
supercopa	supercup
supercopa	supercopa
turín	torino
turín	turin
lesiones	lesions
lesiones	injury
lesiones	injuries
disminución	decline
disminución	decrease
apoyó	supported
aceptación	accepting
aceptación	acceptance
sídney	sydney
parra	parra
facilidad	ease
libras	lbs
libras	pounds
modificar	modify
modificar	modifying
modificar	amend
land	land
cedido	ceded
cedido	loaned
definido	defined
contribuyó	contributed
terrestres	terrestrial
rara	rare
soviéticos	soviets
soviéticos	soviet
figueroa	figueroa
adquirido	acquired
adquirido	purchased
pérdidas	loss
pérdidas	losses
fantasía	fantasy
fantasía	fantasia
fenómenos	phenomena
fenómenos	freaks
conecta	connect
conecta	connects
bus	bus
mini	mini
master	master
africano	african
let	let
