nazisti	나치즘
faro	등대
effettivi	실제
edimburgo	에든버러
hood	후드
uovo	계란
uovo	달걀
rifiuti	낭비
rifiuti	폐기물
rifiuti	폐기물
entrate	수익
entrate	수익
incidenti	사고
sonda	탐사
boeing	보잉
applicare	적용
applicare	적용하기
applicare	신청
finanze	재무
finanze	재정
finanze	금융
finanze	재정
grasso	그리스
grasso	지방
grasso	뚱뚱한
grasso	지방
grasso	살찐
annuncio	발표
annuncio	공지
annuncio	공지사항
collettivo	집단
febbre	열이
sella	안장
cacciatore	사냥꾼
cacciatore	헌터
mattoni	벽돌
mattoni	벽돌
mattoni	브릭
seta	명주
seta	실크
seta	비단
ideali	이념
ideali	아이디얼
ideali	이상
elettronico	전자
elettronico	일렉트로닉
animati	애니메이트
animati	애니메이션
estetica	미학
estetica	미학
sonno	졸려
sonno	수면
shadow	섀도우
shadow	섀도
shadow	그림자
progressivo	진보주의
progressivo	프로그레시브
sardo	사르데냐
rischi	위험
rischi	리스크
rischi	위험
rischi	리스크
fusto	줄기
rumore	소음
rumore	잡음
specializzato	전문
palestina	팔레스타인
palestina	팔레스타인인
rinascita	rebirth
pompeo	폼페이우스
kyle	카일
abc	abc
sciatore	스키
scout	스카웃
scout	스카우트
scout	스카우트
arabia	아라비아
divieto	금지
divieto	금주법
nana	nana
intelligente	영리한
intelligente	영리
intelligente	지능형
intelligente	스마트
minoranza	소수
abraham	아브라함
abraham	에이브러햄
meriti	장점
michelle	미셸
molecola	분자
diocesano	교구장
square	제곱
square	스퀘어
square	광장
square	사각형
square	정사각형
anversa	앤트워프
steel	제철
steel	강철
steel	스틸
magica	마술
magica	마법
magica	magic
magica	매직
magica	마법
bacio	키스
bacio	kiss
spara	촬영
spara	새싹
elisa	엘리자
elisa	elisa
rispose	답글
sensibile	민감한
sensibile	민감하다
generico	일반
incantesimo	철자
spade	도검
spade	스페이드
oliva	올리브
innocenzo	무죄
innocenzo	innocent
ramírez	라미레즈
ramírez	라미레스
diamond	다이아몬드
mappe	지도
soccer	축구
miniera	광산
battute	농담
onorario	명예
trovate	찾기
nido	둥지
pubblicamente	공개적으로
ordinaria	평범
belli	아름다운
belli	아름다워
belli	아름답다
bundesliga	분데스리가
riso	라이스
player	플레이어
player	재생기
player	선수
volpe	폭스
volpe	여우
poker	포커
mortale	치명적이다
mortale	치명적
mortale	치명적
opzione	옵션
strana	이상한
strana	이상한
strana	이상하다
interviste	인터뷰
giovinezza	청년
giovinezza	청소년
giovinezza	젊음
giovinezza	청춘
guitar	guitar
guitar	기타
some	일부
sommergibile	잠수함
denver	덴버
costruttore	빌더
costruttore	생성자
costruttore	제조업체
costruttore	제조사
pci	pci
toscano	토스카나
preparare	준비하기
preparare	준비
intel	인텔
elettrici	전기
southern	남부
southern	남방
batte	비트
loira	루아르
madison	매디슨
lupi	늑대
lupi	늑대들
lupi	늑대
lupi	볼프
lupi	울프
abuso	남용
abuso	악용
abuso	학대
abuso	남용
abuso	악용
capolinea	종착
capolinea	종착역
moretti	모레티
spiriti	스피리츠
dirty	더러운
wisconsin	위스콘신
tunisia	튀니지
joey	조이
povero	불쌍한
turistico	관광객
rivelazione	계시
impegnata	바쁜
impegnata	바쁘다
impegnata	바빠
meyer	마이어
