dhe	és
një	egy
nga	től
nga	tól
nga	from
për	for
edhe	még
nuk	nem
ishte	volt
shumë	nagyon
por	de
pas	után
pas	after
pas	miután
pas	utána
pas	követni
pas	követem
pas	követi
këtë	ezt
këtë	ez
parë	láttam
parë	látta
parë	látták
tyre	ők
tyre	őket
mund	lehetne
mund	tud
mund	can
mund	lehet
gjatë	hosszú
disa	néhány
lidhje	linkek
lidhje	hivatkozások
lidhje	kapcsolatok
lidhje	kapcsolat
lidhje	kapcsolat
lidhje	kapcsolódás
lidhje	csatlakozás
lidhje	hivatkozás
lidhje	kapcsolat
lidhje	link
lidhje	linket
lidhje	hivatkozást
kjo	ezt
kjo	ez
kjo	ez
kur	mikor
kur	amikor
mbi	vége
mbi	át
mbi	fölötte
mbi	felett
mbi	fölött
mbi	fent
mbi	fenti
mbi	felette
jashtme	külső
jashtme	külső
kishte	volt
vetëm	egyedül
vetëm	csak
vetëm	kizárólag
vetëm	csak
ata	ők
ata	őket
ata	azok
ata	ők
tjera	egyéb
tjera	más
pjesë	alkatrész
pjesë	alkatrészek
pjesë	részek
pjesë	részben
pjesë	rész
pjesë	része
atë	őt
atë	neki
shqiptare	albán
madhe	nagyok
madhe	nagy
rreth	kb
rreth	nagyjából
rreth	körülbelül
rreth	körül
rreth	körbe
para	pénz
para	pénzt
para	készpénz
para	készpénzben
para	pénzt
para	előtte
para	előtt
para	mielőtt
ishin	voltak
per	kb
per	nagyjából
per	körülbelül
per	for
këto	ezek
këto	ezeket
banorë	lakói
banorë	lakosok
banorë	lakos
banorë	lakói
banorë	lakók
banorë	lakosok
komuna	önkormányzatok
komuna	települések
komuna	község
komuna	település
komuna	önkormányzat
cila	ami
cila	melyik
cila	mely
cila	amely
nje	egy
kundër	pult
kundër	számláló
kundër	ellene
kundër	ellen
lista	jegyzék
lista	lista
lista	listák
lista	listákat
kantoni	canton
gjithashtu	szintén
gjithashtu	egyben
gjithashtu	úgyszintén
ndërsa	miközben
ndërsa	mialatt
ndërsa	míg
ndërsa	amíg
cilat	ami
cilat	melyik
cilat	mely
cilat	amely
ndryshme	más
ndryshme	különböző
ndryshme	eltérő
ndryshme	eltérő
etj	stb
duhet	kell
duhet	szükséges
duhet	kell
sipërfaqe	felületek
sipërfaqe	felszín
sipërfaqe	felület
sipërfaqe	felszíni
ato	ők
ato	őket
ato	ők
ato	azok
përgjithshëm	általános
përgjithshëm	tábornok
tjetër	egyéb
tjetër	más
tjetër	következő
njohur	ismerős
njohur	felismert
njohur	elismert
njohur	felismert
njohur	elismert
njohur	ismeretes
njohur	ismertek
njohur	ismert
shqiptar	albán
style	stílus
dytë	másodszor
dytë	másodperc
dytë	második
mirë	jó
fundit	utoljára
fundit	utolsónak
fundit	last
fundit	utolsó
fundit	legújabb
fundit	legutóbbi
fundit	legfrissebb
pasi	után
pasi	after
pasi	miután
pasi	utána
shiko	lásd
shiko	nézd
nën	alul
nën	alatt
nën	alatta
nën	alább
nën	lent
nën	tengeralattjáró
nën	alatt
nën	alatta
nën	alá
jpg	jpg
herë	szeres
herë	hajtás
herë	idők
herë	időpontok
herë	times
viti	évjárat
viti	éve
viti	évi
viti	év
sot	ma
çdo	minden
çdo	bármelyik
çdo	bármely
çdo	bármilyen
lartë	high
lartë	magas
lartë	magasan
popullsi	populáció
popullsi	népesség
popullsi	lakosság
kosovës	koszovó
kosovës	koszovói
komunë	község
komunë	település
komunë	önkormányzat
jetë	élet
jetë	életem
jetë	life
president	elnök
bërë	kész
mes	középre
mes	közép
mes	középső
mes	közép
mes	között
vonë	későn
vonë	késő
vonë	késve
vend	ország
vend	országban
vend	helyszín
vend	hely
shqipëri	albánia
pak	kis
pak	kicsi
pak	kevés
pak	enyhén
pak	kissé
pak	kevéssé
francë	franciaország
francë	france
fshat	vidék
fshat	település
fshat	falusi
fshat	falu
zyrtare	hivatalos
zyrtare	tisztviselő
kryetari	szónok
kryetari	felszólaló
kryetari	elnök
vendosur	található
pasur	volt
pasur	gazdag
pasur	gazdagok
pasur	rich
sepse	mert
kishin	volt
vitet	évek
vitet	év
tre	három
fund	szoknya
fund	szoknyát
fund	befejezés
fund	befejezés
fund	vége
fund	vég
marrë	foglalt
tjerë	másoknak
tjerë	egyéb
tjerë	mások
tjerë	egyebek
harta	térkép
harta	térképet
harta	térkép
harta	térképeket
harta	térképek
mbreti	kinga
midis	között
vogël	kicsi
vogël	pici
vogël	apró
kosovë	koszovó
kosovë	koszovói
vjet	évek
vjet	év
pastaj	akkor
pastaj	aztán
shtetit	állapot
shtetit	állami
shtetit	állam
kombëtare	nemzeti
kombëtare	országos
kombëtare	national
emrin	neve
emrin	név
mori	kapott
mori	fogadott
mori	beérkezett
mori	vette
mori	elvitte
filloi	kezdődött
filloi	kezdte
filloi	elkezdődött
ish	korábbi
mars	március
mars	márciusi
mars	marson
mars	mars
file	fájl
file	file
file	akta
presidenti	elnök
lindur	született
lindur	megszületett
lindi	lindy
lindi	születés
lindi	születési
lindi	szülés
kryesore	fő
kryesore	main
kryesore	főbb
aktualisht	jelenleg
qyteti	városban
qyteti	town
qyteti	város
qyteti	city
qyteti	városi
qyteti	város
politike	politikai
politike	politika
qershor	júniusi
qershor	june
qershor	június
qershor	júniusban
pse	miért
maj	may
maj	május
maj	májusi
maj	májusban
nëntor	november
nëntor	novemberi
nëntor	novemberben
janar	januári
janar	január
janar	januárban
thotë	mondja
shtator	szeptemberben
shtator	szeptember
shtator	szeptemberi
brenda	brenda
brenda	belül
shteteve	államok
shteteve	államokat
kryesisht	főként
kryesisht	főleg
kryesisht	elsősorban
kryesisht	leginkább
kryesisht	főleg
kryesisht	főként
kryesisht	többnyire
shqiptarë	albánok
prill	april
prill	április
prill	áprilisi
prill	áprilisban
ditë	nap
ditë	napon
ditë	nappal
ditë	napot
ditë	napok
ditë	napokban
ditë	napokat
ditë	napokon
tetor	októberi
tetor	októberben
tetor	október
shkurt	februárban
shkurt	februári
shkurt	február
shkurt	rövid
shkurt	alacsony
shkurt	röviden
bëhet	váljon
bëhet	válik
vjetër	idős
vjetër	régit
vjetër	régi
vjetër	öreg
vjetër	régiek
bën	teszi
kodi	kód
monark	uralkodó
dhjetor	december
dhjetor	decemberi
dhjetor	decemberben
mbret	kinga
aktuale	áramlat
aktuale	jelenlegi
aktuale	aktuális
gjuhën	nyelve
gjuhën	nyelv
gjuhën	nyelv
tani	most
frëngjisht	francia
frëngjisht	franciák
shtetet	államok
shtetet	államokat
shtetet	országokban
shtetet	országok
informacion	információ
informacion	tájékoztatás
informacion	információk
shume	nagyon
shume	sok
shume	sokat
gusht	augusztusban
gusht	august
gusht	augusztus
shba	usa
pranë	amellett
pranë	mellett
pranë	mellé
pranë	közel
top	felül
top	top
top	csúcs
top	felső
top	legfelső
korrik	júliusban
korrik	júliusi
korrik	július
katër	négy
rëndësishme	fontos
fillim	kezdetek
fillim	kezdete
fillim	eleje
fillim	kezdet
jashtë	kint
jashtë	kívül
jashtë	ki
përbërja	összetétel
përbërja	összetétele
shën	saint
shën	szent
qytet	városban
qytet	town
qytet	város
qytet	city
qytet	városi
qytet	város
këtu	itt
dhënë	megadott
dhënë	adva
dhënë	megadva
dhënë	adott
dhënë	nyújtott
përdorur	használt
përdorur	felhasznált
faqja	oldalt
faqja	oldal
aty	ott
nëpër	keresztül
nëpër	át
krijuar	létrehozott
krijuar	létrehozva
krijuar	teremtett
del	del
zona	övezet
zona	zóna
zona	terület
zona	környék
vit	évjárat
vit	éve
vit	évi
vit	év
shpesh	gyakran
shpesh	gyakran
përfshirë	érintett
megjithatë	mindamellett
megjithatë	mindazonáltal
megjithatë	mindamellett
megjithatë	mindazonáltal
megjithatë	azonban
data	dátum
data	időpont
kryesor	fő
kryesor	main
kryesor	főbb
kryesor	elsődleges
kryesor	primer
emri	neve
emri	név
jane	jane
new	újdonság
new	új
isbn	isbn
zakonisht	általában
zakonisht	rendszerint
zakonisht	szokásos
reja	újdonság
reja	új
federal	szövetségi
qarkun	megyei
qarkun	megye
qendër	középre
qendër	központ
qendër	center
qendër	középre
qendër	központ
qendër	centrum
ana	ana
ana	anna
ana	annának
republika	köztársaság
iii	beteg
iii	iii
provinca	tartomány
provinca	tartományban
der	der
