terrestri	terrestre
biografie	biografies
biografie	biografia
repubblicano	republicà
pavimento	pis
legali	jurídic
legali	legal
legali	legals
zucchero	sucre
funzionalità	funcionalitat
pdc	pdc
sacerdoti	cures
este	este
clero	clergues
clero	clergat
rappresentazioni	representacions
rappresentazioni	actuacions
frontale	front
frontale	frontals
england	anglaterra
ordinario	ordinari
ordinario	ordinària
soppressione	abolició
soppressione	supressió
soci	socis
pérez	matamala
pérez	perez
pérez	pérez
hugh	hug
hugh	hugh
eserciti	exèrcits
eserciti	batallons
secondarie	secundari
secondarie	secundaria
specializzata	especialitzats
specializzata	especialitzat
manovra	maniobra
valencia	valencia
valencia	valència
variazione	variació
variazione	canvia
variazione	canvi
archivi	arxius
sospensione	suspensió
pirati	pirates
pirati	pirata
tavole	quadres
tavole	taules
veneziano	venecià
wallace	wallace
loggia	loggia
pesaro	pesaro
sultano	sultà
sultano	sultan
toro	toro
toro	taure
toro	bull
eletti	elegits
eletti	electes
eletti	electe
superman	superman
modern	moderna
modern	modern
mass	missa
mass	massa
percentuali	percentatges
emissione	emissió
massimi	maxima
bottega	bottega
after	after
after	després
ferite	lesions
ferite	ferides
kiev	kíev
phoenix	fènix
phoenix	phoenix
alluminio	alumini
alluminio	alumini
vendere	vendre
datato	datat
corno	banya
corno	horn
piatti	plats
futuri	futur
futuri	futurs
protesta	protesta
rachel	rachel
immacolata	immaculada
canti	cantar
canti	sing
canti	chants
canti	cançons
canti	songs
elia	elies
elia	elijah
elia	elia
elia	elias
manifesto	pòster
manifesto	cartell
manifesto	manifest
napoletano	napoletano
fedeltà	fidelitat
fedeltà	lleialtat
fedeltà	fidelització
raw	cru
raw	raw
illustri	distingit
integrato	integrats
integrato	integrat
integrato	incrustat
integrato	encastat
perfino	inclús
tomáš	tomáš
watson	watson
interfaccia	interfície
finanziaria	financer
finanziaria	financera
terrore	terror
mod	mod
reynolds	reynolds
martiri	màrtirs
istanbul	istanbul
colorado	colorado
für	für
preceduto	precedit
separati	separat
separati	separats
continuato	continuat
continuato	continuada
colorazione	acoloreix
colorazione	coloració
parità	paritat
parità	igualtat
etiopia	etiòpia
sandra	sandra
soggiorno	estada
illinois	illinois
magico	màgia
magico	màgic
orleans	orleans
spalla	espatlla
challenge	challenge
challenge	repte
challenge	desafiament
scipione	scipione
bach	bach
getto	jet
bros	bros
phillips	phillips
giocate	reprodueix
sentito	escoltat
sloveno	eslovena
sloveno	eslovè
call	convocatòria
call	trucada
indiani	indians
indiani	indis
indiani	indi
scalo	baixador
geometria	geometria
millennio	millennium
giganti	gegants
giganti	gegant
zia	tieta
zia	tieta
zia	tia
rimosso	retirats
rimosso	eliminat
traduzioni	traducció
traduzioni	traduccions
happy	feliç
voll	voll
estrazione	extracció
estrazione	extraient
accompagnamento	acompanyament
minerali	mineral
minerali	minerals
minerali	mineral
ticino	ticino
mozart	mozart
fissa	corregit
fissa	fix
fissa	fixes
