цинка	جست
ловушку	منہ
ловушку	کھٹکا
ловушку	منہ
ловушку	کھٹکا
ловушку	جال
больно	زیادتی
больно	نقصان
больно	دُکھنا
больно	زبردستی.
пловец	شناور
метки	چپکانا
метки	اٹکانا.
метки	پتہ
метки	چٹ
необходимая	جبری
необходимая	لازمی
качественный	صفاتی
симпатии	شرکت
симпатии	اکثربعدہ
симпатии	ہمدردی.
симпатии	تعزیت.
гитару	قطار.
гитару	گٹار
мешок	پتلون
мешок	تحقیرکرنا
мешок	پاجامہ
мешок	کثرت
мешок	پھلانا
спецификации	تصریح.
спецификации	تخصیص
идиш	یدش.
попугай	چھوٹے
попугай	نقلچی
попугай	گھونٹنا
попугай	نقال
попугай	بھانڈ.
попугай	رٹنا
мощная	طاقتور
континент	براعظم
континент	افریقہ
континент	قابض.
континент	آسٹریلیا
континент	ایشیا
арабское	عربی.
смех	قہقہہ
смех	ہنسی
смех	خندہ
смех	قہقہہ.
смех	کھلکھلانا.
смех	کامیاب
смех	کھلکھلانا.
смех	ہنسنا
смех	کامیاب
безымянный	مبہم
безымянный	بھیانک.
безымянный	نامعلوم
карлик	بالشتیا
карлик	منی
карлик	کوچک.
карлик	بونا
карлик	پست
карлик	چھوٹا
карлик	ٹھگنا
карлик	پستانا
карлик	ٹھٹھرا.
карлик	کوچک
блеск	روشن
блеск	تابناکی.
блеск	روشنی
блеск	جودت
блеск	(سورج
блеск	روشن
блеск	تابناکی.
блеск	تابانی
блеск	روشنی
блеск	چمک
блеск	چمکنا
блеск	جودت
блеск	(سورج
блеск	جوت
блеск	اجلاپن.
блеск	جِلا
блеск	چمکانا.
блеск	جھوٹی
блеск	دکھاوا
блеск	جوت.
блеск	چمکنا
блеск	دکھاوا
блеск	جوت.
блеск	دمک
благотворительные	خیراتی
благотворительные	سخی
затмение	گرہن
затмение	بینائی
пенни	دینار.
весенний	لچک
весенний	زقند.
весенний	لوچ.
весенний	لچک
весенний	چھلانگ
весенний	زقند.
весенний	لوچ.
вишну	وشنو
колено	زانو.
недвижимость	وصف
недвижимость	خصوصیت
недвижимость	مکان
недвижимость	خاصیت.
недвижимость	ملکیت
созревания	گدرانا.
созревания	پکنے
уничтожать	نابود
уничтожать	مٹانا
уничтожать	نابود
уничтожать	مٹانا
уничтожать	ڈھانا
факел	حرارت
факел	روشنی
сортировки	چھٹائی
заключённый	قیدی.
пыль	دھرتی
пыль	چھڑکنا
пыль	فساد
пыль	انتشار
пыль	غبار
пыль	بُرکنا
пыль	زمین
прилегающие	نزدیک
прилегающие	محاذی.
прилегающие	ملحق
консервации	بندرگاہ
тележки	کشتی
годовщину	برسی
годовщину	سالگرہ
разумным	متوازن
разумным	واضح
разумным	مناسب.
разумным	متوازن
разумным	واضح
разумным	معقول
разумным	مناسب.
выживания	شے
выживания	عمل
читаю	(ڈرامے
познакомиться	خط
познакомиться	مناسب
познакомиться	جُڑنا
познакомиться	بھڑنا.
познакомиться	موزوں.
познакомиться	ملنا
цитадель	قلعہ
надгробие	کتبہ.
длительных	تحریر
длительных	(تقریر
кустарник	شراب
унификации	اتحاد
звонок	روزگار.
звонок	مصروفیت
звонок	روزگار.
звонок	پیشہ
звонок	مصروفیت
звонок	جگانا
звонок	رکھنا
звонок	ترغیب.
звонок	چیخ
звонок	in
звонок	سمجھنا
звонок	آواز
звонок	پکار
звонок	اپیل
звонок	بانگ
звонок	مطالبہ
звонок	استدعا
звонок	ہانک.
бесполезно	فضول
бесполезно	نکمّا
бесполезно	بیکار
президентский	صدارتی
дожди	بارش
глухой	f
глухой	گونگا.
глухой	t
глухой	s
глухой	وزن
глухой	اصم
коллективных	مشمولہ
коллективных	متفقہ
коллективных	مشترک
коллективных	عمومی
коллективных	کُلّی
коллективных	اجتماعی
коллективных	مشمولہ
коллективных	مجموعی
коллективных	متفقہ
коллективных	مشترک
коллективных	عمومی
коллективных	کُلّی
коллективных	اجتماعی
сдвиг	فریب
сдвиг	جُل.
сдвиг	چال
сдвиг	بکھرنا
сдвиг	قینچی
сдвиг	تراشنا
сдвиг	چھانٹنا.
сдвиг	کترنا.
сдвиг	پچکنا.
полноты	استیعاب
полноты	اتمام
упрощения	توضیح
упрощения	تسہیل
упрощения	اختصار
бронирование	نشست
коалицию	پیوستگی
коалицию	ملاپ.
коалицию	اتصال
сортировка	انداز
сортировка	نوع
сортировка	زمرہ.
сортировка	۴.
сортировка	گروہ
сортировка	قسم
сортировка	طریقہ.
сортировка	چھٹائی
предлагая	نذر
предлагая	چڑھاوا.
рыжий	تحرک
рыжий	جذبہ.
рыжий	جوش
сближение	ارتکاز
сближение	مصالحت
четырнадцать	xiv
четырнадцать	xiv
наносить	باندھنا.
наносить	ضمیمہ.
наносить	لگانا.
наносить	اضافہ
опровергнуть	اُلٹنا
опровергнуть	لوٹانا
опровергнуть	روکنا
опровергнуть	جھٹلانا
опровергнуть	جھٹلانا.
взрослый	فحش
взрослый	جوان
взрослый	فحش
взрослый	بالغ
вычислительная	تخمینی
вычислительная	حسابی
вычислительная	شماریاتی
умный	مُستعد
умный	پُھرتیلا
умный	ذہین.
умный	ہنرمند
умный	مُستعد
умный	پُھرتیلا
умный	ہوشیار
умный	ذہین.
умный	تیز
умный	چالاک
умный	ہنرمند
умный	ذہین
умный	ہوشیار
умный	ممتاز.
умный	تیزی
умный	درست
умный	ہوشیار
умный	پھرتیلا.
умный	پھرتی
умный	طرار
умный	وضعدار
умный	تیز
умный	خلش.
умный	عیار
умный	طرحدار
умный	زوردار.
штука	نمونہ
штука	شے
штука	بعدہ
штука	اثاثہ.
штука	بات
штука	قول
штука	خصوصیت.
штука	طریقہ.
штука	کوائف.
штука	مثل.
штука	حرکت.
принадлежать	حصّہ
принадлежать	حق
сосуд	گھڑا
сосуд	برتن
сосуд	جگہ
сосуд	برتن
сосуд	جگہ
сосуд	ظرف
опухоль	سلعہ.
опухоль	رسولی
очевидное	آشکار
очевидное	بیّن
очевидное	جلی.
очевидное	واضح
очевидное	آشکار
очевидное	بیّن
очевидное	جلی.
очевидное	عیاں
очевидное	واضح
словацкой	سلوواکی.
обложку	ڈھانپنے
обложку	سمیٹنا
скрывает	حجاب
скрывает	روپوشی
скрывает	اخفا.
скрывает	پوشیدگی
обязательных	عائد.
обязательных	لازمی
обязательных	ناگزیر
удовлетворять	چُکتا
удовлетворять	تسلی
удовлетворять	تسکین
удовлетворять	سیر
розничной	at
сарай	گرانا
сарай	گودام.
сарай	جھاڑنا
сарай	بہانا
сарай	ڈھنڈار
скелета	چمرخ.
наполнения	بافت
наполнения	مال
наполнения	مسالہ
наполнения	گڑھا
маре	گھوڑی
задержка	تاخیرکرنا
задержка	التوا.
задержка	رکاوٹ.
задержка	تاخیرکرنا
задержка	دیر
задержка	التوا.
задержка	رکاوٹ.
задержка	تعویق
задержка	تاخیر
темноте	ناخواندہ
темноте	تاریکی.
темноте	جہالت.
темноте	غصیل
темноте	منحوس
темноте	خفیہ
темноте	افسردہ
темноте	رنجیدہ
темноте	نامعلوم
темноте	ظلمت
темноте	فاسد
темноте	رات
темноте	بپھرا
темноте	بگڑا
темноте	سیاہی
темноте	بد
темноте	نابلد
темноте	غضبناک
темноте	پراسرار
темноте	تاریکی
темноте	بعید
темноте	ظلمت
темноте	ظلمت
темноте	تاریکی
стыдно	(بعدہ
стыдно	غیرت
стыдно	ندامت
стыдно	شرم
стыдно	(بعدہ
стыдно	غیرت
стыдно	شرمناک
держаться	چھڑی
держаться	into
держаться	مجہول
держаться	باقی
держаться	گھونپنا
держаться	چھیدنا
держаться	مذمت
держаться	جھیلنا.
держаться	تیلی
держаться	سہنا
бездомных	نگھرا
меньшинство	اقلیت.
меньшинство	مذہب
велосипед	بائیسکل
просмотреть	ڈنٹھل
просмотреть	چرنا.
просмотреть	نظارگی-
просмотреть	دیکھنا
просмотреть	نظارگی-
просмотреть	نظر
просмотреть	دیکھنا
возобновление	بازیافت
тихоокеанский	ساکت
тихоокеанский	شانت.
обследование	تفتیش.
обследование	معائنہ
обследование	تحقیق
полдень	دوپہر
полдень	دوپہر
чаша	ساغر
чаша	پیمانہ
чаша	گیند
чаша	بھاگ
чаша	پیالہ
чаша	پیالی
преемственность	تسلسل
преемственность	توالی
преемственность	توالی
преемственность	جانشینی
огненный	التہابی
огненный	آتشناک
огненный	جھلساتا
огненный	لچکیلی
огненный	گیس
огненный	بپھرا
огненный	متمنی
расхождения	فرق
расхождения	اختلاف
соцветие	ٹہنی
толстая	قریبی
толстая	دقیق
толстая	معمور.
толстая	بیوقوف
толстая	گہرے
толстая	گدلا
толстая	قریبی
толстая	دقیق
толстая	معمور.
толстая	دبیز
толстая	بیوقوف
толстая	گہرے
толстая	گدلا
толстая	تیلیا
толстая	قلیل
толстая	روغنی
толстая	چرب.
толстая	چربیلا.
толстая	زرخیز
толстая	چکنا
толстая	فراواں
толстая	مقتدر
толстая	موٹا
толстая	تیلیا
толстая	قلیل
толстая	روغنی
толстая	چرب.
толстая	فربہ
толстая	چربیلا.
толстая	زرخیز
толстая	چکنا
толстая	فراواں
толстая	مقتدر
толстая	چربی
горизонтали	افقی
нана	احمق.
дипломата	ہوشیار
кап	بہتر
кап	اوپر
кап	غبی
кап	ٹپکا.
кап	مجہول
пропорционально	متناسب.
пропорционально	تقابلی
произвольно	زبردستی
горизонт	تجربے
развернуть	افزوں
развернуть	بیش
развернуть	بچھانا
развернуть	جسامت
развернуть	پھیلانا.
резервных	مستعدی
разумные	مناسب
разумные	متوازن
разумные	بامعنی.
разумные	غنیمت
разумные	فہمیدہ.
разумные	مناسب
разумные	معقول
разумные	متوازن
разумные	بامعنی.
разумные	غنیمت
разумные	فہمیدہ.
происшествие	وقوعہ
происшествие	لاگو.
происшествие	پڑنا.
громко	طرز
громко	چیختے
громко	اونچا
громко	شوخ
громко	تیز
громко	بھڑکیلا
радиации	اشعاع
радиации	بکھراؤ.
миссионер	مبلّغ.
простота	سادگی
лыжи	water-ski
нарушить	توڑنا
выезд	برآمدگی
выезд	اخراج
выезд	مرنا.
выезд	وفات.
выезд	آزمائش
выезд	روانگی
выезд	آزمائش
истечения	انقضا.
истечения	وفات.
зверь	حیوان
вторник	منگل
смелость	دلیری
смелость	جرأت.
смелость	ہمت
геологической	ارضیاتی
луг	سیراب
крайняя	جابرانہ
крайняя	انتہائی
крайняя	ازحد
крайняя	آخری
крайняя	اختتامی.
крайняя	سخت
наклона	جھکاؤ
наклона	انحراف
наклона	ڈھلان
наклона	لگاؤ.
наклона	نشیب.
чувствовать	احساس
чувствовать	سوچنا
конкретная	معروف.
конкретная	واضح
конкретная	صریح
конкретная	اصلی
конкретная	ریت
конкретная	واضح
конкретная	بٹھانا.
конкретная	کیفیت
пустыня	کرم
пустыня	وجوبیت.
пустыня	بنجر.
пустыня	سزا
пустыня	خشک
пустыня	اجاڑ
пустыня	ویران.
пустыня	کرم
пустыня	وجوبیت.
пустыня	بنجر.
пустыня	سزا
пустыня	ریگستان
пустыня	چھوڑنا
пустыня	صحرا
пустыня	خشک
пустыня	اجاڑ
пустыня	ویران.
пустыня	بادیہ
утка	دُبکنا
утка	بچنا
утка	پیارے
чушь	لغو.
чушь	بکواس
чушь	احمقانہ
шкалы	چاندنا.
шкалы	چھلکا.
шкалы	ورقہ
шкалы	پر
шкалы	ترازو
шкалы	تلاراس.
шкалы	(کھال
шкалы	مانجھنا.
трансфер	ٹکٹ
трансфер	املاک
трансфер	کلب
прошедшее	حد
прошедшее	گزشتہ
прошедшее	حالیہ
ежемесячно	حیض.
ежемесячно	حیض.
ежемесячно	ماہوار
орел	شکرہ
орел	عقاب
влаги	رطوبت
влаги	رطوبت
влаги	نمی
пациент	صابر
пациент	ضابط
пациент	انگیزنے
конкуренция	آزمائش
испаноязычные	ہسپانوی
необычно	نرالا.
необычно	انوکھا
необычно	امتیازی.
необычно	استثنائی
необычно	غیرمعمولی
мотивации	ترغیب
сью	(اکثربعدہ
сью	for
совместимость	روادار
совместимость	موافق
совместимость	(سازوسامان
совместимость	موافقت
совместимость	مطابقت
стальные	مضبوطی
стальные	آہنی
стальные	فولاد
стальные	سختانا
стальные	فولادی.
седьмая	vii
седьмая	v11)
седьмая	7
седьмая	ساتواں.
седьмая	ساتواں.
седьмая	ساتواں
обман	عیّاری.
обман	دھوکا
обман	عیّاری.
обман	چکمہ
обман	بہکانے
обман	بناوٹ.
обман	جعل
эффективный	لائق
эффективный	باکفایت
эффективный	نافذ
будущая	مستقبل
будущая	شخص
сока	جوہر.
сока	خلاصہ
сока	رس
сока	جوہر.
сока	خلاصہ
кукла	پُتلی
линзы	تال
линзы	روشنی
линзы	عدسہ
линзы	تال
линзы	روشنی
исправительно	مصلح
нехватка	(بعدہ
нехватка	کمی
нехватка	توڑا
нехватка	(بعدہ
нехватка	کمی
неполный	نامکمل
неполный	ادھورا.
пластика	مٹّی
пластика	لچکیلا.
пластика	ملائم
пластика	ملائمہ.
пластика	بناوٹی
разрез	شگاف
разрез	کاٹنے
разрез	دندانہ.
контингента	سپاہیوں
контингента	ناگہانی
контингента	مربوط
контингента	منسلک.
контингента	اچانک.
контингента	اتفاقی.
обязательный	ناگزیر.
обязательный	لازمی
обязательный	ضروری
раздельно	علاحدگی
раздельно	افتراق
праздником	جشن
таланты	فطانت
таланты	فطین
таланты	ذہانت.
телевизор	television
позвоночника	سول
позвоночника	خار
позвоночника	کانٹا.
позвоночника	ریڑھ.
жестокий	ایذارساں
жестокий	(‎crueler
