медия	media
гордън	gordon
монтирани	montata
монтирани	montati
монтирани	montate
монтирани	montato
раса	regata
раса	razza
раса	corsa
раса	gara
димитриос	dimitrios
сараево	sarajevo
уелски	gallese
майер	meier
майер	mayer
майер	meyer
франко	franco
франко	franko
мощ	forza
мощ	potere
мощ	potenza
мощ	power
клисура	burrone
дарения	donazioni
отвън	fuori
отвън	esterno
мериленд	maryland
болни	malati
болни	malata
болни	malato
крайната	ultimate
редовна	regolare
редовна	regolari
палермо	palermo
грузински	georgiano
поставено	posizionato
поставено	collocati
поставено	posizionati
кастро	castro
таблици	tavole
таблици	tabelle
таблици	tavoli
обещава	promette
обещава	promesse
сюжет	trama
сюжет	complotto
сюжет	storyline
майчина	materno
майчина	materna
барон	barone
барон	baron
барон	barron
психолог	psicologi
психолог	psicologa
психолог	psicologo
отстранен	sospesa
отстранен	sospesi
отстранен	sospeso
отстранен	sospese
монасите	monaci
подпомагане	supporto
подпомагане	sostegno
наркотици	droghe
наркотици	droga
наркотици	droga
наркотици	stupefacenti
душа	doccia
душа	anima
душа	soul
пелин	dragoncello
пелин	assenzio
израелски	israeliano
израелски	israeliana
израелски	israeliani
популярно	popolare
популярно	popolari
уникален	unici
уникален	unica
уникален	unico
уникален	uniche
работник	dipendente
работник	impiegata
работник	impiegato
работник	lavoratore
работник	operaio
описания	descrizioni
придружава	accompagna
джейсън	jason
джейсън	giasone
критики	critiche
критики	critica
критики	critiche
издържа	sopportato
бягство	fuga
бягство	evasione
бягство	escape
селска	rustico
селска	rustici
селска	rurale
селска	contadino
селска	contadine
селска	contadina
изригване	eruzioni
изригване	eruzione
медина	medina
слънчева	sunny
слънчева	soleggiato
слънчева	solare
слънчева	solari
слънчева	solar
колектив	collettivo
колектив	collettiva
видеоклип	video
линкълн	lincoln
съдилища	tribunali
добавени	aggiunte
добавени	aggiunti
добавени	aggiunto
добавени	aggiunta
дисни	disney
извършен	eseguito
извършен	eseguiti
извършен	eseguita
рисуване	verniciatura
рисуване	dipingere
рисуване	dipinto
рисуване	pittura
рисуване	disegnare
рисуване	disegno
специфичен	specifica
специфичен	specifici
специфичен	specifico
клип	clip
изрично	espressamente
изрично	esplicitamente
изрично	esplicite
изрично	esplicito
изрично	esplicita
изрично	espliciti
дионисий	dioniso
ефективност	efficienza
ефективност	efficacia
ефективност	efficacia
ефективност	performance
ефективност	prestazione
ефективност	prestazioni
мишки	topi
мишки	topolino
мишки	topo
мишки	mouse
замества	sostituisce
индо	indo
агрипа	agrippa
тесни	stretta
убиец	assassina
убиец	killer
убиец	assassino
убиец	assassina
убиец	assassino
убиец	assassina
убиец	assassino
монреал	montréal
монреал	montreal
напояване	irrigazione
емирства	emirates
комунистите	comunisti
доверие	fiducia
доверие	confidenza
доверие	trust
доверие	fiducia
шеф	chef
шеф	cuoco
курорт	resort
традициите	tradizioni
изпълнителни	esecutivi
изпълнителни	executive
изпълнителни	esecutivo
тонга	tonga
посоки	indicazioni
затворена	chiusi
затворена	chiusa
затворена	chiuse
затворена	chiuso
глад	carestie
глад	carestia
глад	fame
трек	trek
белица	bjelica
триъгълник	triangolo
комикс	comics
комикс	fumetti
комикс	fumetto
комикс	comic
комикс	comico
комикс	fumetto
болен	malati
болен	malata
болен	malato
тютюн	tabacco
тютюн	tabacchi
лукас	luca
лукас	lucas
лукас	lukas
царски	regal
царски	regale
линк	link
линк	collegamento
хълмове	colli
хълмове	colline
изобретател	inventore
чан	chan
пасища	prateria
пасища	pascolo
пасища	pascoli
пасища	praterie
пасища	pascoli
изпрати	inviate
изпрати	invia
изпрати	invio
изпрати	inviare
преименувана	rinominata
преименувана	rinominato
изречения	frasi
първична	primitivo
първична	primordiale
първична	primitiva
първична	primario
първична	primarie
първична	primari
първична	primaria
таймс	tempi
таймс	times
таймс	volte
жлези	ghiandole
жлези	ghiandola
жлези	ghiandole
коларов	kolarov
улицата	street
улицата	strada
отрича	nega
яне	janne
отразяват	riflettere
отразяват	rifletti
маркетинг	marketing
маркетинг	commercializzazione
верона	verona
реклами	annunci
реклами	inserzioni
реклами	pubblicità
разрушени	distrutta
разрушени	distrutti
разрушени	distrutte
разрушени	distrutto
разрушени	demolito
разрушени	demolita
бейкър	baker
бейкър	fornaio
нула	zero
театри	teatri
театри	teatri
кризата	crisi
изписана	congedato
изписана	dimesso
органите	organi
забележка	nota
доналд	paperino
доналд	donald
колекции	raccolte
