年	godina
月	mjesec
月	moon
月	meseci
月	mjesecima
月	mjesec
日	dan
村	selo
人	muškarac
人	narod
小行星	asteroidi
小行星	asteroide
小行星	asteroida
小行星	asteroidi
大	velikih
大	veliki
德	tak
重	heavy
重	teški
重	težak
重	teška
重	teške
重	teži
一	jedan
一	jedna
定向	orijentacija
但	ali
也	također
也	takođe
後	nakon
留言	poruka
市	grad
市	općina
克	grama
新	novi
站	stanica
站	stand
州	država
研究	proučiti
研究	studija
研究	proučavanja
研究	studijama
研究	proučavanja
研究	studije
研究	istraživanje
研究	istraživanja
日本	japan
三	tri
前	pre
前	prije
家	dom
家	home
近	blizu
米	rice
米	metara
多	više
使用	upotreba
使用	koristeći
使用	koristimo
使用	upotreba
使用	iskoristi
使用	koristi
使用	koriste
使用	korištene
使用	koristi
使用	korišteno
使用	korišten
基	kei
王	king
王	kralj
王	wang
林	lam
林	lin
公司	korporativnog
公司	kompanija
公司	kompanije
李	lee
一個	jedan
一個	jedna
西	zapadu
西	zapad
省	pokrajina
省	vojvodstvo
度	stepena
度	stepeni
度	stepenu
度	stepen
度	stepena
卡	karte
卡	karta
卡	kartica
二	dva
小	male
小	mali
小	malu
小	malo
小	mali
小	mala
相似	slični
相似	slične
相似	sličan
相似	slična
相似	sličnim
相似	sličnost
區	zona
區	zonu
區	okrug
人口	demografija
人口	populacija
四	četiri
政府	vlade
政府	vlast
將	will
將	će
將	ce
高	visoko
高	visoki
高	visoka
高	visok
高	visoki
高	gao
美國	amerika
集	setu
集	set
集	postavio
集	postavljeni
集	epizode
集	epizoda
台灣	tajvan
世界	world
世界	svjetski
世界	svijet
南	nan
南	jug
路	put
五	pet
本	benu
本	bene
本	ben
金	jin
金	zlato
金	kim
文	wen
林肯	lincoln
林肯	linkoln
人民	narod
包括	uključivala
包括	uključena
包括	uključuju
包括	uključiti
包括	uključujući
包括	obuhvaća
包括	obuhvata
包括	uključuje
峰	vrhunac
峰	peak
峰	peaks
峰	vrhova
位於	lociran
其他	ostala
其他	ostale
其他	drugim
其他	drugi
其他	ostali
其他	drugi
塔	pagoda
塔	toranj
縣	županija
縣	okrug
縣	kanton
第一	prvo
第一	prvi
任	ren
時間	vrijeme
比	odnos
元	meta
元	juana
元	dolar
元	osvojen
元	pobijedio
元	pobijedila
元	osvojena
元	pobjedio
中國	kina
六	šest
主要	major
主要	glavne
主要	glavna
主要	glavno
主要	glavni
城	grad
城	dvorac
法	metod
中心	centri
中心	centre
中心	centar
中心	centar
線	linija
線	linije
線	nit
第二	drugi
山	planina
山	mount
山	brdo
山	planine
山	planina
加	dodaju
加	dodati
加	dodajte
加	plus
太空	prostor
自己	sebe
自己	sobom
自己	sebi
張	chang
張	zhang
內	unutrašnji
內	unutrašnja
主	gospodara
主	gospodar
主	gospod
主	gospodaru
主	lord
雷	ray
管理	menadžment
管理	vođenje
管理	upravljanje
成為	postati
成為	postanu
成為	postale
成為	postao
建	izgradnji
建	gradi
建	grade
建	graditi
建	sagraditi
建	sagrađena
建	izgrađena
建	izgrađeno
建	izgradio
性	seksualnost
性	seksualnu
性	spolno
性	spolni
性	seksualna
性	spol
成	sung
代表	predstavnici
代表	zastupnik
代表	predstavnik
那	potom
那	onda
那	tada
那	zatim
公里	kilometar
公里	kilometara
海	moru
海	more
海	okean
這	ove
大學	univerzitetima
大學	univerziteti
大學	univerzitet
大學	fakultet
大學	koledž
版	izdanje
版	verzija
從	od
羅	luo
原	originalni
原	originalna
原	prvobitni
原	originalne
原	original
原	hara
工作	posao
工作	rad
工作	jobs
工作	poslovi
工作	radna
工作	radi
工作	radeći
工作	radio
工作	radnu
北	sjever
政治	politika
政治	politička
政治	politički
星	zvijezda
星	zvijezda
星	zvezde
她	ona
陳	cen
陳	chan
他的	njegovo
他的	njegov
他的	njegova
面	noodles
作品	radovi
作品	funkcioniše
作品	radi
河	rijeka
文化	kultura
文化	kultura
條目	unose
馬	konjima
馬	konji
馬	konj
氏	klan
氏	klana
更	više
曼	men
電影	film
電影	kino
電影	kinematografija
電影	cinema
電影	film
電影	filmovi
電影	filmova
季	sezona
季	sezona
龍	zmajevi
龍	pluća
龍	zmaj
龍	dragon
女	žena
女	ženka
正式	formalno
正式	zvanicno
正式	službeno
正式	zvanično
正式	formalne
正式	formalna
正式	formalni
外	izvan
明	ming
美	lijepe
美	lijepa
美	ljepota
字	riječ
字	riječi
字	reči
因為	jer
北京	peking
北京	peking
不同	drugačija
不同	drugačije
不同	različita
不同	različito
不同	različiti
不同	različitih
足球	nogomet
足球	fudbal
足球	nogomet
足球	fudbala
足球	fudbalu
足球	football
足球	fudbal
目前	trenutna
目前	trenutno
所有	all
所有	svi
所有	sve
部分	djelimična
部分	djelimični
部分	delimično
部分	djelimično
中央	central
中央	centralni
中央	centralna
森	sen
森	mori
郡	županija
郡	okrug
國家	države
國家	država
國家	zemlja
國家	država
國家	nacionalni
國家	nacionalna
國家	zemljama
國家	zemlje
球	lopta
生	sirovog
但是	ali
街	street
街	ulice
街	ulica
提供	obezbjeđen
提供	obezbijeđen
提供	obezbijedila
提供	obezbjeđena
提供	obezbijedi
提供	obezbijediti
城市	grad
城市	gradovi
一些	neki
長	dugi
長	dug
長	dugu
長	long
長	dugo
水	voda
人物	karaktera
人物	karakter
人物	lik
軍	vojska
軍	armija
加入	pridružile
加入	pristupanje
英	ying
上海	šangaj
史	shi
第三	treći
第三	treća
第三	treće
屬	genus
魚	ribe
波	talas
回	nazad
回	back
回	vrati
無	nijedan
無	nijedna
吉	kat
你	vi
你	ti
你	you
你	te
方	fang
話	dijalekt
東	istok
英國	engleska
周	sedmica
周	sedmica
周	zhoua
周	čau
石	shi
石	stone
石	kamen
石	kameno
石	kameni
事件	incident
事件	incidenata
事件	incidente
事件	događaja
事件	događaji
事件	dešavanja
事件	manifestacija
事件	događaj
建立	stvaranje
建立	osnivanje
建立	izgradnji
建立	gradi
建立	grade
建立	graditi
建立	sagraditi
生活	živi
生活	living
生活	živo
生活	živa
生活	život
派	pita
教育	obrazovna
教育	obrazovanje
車站	stanica
之後	nakon
萬	wan
國際	međunarodno
國際	međunarodni
國際	international
獎	nagrade
獎	nagrada
獎	nagrade
完成	završila
完成	završio
完成	završeno
完成	završiti
完成	uradio
