dhe	وال
një	احد
një	واحدة
një	واحد
një	واحده
nga	من
nga	from
për	لاجل
edhe	حتى
edhe	حتي
tij	ده
nuk	ليس
nuk	لا
nuk	وليس
nuk	مش
ishte	كانت
ishte	كان
shumë	جدا
por	لكن
por	بس
por	ولكن
pas	بعدما
pas	بعد
këtë	هذا
këtë	هذه
parë	شوهد
parë	رايت
tyre	هم
mund	يمكن
mund	يستطيع
mund	يمكن
mund	يم
gjatë	لونغ
gjatë	الطويل
gjatë	طويلا
gjatë	طويلة
gjatë	طويل
disa	البعض
disa	بعض
lidhje	الوصلات
lidhje	الصلات
lidhje	روابط
lidhje	الروابط
lidhje	وصلات
lidhje	علاقة
lidhje	العلاقة
lidhje	العلاقات
lidhje	علاقه
lidhje	اتصال
lidhje	الاتصال
lidhje	الرابط
lidhje	لينك
lidhje	وصلة
lidhje	ربط
lidhje	رابط
kjo	هذا
kjo	هذه
kjo	هذا
kjo	ذلك
kur	حين
kur	عندما
kur	متى
mbi	اعلاه
deri	حتى
jashtme	الخارجية
jashtme	خارجي
jashtme	خارجية
jashtme	الخارجي
jashtme	خارجي
jashtme	خارجية
saj	لها
saj	هي
ajo	انها
ajo	هي
vetëm	لوحدي
vetëm	وحده
vetëm	وحيد
vetëm	وحيدة
vetëm	وحدي
vetëm	فقط
vetëm	مجرد
vetëm	فقط
ata	هم
ata	هؤلاء
ata	اولئك
ata	هم
ata	انهم
tjera	اخرى
pjesë	اجزاء
pjesë	الاجزاء
pjesë	جزء
pjesë	الجزء
atë	له
atë	هو
sipas	وفقا
sipas	طبقا
shqiptare	الباني
shqiptare	الالبانية
shqiptare	البانيا
shqiptare	الالباني
shqiptare	البان
madhe	الكبير
madhe	كبيرة
madhe	كبيره
madhe	كبير
rreth	حول
rreth	بشان
rreth	بخصوص
rreth	عن
rreth	حو
rreth	حولي
para	فلوس
para	نقود
para	اموال
para	المال
para	مال
para	النقدية
para	نقدية
para	نقد
para	كاش
para	نقدا
para	قبل
per	حول
per	بشان
per	بخصوص
per	عن
per	لاجل
këto	هؤلاء
këto	هذه
banorë	ساكن
banorë	السكان
banorë	المقيمون
banorë	المقيمين
komuna	البلديات
komuna	بلديات
komuna	البلدية
komuna	بلدية
cila	ايهما
cila	الذي
cila	والذي
nje	احد
nje	واحدة
nje	واحد
nje	واحده
kundër	العداد
kundër	مضاد
kundër	ضد
lista	قائمة
lista	قائمه
lista	القائمة
lista	قوائم
lista	القوائم
kantoni	كانتون
gjithashtu	ايضا
gjithashtu	كمان
ndërsa	بينما
cilat	ايهما
cilat	الذي
cilat	والذي
ndryshme	مختلف
ndryshme	مختلفة
ndryshme	مختلفا
ndryshme	مختلفين
ndryshme	متباينة
etj	الخ
duhet	حاجة
duhet	الحاجة
duhet	لازم
duhet	يجب
sipërfaqe	الاسطح
sipërfaqe	اسطح
sipërfaqe	سطح
sipërfaqe	السطح
ato	هم
ato	هم
ato	انهم
ato	هؤلاء
ato	اولئك
përgjithshëm	عام
përgjithshëm	لواء
