ইউরেনিয়াম	ураниум
গিল্ড	еснаф
অবাধ	бунтовна
অবাধ	бунтовничка
অবাধ	бунтовнички
অবাধ	бунтовник
আকর্ষণের	привлекувањето
আকর্ষণের	атракција
আকর্ষণের	привлечност
আকর্ষণের	привлекување
মনিকা	моника
মনিকা	моника
ঝামেলা	неред
ঝামেলা	збрка
ঝামেলা	неволја
ঝামেলা	проблем
ঝামেলা	проблеми
সমীর	самир
সমীর	самир
জজ	судија
জজ	судијата
কমান্ডো	командоси
সামঞ্জস্যপূর্ণ	компатибилни
সামঞ্জস্যপূর্ণ	компатибилен
ঐতিহ্যগতভাবে	традиционално
মিখাইল	михаил
ব্রুনাই	брунеј
অনুদিত	преведено
অনুদিত	преведени
অনুদিত	преведена
অনুদিত	преведен
দোষ	вина
দুরে	слатка
দুরে	сладок
দুরে	слатко
গঠনমূলক	конструктивно
গঠনমূলক	конструктивен
গঠনমূলক	конструктивни
গঠনমূলক	конструктивна
অন্যায়	неправда
অন্যায়	неправдата
ছদ্মনাম	псевдоним
স্টেইন	стајн
চিকন	тенко
চিকন	тенок
চিকন	тенки
চিকন	тенка
রূপা	сребрено
রূপা	сребрен
রূপা	сребрена
রূপা	сребро
রূপা	сребрени
শিখা	пламен
মুফতি	муфтија
সমর	самар
জেরি	џери
সামগ্রিকভাবে	севкупно
সামগ্রিকভাবে	општо
অপেক্ষায়	чекањето
অপেক্ষায়	чекам
অপেক্ষায়	чекајќи
অপেক্ষায়	чекање
অপেক্ষায়	чека
অপেক্ষায়	чекаат
নিবেদিত	посветен
নিবেদিত	посветена
নিবেদিত	посветено
ইতি	веке
ইতি	веќе
বারি	бари
আভিধানিক	лексичка
রিচার্ডসন	ричардсон
দামী	скапо
দামী	скап
দামী	скапи
এডি	еди
আংশিকভাবে	делумно
ভুট্টা	пченка
ভুট্টা	пченка
ইয়াকুব	jacob
ইয়াকুব	јакоб
ইয়াকুব	џејкоб
কভার	насловната
কভার	корица
কভার	насловна
কভার	навлаки
কভার	покрива
প্রতিযোগীতা	натпревар
গর্ভবতী	бремена
গর্ভবতী	трудна
গর্ভবতী	бремени
বারাক	барак
বারাক	барак
কবে	кога
ব্যতিক্রমী	исклучителна
ব্যতিক্রমী	исклучителни
ব্যতিক্রমী	исклучително
ব্যতিক্রমী	исклучителен
ভূমধ্যসাগরীয়	медитерански
ভূমধ্যসাগরীয়	медитеранска
অন্তর্বর্তী	привремениот
প্রতিনিয়ত	постојано
প্রতিনিয়ত	константно
পেইজ	пејџ
পেল	епл
পেল	јаболко
পেল	apple
এবিসি	abc
গাইতে	пеам
গাইতে	синг
গাইতে	пеј
গাইতে	пејте
গাইতে	пеат
সার্কাস	циркус
প্রতীকী	симболичен
প্রতীকী	симболично
প্রতীকী	симболички
প্রতীকী	симболична
গিনেস	гинисовата
গিনেস	гинис
ফর্মুলা	формула
ভিসা	визи
ভিসা	виза
ভিসা	визи
কমিকস	стрип
কমিকস	графичко
কমিকস	стрипови
কমিকস	стриповите
আঙুল	прст
আঙুল	прстот
আঙুল	прстите
আঙুল	прсти
সভ্য	цивилизирани
সভ্য	цивилизирано
সভ্য	цивилизиран
লক্ষাধিক	милионски
লক্ষাধিক	милиони
ইউটিউব	youtube
ইউটিউব	јутјуб
মোক্ষ	мокшански
ঠাণ্ডা	студ
ঠাণ্ডা	ладно
ঠাণ্ডা	ладна
ঠাণ্ডা	студено
ঠাণ্ডা	студена
ঠাণ্ডা	замрзнување
উইসকনসিন	висконсин
আরোপিত	наметнати
আরোপিত	наметната
আরোপিত	наметнат
কোকা	кока
আরু	ару
শিশুরা	деца
শিশুরা	деца
শিশুরা	бебиња
প্রত্যেকে	сите
প্রত্যেকে	секого
বাদাম	орев
বাদাম	бадеми
বাদাম	лешници
বাদাম	ореви
ভালবাসার	љубов
ভালবাসার	љубовта
অগণিত	безбројни
অগণিত	безброј
মাল্টি	мулти
দাবির	тврдење
দাবির	барања
দাবির	тврдења
দাবির	претензии
দাবির	тврди
দত্তক	усвојувањето
দত্তক	усвојување
দত্তক	посвојување
মাইলফলক	обележје
মাইলফলক	пресвртница
হ্যারল্ড	харолд
হ্যারল্ড	херолд
প্রোগ্রামার	програмери
প্রোগ্রামার	програмер
টিকিট	карти
টিকিট	билети
টিকিট	карта
টিকিট	билет
নিরাপদে	безбедно
অ্যালুমিনিয়াম	алуминиум
অ্যালুমিনিয়াম	алуминиумски
অ্যালুমিনিয়াম	алуминиум
অ্যালুমিনিয়াম	алуминиумски
বলল	рече
বলল	рекол
ময়ূর	паун
হুগো	хуго
রুটি	леб
ভয়ঙ্কর	застрашувачко
ভয়ঙ্কর	страшна
ভয়ঙ্কর	страшни
ভয়ঙ্কর	страшно
ভয়ঙ্কর	страшен
ভয়ঙ্কর	ужасни
ভয়ঙ্কর	ужасна
ভয়ঙ্কর	ужасно
মুলার	милер
পুঁজি	капитализам
বমি	повраќа
বমি	повраќање
বিসর্জন	жртвување
বিসর্জন	жртва
বেটা	бета
পাগলা	луд
পাগলা	лудите
পাগলা	луда
পাগলা	луди
পাগলা	лудо
আইনী	легално
আইনী	законска
আইনী	легална
আইনী	правна
আইনী	легален
আইনী	правен
ডেম	дем
ডেম	даме
কূটনীতিবিদ	дипломат
মুষ্টিযুদ্ধ	бокс
ল্যান্ড	ланд
ল্যান্ড	копно
ল্যান্ড	земјиште
সাথী	сограѓани
শামুক	полжави
শামুক	полжав
পাইন	пајн
পাইন	бор
পাইন	борови
লিঃ	лтд
কম্পন	земјотресот
কম্পন	вибрира
কম্পন	вибрација
কম্পন	вибрации
ক্রু	екипаж
ক্রু	екипа
নীহারিকা	маглина
এনজিও	нво
এনজিও	нво
কম্পানি	компанија
সাবমেরিন	подморница
যাকাত	милосрдие
যাকাত	добротворни
যাকাত	милостина
সুতা	конец
আরবরা	арапи
আরবরা	арапите
বিক্রেতা	трговци
বিক্রেতা	продавачи
বিক্রেতা	продавач
বিক্রেতা	продавачка
বিক্রেতা	продавачот
বিক্রেতা	продавач
মিসাইল	проектилите
মিসাইল	проектили
মিসাইল	ракети
মিসাইল	проектил
মিসাইল	ракета
বেবি	бебе
বেবি	орце
বেবি	душичка
বেবি	срце
অনানুষ্ঠানিক	неформални
অনানুষ্ঠানিক	неформалната
অনানুষ্ঠানিক	неформалниот
অনানুষ্ঠানিক	неформален
পরীক্ষক	тестери
ক্লোরাইড	хлорид
আক্রমণকারী	напаѓач
আক্রমণকারী	напаѓачот
আক্রমণকারী	напаѓачи
আক্রমণকারী	напаѓачите
ক্যাম্ব্রিয়ান	камбриум
ডিপ	deep
ডিপ	длабок
ডিপ	длабока
ডিপ	длабоко
ডিপ	длабоки
রাজনৈতিকভাবে	политички
ফুসফুস	дробови
ট্রাম্প	трамп
মাইক্রোপ্রসেসর	микропроцесор
প্রফুল্ল	весел
প্রফুল্ল	весело
অবিবাহিত	единствена
অবিবাহিত	сингл
অবিবাহিত	самец
কেন্দ্রীভূত	централизираната
অপরাজেয়	непобедлив
অপরাজেয়	непобедливи
অপরাজেয়	непобедлив
অপরাজেয়	непобедливи
সত্যিকারের	вистински
সত্যিকারের	реално
সত্যিকারের	вистинско
সত্যিকারের	вистинска
সত্যিকারের	реална
সত্যিকারের	реал
সত্যিকারের	вистинито
সত্যিকারের	вистина
আফ্রো	афро
মাদাগাস্কার	мадагаскар
অসন্তোষ	незадоволството
অসন্তোষ	незадоволство
লেহ	лех
আমের	амер
লোম	крзнена
নেটিভ	мајчин
নেটিভ	родно
ইমপ্রেস	импресионира
আইফোন	iphone
আইফোন	ајфон
দিয়া	dia
একত্রীকরণ	спојување
একত্রীকরণ	mer
ছাই	пепелта
ছাই	пепел
ছাই	еш
ছাই	пепел
ছাই	шкрилци
ফিজি	фиџи
সম্রাজ্ঞী	царица
জুনিয়র্স	јуниори
ধারন	фатено
ধারন	фатен
ধারন	фатени
পোর্টাল	порталот
পোর্টাল	портал
সতেরো	seventeen
সতেরো	седумнаесет
ঘৃণা	омраза
ঘৃণা	омраза
ঘৃণা	мразам
জ্যোতির্বিদ্যা	астрономија
জ্যোতির্বিদ্যা	астрономијата
গলফ	голф
গলফ	golf
শিশির	роса
হাবল	хабл
মীমাংসা	решавање
মীমাংসা	решеност
মীমাংসা	решителност
মীমাংসা	разреши
কাঠমান্ডু	катманду
ঝোঁক	нагласок
ঝোঁক	акцент
ফ্যাট	дебела
ফ্যাট	дебели
ফ্যাট	масти
ফ্যাট	сало
ফ্যাট	дебел
বন্টন	распределба
বন্টন	дистрибуција
অ্যাক্সেস	пристапот
অ্যাক্সেস	пристап
বাল	бал
অজস্র	бројни
অজস্র	бројните
নিয়োগের	регрутација
নিয়োগের	регрутирање
কেমিক্যাল	хемиско
কেমিক্যাল	хемиски
কেমিক্যাল	хемикалии
