категорија	categorie
година	jaar
како	hoe
како	zoals
како	like
што	wat
дека	dat
бил	bill
бил	wetsontwerp
бил	wetsvoorstel
кои	wie
кои	who
кои	welke
или	hetzij
или	ofwel
кој	wie
кој	who
тоа	dat
други	overige
други	andere
други	ander
други	overig
други	overige
други	andere
други	overigen
други	anderen
која	welke
има	heeft
била	was
македонија	macedonië
додека	terwijl
кога	wanneer
страна	kant
страна	zijde
страна	side
страна	zijkant
биле	waren
дел	deel
дел	gedeelte
дел	del
дел	dell
околу	ongeveer
околу	over
околу	rondom
околу	rond
време	tijd
век	eeuw
под	eronder
под	onder
под	under
може	kan
може	kon
може	kan
може	kunt
може	kunnen
неговата	zijn
еден	one
еден	één
еден	een
еден	eén
врски	dassen
врски	ties
врски	links
исто	hetzelfde
исто	zelfde
исто	same
надворешни	extern
надворешни	uitwendig
надворешни	externe
повеќе	more
повеќе	meer
податоци	gegevens
податоци	data
каде	waar
многу	zeer
многу	veel
многу	much
многу	loet
многу	kavel
многу	lot
објекти	faciliteiten
објекти	objecten
објекти	voorwerpen
години	jaar
години	jaren
календар	agenda
календар	kalender
сите	allen
сите	alle
сите	allemaal
сите	alles
сите	iedereen
една	one
една	één
една	een
една	eén
меѓу	tussen
било	elke
пред	voordat
пред	vóór
ова	dit
ова	deze
јазик	tongue
јазик	tong
јазик	taal
јазик	taalgebruik
само	alleen
само	enkel
само	slechts
само	gewoon
каталог	catalogus
каталог	catalogus
таа	ze
таа	zij
број	nummer
број	aantal
број	getal
овој	dit
овој	deze
градот	stad
беше	was
општ	generieke
односно	respectievelijk
кај	bei
оваа	dit
оваа	deze
тие	ze
тие	zij
нов	nieuw
нов	nieuwe
селото	sapporo
времето	weer
времето	tijd
некои	enkele
некои	sommigen
некои	sommige
претставува	vertegenwoordigt
претставува	representeert
место	spot
место	plaats
овие	deze
започнува	begint
започнува	begint
светот	wereld
преку	via
македонски	macedonische
неколку	weinigen
неколку	paar
неколку	weinig
неколку	meerdere
неколку	verschillende
неколку	verscheidene
земјата	aarde
земјата	earth
две	twee
две	two
небо	hemel
небо	lucht
небо	sky
небо	luchten
уште	nog
уште	more
уште	meer
список	lijstje
список	lijst
неговиот	zijn
септември	september
споменува	noemt
споменува	vermeldingen
кое	welke
сјај	glitters
сјај	glitter
сјај	gloeien
сјај	gloed
град	stad
град	stad
агол	corner
агол	hoekje
агол	hoek
агол	hoek
село	selo
село	dorpje
село	dorp
информации	info
информации	gegevens
информации	informatie
германија	germania
германија	duitsland
помеѓу	tussen
црква	kerk
подоцна	later
подоцна	straks
познати	bekende
познати	gekend
познати	gekende
познати	bekend
познати	beroemde
познати	beroemd
жители	inwoners
жители	bewoners
жители	inwoners
жители	bewoners
жители	ingezetenen
бидејќи	want
бидејќи	omdat
треба	nood
треба	need
треба	nodig
треба	noodzaak
треба	behoefte
својата	its
мини	mini
мини	mijnen
мини	mijnbouw
мини	minnie
против	tegen
голем	large
голем	groot
голем	grote
голем	big
голем	groot
голем	grote
период	tijdvak
период	periode
луѓе	mannen
луѓе	mensen
луѓе	personen
војна	oorlog
скопје	skopje
република	republika
република	republiek
три	drie
три	three
без	zonder
помош	assistentie
помош	bijstand
помош	helpen
помош	hulp
помош	help
помош	sos
помош	mayday
поделба	divisie
поделба	afdeling
поделба	deling
поделба	division
поделба	partitie
поделба	verdelen
поделба	verdeel
космос	kosmos
освен	behalve
над	over
над	hierboven
над	boven
неговите	zijn
иако	hoewel
иако	alhoewel
иако	hoewel
низ	trog
села	dorpen
села	dorpjes
почетокот	aftrap
пример	voorbeeld
јазици	talen
потоа	dan
потоа	daarna
потоа	naderhand
денес	vandaag
видот	gezichtsvermogen
начин	manier
начин	way
два	twee
два	two
точка	puntje
точка	dot
точка	stip
точка	punt
точка	point
заедно	samen
литература	literatuur
пак	alweer
пак	opnieuw
пак	nogmaals
пак	pac
пак	akp
