бюрото	பீரோ
словашки	ஸ்லோவாக்
царуването	ஆட்சி
тръба	பைப்
тръба	குழாய்
тръба	குழாய்
месото	இறைச்சி
такси	டாக்ஸி
такси	டாக்சி
такси	கேப்
албумите	தொகுதி
албумите	ஆல்பங்கள்
лош	கெட்ட
лош	மோசமான
лош	மோசம்
разработване	அபிவிருத்தி
разработване	விருத்தி
разработване	வளர்ச்சி
разработване	வளரும்
документа	ஆவணம்
запазено	ஒதுக்கப்பட்டது
статуи	சிலைகள்
айнщайн	ஐன்ஸ்டீன்
лора	லாரா
лора	லோரா
слухове	வதந்திகள்
плячка	இரை
плячка	பூட்டி
параклиса	சிற்றாலயம்
пера	சிறகுகள்
лоша	கெட்ட
лоша	மோசமான
лоша	மோசம்
достъпен	அணுகக்கூடிய
закрито	உள்ளரங்கு
петрол	பெட்ரோல்
петрол	எண்ணெய்
петрол	ஆயில்
петрол	பெட்ரோலிய
петрол	பெட்ரோலியம்
лихтенщайн	லீக்டன்ஸ்டைன்
суматра	சுமத்ரா
оператори	ஆப்பரேட்டர்கள்
слива	பிளம்
форуми	அவ்வமைப்பு
форуми	மன்றங்கள்
зареждане	ஏற்று
зареждане	உள்வாங்கு
зареждане	சுமை
зареждане	சார்ஜ்
зареждане	கட்டணம்
зареждане	ஏற்றப்படுகிறது
зареждане	சார்ஜ்
харисън	ஹாரிசன்
елзас	alsace
добавка	கூட்டல்
лингвистика	மொழியியல்
моделите	மாடல்கள்
панорама	பனோரமா
лидия	லிடியா
възможен	சாத்தியமா
възможен	சாத்தியமே
възможен	சாத்தியம்
раул	ராவுல்
митове	கட்டுக்கதைகள்
работилница	பட்டறை
галактика	கேலக்ஸி
галактика	பிரபஞ்சம்
клиент	வாடிக்கையாளர்
клиент	வாடிக்கையாளரின்
клиент	வாடிக்கையாளர்
клиент	உறுப்பினர்
клиент	கிளையன்ட்
завой	வளைத்து
емили	எமிலி
светкавица	மின்னல்
светкавица	ஃபிளாஷ்
светкавица	பிளாஷ்
светкавица	மின்னல்
мазнини	கொழுப்புகள்
мазнини	கொழுப்புக்கள்
мазнини	கொழுப்புகளை
мазнини	கொழுப்பு
мазнини	குண்டாக
мазнини	கொழுப்பை
самоубийство	தற்கொலை
достигане	பார்வை
крайни	அதீத
смесена	கலந்த
смесена	கலவை
смесена	கலப்பு
проектиран	வடிவமைக்கப்பட்டது
проектиран	வடிவமைத்து
проектиран	வடிவமைக்கப்பட்டுள்ளது
соломон	சாலமன்
екрана	திரை
джеси	ஜெஸ்ஸி
джеси	ஜெஸ்ஸி
глазгоу	கிளாஸ்கோ
растат	வளர
съкровище	அன்பே
съкровище	புதையல்
съкровище	பொக்கிஷம்
