マディソン	madison
サビ	rust
おもちゃ	leketøy
おもちゃ	leker
イヴ	eva
イヴ	eve
ポピュラー	populært
ポピュラー	populære
ポピュラー	populær
ポピュラー	folkelig
鋼鉄	stål
ケイト	kate
パンフレット	brosjyre
パンフレット	brosjyre
パンフレット	brosjyre
パンフレット	brosjyrer
メーター	meter
リンダ	linda
体積	volume
体積	volum
組み立て	montering
組み立て	forsamling
基底	grunnlag
基底	basis
有名人	kjendis
有名人	kjendis
有名人	kjendiser
消す	slukker
経費	bekostning
経費	utgift
経費	utgifter
ハーバー	harbour
ホリデー	holiday
ホリデー	ferie
ホリデー	helligdag
ミルウォーキー	milwaukee
超過	overflod
超過	overflødig
超過	overkant
ロク	rok
インテリア	interiør
公使	minister
公使	ministre
公使	ministrene
ジョッキー	jockey
キリスト教徒	christian
キリスト教徒	kristen
キリスト教徒	kristne
リヴァプール	liverpool
児島	kojima
カメ	turtle
カメ	skilpadde
カメ	havskilpadder
カメ	skilpadder
制裁	sanksjonere
制裁	sanksjoner
バックアップ	sikkerhetskopi
バックアップ	backup
ステファン	stefan
ステファン	stephan
スーダン	sudan
スーダン	sudan
細い	tynn
細い	tynt
細い	tynne
エキス	ekstrakt
キッズ	kids
キッズ	ungdommer
キッズ	kidsa
キッズ	unger
キッズ	barn
改宗	konvertert
改宗	ombygd
改宗	konverterte
改宗	omgjort
憲章	charter
正雄	masao
キティ	kitty
キティ	pus
敦子	atsuko
ねじ	skrue
ねじ	skruer
バースト	sprekke
母方	moderlig
警部補	løytnant
警部補	førstebetjent
諸侯	lords
諸侯	herrer
スキャンダル	skandalen
スキャンダル	skandale
トンプソン	thompson
テラス	terrasse
キプロス	kypros
キプロス	kypriotisk
ナイジェリア	nigeria
ナイジェリア	nigerianske
ナイジェリア	nigeria
ターナー	turner
調和	harmoni
調和	harmony
タニア	tania
笑う	ler
笑う	le
アゼルバイジャン	aserbajdsjan
サントス	santos
支出	utlegg
マインド	sinn
マインド	mind
知多	chita
ベオグラード	beograd
ミゲル	miguel
三船	mifune
元老院	senatet
元老院	senat
銘柄	merke
銘柄	brand
銘柄	merkevare
表彰台	podiet
見通し	prospect
見通し	prospekt
肺炎	lungebetennelse
三角形	trekant
クジラ	hvaler
クジラ	hval
レーニン	lenin
叫び	skriking
叫び	skrikende
叫び	skriker
叫び	skrik
叫び	scream
叫び	skrike
ヴュルテンベルク	württemberg
ゼット	zed
ハープ	harpe
ソプラノ	soprano
知人	kjenning
知人	bekjentskap
知人	bekjent
知人	bekjente
知人	bekjentskaper
北京市	beijing
遂に	endelig
ムード	humøret
ムード	mood
ムード	humør
パブリッシング	publisering
パブリッシング	publiserer
パブリッシング	publisere
薬局	apotek
薬局	apotek
薬局	apoteket
下町	downtown
下町	sentrum
ジョヴァンニ	giovanni
カラス	crow
カラス	kråke
模倣	imitasjon
ウォルト	walt
発酵	gjære
発酵	fermentering
伯父	onkel
伯父	onkelen
楽しい	moro
楽しい	artig
楽しい	gøy
楽しい	fornøyelig
トマト	tomat
トマト	tomater
騒音	støy
騒音	bråk
英明	klokt
英明	kloke
英明	wise
英明	klok
基質	substrat
流す	flush
府県	prefekturer
流派	skolene
流派	skoler
エステル	ester
エステル	estelle
ラルフ	ralph
ラルフ	rolf
ノーマル	normalt
ノーマル	normale
ノーマル	normalen
ノーマル	normal
布施	sikring
インタフェース	grensesnitt
遺物	relikvier
ナチュラル	naturlige
ナチュラル	natural
ナチュラル	naturlig
ナチュラル	naturtalent
ボヘミア	böhmen
紡績	spinner
紡績	spinning
ディアス	díaz
ディアス	diaz
チャイナ	china
チャイナ	kina
こだわり	besettelse
ディフェンダー	forsvarer
入国	innvandring
ラード	smult
代理人	representativt
代理人	representant
代理人	agenten
代理人	agent
レンツ	lenz
売春	prostitusjon
ドリル	bore
ドリル	drill
平戸	hirado
話し合い	diskusjon
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsingfors
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hannover
ハノーファー	hannover
製造業	produksjon
製造業	produsere
製造業	produksjon
製造業	produserer
宣告	sentence
宣告	setning
マフィア	mafia
マフィア	mafiaen
ルビ	ruby
金髪	blonde
金髪	blond
金髪	blondine
金髪	blondt
小野田	onoda
ヴィオラ	viola
不幸	ulykkelige
不幸	ulykkelig
不幸	misfornøyd
開花	blomstrende
開花	blooming
ジュール	jules
ジュール	joule
反動	reaksjonær
賀茂	kamo
ナミ	nami
回帰	regresjon
アンカー	ankeret
アンカー	anker
アンカー	anker
ネバダ	nevada
溶接	sveising
