המשלוח	expediere
להינשא	casatori
פורמלי	formale
פורמלי	formala
פורמלי	formal
הערכת	evaluarea
הערכת	evaluare
סיפון	punte
סיפון	puntea
בכר	behar
בכר	bakr
הגיל	varsta
הגיל	varsta
הגיל	varsta
הגיל	age
טק	tec
טק	tech
בצמוד	alaturate
בצמוד	adiacente
תומפסון	thompson
הש	hesh
שלד	scheletice
שלד	scheletul
שלד	schelet
כותבת	scrierea
כותבת	scriind
כותבת	scriere
כותבת	scriu
פרננדו	fernando
חיתוך	taiere
פסוקים	versuri
גויס	recrutat
הנאה	placerea
הנאה	placere
הנאה	placerea
הנאה	placere
קודמת	anterior
קודמת	precedenta
קודמת	anterioare
קודמת	precedent
נורמן	norman
מוקשים	minele
חסד	mercy
חסד	mila
חסד	mila
חסד	bunatate
חסד	bunatatea
חסד	har
חסד	harul
חסד	grace
חסד	gratie
הולמס	holmes
גולדשטיין	goldstein
מליון	milioane
מליון	milion
אתגר	provocare
אתגר	provocarea
נערים	baieti
נערים	baieti
נערים	adolescenti
נערים	flacai
החשבון	cont
החשבון	contul
במעט	usor
הדוק	strans
הדוק	strans
ליישם	implementeaza
ליישם	implementeze
צריכת	aportul
צריכת	admisie
צריכת	consumul
צריכת	consum
צריכת	consumului
לותר	lothar
לותר	luther
לותר	luthor
פרוטוקול	protocol
פרוטוקול	protocolul
לחזית	front
לחזית	fata
ליף	leif
אוסטרי	austrieci
אוסטרי	austriece
אוסטרי	austriac
אוסטרי	austriaca
המחיר	pret
המחיר	pretul
המחיר	pretul
המחיר	pret
פרסומת	comerciale
פרסומת	comercial
פרסומת	reclama
פרסומת	comerciala
בהרחבה	extensiv
חלשה	slaba
חלשה	slabit
חלשה	slab
חלשה	slaba
סערה	furtuna
סערה	furtuna
סערה	storm
מנגן	redarea
מנגן	jucand
מנגן	mangan
מנצחים	invingatori
הורג	ucidere
הורג	uciderea
מל	mel
מל	mal
הומור	umorul
הומור	umor
הומור	umorul
הומור	umor
ששון	sasson
ששון	sassoon
טיים	timp
טיים	ora
טיים	timpul
מירון	meron
השכונות	cartierele
השכונות	cartiere
אשראי	credit
אשראי	creditul
רוזנברג	rosenberg
ארנה	arena
ארנה	arena
זרמים	fluxuri
גדודים	cohorte
גדודים	batalioane
רוצח	killer
רוצח	criminal
רוצח	criminal
רווחה	bunastarea
רווחה	bunastare
אורלינס	orleans
הפיליפינים	filipine
חסידים	urmaritorii
חסידים	urmaritori
חסידים	discipolii
חסידים	discipoli
ניסים	minuni
ניסים	miracolele
ניסים	miracole
ניסים	nissim
נשימה	respiratie
נשימה	respiratie
נשימה	respiratie
נשימה	respirand
נשימה	respiratie
המשיח	christos
המשיח	hristos
המשיח	cristos
המשיח	hristoase
ריקו	rico
זירת	scena
זירת	scena
סטודיו	studiouri
סטודיו	studiourile
סטודיו	studios
סטודיו	studio
סטודיו	studioul
נפגעה	deteriorat
נפגעה	deteriorata
נפגעה	avariate
נפגעה	avariat
נפגעה	deteriorate
גורל	destiny
גורל	destinul
גורל	destin
גורל	soarta
גורל	soarta
גורל	destin
אריזונה	arizona
בטוחה	increzatoare
בטוחה	increzator
בטוחה	increzatori
אסטוניה	estoniei
אסטוניה	estonia
בודק	verific
בודק	verificarea
קונצרטים	concertele
קונצרטים	concerte
העמדה	pozitie
העמדה	pozitia
העמדה	pozitia
העמדה	pozitie
העמדה	pozitie
מסעדות	restaurante
מסעדות	restaurantele
ארט	arta
ארט	arta
ארט	art
יקום	univers
יקום	universul
מיניות	sexualitate
מיניות	sexualitatea
מיניות	sexuala
מיניות	sexuale
מיניות	sexuala
מיניות	sexual
סודי	secreta
סודי	secret
סודי	secreta
סודי	secrete
סודי	secretul
סודי	confidentiale
סודי	confidential
סודי	confidential
להבהיר	clarifica
להבהיר	clarifica
אחי	bro
אחי	frate
אחי	gagiu
אחי	omule
אחי	dude
אחי	frate
אחי	fratele
פאשה	pasha
בהתחשב	considerand
קדומה	prejudecata
קדומה	prejudiciu
דיק	scula
דיק	dick
דיק	pula
דיק	pula
עדים	martorii
עדים	martori
עדים	martorul
עדים	martora
עדים	martor
עדים	martori
צפויה	asteptat
צפויה	asteptam
צפויה	previzibile
צפויה	previzibila
צפויה	previzibil
כיס	buzunar
כיס	buzunarul
ברמות	nivelurile
ברמות	niveluri
ברמות	nivele
שותפות	parteneriat
שותפות	parteneriatul
נחת	aterizat
נחת	debarcat
נחת	marin
נחת	marina
נחת	marine
מיר	mir
לטביה	letoniei
לטביה	letonia
לטביה	letona
מנהרות	tuneluri
מנהרות	tunelele
מנהרות	tunelurile
מנהרות	tunele
ערובה	ostatici
ערובה	ostatec
ערובה	ostatic
ערובה	garantia
ערובה	garantie
ערובה	garanta
מוקף	inconjurat
מוקף	inconjurata
מוקף	inconjurat
גנטית	genetic
גנטית	genetic
גנטית	genetica
גנטית	genetice
הוסף	adaugare
הוסף	adauga
הוסף	add
הוסף	adauga
בוואריה	bavarez
בוואריה	bavaria
אוריינות	erudit
אוריינות	alfabetizare
פשוטות	simplu
פשוטות	simple
פשוטות	simpla
אמנותי	artistice
אמנותי	artistic
אמנותי	artistica
אורחים	vizitatorii
אורחים	vizitatori
אורחים	oaspeti
אורחים	musafiri
איומים	amenintari
איומים	amenintari
אטומי	atomice
אטומי	atomic
אטומי	atomica
אטומי	atomica
תקלה	defectiune
מישיגן	michigan
כיסא	fotoliu
כיסא	scaun
הילדה	hilda
