karen	karen
sloučit	合併
reforma	改革
proteiny	蛋白質
proteiny	蛋白
proteiny	蛋白質
proteiny	蛋白
england	英國
england	英格蘭
hlášení	報告
hlášení	檢舉
hlášení	報告
hlášení	報告
odstraňování	處置
paralelní	並行
paralelní	平行
raketoplán	太空梭
raketoplán	穿梭
přesnost	精度
přesnost	精准
přesnost	精確
přesnost	精確度
přesnost	精密
přesnost	準確性
přesnost	精確度
přesnost	精度
přesnost	準確度
vertikální	垂直
vertikální	縱向
podnět	投訴
podnět	申訴
podnět	刺激
podnět	激勵
podnět	倡議
ball	球
popularitu	人氣
dramatické	戲劇性
železná	鋼鐵
železná	鐵
zabití	殺戮
zabití	殺害
mont	蒙特
mont	蒙
ilegální	非法
deutschen	deutschen
čistá	乾淨
čistá	清潔
čistá	純潔
čistá	純純
čistá	純
čistá	純粹
sta	sta
dialog	對話
dialog	對話
expanze	膨脹
expanze	擴建
expanze	擴張
expanze	拓展
expanze	擴大
expanze	擴展
příkop	壕溝
příkop	海溝
příkop	戰壕
příkop	溝
příkop	溝渠
příkop	護城河
tržní	市場
agresivní	咄咄逼人
dean	dean
campbell	campbell
obnovy	回收
obnovy	恢復
obnovy	康復
obnovy	復原
obnovy	復蘇
životnost	終生
životnost	一生
životnost	終身
životnost	耐用
radar	雷達
alain	alain
pochopil	理解
mapování	繪圖
mapování	製圖
expozici	暴露
expozici	曝光
expozici	曝露
tábory	營地
sourozenci	兄妹
mrtvý	死
vysílat	廣播
vysílat	直播
vysílat	播放
vysílat	播出
týdnech	星期
týdnech	周
týdnech	週數
phoenix	鳳
phoenix	鳳凰
řez	切
řez	削減
řez	剪
řez	割
řez	切口
vyhnanství	流亡
vyhnanství	放逐
vyhnanství	流放
vyhnanství	流放
boulevard	大道
pořádek	訂單
pořádek	命令
pořádek	秩序
pořádek	訂購
pořádek	順序
cruz	cruz
tepelné	熱力
monografie	專論
porušování	違反
porušování	違規
prodat	賣
prodat	出售
dennis	dennis
respekt	尊敬
respekt	尊重
objektivní	目標
kometa	彗星
optimální	最優
optimální	最佳
optimální	最佳
obydlí	住宅
servery	伺服器
libanonu	黎巴嫩
překvapení	驚喜
překvapení	驚奇
minimum	最少
minimum	最小
galaxií	星系
galaxií	銀河
galaxií	星系
galaxií	galaxy
galaxií	銀河系
prach	塵土
prach	塵
prach	塵埃
prach	灰塵
prach	粉
prach	粉末
prach	火藥
fotografka	攝影師
blesk	閃光
blesk	閃光燈
blesk	flash
blesk	閃
blesk	閃電俠
blesk	閃電
blesk	電光
edgar	edgar
koni	馬
koni	馬匹
productions	製作
chu	楚
vývojové	發育
lorenzo	lorenzo
maximum	最大值
maximum	最大限度
těžší	更重
těžší	重
tváře	臉頰
tváře	頰
tváře	臉
tváře	面孔
optické	光學
úpadek	拒絕
úpadek	減少
úpadek	下降
úpadek	衰落
úpadek	破產
vystaven	暴露
vystaven	曝光
hollywood	好萊塢
houston	休士頓
molekulární	分子
tvrdě	難
tvrdě	硬
tvrdě	辛苦
jámy	坑
jámy	坑
vlasů	頭髮
vlasů	毛髮
vlasů	髮型
vlasů	發
izolace	絕緣
izolace	隔熱
izolace	隔絕
izolace	隔離
izolace	孤立
izolace	與世隔絕
kyslík	氧氣
kyslík	氧
money	金錢
money	錢
colin	colin
sochu	雕像
sochu	雕塑
sochu	塑像
modifikace	修改
indonésie	印度尼西亞
synagogy	會堂
umožnit	啟用
umožnit	允許
umožnit	容許
kriminální	罪犯
předávání	傳送
předávání	傳輸
předávání	轉送
předávání	轉發
loďstvo	艦隊
loďstvo	船隊
loďstvo	車隊
koupit	購買
koupit	買
standardy	標準
had	蛇
štíty	盾牌
využívané	被剝削
eseje	作文
domény	網域
domény	域
domény	藩
domény	網域
domény	域
šedá	灰色
šedá	灰
šedá	灰色
šedá	灰
šedá	grey
muslimové	穆斯林
učitelka	老師
učitelka	教師
vzdálená	遙遠
vzdálená	遠方
vzdálená	偏遠
vzdálená	遙控
vzdálená	遙控器
pont	蓬
prototypy	原型
bonus	獎金
bonus	紅利
bonus	獎勵
ryba	魚類
ryba	魚
ryba	魚兒
rádio	電台
rádio	廣播
rádio	無線電廣播
rádio	收音機
rádio	廣播電台
rádio	無線電
samantha	samantha
jeskyni	山洞
jeskyni	洞穴
jeskyni	洞
tenor	男高音
eugen	eugen
polskem	波蘭
měny	貨幣
měny	幣值
měny	貨幣
indiáni	印地安人
maxe	最多
maxe	max
maxe	最大
modernizaci	現代化
synonymum	同義詞
synonymum	同義字
geografické	地理
melodie	曲調
melodie	旋律
melodie	調
kostýmy	服裝
kostýmy	戲服
kostýmy	服裝
kostýmy	戲服
břišní	腹壁
břišní	腹部
dinosaurů	恐龍
police	架子
police	貨架
police	書架
police	架子
police	貨架
police	書架
fra	fra
gravitační	地心引力
gravitační	引力
gravitační	重力
likvidace	處置
likvidace	清算
dinosaura	恐龍
účty	賬單
účty	帳單
účty	法案
účty	決算
elektřiny	電力
elektřiny	供電
elektřiny	電
brigáda	旅
vrtulníků	直升機
vrtulníků	直升飛機
venkovské	農村
otroctví	奴隸制
otroctví	奴役
otroctví	綁縛
otroctví	束縛
otroctví	奴役
registrace	註冊
registrace	登記
nalezeno	找到
nalezeno	發現
přilehlé	鄰接
přilehlé	相鄰
přilehlé	鄰近
přilehlé	毗鄰
trhy	市場
novinářka	記者
návštěvníci	遊客
návštěvníci	訪客
pracovníci	勞動者
pracovníci	工人
rovná	等於
pravidelný	定期
pravidelný	經常
munice	彈藥
munice	彈藥
komisař	政委
zábradlí	扶手
zábradlí	欄桿
zábradlí	欄桿
zábradlí	扶手
čtyřicet	四十
čtyřicet	forty
justice	正義
justice	司法
podrobnosti	細節
podrobnosti	詳情
ruda	礦石
výměnu	兌換
výměnu	交換
výměnu	交易所
výměnu	交流
bojovníků	勇士
bojovníků	戰鬥機
bojovníků	鬥士
anonymní	匿名
anonymní	無名氏
osmé	第八
africké	非洲
dary	禮物
dary	送禮
dary	禮品
dary	捐贈
dary	捐助
dary	捐款
malajsie	馬來西亞
pacific	太平洋
kosmická	宇宙
odznak	徽章
odznak	警徽
shodné	相同
klienta	客戶
příjezdu	抵達
příjezdu	到達
kompaktní	協約
kompaktní	緊湊
kompaktní	契約
úlohy	任務
úlohy	作用
úlohy	角色
rakovinu	癌症
rakovinu	癌
platformy	平台
platformy	站台
platformy	平台
dramatický	戲劇性
vektor	載體
vektor	向量
kritérium	標準
molekul	分子
morris	morris
walker	walker
pokoje	客房
pokoje	房間
fasáda	外觀
mléko	乳
mléko	牛奶
mléko	奶
malíři	畫家
malíři	畫師
malíři	畫家
otvory	孔洞
ralph	ralph
kvantové	量子
oblíbená	熱門
oblíbená	流行
oblíbená	受歡迎
oblíbená	人氣
oblíbená	最愛
oblíbená	喜愛
kamery	照相機
kamery	相機
příloha	附件
bass	低音
bass	bass
helsinkách	赫爾辛基
jupiter	木星
kazachstán	哈薩克
dobývání	征服
dobývání	征服
vyhlášky	法令
vyhlášky	政令
turbo	渦輪
android	android
koření	調味料
koření	調味
koření	香料
koření	香料
sůl	食鹽
sůl	鹽
abstraktní	摘要
abstraktní	抽象
maxima	格言
maxima	maxima
krvi	血液
krvi	血
krvi	血跡
krvi	鮮血
laurent	laurent
mini	mini
mini	迷你
happy	開心
happy	快樂
happy	高興
happy	幸福
happy	happy
christoph	christoph
zaplatit	付費
zaplatit	付款
zaplatit	支付
kin	電影院
hunter	獵人
postupné	漸進
postupné	逐漸
postupné	逐步
postupné	漸進
postupné	進步
postupné	累進
postupné	逐步
termíny	日期
termíny	用語
termíny	術語
termíny	條款
jezdce	騎手
jezdce	騎手
loďstva	船隊
putování	旅途
putování	旅程
putování	徘徊
putování	流浪
putování	遊蕩
kapitál	資本
kapitál	首都
stack	堆疊
stack	棧
okamžik	時刻
dědeček	爺爺
dědeček	祖父
zločiny	罪行
zločiny	犯罪
střechu	屋頂
pen	鋼筆
pen	筆
sodný	鈉
prázdné	空白
prázdné	空
prázdné	空白
etapy	階段
zavést	引入
dutiny	腔
dutiny	鼻竇
dutiny	蛀牙
ponožky	襪
ponožky	襪子
nahrazení	替代
nahrazení	替換
nahrazení	更換
nahrazení	置換
nahrazení	替代
mechaniky	力學
rozsudek	判斷
rozsudek	判決
rozsudek	判斷力
rozsudek	裁決
rozsudek	判決
rozsudek	判斷
rozsudek	判決
rozsudek	判斷力
rozsudek	句子
rozsudek	刑期
rozsudek	判刑
pokoj	房間
pokoj	房
soc	soc
bush	布希
sofia	sofia
rasy	種族
náhrobek	墓碑
náhrobek	墓碑
geologické	地質
nepřítel	敵軍
nepřítel	敵方
nepřítel	敵
nepřítel	敵人
odmítnutí	拒絕
přijímat	接收
babička	祖母
babička	阿婆
babička	奶奶
babička	阿嬤
evoluce	演化
evoluce	演變
evoluce	進化
evoluce	演進
přítelkyně	女友
přítelkyně	女朋友
účinné	高效
účinné	有效率
účinné	有效
buffalo	水牛城
buffalo	野牛
buffalo	水牛
houba	海綿
houba	真菌
houba	香菇
houba	蘑菇
byty	公寓
zneužití	濫用
zneužití	誤用
zneužití	濫用
zneužití	虐待
kapitol	都城
prachu	塵土
prachu	塵
prachu	塵埃
prachu	灰塵
havárie	意外
havárie	事故
havárie	崩潰
havárie	撞車
havárie	墜毀
havárie	撞車
havárie	事故
kennedy	肯尼迪
kennedy	kennedy
paes	paes
miles	萬里
miles	miles
miles	英里
poroty	陪審團
vlhké	濕潤
vlhké	潮濕
vlhké	潮濕
poslání	任務
křížek	十字架
křížek	cross
křížek	十字
křížek	交叉
spojence	盟友
spojence	盟軍
spojence	盟國
spojence	同盟
spojence	盟友
spojence	ally
kotle	鍋爐
vězeň	俘虜
vězeň	囚犯
vězeň	犯人
vězeň	囚徒
mléka	乳
mléka	牛奶
mléka	奶
oslo	奧斯陸
cohen	cohen
homer	荷馬
proměnných	變數
maxim	格言
kláštery	寺院
rovné	直直
rovné	直
rovné	平等
sekvence	序列
sekvence	數列
sekvence	順序
prohlížeč	瀏覽器
splnit	履行
meče	劍
jeskyní	洞穴
jeskyní	山洞
seznamů	名單
seminář	研討會
seminář	討論會
seminář	研討會
fanoušky	粉絲
oltáři	祭壇
oltáři	壇
politici	政界人士
politici	政客
politici	政治家
natrvalo	永久
iva	iva
zakládající	創始
zakládající	建國
rozchod	失戀
rozchod	分手
terminál	終點站
terminál	終端
terminál	終端機
vodopád	瀑布
ffa	ffa
čaj	茶葉
čaj	茶
lovci	獵人
napojení	剪接
napojení	接合
operátor	經營者
torpédoborec	驅逐艦
železnic	鐵路
železnic	鐵道
připomínky	評論
připomínky	意見
námitky	反對
námitky	異議
odpovědnosti	責任
čištění	打掃
čištění	清潔
čištění	清洗
originál	原文
originál	原件
originál	原創
originál	原始
originál	原
minulost	過往
minulost	過去
nos	鼻
nos	鼻子
vinice	葡萄園
mírné	輕度
mírné	溫和
mírné	中等
mírné	適度
mírné	適中
mírné	溫和
závislý	上癮
závislý	依賴
strážce	守護神
strážce	守護者
strážce	守護
strážce	監護人
pravopis	拼字
pravopis	拼寫
past	圈套
past	陷阱
konkurence	競爭
konkurence	競賽
přesvědčil	深信
nákup	購買
nákup	買東西
nákup	購物
nákup	購買
nákup	購買
nákup	採購
nákup	購買
nákup	買
peklo	地獄
honda	本田
personální	人員
personální	人事
bach	巴赫
une	une
vězni	囚犯
vězni	犯人
vězni	囚徒
fish	魚類
fish	魚
fish	魚兒
haly	廳
haly	霍爾
haly	大廳
haly	hall
roztok	溶液
susan	susan
rozum	理由
rozum	理性
rozum	原因
nepřátelské	敵對
nepřátelské	敵意
nepřátelské	敵視
cukru	食糖
cukru	糖業
cukru	糖
rotace	輪值
rotace	旋轉
rotace	自轉
rotace	輪換
rotace	旋轉
beat	節拍
sdílení	共用
sdílení	共享
sdílení	分享
sdílení	共用
sdílení	共享
sdílení	分享
sdílení	share
sdílení	共享
sdílení	分享
sdílení	股份
předpoklady	先決條件
předpoklady	假設
předpoklady	假定
kresba	畫畫
kresba	繪圖
kresba	圖畫
kresba	繪畫
propagace	推廣
propagace	促銷
propagace	晉升
propagace	宣傳
propagace	公示
propagace	推廣
propagace	促銷
propagace	晉升
postižení	殘障
postižení	殘疾
postižení	殘障
postižení	傷殘
občanský	民事
číslice	位數
nájezdy	突襲
divoká	狂野
divoká	野
divoká	野性
divoká	野生
pavilon	館
pavilon	pavilion
sny	夢
sny	夢境
sny	夢想
api	api
api	api
křižáci	十字軍
luxusní	豪華
luxusní	奢侈品
luxusní	豪華
luxusní	奢華
luxusní	奢侈
luxusní	奢華
luxusní	豪華
tch	tch
magie	魔神
magie	魔法
magie	魔術
magie	神奇
magie	魔力
palace	皇宮
palace	宮殿
palace	王宮
palace	宮廷
palace	宮
simone	simon
simone	西蒙
simone	西門
čistý	清除
čistý	純潔
čistý	純純
čistý	純
čistý	純粹
čistý	乾淨
čistý	清潔
vládci	統治者
keř	布希
keř	灌木
hus	雁
hus	鵝
terénní	地形
terénní	地勢
nikola	nikola
spuštěn	引發
spuštěn	觸發
pákistánu	巴基斯坦
maine	緬因州
dell	dell
ovzduší	氣氛
ovzduší	大氣
ovzduší	大氣層
