dan	dan
indonesia	indonezijoje
indonesia	indonezijos
indonesia	indonezija
dari	dari
daerah	rajonas
wilayah	provincija
sekolah	mokykla
sekolah	mokykla
sekolah	mokyklos
bahasa	kalbos
bahasa	kalbos
bahasa	kalba
pautan	nuorodos
kampung	kaimo
kampung	kaime
kampung	jonava
kampung	kaimas
jabatan	departamentas
negara	negara
mereka	jais
mereka	jas
mereka	joms
mereka	jiems
mereka	jomis
mereka	juos
mereka	jie
bandar	miestai
lelaki	vyru
lelaki	vyras
lelaki	žmogus
barat	vakarų
barat	vakarai
barat	vakarų
lebih	daugiau
etnik	etninės
akan	bus
nama	vardai
perbandaran	township
perbandaran	savivaldybė
perbandaran	buitinių
filem	filmų
filem	filmai
filem	filmuose
filem	filmas
filem	filmai
filem	filmas
filem	plėvelė
filem	filmai
filem	filmus
timur	rytų
timur	timūras
timur	rytų
dua	du
perempuan	moteris
perempuan	patelių
perempuan	patelės
perempuan	moterys
svg	wmf
india	indas
india	indijos
india	indija
india	indijos
dia	tiu
dia	dia
terbang	skristi
terbang	skrenda
terbang	skraidyti
terbang	išskrido
bahawa	kad
laut	jūra
laut	jūros
selatan	selatan
stadium	stadionuose
stadium	stadionas
besar	didelių
besar	dideli
besar	didelis
besar	didelės
besar	dideli
besar	didysis
besar	didelis
tetapi	bet
antara	eurus
pelajar	studentų
pelajar	studentė
pelajar	studentas
syarikat	bendrovė
syarikat	įmonė
syarikat	bendrovės
syarikat	kompanija
syarikat	bendrovės
syarikat	įmonėse
syarikat	bendrovių
republik	respublikonų
tentera	karinė
tentera	karinis
tentera	karinės
tentera	kareiviai
tentera	kariai
tentera	armijos
tentera	kariuomenė
tentera	armija
amerika	amerikos
amerika	amerikoje
amerika	amerika
amerika	amerikos
amerika	americas
turki	turkiją
turki	turkija
turki	turkijos
turki	turkai
turki	turkijoje
turki	turkija
turki	turkų
turki	turkijos
buah	uogos
buah	vaisiai
buah	vaisiai
buah	vaisių
jawa	java
jawa	javiečių
google	google
pemain	žaidėjai
pemain	žaidėjų
pemain	žaidėjas
melayu	malajų
melayu	melayu
kerajaan	imperija
kerajaan	karalystę
sama	sama
iran	iraniečiai
iran	iranas
pasukan	kariai
pasukan	komandos
pasukan	komandas
pasukan	komanda
islam	islamo
islam	islamas
mana	mana
mana	kur
masa	laiko
masa	laikas
lagu	daina
lagu	dainos
lagu	dainas
lagu	dainos
lagu	dainų
style	stilius
tengah	tengah
tengah	vidurys
tengah	artimųjų
jerman	vokietija
jerman	vokiečiai
jalan	kelias
jalan	kelių
jalan	kelio
gmt	gmt
cet	cet
banyak	daug
salah	neteisingas
salah	netinkamas
bahagian	kvadratas
bahagian	dalies
bahagian	dalis
lagi	daugiau
pancasila	pancasila
sungai	upės
sungai	upių
sungai	upes
sungai	sungai
sungai	upės
sungai	upė
jepun	japonija
jepun	japonijos
jepun	japonijos
jepun	japonų
anak	vaikas
anak	vaikui
ada	ada
tanah	dirvožemio
tanah	dirvožemį
tanah	dirvožemis
tanah	tanah
dikenali	pripažintos
hanya	tik
hanya	tiesiog
air	vandenyse
air	vandenis
air	vandenys
air	oro
air	oras
sepanyol	ispanija
sepanyol	ispanijos
sepanyol	ispanų
sepanyol	ispaniškai
sepanyol	ispanijos
raja	karalius
perang	karas
perang	karo
perang	karui
perang	karai
wanita	moteris
wanita	moterys
pulau	sala
pulau	islandija
pulau	islandijos
pulau	salos
team	komanda
provinsi	provincija
provinsi	provincijos
kanak	vaikas
kanak	vaikui
pendidikan	švietimo
pendidikan	švietimas
pendidikan	išsilavinimas
musim	sezonas
kini	dabar
kemudian	tada
serbia	serbija
serbia	serbai
serbia	serbų
tiga	tiga
keseluruhan	apžvalga
guru	mokytoja
menteri	ministrai
menteri	ministrų
bulan	palydovas
bulan	mėnesiai
kapal	laivas
kapal	indas
kecil	mažučiai
taman	park
taman	parkas
taman	sode
taman	sodas
taman	parkai
album	albumai
club	klubas
mukim	parapija
inggeris	anglija
inggeris	anglijos
inggeris	england
inggeris	anglų
batu	akmenų
batu	akmenys
batu	akmens
batu	batu
batu	akmuo
batu	rokas
batu	rock
buku	knygos
rumah	namai
rumah	namas
bola	bola
bola	balius
bola	kamuolys
laporan	ataskaita
china	kinų
china	kinijos
china	kinas
sultan	sultonas
kali	kali
bersatu	jungtinės
bersatu	jungtinė
bersatu	suvienyti
masih	dar
naib	vice
anjing	suo
anjing	šuo
pelakon	aktoriai
pelakon	veikėjai
pelakon	aktorė
pelakon	aktorė
pelakon	aktorius
peta	žemėlapiai
bin	bin
waktu	laiko
waktu	laikas
kuasa	jėgos
kuasa	galios
kuasa	galia
clubnat	clubnat
sejarah	istoriniai
sejarah	istorinis
sejarah	istorinė
sejarah	istorijos
sejarah	istorija
walaupun	nors
report	ataskaita
masjid	masjid
masjid	mečetes
masjid	mečetė
piala	trofėjus
piala	taurė
pecahan	sunaikinimo
pecahan	paskirstymas
kira	kira
kira	apskaičiuoti
agama	religinių
agama	religijų
agama	religijos
pos	pašto
jakarta	džakarta
universiti	universitetų
universiti	universitetai
universiti	universitetas
kuno	senovės
para	para
pula	pula
perak	perakas
meter	metras
meter	metrų
meter	metrai
meter	metrų
asia	azijos
asia	azija
burung	paukščiai
bukit	bukit
bukit	kalvos
diri	save
diri	save
kepelbagaian	veislė
kepelbagaian	rodiklį
kepelbagaian	variantai
kepelbagaian	variantas
jantina	lytis
jantina	lytis
pokok	medžio
pokok	medžiai
jun	birželis
jun	birželis
jun	birželio
bar	barų
pentadbiran	administratorius
pentadbiran	muchafaza
pentadbiran	administravimas
pentadbiran	administratoriai
ibu	mama
ibu	mama
ibu	motina
cina	kinų
cina	kinijos
cina	kinas
cina	cina
datuk	senelis
siri	serija
siri	serijos
siri	siri
mungkin	galbūt
mungkin	gal
mungkin	galbūt
rakyat	liaudis
bahan	ingredientų
bahan	ingredientai
bahan	medžiaga
bahan	medžiagų
bahan	medžiagos
lama	lama
imagesize	imagesize
april	balandis
ideologi	ideologijos
ideologi	ideologija
mac	mac
pesawat	orlaivis
pesawat	orlaiviai
pesawat	lėktuvas
pesawat	lėktuvą
pesawat	lėktuvas
manusia	žmonijos
manusia	žmogaus
manusia	žmogus
mei	mei
zaman	zaman
british	britanijos
british	britai
british	britų
berjaya	sėkmingai
berjaya	sėkmingai
berjaya	sėkmė
berjaya	sėkmės
hidup	gyvenimo
hidup	gyvybės
hidup	gyvybė
hidup	gyvenimas
anugerah	dovana
lumpur	purvo
arab	arabų
arab	arabai
membaca	skaito
lahir	gimimas
perlawanan	atitinka
perlawanan	atsparumo
perlawanan	atsparumą
perlawanan	atsparumas
peringkat	turimas
united	jungtinės
united	jungtinė
julai	nov
udara	oro
udara	oras
gunung	kalnų
gunung	kalnas
sukan	sportui
sukan	sporto
sukan	sportas
seri	serija
seri	serijos
seri	seri
asal	kilmė
asal	kilme
sahaja	tik
tentang	apie
mata	akimis
mata	akys
mata	akis
mata	akies
mata	akių
mata	akis
mata	eye
mata	mata
masyarakat	visuomenė
masyarakat	visuomenes
terbaik	geriausi
terbaik	geriausia
terbaik	aukščiausia
terbaik	geriausios
terbaik	geriausias
isbn	isbn
membentuk	formavimo
singapura	singapūre
singapura	singapūro
singapura	singapūras
abad	abad
ketinggian	aukštis
liga	lygos
liga	lyga
korea	korėjiečiai
korea	korėjos
korea	korėja
keluarga	šeimų
keluarga	šeima
keluarga	šeimos
keluarga	šeimyna
sumber	ištekliai
sumber	išteklių
pejabat	pareigūnai
pejabat	pareigūnams
pejabat	biurų
pejabat	biurai
pejabat	tarnyba
pejabat	biuro
pejabat	biuras
