το	на
από	oд
από	од
με	со
που	кои
που	која
που	кое
για	за
κατηγορία	категорија
τους	ги
τους	нив
ήταν	била
ήταν	беше
ένα	една
ένα	едната
ένα	еден
ένα	едно
ότι	тоа
ότι	дека
μια	една
μια	едната
μια	еден
μια	едно
έχει	има
θα	ке
θα	вил
θα	ќе
αλλά	но
αλλά	ама
μετά	потоа
μετά	тогаш
μετά	откако
μετά	по
μετά	после
όπως	како
όπως	like
είχε	имаа
είχε	имаше
ενώ	додека
δύο	два
δύο	двајца
δύο	две
αυτό	ова
αυτό	оваа
αυτό	овој
αυτό	тоа
αυτό	дека
αυτή	таа
αυτή	она
όπου	каде
όταν	кога
μία	една
μία	едната
μία	еден
μία	едно
μπορεί	може
μπορεί	можи
μπορεί	можат
ομάδα	одред
ομάδα	група
ομάδα	групно
ομάδα	групни
ομάδα	групна
ομάδα	екипа
ομάδα	тим
θέση	позиција
θέση	положба
μεταξύ	помеѓу
μεταξύ	помегу
μεταξύ	измеѓу
μεταξύ	меѓу
χρόνια	хронични
χρόνια	хронична
χρόνια	години
πρώτη	прв
πρώτη	први
πρώτη	прво
πρώτη	прва
πιο	уште
πιο	повеќе
ένας	една
ένας	едната
ένας	еден
ένας	едно
πόλη	град
πόλη	градче
πόλη	град
πόλη	градско
πόλη	градот
πόλη	градски
σύνδεσμοι	врските
σύνδεσμοι	линковите
σύνδεσμοι	врски
σύνδεσμοι	линкови
μόνο	само
έγινε	заврши
έγινε	done
έγινε	направено
έγινε	сторено
έγινε	завршено
πολύ	многу
κάθε	секоја
κάθε	секое
κάθε	секој
κάθε	секоја
περιοχή	регион
περιοχή	област
περιοχή	подрачје
αιώνα	век
αθήνα	атина
αθήνα	aтина
περίοδο	период
περίοδο	period
τότε	потоа
τότε	тогаш
όνομα	име
ελλάδα	грција
μέρος	дел
μέρος	место
σήμερα	денес
σήμερα	денеска
μέσα	внатре
μέσα	однатре
πως	како
μαζί	заедно
διάρκεια	времетраење
διάρκεια	траење
ιστορία	расказ
ιστορία	сторија
ιστορία	приказна
ιστορία	историја
πρωτάθλημα	лига
πρωτάθλημα	шампионат
πρωτάθλημα	првенство
πρωτάθλημα	шампионски
αργότερα	покасно
αργότερα	подоцна
νέα	ново
νέα	нов
νέα	нови
νέα	нова
νέα	вести
νέα	вест
περίπου	околу
περίπου	за
περίπου	приближно
αυτά	овие
αυτά	oвие
πριν	пред
χωρίς	без
εθνική	национални
εθνική	национална
εθνική	национален
εθνική	национално
συζήτηση	разговор
συζήτηση	конверзација
συζήτηση	расправа
συζήτηση	дискусии
συζήτηση	дискусија
συζήτηση	дебатираат
συζήτηση	расправа
συζήτηση	дебата
αρχείο	архив
αρχείο	архива
αρχείο	архивата
αρχείο	датотека
πρέπει	мора
πρέπει	must
φορά	времето
φορά	време
πάνω	горе
έλληνες	грци
έλληνες	грците
ομάδες	групи
ομάδες	екипи
ομάδες	тимови
πρώτο	прв
πρώτο	први
πρώτο	прво
πρώτο	прва
έργο	проект
έργο	работа
έργο	дело
έργο	работно
κυρίως	воглавно
κυρίως	главно
κυρίως	претежно
κυρίως	воглавно
κυρίως	најмногу
κυρίως	најчесто
κυρίως	главно
όχι	не
ελληνική	грчки
ελληνική	грчка
ελληνική	грк
μεγάλη	големо
μεγάλη	голем
μεγάλη	голема
μεγάλη	големи
υπό	под
ποδοσφαιριστές	фудбалерите
ποδοσφαιριστές	фудбалери
ταινία	филм
ταινία	касета
ταινία	лента
ταινία	филмски
ταινία	филмска
ταινία	филм
άλλα	macedonian
άλλα	други
άλλα	друѓи
άλλα	други
τμήμα	оддел
τμήμα	рез
τμήμα	оддел
τμήμα	отсек
τμήμα	секција
σαν	како
σαν	like
εκεί	таму
άλλες	macedonian
άλλες	други
τέλος	конечно
τέλος	најпосле
τέλος	крај
σειρά	серија
σειρά	серии
σειρά	ред
σειρά	наредба
σειρά	нарачка
σειρά	редослед
σειρά	ред
σειρά	редица
σειρά	row
στοιχεία	елементи
στοιχεία	податок
στοιχεία	податоци
εκτός	освен
συνέχεια	континуитет
συνέχεια	продолжи
κάτω	надолу
κάτω	доле
κάτω	долу
κάτω	подоле
κάτω	надоле
κάτω	долна
κάτω	пониско
κάτω	долен
κάτω	долу
κάτω	доле
κάτω	подолу
πολλές	многумина
όλα	сè
όλα	се
όλα	све
όλα	сѐ
όλα	сите
σύστημα	систем
ακόμα	сеуште
ακόμα	уште
ακόμα	сепак
φορές	пати
ίδια	идентични
ίδια	идентичен
ίδια	истите
ίδια	истото
ίδια	исто
ίδια	исти
ίδια	ист
ίδια	иста
ιουλίου	јули
χώρα	земја
χώρα	држава
χώρα	кантри
αποτέλεσμα	исход
αποτέλεσμα	резултат
αποτέλεσμα	ефект
οκτωβρίου	октомври
ιανουαρίου	јануари
σεπτεμβρίου	септември
νοεμβρίου	ноември
αγώνες	совпаѓања
αγώνες	натпревари
αγώνες	игри
ταινίες	филмови
ταινίες	филмови
ταινίες	кино
μέσω	виа
μέσω	преку
μέσω	via
μέσω	низ
μέσω	преку
μαρτίου	марш
μαρτίου	март
γεννήθηκε	родено
γεννήθηκε	роди
γεννήθηκε	роден
γεννήθηκε	родени
γεννήθηκε	раѓа
ιουνίου	јуни
ιουνίου	џун
αυτές	овие
αυτές	oвие
πολλά	многумина
απριλίου	април
τρεις	тројца
τρεις	три
τρεις	тројка
αυγούστου	август
αυγούστου	аугуст
έργα	работи
έργα	дела
έργα	проекти
δεκεμβρίου	декември
χρήση	употреба
χρήση	искористи
χρήση	користи
πρόεδρος	претседател
πολιτική	политика
πολιτική	политика
ακόμη	сеуште
ακόμη	уште
ακόμη	сепак
ίδιο	истите
ίδιο	истото
ίδιο	исто
ίδιο	исти
ίδιο	ист
ίδιο	иста
μας	наша
μας	наши
μας	нашата
μας	наш
μας	нашиот
μας	нашите
εκλογές	избори
εκλογές	избори
μέλη	членки
μέλη	членовите
μέλη	членови
τελικά	конечно
τελικά	најпосле
μέλος	членка
μέλος	член
εποχή	епоха
εποχή	сезона
εποχή	ера
χωριό	село
χωριό	селски
αρχικά	првично
αρχικά	првично
αρχικά	првобитно
αρχικά	изворно
αρχικά	иницијали
περίοδος	период
περίοδος	period
δήμος	општина
κύπελλο	чашка
κύπελλο	куп
κύπελλο	шолја
κύπελλο	пехар
ζωή	живот
ζωή	life
ζωή	животот
ζωή	зои
έδρα	седиштето
έδρα	штабови
έδρα	штаб
έδρα	седиште
έδρα	седишта
περιλαμβάνει	вклучува
μεγάλο	голем
μεγάλο	голема
μεγάλο	големи
μεγάλο	големо
μεγάλο	голем
μεγάλο	голема
μεγάλο	големи
βάση	базата
βάση	база
βάση	основа
κέντρο	средина
κέντρο	центар
κέντρο	средина
κέντρο	центар
γεννήσεις	породувања
φεβρουαρίου	фебруари
φεβρουαρίου	февруари
κάτι	нешто
κοντά	близу
κοντά	блиску
κοντά	блиску
κοντά	затвори
κοντά	близина
μορφή	форма
μορφή	формат
μορφή	форматирање
χρόνο	времето
χρόνο	време
κόμμα	партиски
κόμμα	партиска
κόμμα	забава
κόμμα	журка
κόμμα	партија
κόμμα	запирка
γιατί	бидејќи
γιατί	зошто
γιατί	зашто
ρόλο	роло
ρόλο	улога
άλμπουμ	албум
άλμπουμ	албуми
επειδή	бидејќи
έκδοση	издание
έκδοση	верзија
γκολ	голови
γκολ	цели
γκολ	автогол
γκολ	цел
γκολ	гол
αρχές	властите
αρχές	власти
αρχές	принципи
γύρω	околу
γύρω	наоколу
συνήθως	обично
ονομασία	име
ονομασία	назнака
κοινότητα	заедница
τελευταία	последно
τελευταία	последни
τελευταία	последен
τελευταία	последна
τελευταία	последниот
έκανε	дали
έκανε	направи
έκανε	направени
έκανε	направен
έκανε	made
ξεκίνησε	почна
ξεκίνησε	започна
ξεκίνησε	почнал
ξεκίνησε	почнаа
είτε	или
κυβέρνηση	влада
πρώτος	прв
πρώτος	први
πρώτος	прво
πρώτος	прва
πήρε	зема
πήρε	земаа
πήρε	зеде
κάνει	заврши
κάνει	done
κάνει	направено
κάνει	сторено
κάνει	завршено
ηπα	уса
ηπα	usa
ηπα	сад
ανάμεσα	помеѓу
ανάμεσα	помегу
ανάμεσα	измеѓу
ανάμεσα	меѓу
δεύτερη	второ
δεύτερη	втор
δεύτερη	втори
δεύτερη	втората
δεύτερη	втора
γλώσσα	јазик
γλώσσα	јазикот
γλώσσα	јазик
γιος	синот
γιος	синко
γιος	сине
γιος	син
μάχη	борба
μάχη	битка
μάχη	борба
μάχη	тепачка
πανεπιστήμιο	универзитет
όλες	сите
κάποια	некои
δείτε	види
δείτε	гледаш
δείτε	видете
δείτε	гледајте
δείτε	гледај
δείτε	часовник
πόλεμο	војна
συχνά	често
συχνά	честопати
συχνά	често
συχνά	честопати
περιοχές	региони
περιοχές	подрачја
