から	din
日本	japonia
日本	nippon
この	asta
この	aceasta
まで	până
まで	până
昭和	showa
もの	lucrurile
もの	lucruri
大学	facultate
大学	university
大学	universitate
大学	universitatea
大学	facultate
大学	facultatea
大学	colegiul
大学	colegiu
テレビ	televizoare
テレビ	televizor
テレビ	televiziune
テレビ	televiziunea
放送	difuzat
放送	transmisie
放送	transmisiune
放送	difuzare
放送	radiodifuziune
東京	tokio
東京	tokyo
より	decat
より	decât
削除	șters
削除	sters
削除	ștergerea
削除	ștergere
削除	elimină
削除	scoate
削除	șterge
削除	sterge
削除	ștergere
現在	curentul
現在	curent
現在	actual
現在	curentului
現在	actuală
現在	momentan
現在	cadou
現在	prezente
現在	prezentul
現在	prezent
現在	prezentă
平成	heisei
学校	scoli
学校	școli
学校	scoala
学校	școala
学校	şcoala
学校	școală
学校	şcoală
これ	asta
これ	aceasta
世界	lumea
世界	lume
世界	world
アメリカ	america
アメリカ	americii
でも	dar
について	despre
作品	lucrări
作品	lucrari
作品	funcționează
作品	discografia
映画	film
映画	cinematograf
映画	cinema
映画	peliculă
映画	film
映画	filme
映画	filmele
監督	director
監督	regizor
監督	supervizare
監督	supraveghere
監督	supravegherea
鉄道	ferate
使用	utilizează
使用	utilizarea
使用	folosește
使用	utilizare
出演	aspectul
出演	aspect
出演	exprimate
明治	meiji
時間	ore
時間	orele
時間	oră
時間	ora
時間	timp
時間	ora
時間	timpul
開始	start
開始	începe
開始	pornire
開始	inițierea
開始	inițiere
シリーズ	serie
シリーズ	serii
シリーズ	seria
のみ	doar
のみ	numai
記事	articolul
記事	articol
記事	poveste
記事	story
記事	povestea
記事	povestiri
記事	povesti
記事	povești
記事	articolele
記事	articole
活動	activitati
活動	activitățile
活動	activități
選手	jucători
選手	jucatori
選手	jucătorii
選手	sportivii
選手	sportivi
しかし	dar
研究	studii
研究	studiile
研究	cercetari
研究	cercetări
研究	cercetare
研究	cercetarea
会話	conversatie
会話	conversație
会話	conversații
大阪	osaka
大会	convenția
大会	convenție
チーム	echipele
チーム	echipe
チーム	echipă
チーム	echipa
チーム	team
存在	existenta
存在	existența
存在	existență
優勝	câștigătoare
作詞	versuri
作詞	versurile
所属	afiliere
所属	aparțin
国際	internațional
国際	international
国際	internaţională
国際	internațională
国際	internaţional
一部	unele
一部	unii
一部	partial
一部	parțial
結果	rezultatul
結果	rezultat
結果	rezultate
結果	rezultatele
アルバム	album
アルバム	albumul
アルバム	albumele
アルバム	albume
バス	bus
バス	autocar
バス	autobuz
バス	autobuzul
バス	bas
バス	bass
バス	autobuze
バス	autobuzele
ゲーム	joc
ゲーム	jocul
ゲーム	jocuri
ゲーム	jocurile
問題	problemă
問題	problemă
問題	problema
問題	problemele
問題	probleme
問題	probleme
問題	aspecte
問題	chestiuni
リーグ	league
リーグ	ligii
リーグ	liga
リーグ	ligă
リーグ	leghe
利用	răscumpere
開発	dezvoltarea
開発	elaborare
開発	dezvoltare
事業	business
事業	afacere
事業	afacerea
事業	afaceri
決定	decizia
決定	decizie
決定	decizii
決定	deciziilor
決定	deciziile
音楽	muzică
音楽	muzica
転送	inainte
転送	înainte
転送	transfer
転送	transferul
転送	transferă
転送	transmit
転送	transmite
転送	transferuri
転送	transferurile
情報	info
情報	informatii
情報	informaţii
情報	informatii
情報	informație
情報	informații
情報	informaţii
公式	formula
公式	formulă
公式	oficial
公式	oficiale
公式	oficiala
公式	oficială
参加	participare
参加	participarea
参加	participări
地域	regiuni
地域	regiunilor
地域	regiunile
地域	regiunea
地域	regiune
変更	modificări
変更	schimbări
変更	modificari
変更	schimbari
変更	modifică
変更	schimba
変更	schimbare
変更	schimbă
変更	schimbarea
編曲	aranjată
編曲	aranjate
編曲	aranjat
編曲	aranjamentul
編曲	aranjament
サイト	situl
サイト	site
サイト	sit
サイト	situri
記録	înregistrare
記録	înregistrarea
記録	record
記録	înregistrare
記録	înregistrează
関係	relații
関係	relațiile
関係	relatii
クラブ	club
クラブ	clubul
クラブ	cluburile
クラブ	cluburi
中央	centrala
中央	centrale
中央	centrală
中央	central
中央	centrul
中央	centru
中央	centrul
中央	centru
同じ	același
設立	stabilit
設立	stabilită
設立	stabiliți
設立	încorporarea
設立	stabilirea
設立	stabilire
考え	gândire
考え	gândirea
考え	gândind
考え	gânduri
考え	gândurile
考え	ganduri
教育	educație
教育	educația
教育	educatie
プロ	pro
設置	instalație
設置	montare
設置	instalarea
設置	instalare
発表	anuntul
発表	anunt
発表	anunț
発表	anunțul
発表	anunturi
小学校	elementar
小学校	elementară
小学校	elementare
編集	editare
編集	editează
編集	editări
編集	montajul
編集	editare
編集	editarea
編集	modifică
シーズン	anotimpul
シーズン	sezonul
シーズン	sezon
シーズン	anotimp
シーズン	anotimpurile
シーズン	sezoane
シーズン	anotimpuri
ファイル	fișiere
ファイル	fisiere
ファイル	dosare
ファイル	fișierul
ファイル	fişier
ファイル	fișier
ファイル	dosar
フランス	franţa
フランス	franța
フランス	franta
フランス	france
都市	city
都市	oras
都市	oraș
都市	oraş
都市	oraşul
都市	orașul
都市	oraşe
都市	oraşele
都市	orase
都市	orasele
都市	orașe
出版	editor
出版	editura
出版	publicare
出版	publicarea
出版	publicare
出版	publicarea
会社	firma
会社	fermi
会社	firmă
会社	ferm
会社	companie
会社	compania
会社	societăți
会社	companii
会社	companiile
世紀	secolele
世紀	secole
世紀	secolul
世紀	secol
世紀	century
ノート	nota
ノート	notă
ノート	caietele
ノート	note
ノート	caiet
ノート	notebook
京都	kyoto
社会	societatea
社会	societate
社会	societăți
ドイツ	germania
開催	ţinut
シングル	singură
シングル	single
シングル	singur
センター	centrul
センター	centru
センター	centrul
センター	centru
終了	termină
終了	finalizează
終了	sfârșit
終了	sfarsit
終了	final
終了	terminat
終了	ieşirea
終了	ieşire
終了	ieșire
終了	iesire
中心	centrul
中心	centru
中心	centrul
中心	centru
内容	conținutul
内容	continut
内容	conținut
文化	cultura
文化	cultură
イギリス	anglia
イギリス	england
ドラマ	drama
ドラマ	dramă
ドラマ	drame
中国	china
撮影	cinematografie
撮影	cinematografia
撮影	fotografie
撮影	fotografia
撮影	filmarea
撮影	filmez
撮影	filmare
選手権	campionatele
選手権	campionate
選手権	campionatul
選手権	campionat
野球	baseball
指定	desemnarea
指定	desemnare
指定	precizează
指定	specifica
指定	specifică
指定	precizați
指定	specificați
位置	pozitie
位置	poziția
位置	poziţia
位置	poziţie
位置	poziție
以下	dedesubt
マン	mann
卒業	absolvit
卒業	absolvirea
卒業	absolvire
人物	persoană
人物	persoana
公開	publice
公開	public
公開	publică
公開	publică
公開	publica
北海道	hokkaido
北海道	hokkaidō
最終	ultimele
最終	ultima
最終	ultimul
最終	last
最終	finală
最終	final
最終	finala
アニメ	anime
確認	confirmarea
確認	confirmare
確認	confirma
確認	confirmă
確認	confirmare
確認	confirm
一般	generalul
一般	generale
一般	general
歴史	istoricul
歴史	istorie
歴史	istoric
歴史	istoria
選挙	alegeri
選挙	alegeri
選挙	alegerile
計画	planificate
計画	plănuit
計画	planificat
計画	planificată
計画	planificare
計画	planificarea
計画	planul
計画	plan
計画	planurile
計画	planuri
経済	economiile
経済	economia
経済	economie
ページ	paginii
ページ	pagina
ページ	pagină
ページ	paginile
ページ	pagini
教授	profesor
教授	profesorul
ラジオ	radio
劇場	teatrul
劇場	teatru
劇場	teatrul
劇場	teatru
グループ	grupa
グループ	grup
グループ	grupul
グループ	grupă
グループ	grupe
グループ	grupuri
グループ	grupurile
グループ	grupări
英語	engleza
英語	engleză
英語	romanian
女性	femeie
女性	femeie
女性	feminin
女性	femelă
女性	femela
女性	femeile
女性	femei
女性	femeilor
地区	districtul
地区	district
獲得	câștigă
得点	scorul
得点	punctaj
得点	scor
コメント	comment
コメント	comentează
コメント	comentarii
コメント	comentariul
コメント	comentariu
コメント	comentat
コメント	comentarii
コメント	comentariile
コメント	observații
漫画	comics
漫画	manga
他の	altele
他の	altii
他の	alții
就任	presupunere
就任	presupunerea
廃止	abolit
廃止	abolirea
販売	vând
販売	vind
販売	vand
販売	vânzările
販売	vanzari
販売	vânzări
攻撃	atacuri
攻撃	atacurile
攻撃	atac
サッカー	fotbal
リー	lee
議員	senatorul
議員	senator
デビュー	debut
デビュー	debutul
協会	asociația
協会	asociatia
協会	asociație
協会	asocierea
協会	asociere
路線	trasee
路線	rutele
路線	rute
フジ	fuji
戦争	razboi
戦争	războiul
戦争	război
戦争	războaiele
戦争	razboaie
戦争	războaie
製作	producere
製作	producție
製作	producția
製作	productie
部分	parte
部分	partea
番号	numar
番号	număr
番号	numărul
当初	initial
当初	iniţial
当初	inițial
最初	primii
最初	prima
最初	primul
受賞	premii
受賞	premiile
受賞	premiu
受賞	premiul
期間	durata
期間	durată
期間	perioadă
期間	perioada
広島	hiroshima
場所	locul
場所	loc
場所	localizare
場所	locație
場所	locația
場所	locaţia
場所	localuri
場所	locuri
技術	tehnologie
技術	tehnologii
技術	tehnologia
海軍	marina
海軍	navy
海軍	marină
リンク	legătura
リンク	legătură
リンク	link
リンク	linkul
リンク	linkuri
リンク	legaturi
リンク	linkurile
リンク	legături
合併	fuziune
合併	fuziunea
合併	fuziuni
道路	drumuri
道路	drum
道路	drumul
道路	road
特定	specific
特定	specifică
特定	specifice
特定	precizată
特定	specificate
特定	specificat
特定	specificată
朝日	asahi
意味	însemnând
意味	sensul
意味	semnificație
意味	sensuri
システム	sistemul
システム	sistem
システム	sisteme
モデル	modelele
モデル	manechine
モデル	modele
モデル	model
モデル	modelul
モデル	fotomodel
対応	corespondență
対応	corespondenta
列車	train
列車	trenul
列車	tren
列車	trenurile
列車	trenuri
建設	construcții
建設	constructie
建設	construcție
建設	constructii
とき	cand
とき	când
最後	ultimele
最後	ultima
最後	ultimul
最後	last
科学	ştiinţe
