ve	en
bir	een
bu	dit
bu	hierdie
bu	dié
bu	dat
bu	wat
bu	dai
de	sê
ile	mee
ile	met
için	vir
için	altesaam
en	gunstelinge
daha	nog
daha	meer
sonra	then
sonra	dan
sonra	na
sonra	nadat
sonra	ná
sonra	later
ilk	eerste
ilk	eers
çok	baie
çok	much
yer	plek
yer	venue
yer	lokaal
yer	plek
yer	location
yer	ligging
gibi	soos
dış	outer
büyük	huge
bağlantılar	verbindings
bağlantılar	skakels
türkiye	turkye
iki	twee
ancak	egter
center	sentreer
center	gesentreer
arasında	tussen
ayrıca	ook
ayrıca	besides
istanbul	istanbul
istanbul	istanboel
türk	turk
türk	turkse
türk	turkish
diğer	ander
yeni	nuut
yeni	nuwe
un	meel
her	elke
aynı	dieselfde
aynı	selfde
kulüp	klub
bağlı	aangeheg
bağlı	aangehegte
bağlı	gebind
bağlı	verbind
iyi	goeie
iyi	goed
iyi	fyn
ne	watse
ne	wat
ilgili	relevante
ilgili	relevant
ilgili	gepas
ilgili	verwante
ilgili	verwant
son	last
son	laas
son	laaste
son	jongste
son	einde
son	beëindig
alan	terrein
alan	veld
alan	domain
alan	domein
alan	alan
alan	omgewing
alan	gebied
alan	oppervlakte
alan	area
dünya	wêreld
dünya	aarde
abd	vsa
birlikte	gekuier
birlikte	saam
bulunan	geleë
eski	oud
eski	ou
önemli	hoogtepunte
önemli	belangrik
önemli	belangrike
madde	gegewens
madde	rots
madde	materiaal
madde	materie
sağlık	welstand
sağlık	mediese
sağlık	medies
sağlık	gesondheid
sağlık	gesondheidsorg
genel	generies
genel	generic
genel	generiese
genel	overall
genel	herhaal
genel	algemene
genel	generaal
mart	maart
mart	optog
adı	naam
adı	benoem
adı	gebruikernaam
film	films
film	fliek
film	rolprent
film	rolprent
film	flieks
film	rolprente
film	movies
haziran	junie
mayıs	may
mayıs	mei
mayıs	mag
dosya	lêers
ocak	jan
ocak	januarie
ocak	stoof
yıl	jaar
kasım	november
kasım	qasim
avrupa	europa
avrupa	europees
avrupa	europese
ama	maar
karşı	teller
karşı	toonbank
toplam	leeftyd
toplam	lewensduur
toplam	sum
toplam	som
toplam	totale
toplam	overall
jpg	jpg
ikinci	sekondes
ikinci	sekonde
eylül	september
ağustos	august
ağustos	augustus
içinde	binne
içinde	binne
temmuz	julie
önce	voor
önce	before
önce	eerste
önce	eers
tüm	hele
tüm	geheel
nisan	april
resim	prent
resim	prent
resim	beelde
resim	skilder
resim	skildery
resim	skets
resim	tekening
üniversitesi	universiteit
ekim	oktober
ekim	okt
ekim	oct
şehir	town
şehir	stad
şehir	urban
şehir	stedelike
ptt	ptt
zaman	tyd
zaman	tydstip
bazı	sommige
üzerine	upon
aralık	desember
aralık	dec
aralık	des
aralık	interval
köy	village
köy	dorpie
yüksek	hoë
yüksek	hoog
yüksek	hoër
birçok	vele
birçok	baie
şubat	februarie
sadece	slegs
sadece	net
sadece	slegs
sadece	net
yol	roete
yol	manier
yol	way
yol	pad
yol	road
fakat	maar
grup	band
grup	musiekgroep
grup	groep
grup	groepeer
takım	squad
takım	span
kendi	eie
şekilde	manier
şekilde	way
tek	singles
tek	enkel
bilgi	informasie
bilgi	inligting
bilgi	kennis
kez	tye
kez	kere
hakkında	oor
latns	latns
longew	longew
latd	latd
osmanlı	ottoman
osmanlı	ottomans
longd	longd
longm	longm
latm	latm
devlet	staat
devlet	deelstaat
devlet	provinsie
devlet	toestand
devlet	spasie
devlet	regering
ankara	ankara
lats	lat
colspan	colspan
üç	drie
tarihi	datum
tarihi	geskiedkundige
tarihi	historiese
tarihi	geskiedenis
tarihi	history
başladı	aanvang
başladı	begun
küçük	small
küçük	klein
küçük	lil
küçük	bietjie
müzik	musiek
gelen	inkomende
resmi	formele
resmi	formal
resmi	prent
resmi	amptelik
resmi	amptenaar
resmi	amptelike
kabul	ooreengekom
kabul	aanvaarding
kabul	aanvaar
kabul	aanvaarde
kabul	aanvaar
devam	aanhou
devam	hou
devam	behou
kupası	koppie
kupası	beker
fazla	oortollige
okulu	skool
aldı	geneem
aldı	took
aldı	ontvang
sahip	dominus
sahip	featuring
sahip	sahib
farklı	verskillende
farklı	anders
futbol	sokker
futbol	voetbal
ileti	boodskap
doğru	akkurate
doğru	akkuraat
doğru	regterkant
doğru	regs
doğru	waar
doğru	true
doğru	korrek
tarım	agricultural
tarım	boerdery
tarım	landbou
on	tien
özel	eksklusiewe
özel	privaat
özel	spesiaal
özel	aangepas
biri	iemand
biri	een
alanı	terrein
alanı	veld
alanı	omgewing
alanı	gebied
alanı	oppervlakte
alanı	area
vikipedi	wikipedia
uzun	tall
uzun	lank
uzun	hoog
uzun	uitgebreide
uzun	lank
şarkı	sang
şarkı	sing
şarkı	singing
şarkı	singende
şarkı	liedere
şarkı	liedjies
şarkı	liedjie
şarkı	lied
eden	eden
lig	liga
orta	middelste
orta	midde
orta	medium
orta	midde
orta	mid
orta	sentreer
orta	gesentreer
orta	sentreer
oyuncu	speler
oyuncu	akteur
oyuncu	aktrise
oyuncu	actress
geri	agteruit
geri	agtertoe
geri	rug
geri	agterkant
geri	terug
geri	agteruit
mesaj	teksboodskap
mesaj	teks
mesaj	boodskap
elektrik	elektrisiteit
elektrik	elektriese
elektrik	elektriese
ardından	na
ardından	nadat
ardından	ná
merkezi	sentrale
merkezi	sentraal
merkezi	sentreer
merkezi	gesentreer
merkezi	sentreer
kısa	korter
kısa	kort
kısa	kortliks
kısa	sorteer
güney	suidelike
