έλλη	elija
μιανμάρ	mjanmas
προσφέρεται	piedāvātie
προσφέρεται	piedāvātas
προσφέρεται	piedāvātais
προσφέρεται	piedāvāts
κλειστή	slēgta
κλειστή	slēgti
κλειστή	slēgts
κλειστή	slēgtas
γράφημα	grafikā
γράφημα	grafiks
γράφημα	diagramma
εκτόξευση	nolaišanas
εκτόξευση	palaist
ταϊλάνδη	taizeme
καπνού	tabaku
καπνού	tabaka
ρόδος	rhodes
φάρμακο	zāles
φάρμακο	medicīna
εκτελέσει	pildīt
εκτελέσει	darbināt
εκτελέσει	izpildīt
εκτελέσει	izpilda
αιχμάλωτοι	ieslodzītie
αιχμάλωτοι	ieslodzīto
χάμιλτον	hamiltons
όμηρο	ķīlnieku
γυαλί	stikls
γυαλί	stikla
γυαλί	glāze
γυαλί	stikli
κάτοικος	rezidentu
κάτοικος	rezidents
κάτοικος	iedzīvotājs
ουδέτερη	neitrāls
ουδέτερη	neitrāla
ουδέτερη	neitrāli
ευγενής	cēli
τιμόρ	timoras
ορυχεία	ieguve
ορυχεία	kalnrūpniecības
ορυχεία	mīnas
ορυχεία	raktuves
παράθεση	citāts
παράθεση	citāts
εξόρυξη	ieguve
εξόρυξη	ekstrakcijas
εξόρυξη	ekstrakcija
εξόρυξη	iegūšana
εξόρυξη	ieguve
εξόρυξη	kalnrūpniecības
ράιτ	raita
βόμβες	bumbas
κλασσική	klasiskais
κλασσική	klasisko
κλασσική	klasiskā
κλασσική	klasisks
πόντοι	punkti
πόντοι	punktus
πράκτορας	aģents
πράκτορας	aģente
επίδειξη	demonstrācija
επίδειξη	demonstrēšana
επίδειξη	demonstrējumu
επιδημία	epidēmijas
επιδημία	epidēmiju
επιδημία	epidēmija
επιδημία	uzliesmojumu
επιδημία	uzliesmojums
πρωσία	prūsija
πρεσβευτής	vēstnieks
φόνο	slepkavības
φόνο	slepkavība
φόνο	slepkavību
συχνότητες	frekvences
αμφιβολία	šaubu
αμφιβολία	šaubos
ανταγωνισμού	konkurence
μπενίν	azerbaidžāna
μπενίν	beninas
μέλισσα	bite
μέλισσα	bišu
πορτογαλική	portugāles
πορτογαλική	portugāļu
στέφαν	stefan
στέφαν	stephan
ινδονησίας	indonēzijas
ινδονησίας	indonēzija
κινηματογράφους	kinoteātros
κινηματογράφους	cinemas
αντεπίθεση	pretuzbrukumu
βλάβες	bojājumi
κάμπελ	campbell
γλωσσολογία	valodniecība
χρονος	laiks
χρονος	laika
λουίζα	luīze
μοτίβο	raksts
ισοτιμία	paritāti
μεταφραστής	tulkotājs
σουηδικά	zviedru
σουηδικά	zviedrijas
πες	pateikt
πες	saki
πες	teikt
θάλασσες	jūrās
θάλασσες	jūrām
θάλασσες	jūru
προγραμματισμός	plānošanas
προγραμματισμός	plānošana
προγραμματισμός	plānošanas
προγραμματισμός	plānošana
προγραμματισμός	plānošanas
προγραμματισμός	programmēšanas
προγραμματισμός	grafiks
έβερτον	everton
κάρτερ	kārters
αρένα	arena
αρένα	arēnā
