gloria	gloria
kursused	cursuri
suomen	suomen
constantin	constantin
horisontaalselt	orizontal
suurenemine	creste
suurenemine	crestere
triinu	ella
vassiljev	vasiliev
léon	léon
strauss	strauss
institutsioonid	institutiile
institutsioonid	institutii
institutsioonid	institutii
romantiline	romantica
romantiline	romantice
romantiline	romantic
romantiline	romantica
uhke	mandra
uhke	mandra
uhke	mandra
uhke	mandru
uhke	mandru
uhke	fancy
uhke	fantezie
haruldased	rari
haruldased	rar
haruldased	rara
haruldased	rare
haruldased	rara
vista	vista
kohvi	cafea
kohvi	cafeaua
marianne	marianne
jeemeni	yemen
jeemeni	yemenit
omar	omar
pinnas	solul
pinnas	sol
kodakondsus	cetatenie
kodakondsus	cetatenia
kodakondsus	cetatenie
kodakondsus	cetatenia
ajavahemik	perioada
ajavahemik	perioada
giulio	giulio
standardid	standarde
standardid	standardele
allveelaev	submarinul
allveelaev	submarin
albumid	albumele
albumid	albume
pühendunud	devotata
pühendunud	devotat
pühendunud	dedicata
pühendunud	dedicate
pühendunud	dedicat
pühendunud	comis
pühendunud	comise
tselluloosi	celuloza
liigitada	clasifica
liigitada	clasifica
tasapisi	incet
romano	romano
resolutsioon	rezolutia
resolutsioon	rezolutie
andrzej	andrzej
philadelphia	philadelphia
oulu	oulu
mürgine	toxic
mürgine	toxica
mürgine	toxice
mürgine	veninos
mürgine	otravitor
mürgine	otravitoare
väärt	worth
tapmine	macel
tapmine	sacrificare
tapmine	ucidere
tapmine	uciderea
esa	sae
esa	esa
read	randuri
read	randuri
read	liniile
read	linii
read	replici
michele	michele
korsika	corsican
korsika	corsica
kaksteist	twelve
kaksteist	doisprezece
kaksteist	douasprezece
histoloogia	histologie
ekspert	expertul
ekspert	experta
ekspert	expert
ökoloogiline	ecologice
ökoloogiline	ecologic
ökoloogiline	ecologica
sool	salt
sool	sarea
sool	sare
jung	jung
müük	vanzarile
müük	vanzari
müük	vanzari
müük	vanzare
müük	vanzare
müük	vanzarea
müük	vanzari
vähendamine	reducere
vähendamine	reducerea
vähendamine	reducerea
vähendamine	reducand
smithi	smith
smart	inteligent
smart	destept
smart	smart
smart	inteligenta
loobunud	renuntat
loobunud	speologie
viljakas	fertila
viljakas	fertil
viljakas	prolific
viljakas	fructuoasa
hell	blanda
hell	bland
kokkupõrge	impact
kokkupõrge	impactul
kokkupõrge	coliziunea
kokkupõrge	ciocnire
kokkupõrge	coliziune
paber	hartie
paber	hirtie
paber	hartie
alasti	gol
alasti	goala
alasti	dezbracata
alasti	goala
alasti	dezbracat
alasti	nud
sammas	coloana
sammas	coloana
sammas	pilonul
sammas	stalp
sammas	pilon
mitt	mitt
maatriks	matrice
maatriks	matrix
maatriks	matricea
parameeter	parametru
parameeter	parametrul
žanr	gen
stella	stella
oskuste	abilitate
oskuste	indemanare
otsustanud	decisa
otsustanud	decis
otsustanud	hotarat
sinised	albastra
sinised	albastru
schultz	schultz
lapselaps	nepoata
lapselaps	nepoata
lapselaps	nepotul
lapselaps	nepot
lapselaps	nepoate
wales	wales
elbe	elba
kogemata	accidental
hani	goose
hani	gasca
hani	gasca
hani	hani
hani	han
rex	rex
territoriaalne	teritoriala
territoriaalne	teritoriale
territoriaalne	teritorial
jeffersoni	jefferson
bengali	bengal
harrison	harrison
maia	maia
mehaanilise	mecanic
ümbritsev	inconjuratoare
chicagos	chicago
turba	turba
hävitatud	distrusa
hävitatud	distruse
hävitatud	distrus
hävitatud	distrusa
hävitatud	exterminat
karistuse	pedeapsa
karistuse	pedeapsa
liigitus	clasificare
liigitus	clasificarea
hävitamine	distruge
hävitamine	distrugere
hävitamine	distrugerea
hävitamine	distrugeri
korrus	etajul
korrus	etaj
korrus	podea
beach	plaja
beach	plaja
beach	beach
õiglane	echitabil
õiglane	fair
õiglane	corect
pööre	twist
pööre	rasucire
pööre	intoarce
sõitja	pasageri
sõitja	pasager
sõitja	pasagerul
sõitja	ocupantului
astrofüüsik	astrofizician
kuru	trece
kuru	pass
kuru	pasa
kuru	pasa
kliendi	clientul
kliendi	client
kliendi	clientul
kliendi	client
katoliiklased	catolici
katoliiklased	catolicii
pidulik	festiv
pidulik	festiva
võrreldav	comparabil
võrreldav	comparabile
võrreldav	comparabila
phillips	philips
phillips	phillips
kaas	capacul
kaas	capac
lennata	fly
lennata	zboara
lennata	musca
lennata	zboara
lennata	zbor
lõpetatud	completa
lõpetatud	completa
lõpetatud	complete
lõpetatud	complet
lõpetatud	incheiat
lõpetatud	finalizat
lõpetatud	completat
lõpetatud	finalizata
lõpetatud	terminat
alumiiniumi	aluminiu
yves	yves
ted	ted
kümmekond	duzina
kümmekond	duzina
abt	abbot
abt	abate
möödub	pase
möödub	trece
tõlked	traduceri
camille	camille
claus	claus
meeldis	iubit
meeldis	placea
meeldis	placut
liides	interfata
liides	interfata
toll	centimetru
toll	obiceiuri
toll	vama
toll	vamale
toll	vama
tammeka	stejarul
tammeka	stejar
tammeka	oak
cook	cook
cook	bucatar
cook	gatesc
stressi	stres
stressi	stress
stressi	stresul
varad	active
varad	activele
amy	amy
kive	pietre
kive	pietrele
kive	pietre
kive	roci
kive	stanci
zürichi	zürich
brüssel	bruxelles
kaltsiumi	calciu
gonzález	gonzález
sigmund	sigmund
ahven	biban
suurendatud	crescuta
suurendatud	majorat
laienenud	dilatate
laienenud	marit
laienenud	marita
töölised	lucratori
töölised	muncitori
töölised	muncitorii
töölised	lucratorii
töölised	lucratorilor
flash	flash
göteborgi	gothenburg
projektid	proiectele
projektid	proiecte
june	june
june	iunie
allāh	allāh
parasvöötme	temperata
gérard	gérard
konsooli	consola
konsooli	consola
siena	siena
verner	verner
verona	verona
singapuri	singapore
kalm	kalm
rühmitus	grupare
rühmitus	gruparea
käsitöö	meserii
religioosne	religioasa
religioosne	religioase
religioosne	religioasa
religioosne	religios
muljet	impresioneaza
muljet	impresioneze
muljet	impresiona
vincenzo	vincenzo
ülekanne	transmitere
ülekanne	transmisie
ülekanne	transmiterea
ülekanne	transmisiune
ülekanne	transfer
ülekanne	transferul
ülekanne	transfera
ülekanne	difuzat
ülekanne	transmisie
ülekanne	transmisiune
ülekanne	difuzare
mõjud	efectele
mõjud	efecte
arvud	cifre
arvud	figuri
arvud	cifrele
määr	rata
määr	rata
opositsioon	opozitia
opositsioon	opozitie
opositsioon	opozitie
irene	irene
leidmine	constatare
leidmine	gasirea
leidmine	gasirea
fourier	fourier
mošee	moscheea
mošee	moschee
benito	benito
valentina	valentina
revolutsiooniline	revolutionar
astuuria	asturias
mitmekesine	divers
joonia	ionica
tervishoid	sanatate
tervishoid	sanatatea
tervishoid	sanatate
käimine	datand
käimine	dating
käimine	intalniri
bauer	bauer
pidulikult	solemn
näita	arata
näita	arata
näita	spectacol
näita	afiseaza
budism	budismul
koguma	colecteaza
koguma	colecta
laenatud	imprumutat
laenatud	imprumutat
ruumiline	spatial
ruumiline	spatiala
ruumiline	spatiale
magma	magma
raudteede	ferate
sektor	sector
sektor	sectorul
enterprise	intreprindere
enterprise	intreprinderea
enterprise	enterprise
keskmised	medii
keskmised	medium
keskmised	mediu
keskmised	medie
keskmised	mediile
joone	linia
joone	line
joone	linie
sõnum	mesajul
sõnum	mesaj
tiigid	iazuri
beethoven	beethoven
arenema	evolueze
arenema	evolueaza
teadis	stia
teadis	stiut
teadis	stiam
città	città
augusta	augusta
bio	bio
bio	biografia
bio	biografie
biokeemia	biochimie
nielsen	nielsen
fra	fra
jános	jános
hobused	cai
hobused	cailor
hobused	caii
rongi	train
rongi	trenul
rongi	tren
rikkus	averi
rikkus	averea
rikkus	avere
rikkus	bunastare
rikkus	ruinat
rikkus	ruinata
etendus	arata
etendus	arata
etendus	spectacol
etendus	afiseaza
marshalli	marshall
kvalifikatsioon	calificari
kvalifikatsioon	calificarile
kvalifikatsioon	calificare
kvalifikatsioon	calificarea
kvalifikatsioon	calificare
koondatud	agregate
intensiivsus	intensitate
intensiivsus	intensitatea
marss	marte
marss	mars
springer	springer
teave	informatii
teave	informatie
teave	informatii
teave	informatii
signaale	semnale
signaale	semnalele
