eagle	kartal
andersson	andersson
věřící	müminler
věřící	inananlar
věřící	inançlı
věřící	mümin
věřící	inanan
rytíři	şövalyeler
rytíři	şövalye
rytíři	knight
profesní	mesleki
profesní	profesyonel
nováček	acemi
nováček	çaylak
nováček	çaylak
nováček	acemi
nováček	çaylak
výslovnost	telaffuz
transportní	taşıyıcı
poražen	dövülmüş
poražen	dayak
poražen	yenilmiş
poražen	yenildi
poražen	mağlup
tvarů	şekil
tvarů	şekiller
tvarů	şekilleri
ukončit	bitir
ukončit	son
ukončit	sonu
ukončit	bitiş
prsty	parmaklar
prsty	parmak
prsty	parmakları
prsty	parmaklar
vznikající	yükselen
vznikající	gelişmekte
chráněný	korunmuş
chráněný	korudu
chráněný	korunuyor
chráněný	korumalı
law	yasa
law	law
law	hukuk
law	kanun
nejvíc	çoğu
nejvíc	çogu
poznatky	bulgular
projít	pas
projít	geçiş
úvahy	yansımalar
fungují	çalışır
fungují	çalışıyor
norman	norman
zničeno	imha
zničeno	mahvolmuş
rudy	rudy
rudy	maden
hosté	misafirler
hosté	konuklar
hosté	misafir
hosté	konuk
klima	iklim
uprchl	kaçmış
uprchl	kaçtı
obr	dev
platné	geçerli
platné	geçerlidir
teoretické	teorik
ministrů	bakanları
ministrů	bakanlar
geometrie	geometri
vnuk	torunu
vnuk	torun
styk	ilişki
evans	evans
neil	neil
gnu	gnu
sekundy	saniye
sekundy	saniyeler
některý	bazı
některý	bazıları
některý	bazılarını
některý	kimisi
ovládá	kontrol
cze	cze
poranění	sakatlık
poranění	yara
poranění	yaralanma
poranění	yaralama
poranění	yaralanma
poranění	yaraları
poranění	yaralar
poranění	yaralanmalar
poranění	yaralılar
kytary	gitar
eds	eds
marina	marina
akt	acp
ltd	ltd
teplé	ilık
teplé	sıcacık
teplé	sıcak
španělsky	ispanyollar
španělsky	ispanyol
španělsky	ispanyolca
ekologické	çevre
ekologické	çevresel
ekologické	ekolojik
ekologické	organik
obal	ambalaj
obal	paketleme
obal	koru
obal	kapak
roků	yıllarca
roků	yıllardır
roků	yıllar
roků	yılların
roků	seneler
partnerství	ortaklık
partnerství	ortaklığı
partnerství	ortaklıklar
napsáno	yazılmış
napsáno	yazıldı
napsáno	yazan
napsáno	yazılı
napsáno	yazılan
místnost	oda
autobus	otobüsle
autobus	otobüs
vlád	hükümetler
rámec	çerçeve
rámec	çerçevesi
rámec	çerçeve
rámec	kare
krásný	guzel
krásný	beautiful
krásný	güzel
krásný	güzelim
instrukce	talimat
instrukce	öğretim
instrukce	talimatlar
instrukce	talimatları
instrukce	talimat
chovu	üreme
změněn	değiştirilmiş
front	öne
front	cephe
front	ön
diego	diego
werner	werner
dáma	dama
dáma	lady
dáma	hanım
dáma	bayan
dáma	hanımefendi
stb	stb
komunistická	komünist
experiment	deney
richter	richter
subjekty	taraflar
subjekty	varlıklar
subjekty	konular
atentát	suikast
snížit	azaltmak
snížit	düşüş
snížit	azalma
discovery	keşfi
discovery	keşif
discovery	discovery
grafika	grafik
grafika	grafik
vyučování	öğretme
vyučování	öğretmenlik
vyučování	öğretim
úkolů	görevler
kirk	kirk
jarmila	jarmila
hlasovací	oylama
hlasovací	oy
podzemí	yeraltı
podzemí	yeraltında
identity	kimlikleri
identity	kimlikler
identity	kimliği
identity	kimlik
hráz	dam
hráz	baraj
hráz	barajı
hráz	leke
ukázala	gösterdi
blokování	engelleme
blokování	engelle
blokování	blok
blokování	block
blokování	engelleme
ponorka	denizaltı
ponorka	alt
ponorka	denizaltı
smíšený	karışık
kritizoval	eleştirdi
plošina	platform
plošina	platformu
plošina	yaylası
sedí	oturan
sedí	oturuyorum
sedí	oturup
sedí	oturmak
sedí	oturarak
hladina	düzey
hladina	seviye
pruský	prusya
uložen	saklanır
svatební	düğün
svatební	nikah
svatební	evlilik
udržuje	tutar
abecedy	alfabesi
povinné	zorunlu
povinné	mecburi
povinné	zorunlu
povinné	mecburi
ústní	ağız
ústní	sözlü
ústní	oral
dně	altta
dně	alt
dně	alttaki
dně	dibi
dně	dibe
řecká	yunanlı
řecká	yunan
řecká	yunanca
kapacitu	kapasite
kapacitu	kapasitesi
odolnost	direnç
odolnost	direniş
odolnost	direnç
připojit	ekle
připojit	katılın
připojit	katılmak
připojit	katıl
připojit	bağla
připojit	bağlan
připojit	ekle
zajímavý	ilginç
zajímavý	enteresan
classic	klasik
vyhrát	kazanın
vyhrát	kazanmak
vyhrát	galibiyet
vyhrát	kazan
jídla	yiyecek
jídla	yemekler
jídla	gıda
jídla	yemek
jídla	yemekler
turistika	turizm
turistika	hiking
turistika	yürüyüş
rozhovory	sohbetler
rozhovory	konuşmalar
rozhovory	görüşmeler
rozhovory	röportaj
rozhovory	mülakat
rozhovory	konuşuyor
rozhovory	konuşur
plánované	planlı
plánované	planlanan
plánované	planlanmış
plánované	planlandı
kfar	kfar
radost	sevinç
radost	joy
radost	keyif
radost	neşe
radost	mutluluklar
radost	mutlu
radost	happy
office	büro
office	office
office	ofis
odměny	ödüller
odměny	ödül
odměny	ödülleri
dostatečné	yeterli
dědice	mirasçı
dědice	vâris
dědice	varisi
dědice	varis
ukázat	şov
ukázat	gösteri
ukázat	göster
ukázat	gösterin
ukázat	show
impérium	empire
impérium	imparatorluk
impérium	imparatorluğu
podrobně	ayrıntılı
podrobně	detaylı
dopisy	mektuplar
dopisy	harfler
dopisy	mektup
dopisy	harf
roberto	roberta
roberto	roberto
ledu	buz
ledu	ice
prozatímní	geçici
prozatímní	geçici
obilí	tahıl
obilí	buğday
působnosti	kapsamı
odborník	uzman
odborník	uzman
portály	portal
portály	portalları
deklarace	ilanı
deklarace	beyan
deklarace	bildiri
upravené	düzenledi
upravené	düzenlendi
upravené	ayarlandı
upravené	modifiye
upravené	değiştirilmiş
upravené	değiştirildi
upravené	özelleştirilmiş
přidání	ilave
přidání	ek
přidání	ekleme
přidání	eklemek
přidání	ekleyin
přidání	ekle
přidání	ekleme
náměstek	vekil
náměstek	yardımcı
náměstek	yardımcısı
plod	fetüs
plod	cenin
instalace	tesisler
instalace	yüklemeleri
instalace	kurulum
instalace	yükleme
instalace	montaj
instalace	kurulum
instalace	yükleyin
