einstein	ஐன்ஸ்டீன்
simone	சிமோன்
castro	காஸ்ட்ரோ
senator	செனட்டர்
podružnica	subsidiary
podružnica	கிளை
podvozje	chassis
kmečka	peasant
kirche	kirche
alabama	அலபாமா
odstranjevanje	அகற்றுகிறது
odstranjevanje	அகற்றுதல்
zaman	வீணாகும்
giulio	கியூலியோ
siegfried	சிக்ஃபிரைட்
bomba	குண்டு
bomba	வெடிகுண்டு
navidezni	மெய்நிகர்
mera	மேரா
mera	மதிப்பிடு
mera	மதிப்பிடவும்
mera	விகிதம்
mera	வீதம்
sulfat	sulphate
sulfat	சல்பேட்டு
tito	டிட்டோ
izdelane	manufactured
izmenjavo	பரிமாற்றம்
deseti	பத்தாவது
deseti	பத்தாம்
dim	டிம்
dim	புகை
obred	விழா
obred	சடங்கு
veronika	வெரோனிகா
skale	ராக்ஸ்
skale	பாறைகள்
catherine	கேத்தரின்
odkrito	நேர்மையாக
medicinsko	மருத்துவம்
medicinsko	மருத்துவ
realna	யதார்த்தமான
mejah	எல்லைகள்
mejah	ஓரங்கள்
puščavi	பாலைவனத்தில்
puščavi	பாலைவனம்
zajec	முயல்
vezan	பிணைப்பு
pripadnost	சேர்ந்த
twin	இரட்டையர்
twin	இரட்டை
soproga	வாழ்க்கைத்துணை
soproga	துணைவர்
soproga	மனைவியின்
soproga	மனைவியை
soproga	மனைவிக்கும்
soproga	மனைவி
dorothy	டோரதி
lars	லார்ஸ்
malta	மால்டா
cona	மண்டலம்
zaupanje	தன்னம்பிக்கை
zaupanje	நம்பிக்கை
zaupanje	நம்பு
zaupanje	நம்பிக்கை
zaupanje	trust
zaupanje	நம்பும்
široki	விரிந்த
široki	அகல
prejeti	பெறப்பட்டது
prejeti	பெற்றவை
prejeti	பெறப்பட்ட
izginila	மறைந்தது
izginila	மறைந்து
izginila	காணாமல்
primerjavo	ஒப்பீடு
diska	வட்டு
zgleda	தெரிகிறது
garcia	கார்சியா
testiranje	சோதனை
testiranje	சோதிக்கிறது
selena	செலினியம்
navdušen	உற்சாகமாக
navdušen	சந்தோஷமாக
nakup	வாங்குதல்
nakup	வாங்கு
nakup	வாங்க
nakup	வாங்கு
nakup	வாங்கவும்
nakup	வாங்குதல்
bishop	பிஷப்
modrosti	ஞானம்
modrosti	ஞானத்தை
nacional	nacional
cepivo	தடுப்பூசி
ozračje	வளிமண்டலம்
gospodarstvu	ஏந்திய
kocke	கட்டிகள்
kocke	டைஸ்
curtis	கர்டிஸ்
hladno	குளிரில்
hladno	சளி
hladno	ஜலதோஷம்
hladno	குளிர்
prvenec	அறிமுக
čebele	தேனீக்கள்
pruski	prussian
sužnji	அடிமைகள்
rgb	rgb
ravnotežje	சமநிலை
ravnotežje	மீதம்
ravnotežje	balance
ravnotežje	மீதி
ravnotežje	இருப்பு
desetletij	பத்தாண்டுகளாக
zmanjšati	குறைக்கும்
zmanjšati	குறை
zmanjšati	குறைக்க
jamie	ஜேமி
spore	spores
spore	மோதல்கள்
minuto	நிமிடம்
minuto	நிமிடத்திற்கு
pastor	பாஸ்டர்
piper	பைபர்
ust	வாய்
telefon	பேசி
telefon	தொலைபேசியை
telefon	தொலைபேசி
telefon	ஃபோன்
telefon	தொலைபேசி
razmnoževanje	பெருக்கல்
razmnoževanje	இனப்பெருக்கம்
pojasnil	விளக்கினார்
urbana	நகர்ப்புற
sio	sio
lah	lah
kovanci	நாணயங்கள்
kovanci	coins
kovanci	காசுகள்
možgani	மூளை
možgani	மூளை
kontrole	கட்டுப்பாடுகள்
prazen	காலி
prazen	காலியான
prazen	வெற்று
prazen	வெற்று
usposabljanja	பயிற்சியை
usposabljanja	பயிற்சி
omenil	குறிப்பிடுங்கள்
omenil	குறிப்பிடவும்
stroji	யந்திரம்
izboljšati	மேம்பட
foster	வளர்ப்பு
organizirana	ஏற்பாடு
dean	டீன்
junaki	ஹீரோக்கள்
junaki	நாயகர்கள்
poteze	நகர்வுகள்
premikanje	நகரும்
premikanje	இயக்கம்
vreden	சிந்தும்
ujetništvu	captivity
storia	storia
čevljev	காலணி
čevljev	காலணிகள்
povabilo	அழைப்பிதழ்
protokol	நெறிமுறை
prepovedi	தடை
prepovedi	bans
nizek	குறைவாக
nizek	குறைவு
nizek	குறைவான
nizek	தாழ்வு
nizek	குறைந்த
kronanje	முடிசூட்டு
žogo	பந்து
hodi	நடந்து
hodi	நடத்தல்
hodi	நடக்கிறார்
hodi	வாக்கிங்
hodi	நடைப்பயிற்சி
hodi	நடைபயணம்
hodi	நட
hodi	நடை
hodi	நடக்க
martini	மார்டினி
pisatelji	எழுத்தாளர்கள்
pel	சங்
pel	பாடினார்
hčerki	மகள்கள்
duhovne	ஆன்மீக
duhovne	ஆன்மீகம்
duhovne	ஆன்ம
duhovne	சந்தேகங்களும்
temna	டார்க்
temna	இருள்
temna	இருண்ட
temna	இருட்டு
hollywood	ஹாலிவுட்
pekingu	பெய்ஜிங்
zidovi	சுவர்களில்
zidovi	சுவர்கள்
šesta	ஆறாவது
lepi	அழகு
lepi	அழகான
lepi	அழகிய
lepi	அழகா
lepi	அழகாக
lepi	கம்பீரம்
