ফ্রেডরিক	فردریک
ওয়াইন	شرابی
ওয়াইন	شراب
ওয়াইন	باده
অস্পষ্ট	نامشخص
অস্পষ্ট	تاره
আর্নল্ড	آرنولد
লিন	تکیه
লিন	لین
ছাড়	تخفیف
পনেরো	پانزده
রবার্টস	رابرتس
রবার্টস	رابرتز
ব্রেট	برت
ডলি	دالی
প্রাইড	پراید
প্রাইড	غرور
প্রাইড	تکبر
ভিলহেল্ম	ویلهلم
জোহানেসবার্গ	ژوهانسبورگ
ওম	اهم
সচিবালয়	دبیرخانه
অন্তর্বর্তীকালীন	انتقالی
শোনার	شنوایی
দরজার	در
হোমস	هولمز
হোমস	هلمز
হোমস	حمص
দোকানের	فروشگاه
দোকানের	خرید
দোকানের	فروشی
দোকানের	مغازه
দোকানের	shop
সাও	سائو
আইসল্যান্ড	ایسلند
মডার্ন	مدرن
মডার্ন	امروزی
মডার্ন	modern
চতুর্থাংশ	ربع
চতুর্থাংশ	کوارتر
অন্নপূর্ণা	آناپورنا
ফুটার	زیرنویس
তৎপরতা	فعالیتها
তৎপরতা	فعالیت
জুলিয়াস	جولیوس
জুলিয়াস	ژولیوس
ভাতা	مقرری
ভাতা	مستمری
ব্যাঙ্গালোর	بنگلور
তাড়া	چیس
তাড়া	برازنده
উপসাগরীয়	خلیج
ইলেক্ট্রনিক্স	الکترونیک
এমবিএ	mba
কবরের	قبرها
কবরের	گورها
কবরের	گریوز
লিওনেল	لیونل
স্বর্গের	آسمان
সদস্যবৃন্দ	اعضای
সদস্যবৃন্দ	اعضا
অলংকার	زیور
হিশাম	هشام
ডুবিয়ে	غرق
উদ্যোগী	ابتکار
চিরন্তন	ابدی
চিরন্তন	جاودانی
চিরন্তন	پاینده
লালা	لالا
কানে	خوشه
ম্যাথিউস	متیوس
এসেক্স	اسکس
শোভা	زینت
শোভা	زیور
ফিশার	فیشر
ফিশার	نیمکره
ফিশার	فیشر
মাইক্রোসফটের	مایکروسافت
মাইক্রোসফটের	microsoft
জাম্প	جهش
জাম্প	پرش
জাম্প	پرشی
বুলেট	فشنگ
বুলেট	گلوله
কঠোরভাবে	اکیدا
কঠোরভাবে	اکیداً
দেওয়ালে	وال
দেওয়ালে	دیواری
দেওয়ালে	دیوار
যোদ্ধাদের	مبارزان
আর্ল	ارل
আর্ল	ایرل
পাবলিশার্স	ناشر
পাবলিশার্স	انتشارات
সেলাই	دوختن
সেলাই	خیاطی
সেলাই	خیاط
সেলাই	دوختن
সেলাই	بخیه
সেলাই	بخیه
সুরা	سورات
সুরা	سوره
প্রোটোকল	قرارداد
প্রোটোকল	پروتکل
প্রোটোকল	قراردادهای
প্রোটোকল	قراردادها
ইয়াজিদ	یزید
সৃষ্টিকর্তা	آفریدگار
সৃষ্টিকর্তা	سازنده
সৃষ্টিকর্তা	آفریننده
সৃষ্টিকর্তা	خالق
সন্ত্রাসবাদ	تروریسم
যত্ন	مراقبت
তাজিকিস্তান	تاجیکستان
অনশন	روزه
সুগার	شکری
সুগার	قند
সুগার	شکر
মোদী	modi
মোদী	مودی
ফান্ড	وجوه
নির্মম	ظالم
নির্মম	وحشیانه
নির্মম	سختگیر
নির্মম	زننده
নির্মম	خشن
তন্তু	الیاف
তন্তু	الیاف
মনি	mani
মনি	مانی
বাটলার	باتلر
কৈশোর	نوجوانی
কৈশোর	بلوغ
চিনতে	شناخت
চিনতে	بشناسید
চিনতে	میشناسند
চিনতে	شناخت
চিনতে	میشناسند
সাবান	صابون
স্বরধ্বনি	واکه
জেনিফার	جنیفر
ক্ষেত্রগুলি	فیلدز
ক্ষেত্রগুলি	مزارع
মরক্কো	مراکش
সিরীয়	سوریه
সিরীয়	سوری
হকিং	هاوکینگ
ক্রিশ্চিয়ান	کریستین
ক্রিশ্চিয়ান	کریستیان
ক্রিশ্চিয়ান	مسیحی
ক্রিশ্চিয়ান	کریستن
অভ্যর্থনা	دریافت
অভ্যর্থনা	پذیرش
অভ্যর্থনা	پذیرایی
ট্রিপল	تریپل
ইউরেশীয়	اوراسیایی
মস্তিষ্কে	مغز
মস্তিষ্কে	مغزی
ক্রুসেড	جهاد
ক্রুসেড	نهضت
প্রোডাকশন	تولید
সিন্ধি	سندی
খলিল	خلیل
একনিষ্ঠ	وقف
অ্যাঞ্জেলো	آنجلو
সিকিম	سیکیم
ব্যাঙের	قورباغه
সম্ভাবনার	امکانات
জিউস	زاوش
জিউস	زئوس
আরেকটা	دیگر
আরেকটা	دیگری
জুরিখ	زوریخ
জুরিখ	زوریخ
বাহুর	بازوان
বাহুর	بازوها
বাহুর	آغوش
বাহুর	بازو
মাইক্রো	میکرو
বিভাজিত	جامه
ফ্লাওয়ার	گل
ফ্লাওয়ার	شکوفه
