schnellen	ràpid
wusste	sabia
bahnen	ferrocarrils
bahnen	entrena
bahnen	trens
theologische	teologia
hanns	hanns
thompson	thompson
konstantinopel	constantinoble
konstantinopel	istanbul
henriette	enriqueta
henriette	henrietta
four	four
four	quatre
dichtung	poesia
dichtung	foca
dichtung	segell
hinreichend	suficientment
theoretisch	teòrica
theoretisch	teòric
theoretisch	teòricament
theoretisch	teoria
robinson	robinson
decken	sostres
decken	mantes
decken	portada
decken	caràtula
hop	hop
legend	llegenda
legend	legend
persönlicher	personals
wünsche	desig
wünsche	desitjos
wünsche	desitjant
wünsche	desitjos
dennis	dennis
mien	mien
nachbarn	veïns
nachbarn	veí
nachbarn	veïns
nachbarn	veí
nachbarn	veïna
ernährung	nutrició
ernährung	dietètics
ernährung	nutricionals
ernährung	dieta
bologna	bologna
bologna	bolonya
vergleichen	comparacions
vergleichen	compare
vergleichen	compara
vergleichen	comparar
vergleichen	diff
vergleichen	comparant
vergleichen	comparació
björn	bjorn
björn	björn
gestrichen	esborrat
gestrichen	eliminat
gestrichen	pintat
kolumbien	columbia
kolumbien	colòmbia
tafel	pissarra
verabschiedet	adoptats
verabschiedet	adoptat
geistliche	clergues
geistliche	sacerdot
geistliche	espiritual
geistliche	cures
geistliche	clergues
geistliche	clergat
download	descàrrega
download	descarrega
dublin	dublín
dublin	dublin
gabriele	gabriele
planck	planck
fantasy	fantasia
anerkannte	reconeguts
anerkannte	reconegut
springen	salta
springen	saltant
interessierte	interessat
interessierte	interessats
aktivität	activitat
ära	era
luigi	luigi
annehmen	assumir
annehmen	acceptar
annehmen	accepta
gedruckt	imprès
abteilungen	divisions
abteilungen	departaments
abteilungen	compartiments
störungen	interferència
störungen	trastorns
störungen	pertorbacions
ken	ken
sportarten	esport
sportarten	sport
sportarten	esports
halbe	meitats
halbe	meitat
halbe	half
louisiana	louisiana
erläutert	explicat
erläutert	explica
nachweisbar	demostrable
taiwan	taiwan
kritischen	crític
obergeschoss	dalt
vorzeitig	prematurament
vorzeitig	prematurs
vorzeitig	prematur
sturz	enderrocar
sturz	cascades
sturz	caiguda
erweiterten	ampliada
aufzeichnungen	rècords
aufzeichnungen	registres
aufzeichnungen	enregistraments
aufzeichnungen	gravacions
amazon	amazon
amazon	amazona
teilgenommen	participat
befestigt	fortificada
befestigt	adjuntat
administrative	administratiu
administrative	administratius
shakespeare	shakespeare
forst	forestal
forst	forst
forst	bosc
hang	desnivell
hang	talussos
hang	penjar
stadtmauer	murs
stadtmauer	parets
beantwortet	respost
beantwortet	respost
beantwortet	contestat
beantwortet	contestada
labor	laboratoris
labor	laboratori
labor	laboratori
samstag	dissabte
samstag	dissabtes
lehmann	lehmann
classic	classic
classic	clàssic
wirtschafts	econòmic
wirtschafts	econòmica
wirtschafts	econòmics
wirtschafts	economic
wirtschafts	econòmiques
herausragende	eminent
med	med
oberste	suprem
oberste	suprema
schwäbisch	schwäbisch
berühmt	famós
berühmt	famosos
berühmt	celebritat
berühmt	fama
berühmt	fame
berühmt	renom
restaurierung	restauració
geehrt	homenatjats
geehrt	honorat
geehrt	honrat
jonas	jonas
jonas	jonah
umzug	reubicació
umzug	movent
umzug	desfilada
umzug	rua
umzug	supressió
umzug	eliminació
niedrigen	baix
niedrigen	baixes
ski	esquís
weichen	commutadors
held	heroi
erhöhung	increment
erhöhung	augment
erhöhung	elevació
kfz	automoció
wüste	desert
wüste	deserts
verkauften	venut
verkauften	venuda
adolph	adolph
polizisten	polis
polizisten	policies
polizisten	policies
polizisten	policia
polizisten	oficials
mhz	mhz
carter	carter
princeton	princeton
latein	llatí
tschechische	txeca
tschechische	txec
fortgesetzt	continuat
fortgesetzt	continuada
atlanta	atlanta
hip	hip
hip	maluc
antwerpen	antwerpen
antwerpen	anvers
kaiserslautern	kaiserslautern
bks	bks
invasion	invasió
invasion	envaeix
invasion	envair
antonius	anthony
antonius	antony
muhammad	muhammad
muhammad	mahoma
gegenwärtig	actualment
northern	northern
julian	julian
julian	julián
julian	julià
nil	nil
nil	nil
selbständige	independents
selbständige	independent
selbständige	independents
güterverkehr	mercaderies
alternativen	alternatiu
alternativen	alternativa
alternativen	alternatives
altenburg	altenburg
abc	abc
herrscht	preval
herrscht	reigns
schaffung	creació
flachen	superficial
bestritten	disputada
kiew	kíev
hard	hard
hard	dura
hard	dur
wiedergänger	revenant
uraufgeführt	estrenada
uraufgeführt	estrenades
faust	faust
faust	puny
vita	vita
evans	evans
anlehnung	afiliació
interessante	interesant
interessante	interessant
ausserdem	també
apple	poma
apple	apple
schlage	suggereix
schlage	suggerir
schwanz	cues
schwanz	cua
schwanz	dick
fisch	pisces
fisch	peixos
fisch	peix
fisch	marisc
thron	tron
rapper	raper
ozean	oceànics
ozean	oceans
ozean	oceà
ozean	ocean
konservatorium	conservatori
beteiligen	participeu
beteiligen	participar
untergrund	substrat
untergrund	subsòl
redundanz	redundància
senior	sènior
cooper	cooper
rechner	calculadora
rechner	ordinadors
rechner	màquina
rechner	ordinador
rechner	amfitrions
rechner	calculadores
ulmer	ulmer
schubert	schubert
brigitte	brigitte
fränkischen	regni
zugrunde	subjacent
barry	barry
bahnhöfe	estacions
bahnhöfe	emissores
brüdern	germans
patent	patent
patent	patents
webseiten	web
unterfamilie	subfamília
knochen	ossos
knochen	os
veb	veb
posen	poznań
posen	planteja
posen	posen
rechtlich	legalment
wenzel	wenzel
wenzel	venceslau
pionier	capdavanter
pionier	pioneer
pionier	pioners
type	tipus
blütezeit	bloom
rumänischen	romanès
metz	metz
harold	harold
brothers	germans
tests	proves
tests	provant
tests	assaig
tests	proves
entfernten	remot
entfernten	remota
entfernten	remots
ausgehen	datació
ausgehen	out
lebenslauf	currículums
lebenslauf	curriculum
lebenslauf	currículum
lebenslauf	biografia
lebenslauf	reprèn
lebenslauf	represa
lebenslauf	currículum
läßt	admet
staffeln	temporades
staffeln	estacions
alkohol	alcohol
gene	gene
gene	gen
trasse	camí
rechnen	aritmètica
rechnen	mates
rechnen	matemàtica
silva	silva
bemerkenswert	notables
bemerkenswert	notable
bemerkenswert	destacable
bemerkenswert	remarcable
bemerkenswert	remarcables
menschheit	humanitat
produzieren	productores
produzieren	produint
produzieren	produeixin
produzieren	produeixen
ehre	honor
ehre	glòria
ehre	glory
öffentlicher	públic
öffentlicher	públics
öffentlicher	public
öffentlicher	públiques
toll	gran
toll	peatge
christ	christian
christ	cristià
christ	crist
vorwort	preàmbul
vergrößert	ampliada
tropischen	tropical
miami	miami
shanghai	shanghai
shanghai	xangai
mexico	mèxic
bischofs	bisbe
bischofs	alfil
vertretung	representació
vertretung	representant
fauna	fauna
abriss	enderroc
abriss	demolició
protokoll	minuts
protokoll	transcripció
protokoll	protocol
protokoll	bitàcola
protokoll	troncs
athleten	atleta
athleten	esportista
athleten	esportistes
athleten	atletes
lahn	lahn
teilnehmern	participants
teilnehmern	assistents
baker	baker
baker	forner
baker	flequer
ethnischen	ètnica
copa	copa
konzipiert	concebut
konzipiert	concep
konzipiert	concebuda
konzipiert	dissenyada
konzipiert	dissenyat
udo	udo
steuerung	control
steuerung	controlador
steuerung	controlant
steuerung	controlar
steuerung	governança
steuerung	controls
vortrag	discurs
vortrag	presentació
división	división
prinzipien	principis
dienstleistungen	serveis
comedy	comèdia
basketballspieler	basquetbol
basketballspieler	bàsquet
subsp	subsp
hansen	hansen
catherine	caterina
catherine	catherine
standorte	localització
standorte	ubicació
standorte	emplaçament
standorte	ubicacions
standorte	localitzacions
philologe	filòleg
aufteilung	assignació
aufteilung	desglossament
aufteilung	distribució
böhmischen	bohemian
erwachsene	adults
erwachsene	adult
werfen	tirant
werfen	elenc
werfen	repartiment
erfunden	inventat
mexikanischen	mexicà
philosophen	filòsofs
philosophen	filòsof
frag	ask
ehrenmitglied	honorari
dicke	gruix
dicke	gruixut
dicke	grandàries
dicke	gruix
bodensee	bodensee
irischen	irlandès
ländlichen	rurals
han	han
vielfalt	multiplicitat
vielfalt	pluralitat
vielfalt	diversitat
vielfalt	varietat
wettbewerbe	concursos
wettbewerbe	competicions
wettbewerbe	concursos
wettbewerbe	concurs
wettbewerbe	certamen
rowohlt	rowohlt
heiraten	matrimoni
heiraten	boda
heiraten	casament
murray	murray
archäologe	arqueòleg
austin	austin
stellungnahme	opinió
stellungnahme	dictamen
wälder	woods
wälder	bosc
wälder	arbrat
wälder	boscos
wälder	bosc
schließung	tancament
hierher	aquí
hierher	aqui
hierher	ací
maßnahme	acció
maßnahme	mesura
echo	eco
echo	ressó
echo	echo
