vodík	hydrogen
poškodenie	injury
poškodenie	damage
neúspešne	unsuccessfully
kňazov	priests
spojiť	merge
spojiť	link
spojiť	connect
spojiť	combine
slnečné	sunny
slnečné	solar
rovina	plane
hĺbky	depths
hĺbky	depth
krku	neck
stanovené	set
stanovené	fixed
prezývka	alias
prezývka	nickname
zničil	ruined
výpočet	calculation
výpočet	computation
európu	europe
potomkovia	offspring
potomkovia	descendants
kleť	kleť
jaromír	jaromír
predsedovia	chairs
predsedovia	presidents
predsedovia	chairmen
predsedovia	chairpersons
deje	happening
rozum	brains
rozum	reason
rozum	mind
rozum	sense
renesancie	renaissance
kopec	hill
pokúšal	tried
zasahuje	interferes
zasahuje	intervenes
rovnaká	same
pozícií	positions
argumenty	arguments
zoo	zoo
three	three
menia	changing
filmfare	filmfare
orol	eagle
výskumy	research
potenciál	potential
nádej	hope
ježiš	jesus
nestor	nestor
příbram	příbram
diagram	diagram
telefón	phone
telefón	telephone
závislosť	dependence
závislosť	dependency
závislosť	addiction
premenná	variable
pres	pres
atmosféru	atmosphere
definovaná	defined
izraelský	israeli
zvolili	elected
zvolili	chose
zvolili	opted
ronald	ronald
sub	sub
petrom	peter
know	know
diego	diego
mercedes	mercedes
gonzález	gonzález
slovom	word
obývaných	inhabited
obývaných	populated
kôň	horse
závod	plant
závod	race
tváre	faces
federer	federer
vysielania	broadcast
vysielania	broadcasts
vysielania	broadcasting
žiadosti	applications
žiadosti	requests
umelo	artificially
samica	female
jaskýň	caves
dokumentu	document
vedomosti	knowledge
stv	stv
obmedzené	limited
obmedzené	restricted
vzájomné	mutual
faktory	factors
poprade	poprad
žiak	pupil
beat	beat
plánuje	plans
plánuje	planned
cestovného	fares
členka	member
odchod	departure
odchod	leaving
súkromná	private
raf	raf
spojenci	allies
ods	ods
mechanické	mechanical
nástup	boarding
nástup	entrance
relativity	relativity
obeť	sacrifice
obeť	victim
úspešná	successful
úspešná	success
postupy	procedures
days	days
dvanástich	twelve
bielorusko	belarus
bielorusko	belarusian
tokio	tokyo
komunistická	communist
označenia	marking
označenia	designation
označenia	labels
označenia	indications
označenia	marks
koncerte	concert
islam	islam
pokles	decline
pokles	drop
pokles	decrease
daní	taxes
pius	pius
odbory	divisions
odbory	unions
utrpel	suffered
špeciálna	special
databázy	databases
civilizácie	civilization
civilizácie	civilizations
civilizácie	civilisations
pechoty	infantry
lyon	lyon
stien	walls
nastala	occurred
mobilné	mobile
jednoduchá	simple
hmyz	insects
hmyz	insect
memorial	memorial
dvadsať	twenty
nákladov	cost
luftwaffe	luftwaffe
zmenilo	changed
vysvetľuje	explains
členstvo	memberships
členstvo	membership
bouches	bouches
piloti	pilots
dozvedel	learned
srsť	hair
srsť	fur
prezývku	nickname
vráti	returns
miss	miss
kuba	kuba
kuba	cuba
bolesti	pain
opereta	operetta
stanovisko	opinion
pečať	seal
imagesize	imagesize
pekingu	beijing
faktorov	factors
ostáva	remains
ostáva	stays
nevyhnutné	necessary
nevyhnutné	unavoidable
nevyhnutné	inevitable
nevyhnutné	vital
nevyhnutné	essential
zatknutý	arrest
zatknutý	arrested
zatknutý	apprehended
scalemajor	scalemajor
vonkajší	outdoor
vonkajší	external
aplikácií	applications
aplikácií	apps
molekúl	molecules
jedine	only
večné	perpetual
večné	eternal
večné	everlasting
nic	nothing
nic	nic
nástroja	instrument
nástroja	tool
konštruktér	constructor
tennessee	tennessee
techniku	technique
raymond	raymond
cicavcov	mammalian
cicavcov	mammals
cicavcov	mammal
public	public
príznaky	symptoms
príznaky	signs
prijatá	received
prijatá	accepted
prijatá	admitted
prijatá	adopted
joan	joan
rozhodnuté	resolved
rozhodnuté	decided
patriarcha	patriarch
dunaji	danube
múr	wall
manhattan	manhattan
texase	texas
stráže	guards
kristus	christ
rozsiahly	extensive
rozsiahly	vast
aristoteles	aristotle
edwards	edwards
financie	finance
financie	financials
financie	finances
plotarea	plotarea
nedeľu	sunday
pomocný	auxiliary
maďarov	hungarians
ibm	ibm
kľúč	key
ochorenie	illness
ochorenie	disease
ochorenie	sickness
kostolov	churches
nadal	nadal
jacob	jacob
ťažba	extraction
ťažba	mining
ťažba	logging
lesné	forest
centrá	centers
centrá	centres
indonézie	indonesia
bytia	being
vlastná	own
vlastná	custom
ministrov	ministers
ministrov	ministerial
múzeá	museums
kováč	blacksmith
šírenie	spreading
šírenie	dissemination
šírenie	spread
obnovená	resumed
obnovená	renewed
obnovená	restored
botanik	botanist
kyselín	acids
benz	benz
zeman	zeman
phoenix	phoenix
gilmour	gilmour
rozvíjať	evolve
rozvíjať	develop
populárny	popular
metre	meters
metre	subway
metre	metres
rak	rak
rak	cancer
hovorovo	colloquially
obavy	fears
obavy	concerns
obavy	concern
verlag	verlag
cit	cit
frekvencia	frequency
minútu	minute
register	register
register	registry
bosna	bosnia
tvoje	your
tvoje	yours
maximum	maximum
coa	coa
cas	cas
cas	cass
prijaté	taken
prijaté	received
prijaté	accepted
prijaté	admitted
prijaté	adopted
dno	bottom
voz	wagon
dôstojníkov	officers
američania	americans
frederick	frederick
rozdeľuje	divides
rozdeľuje	splits
oheň	fire
garcía	garcía
ložiská	bearings
zrážky	collision
zrážky	deductions
zrážky	precipitation
alberto	alberto
byzantský	byzantine
russell	russell
kopca	hill
kritici	critics
demokracia	democracy
autorstvo	authorship
kus	piece
