topovi	senapang
zasede	hendap
mleka	susu
mleka	milk
mag	magus
mag	mag
poletni	summer
uživanje	menikmati
uživanje	enjoying
molitev	berdoa
molitev	doa
molitev	sembahyang
molitev	doa
prst	jari
prst	finger
prst	toe
blato	lumpur
blato	bangku
blato	bangku
postopno	bertahap
postopno	progresif
isonzo	isonzo
navdih	inspired
navdih	diinspirasikan
navdih	diilhamkan
navdih	inspirasi
abd	abd
študente	pelajar
študente	murid
disertacijo	tesis
luč	ringan
luč	cahaya
luč	light
mehiški	mexico
aluminija	aluminium
gozdni	hutan
bogovi	dewa
kupolo	kubah
kupolo	dome
razširjeno	dilanjutkan
razširjeno	extended
razširjeno	dipanjangkan
stopenj	tiers
lambert	lambert
cele	keseluruhan
cele	whole
stavka	strike
stavka	mogok
izziv	cabaran
izziv	mencabar
vrhovno	supreme
inšpektor	inspektor
siriji	syria
gledalci	khalayak
gledalci	penonton
gledalci	penonton
primerjalno	perbandingan
andrews	andrews
keith	keith
garcía	garcía
src	hati
src	hearts
schneider	schneider
trdo	susah
trdo	hard
trdo	keras
čaj	teh
spartak	spartacus
odpoved	tamatkan
odpoved	quit
vzorce	sample
vzorce	sampel
divji	liar
beach	beach
beach	pantai
upokojeni	bersara
upokojeni	pencen
odgovorna	bertanggungjawab
stanovanje	flat
stanovanje	apartment
stanovanje	pangsapuri
posode	piring
posode	pinggan
posode	pembuluh
posode	kontena
piero	piero
jeff	jeff
baz	baz
murphy	murphy
vesel	senang
omembe	menyebut
omembe	mention
omembe	sebutan
omembe	mentions
bezirk	bezirk
dostopen	diakses
suhi	kering
suhi	skinny
suhi	kurus
odgovoril	dibalas
odgovoril	terjawab
odgovoril	dijawab
spredaj	front
spredaj	depan
spredaj	hadapan
sašo	grayson
luca	luca
pisem	huruf
lepe	cantik
lepe	indah
uspehov	kejayaan
uspehov	kejayaan
uspehov	sukses
uspehov	berjaya
uspehov	success
smiles	senyuman
razdeli	cerai
razdeli	split
razdeli	bahagikan
razdeli	bahagikan
pozdrav	salam
pozdrav	tabik
pozdrav	salute
pozdrav	ucapan
suverenosti	kedaulatan
isaac	isaac
isaac	ishak
dem	dem
siva	kelabu
siva	kelabu
siva	grey
izdelava	pengilangan
izdelava	perkilangan
trenutek	momen
trenutek	moment
oltarja	altar
obrobju	periphery
gaj	gaius
gaj	caius
bank	bank
sinonim	sinonim
sestri	sisters
sestri	saudari
sestri	beradik
prid	amacam
delce	zarah
kupola	kubah
kupola	dome
sekunde	seconds
sekunde	detik
sekunde	saat
rossi	rossi
rona	ron
auflage	auflage
psihologijo	psikologi
charlie	charlie
bron	gangsa
državljani	warganegara
walther	walther
komandant	comandante
komandant	komandan
weber	weber
leonardo	leonardo
prepovedano	terlarang
prepovedano	dilarang
prepovedano	terlarang
prepovedano	dilarang
linux	linux
kritiko	kritikan
kritiko	pengkritik
kritiko	kritik
razlogi	alasan
razlogi	sebab
razlogi	reason
moderno	moden
bolečino	kepedihan
bolečino	sakit
bolečino	keperitan
bolečino	kesakitan
bolečino	pain
voditelji	pemimpin
voditelji	leaders
jedrski	nuklear
hamburg	hamburg
cruz	cruz
vožnjo	ride
vožnjo	tunggangan
vožnjo	memandu
vožnjo	pemanduan
vožnjo	driving
poln	full
poln	kenyang
poln	penuh
div	div
iranu	iran
mitologija	mitos
mitologija	mitologi
drugačna	berbeza
teologijo	teologi
zmesi	mixtures
alma	alma
slišal	mendengar
slišal	didengar
verjeli	diyakini
odhod	berlepas
koža	kulit
proizvajalci	pengeluar
proizvajalci	pengilang
najmanjši	terkecil
odvisnost	dependence
odvisnost	kebergantungan
odvisnost	ketagihan
dick	dick
theodore	theodore
renesančni	renaissance
royce	royce
jupiter	musytari
jupiter	jupiter
kotel	boiler
kotel	dandang
kotel	kuali
wade	wade
nemudoma	segera
krogla	sfera
krogla	peluru
krogla	bullet
prepričal	meyakinkan
aero	aero
