culto	kult
irlandesa	irske
irlandesa	irsko
irlandesa	irski
irlandesa	irci
sicilia	sicilija
reich	rajh
déronme	so
déronme	dal
déronme	dau
déronme	dala
lagoa	lagune
meniña	male
meniña	mali
meniña	punca
meniña	deklica
meniña	dekle
meniña	punco
católicos	katoliki
católicos	katoliško
católicos	katoliški
católicos	katoliška
pasear	sprehod
pasear	hoja
pasear	sprehodi
pasear	peš
pasear	hodi
pasear	za
clans	klan
clans	klani
hmong	hmong
leland	leland
klaus	klaus
pablo	pablo
marquesa	markiza
nomura	nomura
duchêne	duchene
nis	nis
cuarteto	kvartet
estivesen	so
estivesen	bili
corría	teče
corría	tek
corría	teči
corría	bil
corría	bila
ensino	naučil
ensino	poučevanje
informática	računalnik
informática	računalniško
informática	računalniška
técnicas	tehnik
técnicas	tehnikami
técnicas	tehnike
veterinarios	veterinarji
confesión	izpoved
confesión	spovedi
confesión	spoved
confesión	priznanje
estanse	so
loitan	pretep
loitan	pretepanje
loitan	bojevanje
loitan	so
loitan	pretep
loitan	boj
loitan	borba
medicinas	zdravilo
medicinas	medicino
medicinas	medicina
perden	izgubi
culturas	kulture
culturas	kultur
interpretación	razlago
interpretación	tolmačenje
interpretación	razlaga
escoitan	poslušamo
escoitan	poslušam
escoitan	poslušal
escoitan	poslušanje
dinámica	dinamika
dinámica	dinamična
dinámica	dinamični
dinámica	dinamično
dinámica	dinamičen
dinámica	dinamika
dinámica	dinamike
dinámica	dinamiko
populares	priljubljene
populares	priljubljena
populares	priljubljeno
populares	priljubljeni
populares	priljubljen
aumenta	will
aumenta	bo
aumenta	volja
aumenta	povečanje
aumenta	zvišanje
aumenta	povišanje
sida	aids
sida	pripomočki
similar	podobni
similar	podoben
similar	podobna
similar	podobne
similar	podobnih
similar	podobno
espectadores	gledalce
espectadores	gledalci
espectadores	gledalcem
saibas	si
saibas	ti
garantía	poroštvo
garantía	garancija
garantía	jamstvo
garantía	zagotovilo
ken	ken
bambú	bambusa
falsos	lažno
sexades	si
sexades	ti
pensaban	misel
pensaban	so
pódense	lahko
coñecida	znana
coñecida	znane
coñecida	znan
coñecida	znani
coñecida	znano
coñecida	poznan
emocionante	zanimivo
emocionante	razburljivo
emocionante	razburljivo
xulgado	sodišče
xulgado	dvor
extensión	razširitev
extensión	podaljšek
extensión	podaljšanje
expansión	razširitev
expansión	širjenje
expansión	širitev
azar	chance
azar	priložnost
azar	možnost
necesitan	potrebo
necesitan	potreba
necesitan	so
senon	toda
senon	ampak
senon	vendar
organizacións	organizacije
organizacións	organizacijami
organizacións	organizacij
individual	individualna
individual	posamezna
individual	posamezno
individual	individualno
individual	posamezni
individual	posameznik
web	web
novamente	spet
novamente	znova
novamente	ponovno
intres	trenutki
específico	specifično
específico	specifični
ordenadores	računalniki
ordenadores	računalnike
ordenadores	računalnik
ordenadores	računalniško
ordenadores	računalniška
estatísticas	statistika
estatísticas	statistike
estatísticas	statistiko
fiel	zvesto
fiel	zvesta
fiel	zvest
fiel	zvesti
capturado	ujeli
capturado	ujeta
capturado	zajeti
capturado	ujet
trece	thirteen
trece	trinajst
lémbrame	spominja
características	lastnosti
características	značilnosti
características	lastnosti
características	značilnosti
residencia	prebivanje
residencia	bivališče
residencia	bivanje
residencia	rezidenca
residencia	prebivališče
paran	ustavi
paran	so
pensara	misli
pensara	misel
