பிராட்வே	broadway
எர்வின்	erwin
ஆண்டிமனி	antimony
கார்ல்சன்	carlson
கேத்தரின்	catherine
கேத்தரின்	catarina
கொம்	hom
பேப்பர்	giấy
பேப்பர்	trát
அரிஸ்டாட்டில்	aristotle
தாலிபான்	taliban
ஐயன்	ion
ஈரோஸ்	eros
ஏஞ்சல்	angel
கறையான்	mối
லிஸ்பன்	lisboa
லிஸ்பன்	lisbon
பூங்குயில்	phaenicophaeus
சங்	trương
சங்	sang
கார்சியா	garcia
கார்சியா	garcia
கார்சியா	garcía
ஒண்டாரியோ	ontario
அகன்று	rách
சயனைடு	xyanua
சயனைடு	cyanide
வஸ்தோக்	vostok
சாண்டா	trã
சாண்டா	santa
சாம்பியா	zambia
தகனம்	dahan
கராத்தே	karate
போரா	bora
கட்டளையை	lệnh
கட்டளையை	huy
கட்டளையை	lềnh
அட்லாண்டா	atlanta
ஹிசார்	hisar
எறிகணை	submersible
கோப்	cobb
கோப்	cope
பீன்	bean
பீன்	đậu
மில்டன்	milton
தொடர்பில்லாத	offline
வாமன	vamana
புளோரன்ஸ்	florence
மேஜிக்	thuật
மேஜிக்	magic
நொதுமி	neutron
கழுகுகள்	eagles
இடம்பெயர்ந்த	displaced
உள்ளீடுகள்	mục
கிரண்	kiran
தொடுதல்	touch
தொடுதல்	ống
தொடுதல்	sờ
தொடுதல்	chạm
அமலா	amala
வேதனை	penalty
வேதனை	phạt
நைட்ரோ	nitro
கோக்	kok
கோக்	coke
கோக்	coca
கோக்	soda
கோக்	cola
வார்ப்பு	framework
வார்ப்பு	mẫu
தாமோதர்	damodar
தெரசா	têrêsa
தெரசா	teresa
ஓயா	oya
நைனா	naina
செலவாகும்	tốn
ஜெரால்ட்	gerald
டிரைவர்	xế
தாங்	thong
கஞ்சா	cannabis
குறிமுறை	code
குறிமுறை	mã
காரணமும்	chi
சந்திரிகா	chandrika
பொலோனியம்	polonium
பேரி	pear
பேரி	lê
சேவையகம்	máy
சேவையகம்	phục
சேவையகம்	server
உருப்படி	tố
முகாம்கள்	trại
ராக்கி	rocky
குழுமங்கள்	cụm
ரூனி	rooney
சிராஜ்	siraj
எரிப்பு	thải
எரிப்பு	đuổi
ஹுசைன்	husain
ஹுசைன்	hussain
வடிவமைப்புக்	shaping
ஜூ	joo
சோதி	tra
ராஜ்ய	rajya
சாம்சங்	samsung
