kršenja	違反
tamna	黑
tamna	暗
tamna	黑暗
unicode	unicode
političari	政界人士
političari	政客
političari	政治家
osigura	確保
suprotnost	對面
track	追蹤
track	曲目
track	軌道
track	軌跡
embargo	禁運
julie	julie
integracija	融合
integracija	整合
deveti	第九
štetnih	有害
odraz	反射
odraz	反省
odraz	思考
raf	raf
rukopis	手稿
rukopis	稿子
vanadij	釩
zora	dawn
zora	拂曉
zora	黎明
zora	天亮
lenjin	列寧
ranko	ranko
edge	邊緣
opisa	描述
alternativa	替代品
globalno	全球
globalno	全球
alfredo	alfredo
dozvolio	允許
chang	chang
chang	張
miš	滑鼠
miš	鼠
quinn	quinn
koncentraciju	濃度
gibraltara	直布羅陀
vod	排
pobunjenici	叛亂份子
pobunjenici	叛亂分子
pobunjenici	叛軍
licence	執照
licence	許可
licence	許可證
aleksa	alexa
koplje	lance
koplje	長矛
koplje	長矛
koplje	矛
algebra	代數
dei	dei
proučavaju	學習
penn	penn
viskoznost	黏度
linda	linda
zvjezdana	恆星
saveznik	盟友
saveznik	ally
carina	carina
carina	海關
carina	關稅
oblikovanje	塑造
hernández	hernández
kapija	門
kapija	大門
ubrzano	飛毛腿
trudna	懷孕
trudna	孕婦
otrovni	有毒
otrovni	毒性
otrovni	有毒
tipičan	典型
čudovište	妖怪
čudovište	怪獸
čudovište	怪物
udario	命中
serijski	串列
mato	mato
ratnici	勇士
pomorski	海軍
pomorski	海事
antitijelo	抗體
normi	規範
spore	孢子
spore	孢子
gerald	gerald
kuga	鼠疫
kuga	瘟疫
proslave	慶典
proslave	慶祝
identične	相同
patton	巴頓
stilova	樣式
stilova	風格
propao	失敗
tajland	泰國
dawn	dawn
dawn	拂曉
dawn	黎明
dawn	天亮
ljubavnica	情婦
ljubavnica	女主人
aktiviraju	啟用
fizičko	物理
eintracht	eintracht
sivi	灰色
sivi	灰
sivi	grey
winston	winston
nasljedna	世襲
nasljedna	遺傳
potrošnja	花費
potrošnja	消費
potrošnja	消費量
potrošnja	消耗
nemira	暴動
nemira	暴亂
nemira	騷亂
nemira	騷動
nemira	騷亂
nemira	動亂
facebook	facebook
živo	生活
etika	倫理
etika	倫理學
prijetnju	威脅
hladno	冷冷
hladno	寒冷
hladno	冷
zavjere	共謀
zavjere	陰謀
izolacije	隔絕
izolacije	隔離
izolacije	孤立
izolacije	與世隔絕
fry	油炸
fry	煎
sampras	sampras
automobile	車
automobile	汽車
emocija	情感
emocija	感情
emocija	情緒
emocija	情感
emocija	感情
emocija	情緒
crta	繪製
jednakosti	平等
pisan	書寫
pisan	撰寫
jede	吃
jede	飲食
jede	進食
jede	食
jede	吃
jede	吃了
nancy	南希
nancy	nancy
jaje	蛋
jaje	雞蛋
bahrein	巴林
jasan	清除
guns	槍支
guns	槍械
polimera	聚合物
polimera	高分子
kontinuitet	持續性
kontinuitet	連續性
očekivanja	期望
očekivanja	預期
očekivanja	期望值
nastavu	教學
nastavu	指令
nastavu	指示
smanji	減少
rekonstrukcije	重建
suze	淚水
suze	流淚
suze	淚
suze	眼淚
mao	毛
shaw	邵
shaw	蕭
shaw	shaw
shaw	肖
blage	輕度
blage	溫和
julia	julia
kolumbo	哥倫布
kutije	方框
oštre	尖銳
oštre	鋒利
oštre	銳利
spašavanje	節省
spašavanje	儲蓄
spašavanje	營救
spašavanje	救援
spašavanje	拯救
hart	hart
hart	芯
saradnici	實用
saradnici	有用
saradnici	同事
predsjedavajući	揚聲器
predsjedavajući	議長
predsjedavajući	主席
prihodi	收益
prihodi	稅收
prihodi	收入
prihodi	收益
prihodi	收入
prihodi	收入
ulazni	投入
ulazni	輸入
dario	dario
kontroverze	爭論
kontroverze	爭議
rivalstvo	競爭
rivalstvo	對立
incident	事變
incident	事件
mjehur	泡泡
mjehur	泡
mjehur	泡沫
mjehur	氣泡
mjehur	膀胱
marker	標記
katalizator	催化
katalizator	催化劑
monako	摩納哥
polimeraza	聚合酶
anatomija	解剖
anatomija	解剖學
buffalo	水牛城
buffalo	野牛
buffalo	水牛
grijeh	罪孽
grijeh	罪過
grijeh	罪
grijeh	辛
grijeh	罪惡
sanja	夢
sanja	夢境
sanja	夢想
putnici	乘客
putnici	旅客
putnici	旅客
pismenost	掃盲
pismenost	識字
svjedoci	證人
svjedoci	目擊者
lukom	大蒜
lukom	蒜
intervencija	干預
intervencija	干涉
palestina	巴勒斯坦
izmislio	發明
hsp	hsp
prevođenje	翻譯
toplim	溫暖
toplim	暖
prelaz	跨越
prelaz	穿越
četrnaest	fourteen
četrnaest	十四
rješavanja	解決
rješavanja	決斷
rješavanja	決心
tvrdili	認領
tvrdili	聲稱
identičan	相同
gospodaru	主
jugozapadna	西南
posjetu	參觀
posjetu	訪問
amazon	亞馬孫
amazon	亞馬遜
izdavačka	出版
izdavačka	發表
bagdad	巴格達
diva	diva
kupila	購買
šećerna	糖尿病
komentara	評論
franak	法郎
borislav	borislav
pripovjedač	說書人
krompir	土豆
krompir	馬鈴薯
krompir	土豆
krompir	馬鈴薯
proširili	擴大
dmitrij	dmitri
dmitrij	dmitry
junior	初級
