퍼텐셜	posibleng
생각하기	isipin
생각하기	palagay
생각하기	tingin
수용체	reseptor
버섯	mushrooms
버섯	kabute
익숙한	familiar
익숙한	pamilyar
파이팅	aaway
파이팅	fighting
튀니스	tunis
매력	glamour
매력	alindog
매력	charm
매력	charming
태양광	solar
선진	binuo
공연장	lugar
공연장	venue
타카기	takagi
조건부	conditional
메세지	mensahe
메세지	message
사쿠마	sakuma
벨트	sinturon
벨트	sinturon
벨트	belt
비엔나	vienna
예의	asal
예의	magalang
예의	courtesy
노리치	norwich
선구자	pioneers
받았습니다	natanggap
아키오	akio
블라디보스토크	vladivostok
인플레이션	inflation
카나코	kanako
인질	hostage
켈트	keltiko
후지사와	fujisawa
생태	ekolohiya
증언	testigo
증언	witness
증언	patotoo
트루먼	doktrinang
노보루	noboru
모하마드	mohammad
오마르	omar
축하	pagdiriwang
축하	selebrasyon
일반인	pangkalahatan
일반인	heneral
일반인	pangkalahatang
일반인	general
싱어	singer
바바	baba
관세	taripa
관세	kaugalian
관세	customs
관세	tariff
벨파스트	belfast
잔혹한	malupit
얼라이언스	alyansa
하이드	hyde
벨라	bella
인사이드	inside
인사이드	loob
네번째	ikaapat
네번째	fourth
제네시스	genesis
브릿	brit
잉글리시	tagalog
잉글리시	ingles
스쿼시	squash
냉각	pampalamig
냉각	pagpapalamig
레즈비언	tomboy
레즈비언	lesbian
레즈비언	lesbians
차단되었습니다	hinarangan
램프	ilawan
램프	lampara
램프	lamp
램프	lampara
새크라멘토	sacramento
힉스	hicks
힉스	higgs
영화관	sinehan
영화관	theater
영화관	teatro
레지옹	legion
깨진	broken
깨진	panganay
깨진	sira
깨진	nasira
특공대	commando
풀기	extract
풀기	kunin
풀기	lutasin
아카사카	akasaka
딜런	dillon
딜런	dylan
선샤인	sunshine
폴란드어	polish
마스터즈	masters
표본	sample
표본	halimbawa
체류	pananatili
보내기	ipinapadala
보내기	magpadala
보내기	ipadala
위조	huwad
마사시	masashi
모가미	mogami
고래자리	cetus
게오르기	georgy
모모코	momoko
고추	chilli
고추	paminta
고추	sili
가슴이	dibdib
오리엔트	orient
아나톨리아	anatolia
스탠더드	pamantayan
스탠더드	karaniwang
스탠더드	standard
스토어	tindahan
스토어	tindahan
스토어	store
패치	patch
포트리스	muog
탐험	exploring
탐험	explorer
탐험	tiki
탐험	galugarin
탐험	tumuklas
탐험	explore
탐험	siyasatin
탐험	tuklasin
탐험	kalawakan
탐험	panginoon
대처	thatcher
덕이	doug
제레미	jeremy
강아지	puppy
강아지	tuta
강아지	puppy
버터	butter
버터	mantikilya
캐피탈	capitol
캐피탈	capital
캐피탈	kabisera
캐피탈	kapital
예언자	propeta
예언자	propeta
제곱	parisukat
마트	mart
면책	kalayaan
앨리슨	allison
앨리슨	alison
쇼팽	chopin
애너하임	anaheim
자동화	automated
나카이	nakai
매력적인	charming
샤프	matalim
샤프	pagkagising
신타로	shintaro
채워	punan
채워	fill
백조자리	cygnus
양곤	yangon
마나	mana
폴로	polo
포츠머스	portsmouth
기차	tren
기차	tren
쿠키	cookies
쿠키	cookie
발명	kumatha
발명	imbento
발명	imbento
발명	imbentor
편견	bias
조지타운	georgetown
버퍼	buffer
증인	jehova
증인	testigo
증인	witness
모니카	monica
클라인	klein
응답하라	tumugon
응답하라	sumagot
평화로운	mapayapang
평화로운	mapayapa
이웃집	kapwa
이웃집	kapitbahay
이웃집	neighbor
더러운	bastos
더러운	marumi
스프링필드	springfield
부서	kagawaran
부서	departamento
노드	node
노드	nodes
박해	aapi
바흐	bach
다무라	tamura
발전기	tagabuo
발전기	generator
트라이앵글	tatsulok
욕구	pagnanais
욕구	desire
욕구	nais
욕구	hinahangad
선포	ipinahayag
선포	idineklara
선포	ipinapahayag
선포	ipahayag
선포	declare
바벨	babel
타지키스탄	tajik
스웨덴어	swedish
스웨덴어	suweko
잠비아	zambia
잠비아	zambian
길거리	kalye
길거리	kalye
글로리아	gloria
흡혈귀	bampira
흡혈귀	vampire
레이아웃	layout
스케치	sketches
스케치	sketch
자극	estimulo
자극	estimulasyon
자극	stimulated
자극	stimulating
자극	pangangati
역사학	historyograpiya
갑옷	armor
평행	kahilera
슈트	suit
현명한	matalino
시온	zion
시온	sion
나카하라	nakahara
아스타나	astana
노부유키	nobuyuki
수잔	susan
장례	burial
장례	libing
장례	libing
아라키	araki
프라이부르크	freiburg
열기	buksan
열기	bukas
열기	open
열기	binubuksan
열기	bumukas
셔틀	shuttle
순교자	martir
순교자	martir
피스	peace
피스	kapayapaan
정밀	precision
같음	katumbas
같음	equals
샌드위치	sandwich
모의	mock
그라비아	gravure
센타우루스자리	centaurus
센타우루스자리	centauri
에이전시	ahensiya
에이전시	agency
바리	bari
아토스	athos
디렉터리	directory
디렉터리	direktoryo
디렉터리	folder
떨어지지	taglagas
떨어지지	mahulog
리어	lear
열정	sigasig
열정	masigasig
열정	passion
열정	hilig
이동식	naaalis
예배	pagsamba
예배	pagsamba
수백만	milyon
수백만	millions
미즈호	mizuho
글로브	globo
글로브	globe
기린	giraffe
기린	kirin
수년	taon
아이패드	ipad
파산	bangkarota
버펄로	kalabaw
이시바시	ishibashi
무작위로	random
무작위로	sapalaran
배경색	background
이겨	matalo
우울	mapanglaw
홀로코스트	holocaust
클론	clones
클론	clone
디스커버리	pagtuklas
디스커버리	pagkatuklas
테크	tech
샐리	sally
절약	saving
알마티	almaty
곱셈	multiplikasyon
곱셈	multiply
곱셈	magparami
스와	suwa
투르	paglalakbay
교정	calibration
교정	braces
앙투안	antoine
리히텐슈타인	liechtenstein
장례식	libing
오데사	odessa
사모아	samoan
사모아	samoa
레이먼드	raymond
저널리스트	mamamahayag
저널리스트	mamamahayag
차드	chad
장학금	pagpapaaral
장학금	scholarship
무하마드	muhammad
불가사의	fushigi
강력	powerful
강력	makapangyarihang
해석학	mapanuring
해석학	pagsusuri
해석학	pagtatasa
카사블랑카	casablanca
어디로	saan
어디로	asan
커먼즈	commons
레지던트	resident
레지던트	residente
레지던트	residente
파라오	paraon
소음	ingay
공백	whitespace
갇힌	nakulong
웹페이지	webpage
제조사	tagagawa
제조사	gumagawa
