של	شيل
את	انت
את	انتي
על	حول
על	بشان
על	بخصوص
על	عن
קטגוריה	الفئة
קטגוריה	فئة
עם	with
עם	مع
גם	ايضا
גם	كمان
גם	ايضا
זה	هذا
זה	هذه
זה	هذا
זה	ذلك
היא	انها
היא	هي
היה	كانت
היה	كان
שיחה	المحادثة
שיחה	محادثة
שיחה	اتصل
שיחה	مكالمة
שיחה	نداء
שיחה	الاتصال
לאחר	بعدما
לאחר	بعد
בין	الفول
בין	الانتر
בין	انتر
בין	بين
כל	كلهم
כל	كله
כל	جميع
כל	كل
כל	الكل
כל	اي
כל	اية
כי	لان
כי	لانه
כי	عشان
כי	لانني
כי	بسبب
כי	لاني
יותר	المزيد
יותר	اكتر
יותר	اكثر
יותר	مزيد
ישראל	اسرائيل
אך	لكن
אך	بس
אך	ولكن
עד	حتى
יש	ياي
שם	هناك
שם	اسم
שם	الاسم
בית	المنزل
בית	الوطن
בית	منزل
בית	البيت
בית	المنزل
בית	منزل
בית	هاوس
בית	البيت
הם	هم
הם	انهم
הייתה	كانت
הייתה	كان
אשר	ايهما
אשר	الذي
אשר	والذي
אשר	تاكيد
אשר	التاكيد
אשר	اكد
כמו	مثل
כמו	لايك
אחד	احد
אחד	واحدة
אחד	واحد
אחד	واحده
שמאל	اليسار
שמאל	يسار
קישורים	الوصلات
קישורים	الصلات
קישורים	روابط
קישורים	الروابط
קישורים	وصلات
חיצוניים	الخارجية
חיצוניים	خارجي
חיצוניים	خارجية
הברית	الحلف
הברית	تحالف
הברית	التحالف
מספר	عدد
מספר	العدد
מספר	الرقم
מספר	رقم
בו	له
בו	هو
בו	بوو
רק	فقط
רק	مجرد
רק	فقط
כאשר	حين
כאשר	عندما
כאשר	متى
אותו	له
אותו	هو
בן	بين
בן	بن
בן	ابن
בן	بني
בן	الابن
שלו	ده
שני	ثانيا
שני	الثانيه
שני	تاني
שני	الثاني
שני	الثانية
שני	ثاني
שני	اثنين
שני	اثنان
שני	اثنتان
שני	الاثنين
לו	لو
לו	لوو
מה	ما
מה	ماذا
מה	ايش
מה	شنو
