mirno	békésen
građevinski	építkezés
građevinski	építési
građevinski	építés
diskovi	lemezek
aspekt	szempont
čulo	érzék
čulo	értelem
čulo	értelme
zvijeri	szörnyeteg
zvijeri	bestia
zvijeri	vadállat
zvijeri	fenevad
zvijeri	vadállatok
odražava	fényvisszaverő
odražava	tükröző
odražava	tükrözze
odražava	tükrözi
moral	morál
moral	erkölcs
moral	erkölcs
dovoljan	elég
dovoljan	elégséges
dovoljan	elegendő
antonije	antonius
prefiks	előtag
česti	gyakori
zvan	említett
zvan	utalt
zvan	hivatkozott
zvan	utaltak
namjeru	szándék
namjeru	szándéka
ers	ers
prikupljanje	összegyűjti
prikupljanje	gyűjteni
maya	maya
maya	maja
odredbe	rendelkezések
odredbe	rendelkezés
bis	bisz
bis	bis
zločini	bűncselekmények
zločini	bűnök
stalna	állandó
stalna	végleges
stalna	tartós
stalna	maradandó
dlaka	haj
dlaka	szőr
prijateljstvo	barátság
hansen	hansen
antropologija	antropológia
svečano	szertartás
svečano	ceremónia
svečano	ünnepség
svečano	ünnepélyesen
svečano	ünnepélyes
napoli	napoli
napoli	nápoly
koalicija	koalíció
ricardo	ricardo
dobrovoljno	önként
dobrovoljno	önkéntesen
dobrovoljno	önkéntes
markt	markt
povjerenje	önbizalom
povjerenje	bizalom
povjerenje	bizalom
oblak	felhő
oblak	cloud
auf	auf
škoda	skoda
žica	drót
žica	vezeték
korisno	hasznos
mentalno	mentális
mentalno	szellemi
mentalno	szellemileg
mentalno	mentálisan
skala	mérleg
skala	skálán
skala	skála
ruševine	romok
ruševine	romokban
donesena	foglalt
stevens	stevens
proglašenja	kiáltványt
patuljasta	törpe
sličnost	hasonlóság
trgovac	kereskedő
jennifer	jennifer
preuzimanja	átvétel
jonas	jonas
prunus	prunus
svjedok	szemtanú
svjedok	tanú
partnera	társ
partnera	partner
partnera	társa
partnera	társam
troškovi	ráfordítások
troškovi	kiadások
troškovi	költségek
troškovi	költség
troškovi	költségek
višak	többlet
višak	többletet
višak	többlet
nob	nob
prazan	üresek
prazan	üres
prazan	üresen
mayer	mayer
zabranjena	tiltott
intelektualaca	értelmiségiek
dimitrije	dmitry
krive	hibás
tačna	pontos
tačna	precíz
tačna	igaz
tačna	igazi
mex}}	mex}}
rick	rick
sive	ősz
sive	grey
sive	szürke
bilje	gyógynövény
bilje	gyógynövények
kopno	kontinens
kopno	szárazföld
živote	él
živote	életek
vojvodina	vajdasági
neophodan	szükségesek
neophodan	szükséges
okus	íze
konjanika	lovasok
orbitalni	orbitális
darije	darius
ubila	meggyilkolták
ubila	megölte
ubila	meggyilkolt
ubila	megölt
ubila	megölte
opremljena	felszerelve
opremljena	felszerelt
bitan	fontos
prihvati	ölelés
prihvati	elfogadni
prihvati	elfogadom
ruta	útvonal
ruta	útvonalon
bilten	hírlevél
nina	nina
invazija	invázió
gosti	vendég
gosti	vendégek
povukla	visszavonta
smještaj	szállások
malezija	malajzia
malezija	malajziai
afričkih	afrikai
kovanica	érméket
kovanica	érme
kovanica	érmék
droga	kábítószerek
droga	gyógyszerek
droga	drogot
droga	kábítószer
droga	drogok
droga	drog
droga	kábítószer
droga	gyógyszer
droga	drogok
droga	drog
efikasno	hatékony
efikasno	hatékonyan
efikasno	eredményes
efikasno	hatékony
efikasno	hatásos
efikasno	effektív
efikasno	eredményes
efikasno	hatékonyan
efikasno	eredményesen
kontroli	kontroll
kontroli	irányítás
kontroli	vezérlő
kontroli	ellenőrzési
kontroli	ellenőrzés
testovi	vizsgálatok
testovi	tesztek
kontinent	kontinensen
kontinent	kontinens
obnova	felújítás
obnova	újjáépítési
pristalica	támogató
pristalica	támogatója
pristalica	támogatók
pristalica	támogatói
stoney	stoney
pregovori	tárgyalási
pregovori	tárgyalások
pregovori	tárgyalás
pregovori	beszél
pregovori	tárgyalások
rizika	kockázatok
rizika	kockázat
dnf	dnf
tumačenje	értelmezés
tumačenje	értelmezése
prijeti	fenyegető
prijeti	fenyeget
plaća	fizetés
stranim	külföldi
stranim	kül
stranim	külföldiek
remek	remekmű
remek	mestermű
kal	kal
platiti	fizess
platiti	fizetni
platiti	fizet
platiti	fizetés
emma	emmával
emma	emma
dobara	árucikkek
dobara	áruk
dobara	javak
dobara	áru
ekologija	ökológia
izbjeći	kerüld
izbjeći	elkerülése
referendum	népszavazás
izazvala	előidézett
izazvala	okozta
izazvala	okozott
odjednom	hirtelen
jin	jin
grofica	grófnő
grofica	grófné
made	készítette
made	készült
made	tett
muzičari	zenész
muzičari	zenészek
odredi	meghatározni
vlasnici	tulajdonosok
vlasnici	tulajdonosai
angažman	eljegyzési
angažman	eljegyzés
angažman	aktivitás
punom	full
punom	teljes
mon	mon
metak	golyót
metak	golyó
metak	lövedék
metak	töltény
rupe	lyukak
hemijsku	pen
hemijsku	tollat
hemijsku	toll
osiguranja	biztosíték
osiguranja	biztosítási
osiguranja	biztosítás
ivanov	ivanov
gana	ghána
express	express
express	expressz
sane	épeszű
pozicijama	pozíciók
pozicijama	pozíció
divlji	wild
divlji	vadon
divlji	vadak
divlji	vad
polazi	levelek
skali	scully
litara	literes
litara	liter
bratstvo	testvériség
bratstvo	testvériség
plamen	láng
sna	álmodj
sna	álma
sna	álom
čudo	csoda
krk	krk
doyle	doyle
dobit	profit
dobit	haszon
dobit	nyereség
jadrana	adriai
jadrana	adria
rommel	rommel
napadača	támadók
duboka	mély
weber	weber
thomson	thomson
režnja	lebeny
zatvaranje	lezárás
zatvaranje	bezárása
zatvaranje	záró
zatvaranje	zárás
zatvaranje	zárom
zaštitnik	védelmező
zaštitnik	védő
profesionalna	szakmai
profesionalna	profi
profesionalna	professzionális
mjuzikl	zenés
mjuzikl	zenei
mjuzikl	musical
mačke	macskák
mačke	cicák
campbell	campbell
azijski	ázsiai
romeo	romeo
romeo	rómeó
dometa	tartomány
dometa	távolság
sirija	szíriában
sirija	szíria
egipatska	egyiptomi
pijeska	homok
ward	ward
arhipelag	szigetcsoport
coli	coli
pozadina	háttér
pozadina	háttere
pozadina	háttérben
pogubljen	kivégezték
razdvajanje	szétválasztás
razdvajanje	megosztási
pečat	bélyeg
pečat	bélyegző
pečat	pecsét
pečat	fóka
pečat	pecsét
pečat	seal
programima	programok
programima	programok
franco	franco
celtic	kelta
grešku	tévedés
grešku	hiba
inspiracija	ihlet
inspiracija	inspiráció
odobrenje	jóváhagyás
odobrenje	jóváhagyási
odobrenje	engedélyezés
palata	paloták
palata	palota
palata	palace
koristan	hasznos
najraniji	leghamarabb
najraniji	legkorábbi
najraniji	legkorábban
primati	főemlősök
fleming	fleming
mol	tégla
mol	vakond
mol	mol
staklo	glass
staklo	üveg
staklo	pohár
povreda	sérülés
povreda	károkozás
povreda	kár
sisari	emlősök
sisari	emlősök
sisari	emlős
labin	labin
uređajima	eszközök
uređajima	berendezések
uređajima	készülékek
posthumno	posztumusz
posthumno	posztumusz
automobili	autókat
automobili	autók
automobili	kocsik
distribuciju	terjesztés
distribuciju	eloszlás
distribuciju	elosztás
distribuciju	forgalmazási
distribuciju	elosztása
distribuciju	forgalmazás
obilježena	jelölt
obilježena	megjelöltek
obilježena	megjelölt
obilježena	megjelölve
brennan	brennan
resursi	erőforrások
resursi	erőforrás
resursi	források
davies	davies
zastupnik	reprezentatív
zastupnik	képviselő
vezir	vezír
bonus	prémium
bonus	bónusz
plaža	beach
plaža	part
plaža	tengerpart
plaža	tengerparton
plaža	strand
lucy	lucy
lokacijama	helyszínek
lokacijama	helyek
lokacijama	helyszínek
anatomski	anatómiailag
specijalno	speciálisan
specijalno	különleges
specijalno	speciális
ateizam	ateizmus
drevne	ősi
drevne	ős
drevne	ókori
parma	parma
rejting	besorolás
rejting	minősítés
rejting	minősítési
rejting	minősítések
rejting	nézettség
rejting	értékelések
lipa	lipa
konji	lovak
konji	lovakat
mhz	mhz
peći	tűzhely
peći	sütő
peći	kemencék
phillips	phillips
lars	lars
donijeti	hozz
donijeti	hozd
peto	ötödik
označeni	megjelöltek
označeni	megjelölt
lazar	lazar
lazar	lázár
kupiti	vegyél
kupiti	venni
kupiti	vásárol
kupiti	megvásárolni
foto	fényképek
foto	kép
foto	fénykép
foto	fotó
minimum	minimum
minimum	minimális
minimum	legkisebb
minimum	minimálisan
shu	shu
nadzor	felügyelet
nadzor	megfigyelés
nadzor	felügyeleti
kora	kéreg
kora	cora
norma	norma
norma	norma
norma	norm
kuka	hook
kuka	kampó
kuka	horog
kuka	horgot
