что	อะไร
для	สำหรับ
для	เพื่อ
как	วิธี
как	ชอบ
как	เหมือน
как	แบบ
как	ถูกใจ
как	ไลค์
как	อย่าง
его	เขา
также	ยัง
это	นี้
это	นี่
это	ดิส
это	นั้น
это	ที่
это	ว่า
это	นั่น
после	after
после	หลัง
области	บริเวณ
области	พื้นที่
год	ปี
время	เวลา
место	จุด
место	ตำแหน่งที่ตั้ง
место	ตำแหน่ง
район	เขต
район	อำเภอ
район	บริเวณ
район	พื้นที่
вид	ดู
под	ใต้
только	เท่านั้น
только	เฉพาะ
только	แค่
есть	มี
есть	โดน
язык	ลิ้น
язык	ภาษา
код	รหัส
код	โค้ด
более	อื่นๆ
более	มากกว่า
мая	พฤษภาคม
дата	เดท
ноября	พฤศจิกายน
деревня	หมู่บ้าน
где	ที่ไหน
января	มกราคม
марта	มีนาคม
марта	มาร์ช
марта	march
все	ทั้งหมด
все	ทุก
том	ทอม
том	tom
октября	ตุลาคม
сентября	กันยา
сентября	กันยายน
статьи	บทความ
июня	จูน
июня	มิถุนายน
апреля	april
апреля	เมษายน
сша	สหรัฐอเมริกา
сша	สหรัฐฯ
сша	usa
который	ซึ่ง
название	ชื่อ
название	ชื่อ
человек	บุคคล
человек	มนุษย์
человек	มนุษย์
человек	ชาย
человек	คน
человек	แมน
человек	man
лет	ปี
февраля	กุมภาพันธ์
февраля	กุมภาพันธ์
того	โตโก
города	เมือง
города	ซิตี้
города	city
города	เมือง
города	นคร
может	บางที
может	สามารถ
может	สามารถ
может	สา
она	หล่อน
она	เธอ
она	นาง
войны	สงคราม
можно	สามารถ
можно	สา
когда	เมื่อไร
когда	เมื่อ
когда	ตอน
которые	ซึ่ง
село	หมู่บ้าน
статья	บทความ
статья	ข่าว
один	ลำพัง
один	เดียว
один	หนึ่ง
реки	แม่น้ำ
реки	ลำน้ำ
реки	แม่น้ำ
между	ระหว่าง
статус	สถานะ
статус	สถานภาพ
населения	ประชากร
годы	ปี
через	ผ่าน
через	ผ่าน
национальный	national
национальный	ชาติ
область	จังหวัด
область	แคว้น
область	ภูมิภาค
область	บริเวณ
область	พื้นที่
список	รายการ
сельское	ชนบท
сайт	เว็บไซต์
сайт	ไซต์
века	อายุ
века	ยุค
века	วัย
века	ศตวรรษ
официальный	ทางการ
официальный	official
часть	ภาค
часть	ส่วน
часть	part
против	ต่อ
этот	นี้
этот	นี่
этот	ดิส
будет	พิน
будет	จะ
будет	วิล
несколько	หลาย
несколько	หลายๆ
несколько	หลาย
город	town
город	เมือง
город	ทาวน์
город	เมือง
город	ซิตี้
город	city
мира	สันติภาพ
мира	สันติ
мира	สันติสุข
первое	ก่อน
первое	แรก
чем	กว่า
части	อะไหล่
всего	รวม
всего	ทั้งหมด
первый	ก่อน
первый	แรก
файл	แฟ้ม
карты	บัตร
карты	การ์ด
карты	ไพ่
карты	maps
карты	แผนที่
два	สอง
два	two
всех	ทั้งหมด
всех	ทุก
там	มี
второй	วินาที
очень	มาก
главы	บท
карта	แผนที่
карта	ไพ่
карта	การ์ด
карта	บัตร
площадь	พลาซ่า
площадь	ตาราง
площадь	บริเวณ
площадь	พื้นที่
даже	แม้น
даже	แม้
даже	แม้แต่
даже	แม้ว่า
затем	งั้น
группы	กลุ่ม
группы	กลุ่ม
основания	บริเวณ
размер	ขนาด
размер	ไซส์
имеет	ทรง
почтовый	ไปรษณีย์
над	จบ
над	โอเวอร์
над	เหนือ
страны	ประเทศ
страны	ประเทศ
ему	เขา
индекс	ดัชนี
улица	ถนน
улица	street
население	ประชากรศาสตร์
население	ประชากร
работы	ทำงาน
работы	งาน
имена	ชื่อ
истории	ประวัติศาสตร์
истории	ประวัติการ
истории	ประวัติ
которая	ซึ่ง
армии	ทัพ
армии	กองทัพ
деление	ดิวิชั่น
деление	subdivision
хотя	แม้ว่า
хотя	แม้ว่า
кроме	ยกเว้น
другие	อื่นๆ
другие	อื่นๆ
получил	มี
получил	โดน
история	เรื่อง
история	ประวัติศาสตร์
история	ประวัติการ
история	ประวัติ
совета	สภา
фильм	หนัง
фильм	ภาพยนต์
фильм	ภาพยนตร์
фильм	ภาพยนตร์
фильм	ฟิล์ม
рождения	เกิด
рождения	กำเนิด
пункты	รายการ
времени	เวลา
участник	member
участник	สมาชิก
страница	เพจ
страница	หน้า
три	three
три	สาม
человека	มนุษย์
республики	สาธารณรัฐ
внутреннее	ภายใน
внутреннее	ภายใน
внутреннее	inner
статей	บทความ
случае	กรณี
случае	case
случае	คดี
центр	กึ่งกลาง
центр	กลาง
центр	ศูนย์
центр	ศูนย์กลาง
центр	กึ่งกลาง
центр	ศูนย์
центр	ศูนย์กลาง
округ	มณฑล
округ	เปรม
округ	okrug
округ	เขต
округ	อำเภอ
жизни	ชีวิต
жизни	life
генерал	ทั่วไป
генерал	แม่ทัพ
родился	เกิด
союза	สหพันธ์
союза	สหภาพแรงงาน
союза	สหภาพ
кто	ผู้
кто	ใคร
связи	ลิงก์
связи	สื่อสาร
день	เดย์
день	วัน
именно	เป๊ะ
община	ชุมชน
округа	เขต
франции	ฝรั่งเศส
группа	กลุ่ม
имя	ชื่อ
игры	เกม
игры	เกมส์
цифровой	ดิจิตอล
цифровой	digital
санкт	sankt
просто	แค่
регион	แคว้น
регион	ภูมิภาค
тогда	งั้น
конце	จบ
конце	end
конце	ยุติ
церкви	โบสถ์
церкви	ศาสนจักร
церкви	โบสถ์
клуб	คลับ
клуб	สโมสร
клуб	club
клуб	ชมรม
больше	อื่นๆ
больше	มากกว่า
наиболее	ที่สุด
изображения	ภาพ
изображения	รูปภาพ
изображения	ภาพ
изображения	รูปภาพ
изображения	อิมเมจ
советский	โซเวียต
степени	ปริญญา
степени	องศา
степени	ปริญญา
изображение	ภาพ
изображение	รูปภาพ
изображение	อิมเมจ
награды	รางวัล
награды	รางวัล
перед	ก่อน
германии	เยอรมัน
германии	เยอรมนี
системы	ระบบ
стороны	ด้าน
стороны	ข้าง
стороны	ปาร์ตี้
совет	สภา
академии	สถาบัน
академии	academy
две	สอง
две	two
некоторые	บาง
некоторые	บ้าง
менее	น้อย
роль	บทบาท
дом	บ้าน
дом	home
дом	บาน
дом	ดอม
дом	dom
дом	บ้าน
дом	เฮ้าส์
высоты	ไฮท์
русский	รัสเซีย
член	member
член	สมาชิก
член	จู๋
член	องคชาติ
член	ดิ๊ก
член	ดิ๊ค
член	จู๋
орден	ลำดับ
сын	ลูก
сын	บุตร
сын	ลูกชาย
пока	บาย
общины	ชุมชน
общины	ชุมชน
число	จำนวน
число	หมายเลข
эта	นี้
эта	นี่
эта	ดิส
нужно	ต้องการ
большой	ใหญ่
большой	บิ๊ก
большой	ใหญ่
большой	big
количество	จำนวน
количество	หมายเลข
количество	ปริมาณ
являются	กำลัง
являются	คือ
институт	สถาบัน
институт	สถาบัน
компании	บริษัท
компании	company
компании	องค์กร
компании	บริษัท
церковь	ศาสนจักร
церковь	โบสถ์
советского	โซเวียต
проект	โครงการ
проект	ร่าง
много	มากมาย
много	หลาย
много	มาก
много	มากมาย
сельский	ชนบท
сельский	ชนบท
вопрос	คำถาม
новый	นิว
новый	ใหม่
фильмы	ภาพยนตร์
фильмы	หนัง
фильмы	ภาพยนต์
фильмы	ภาพยนตร์
часто	บ่อย
часто	บ่อยๆ
часто	บ่อย
часто	มัก
часто	บ่อยๆ
часто	บ่อย
почти	เกือบ
партии	ปาร์ตี้
глава	บท
настоящее	ปัจจุบัน
стали	เหล็ก
европы	ยุโรป
организации	องค์กร
организации	องค์การ
организации	องค์กร
река	แม่น้ำ
альбом	อัลบั้ม
одна	ลำพัง
одна	เดียว
одна	หนึ่ง
станции	สถานี
станции	สถานี
людей	ประชาชน
людей	บุคคล
людей	ผู้
людей	ผู้คน
людей	คน
возможно	บางที
возможно	บางที
сергей	sergey
пояс	เข็มขัด
пояс	สายพาน
команды	ทีม
ссылки	อ้างอิง
ссылки	ลิงก์
многие	มากมาย
многие	หลาย
жизнь	ชีวิต
жизнь	life
серии	ซีรี่ส์
серии	อนุกรม
участники	สมาชิก
начал	เริ่ม
проекта	โครงการ
команда	ทีม
команда	squad
команда	หน่วย
команда	หมู่
команда	ทีม
команда	team
достаточно	พอ
краткое	กระชับ
позже	ทีหลัง
другой	อื่นๆ
источники	แหล่ง
данные	อินเทอร์เน็ต
данные	ข้อมูล
война	สงคราม
школы	โรงเรียน
школы	โรงเรียน
герой	วีรบุรุษ
герой	ฮีโร่
иванович	ivanovich
михаил	ไมเคิ้ล
михаил	ไมเคิล
текст	ข้อความ
первая	ก่อน
первая	แรก
песни	เพลง
которое	ซึ่ง
женщин	หญิง
женщин	สตรี
книги	หนังสือ
полностью	ครบ
полностью	สมบูรณ์
полностью	สุดๆ
честь	เกียรติ
честь	เกียรติ
честь	เกียรติยศ
звание	อันดับ
деятельность	กิจกรรม
деятельность	กิจกรรม
еще	อื่นๆ
еще	มากกว่า
данных	อินเทอร์เน็ต
данных	ข้อมูล
берегу	ชายฝั่ง
берегу	ฝั่ง
итог	ผลลัพธ์
россия	รัสเซีย
села	sela
села	นั่ง
названия	ชื่อ
сан	ซาน
сан	แซน
сан	san
должен	ควร
должен	ต้อง
права	สิทธิ
права	สิทธิ์
король	กษัตริย์
король	king
король	ราชา
король	คิง
края	krai
края	ขอบ
края	ขอบ
края	edge
умер	ตาย
власти	ทางการ
службы	บริการ
службы	บริการ
система	ระบบ
университет	มหาวิทยาลัย
должны	ควร
должны	ต้อง
слова	คำ
слова	ลมปาก
флаг	ธงชาติ
флаг	ธง
версии	เวอร์ชัน
версии	เวอร์ชั่น
версии	เวอร์ชัน
версии	เวอร์ชั่น
различных	ต่าง
вновь	อีก
отец	พ่อ
общества	สังคม
общества	สังคม
обсуждение	อภิปราย
многих	มากมาย
многих	หลาย
детей	ลูกๆ
детей	เด็กๆ
детей	เด็ก
источник	ต้นทาง
члены	สมาชิก
должность	จุดยืน
должность	ตำแหน่ง
обсуждения	อภิปราย
обсуждения	อภิปราย
действия	กิจกรรม
музей	พิพิธภัณฑ์
ряд	แถว
душу	วิญญาณ
дома	บ้าน
дома	home
дома	บาน
некоторых	บาง
некоторых	บ้าง
почему	ทำไม
школа	โรงเรียน
выше	เหนือ
чел	มนุษย์
чел	ชาย
чел	คน
чел	แมน
чел	man
рсфср	rsfsr
земли	land
земли	แลนด์
земли	ที่ดิน
правила	กฏ
правила	กติกา
правила	กฎ
линии	เส้น
линии	บรรทัด
линии	line
линии	เส้น
линии	บรรทัด
места	ตำแหน่งที่ตั้ง
ссылка	ลิงก์
ссылка	ลิงค์
ссылка	อ้างอิง
компания	บริษัท
компания	company
компания	องค์กร
используется	ใช้
тысяч	พัน
начало	เริ่ม
начало	เริ่ม
италии	อิตาลี
италии	อิตาลี่
положение	สถานการณ์
положение	จุดยืน
положение	ตำแหน่ง
мужчин	ผู้ชาย
мужчин	men
мужчин	ชาย
мужчин	บุรุษ
северной	อุดร
северной	เหนือ
северной	เหนือ
острова	เกาะ
дело	กรณี
дело	case
дело	คดี
станция	สถานี
профессор	ศาสตราจารย์
американский	อเมริกัน
право	กฎหมาย
право	กฎ
великобритании	บริติช
великобритании	อังกฤษ
чемпион	champ
чемпион	แชมป์
чемпион	แชมป์
шаблоны	ต้นแบบ
правило	ปกครอง
правило	กฏ
правило	กฎ
андрей	andrey
роли	บทบาท
роли	บทบาท
сезон	ฤดูกาล
люди	ประชาชน
люди	บุคคล
люди	ผู้
люди	ผู้คน
люди	คน
управление	ควบคุม
управление	คอนโทรล
сделать	ทำให้
длина	ยาว
хорошо	เก่ง
хорошо	ดี
хорошо	โอเค
вместо	แทน
тип	ชนิด
тип	ประเภท
тип	พิมพ์
кладбище	สุสาน
кладбище	ป่าช้า
средняя	กลาง
средняя	เฉลี่ย
средняя	กลาง
художник	จิตรกร
художник	ศิลปิน
художник	จิตรกร
российская	รัสเซีย
одно	เดียว
одно	หนึ่ง
алексей	aleksey
возможность	โอกาส
какой	อะไร
премия	premium
премия	พรีเมียม
премия	รางวัล
премия	รางวัล
сср	ssr
новые	นิว
новые	ใหม่
основные	หลัก
всегда	มัก
всегда	เสมอ
всегда	ตลอด
южной	ใต้
южной	south
южной	ใต้
метров	เมตร
метров	เมตร
практически	เกือบ
корпуса	คอร์ป
президент	ประธาน
президент	ประธานาธิบดี
четыре	สี่
стоит	มูลค่า
стоит	คุ้ม
информация	ข้อมูล
информация	ข้อมูล
большая	ใหญ่
большая	บิ๊ก
большая	ใหญ่
большая	big
большинство	ที่สุด
кино	หนัง
кино	ภาพยนต์
кино	ภาพยนตร์
кино	หนัง
кино	ภาพยนต์
кино	ภาพยนตร์
кино	ภาพยนตร์
кино	ฟิล์ม
номер	จำนวน
номер	หมายเลข
деревни	หมู่บ้าน
силы	บังคับ
силы	แรง
внимание	ใส่ใจ
внимание	สนใจ
внимание	โฟกัส
примерно	คร่าวๆ
движения	จราจร
роман	roman
роман	โรมัน
роман	นิยาย
роман	นวนิยาย
дней	วัน
новых	นิว
новых	ใหม่
клубы	คลับ
клубы	สโมสร
клубы	ดอกจิก
клубы	จิก
джон	จอร์น
джон	john
джон	จอห์น
джон	จอน
джон	jon
граф	จำนวนนับ
граф	นับ
граф	กราฟ
процент	เปอร์เซนต์
процент	เปอร์เซ็นต์
провинции	จังหวัด
новая	นิว
новая	ใหม่
мини	mini
мини	จิ๋ว
памятник	อนุสาวรีย์
каждый	ทุกๆ
каждый	ทุก
каждый	แต่ละ
потом	งั้น
герб	สมุนไพร
счёт	บัญชี
счёт	สกอร์
счёт	แต้ม
счёт	คะแนน
книга	หนังสือ
книга	สมุด
отношения	สัมพันธ์
отношения	สัมพันธ์
доктор	ดอกเตอร์
доктор	หมอ
доктор	แพทย์
использовать	ใช้
стран	ประเทศ
заголовок	หัวข้อ
заголовок	ชื่อ
лучший	best
всем	ทั้งหมด
всем	ทุก
здание	ตึก
здание	อาคาร
слово	คำ
дочь	ลูกสาว
последний	last
последний	สุดท้าย
последний	ล่าสุด
правил	กฏ
правил	กติกา
правил	กฎ
точки	จุด
точки	ชี้
точки	แต้ม
точки	คะแนน
точки	จุด
мария	แมรี่
мария	แมรี
мария	maria
коммуна	คอมมูน
партия	พรรค
партия	ปาร์ตี้
страницы	เพจ
страницы	หน้าที่
страницы	หน้า
страницы	เพจ
страницы	หน้า
спасибо	ขอบคุณ
позднее	ทีหลัง
дмитрий	dmitriy
получила	มี
получила	โดน
председатель	ประธาน
председатель	ประธานาธิบดี
председатель	เก้าอี้
председатель	ประธาน
моря	ทะเล
моря	ทะเล
страна	ประเทศ
вариант	แปรผัน
дороги	ถนน
русские	รัสเซีย
русские	รัสเซีย
мир	เวิลด์
мир	world
мир	โลก
мир	สันติภาพ
мир	สันติ
мир	สันติสุข
мир	mir
работа	งาน
работа	ทำงาน
работа	งาน
работа	ทำงาน
японии	japan
японии	ญี่ปุ่น
японии	ญี่ปุ่น
серия	ซีรี่ส์
серия	อนุกรม
серия	episode
серия	ตอน
песня	ซง
песня	เพลง
василий	vasily
вопросы	คำถาม
испании	สเปน
завод	โรงงาน
завод	ต้นไม้
завод	พืช
завод	โรงงาน
штат	สภาพ
штат	รัฐ
проблемы	ท้าทาย
проблемы	ปัญหา
проблемы	ปัญหา
юрий	yuriy
ниже	ลด
ниже	ต่ำ
ниже	ล่าง
рядом	ใกล้
найти	หา
найти	ค้นหา
развитие	พัฒนาการ
развитие	พัฒนา
лиги	สันนิบาต
лиги	ลีก
друг	friend
друг	เพื่อน
считается	จำนวนนับ
рок	rock
рок	ร็อค
рок	โยก
рок	หิน
мой	เหมือง
журнал	นิตยสาร
журнал	วารสาร
значение	มูลค่า
значение	ค่า
производства	ผลิต
премьер	พรีเมียร์
премьер	premier
сначала	ก่อน
сначала	แรก
действительно	แท้จริง
действительно	จริงๆ
действительно	จริง
игра	เกม
игра	เกมส์
решения	โซลูชัน
строительство	ตึก
строительство	อาคาร
строительство	ก่อสร้าง
пункт	ย่อหน้า
мать	แม่
старший	อาวุโส
старший	senior
снова	อีก
здания	ตึก
здания	อาคาร
тренер	coach
тренер	โค๊ช
тренер	โค้ช
поле	สนาม
поле	ฟิลด์
поле	สาขา
поле	ทุ่ง
поле	ช่อง
написал	เขียน
значения	ค่า
пути	วิธี
пути	วิถี
женщины	สตรี
женщины	หญิง
женщины	หญิง
женщины	สตรี
труда	แรงงาน
майор	เมเจอร์
провинция	จังหวัด
программы	โปรแกรม
храм	วิหาร
храм	วัด
исследования	ศึกษา
исследования	ค้นคว้า
исследования	วิจัย
какие	อะไร
обороны	ป้องกัน
сообщения	สื่อสาร
сообщения	ข้อความ
раздел	ส่วน
матч	แมตช์
быстро	รวดเร็ว
быстро	ด่วน
быстро	ไว
быстро	รวดเร็ว
быстро	เร็ว
быстро	ด่วน
быстро	fast
быстро	ไว
удаление	ลบ
влияние	impact
влияние	อิทธิพล
епископ	บิชอป
максимальная	สูงสุด
англии	อังกฤษ
капитан	กัปตัน
работает	ทำงาน
довольно	สวยๆ
довольно	สวย
должно	ต้อง
интернет	อินเทอร์เน็ต
интернет	อินเตอร์เน็ต
руководитель	ผู้นำ
армия	ทัพ
армия	กองทัพ
степень	ปริญญา
лейтенант	หมวด
науки	วิทยาศาสตร์
версия	เวอร์ชัน
версия	เวอร์ชั่น
школе	โรงเรียน
думаю	คิด
думаю	เดา
воды	น้ำ
воды	นํ้า
титул	ชื่อ
стадион	สนาม
деревне	ชนบท
деревне	หมู่บ้าน
кубок	คัพ
кубок	ถ้วย
пять	ห้า
движение	เคลื่อนไหว
движение	จราจร
движение	ขบวนการ
теории	ทฤษฎี
святой	นักบุญ
святой	เซนต์
святой	ศีล
святой	ศักดิ์สิทธิ์
союз	สหพันธ์
союз	สหภาพแรงงาน
союз	สหภาพ
ван	แวน
ван	แวง
ван	วัง
удалить	ลบ
удалить	ลบ
остров	เกาะ
прав	สิทธิ
прав	สิทธิ์
операции	ธุรกรรม
французский	ฝรั่งเศส
издание	ฉบับ
необходимо	จำเป็น
результаты	ผล
результаты	ผลลัพธ์
павел	paul
павел	พอล
павел	pavlo
павел	paweł
пётр	peter
пётр	piotr
золотой	golden
золотой	โกลเด้น
золотой	ทองคำ
золотой	ทอง
золотой	โกลด์
золотой	ทองคำ
последние	last
последние	สุดท้าย
последние	ล่าสุด
последние	ล่าสุด
известный	ดัง
использование	ใช้
немецкий	เยอรมัน
совершенно	สมบูรณ์
совершенно	สุดๆ
очередь	คิว
очередь	เลี้ยว
очередь	หัน
очередь	พลิก
очередь	เปิด
мог	สามารถ
термин	วาระ
вокруг	รอบๆ
вокруг	รอบ
вторая	วินาที
дети	เด็กๆ
дети	เด็ก
дети	ลูกๆ
дети	เด็กๆ
дети	เด็ก
дети	ทารก
карьера	อาชีพ
карьера	อาชีพ
франция	ฝรั่งเศส
