responses	odpowiedzi
collegiate	collegiate
scandal	afera
scandal	skandal
widow	wdowa
widow	wdowy
swing	zamach
nights	nocy
nights	wieczory
nights	noce
polo	polo
linda	linda
linda	lindo
adr	adr
probability	prawdopodobieństwa
probability	prawdopodobieństwo
farms	farmy
farms	gospodarstwa
farms	gospodarstw
conferences	konferencje
zhang	zhang
crazy	szalona
crazy	szalone
crazy	szaleństwo
crazy	wariatka
crazy	wariat
crazy	szalony
witness	świadkowie
witness	świadka
witness	świadek
nephew	bratanka
nephew	siostrzeniec
nephew	siostrzeńca
nephew	bratanek
sensitive	wrażliwy
sensitive	czułe
sensitive	wrażliwość
sensitive	wrażliwe
sensitive	wrażliwa
mutual	wzajemna
mutual	wzajemnego
mutual	wzajemne
diet	dieta
diet	diety
clients	klienci
clients	klientów
fringe	fringe
passion	pasję
passion	pasja
passion	namiętność
passion	pasji
passion	namiętności
rings	obrączki
rings	pierścienie
millions	miliony
millions	milionów
dialect	dialekt
orlando	orlando
relay	przekaźnik
wet	mokre
wet	wilgotna
wet	mokro
wet	mokra
wet	mokry
cruise	rejsu
cruise	rejs
cruise	cruise
henri	henri
publish	opublikować
publish	publikowanie
publish	publikować
joy	radość
joy	radości
joy	joy
julia	julii
julia	julia
kitchen	kuchnia
kitchen	kuchni
kitchen	kuchnie
kitchen	kuchenne
abstract	abstrakcyjne
snake	węże
snake	węża
snake	wąż
comedian	komik
motorcycle	motor
motorcycle	motocyklista
motorcycle	motocykle
motorcycle	motocykl
motorcycle	motocykla
nadu	nadu
arsenal	arsenał
arsenal	arsenal
millennium	milenijnych
millennium	millennium
millennium	tysiąclecia
assists	asyst
assists	wspomaga
bow	łuk
andré	andré
andré	andre
serie	serie
travelled	podróżował
eurovision	eurowizji
eurovision	konkurs
doug	douga
doug	doug
gravity	grawitacja
gravity	grawitację
stored	przechowywane
stored	przechowywana
stored	przechowywany
optical	optyczne
optical	optyczny
frontier	granica
evaluation	ocena
evaluation	oceny
graph	wykres
hybrid	hybryda
hybrid	hybrydy
hybrid	hybrydowy
oslo	oslo
earn	zarabiać
earn	zarobić
keyboard	klawiatury
jamie	jamie
jamie	jamiego
decorated	urządzone
decorated	odznaczony
complicated	skomplikowany
complicated	skomplikowana
complicated	skomplikowane
nathan	nathan
slavery	niewolnictwa
slavery	niewolnictwo
circular	okrągły
circular	okrągłe
operators	podmioty
operators	operatorów
operators	operatorzy
armor	zbroja
armor	zbroję
armor	zbroi
armor	pancerz
mechanics	mechanika
bradford	bradford
leon	leona
leon	leon
rachel	rachel
strings	sznurki
strings	strun
strings	struny
header	nagłówka
header	nagłówek
hood	hood
hood	kaptur
inspector	inspektor
inspector	inspektorze
warnings	ostrzeżenia
relatives	krewni
relatives	krewnych
plains	plains
defended	bronił
defended	broniła
wheels	felgi
wheels	kółka
wheels	koła
criterion	kryterium
ace	as
ace	asa
ace	ace
arrangements	uzgodnień
arrangements	uzgodnienia
penn	penn
joke	dowcip
joke	zart
joke	żart
sailed	wypłynął
sailed	odpłynął
religions	religie
grants	dotacje
grants	dotacji
grants	stypendia
andrews	andrews
moderate	umiarkowany
moderate	umiarkowanego
moderate	umiarkowanie
moderate	umiarkowanym
moderate	umiarkowane
stolen	skradziona
stolen	skradziono
stolen	skradziony
stolen	skradzione
tributary	dopływ
pin	pin
carol	carol
owns	posiada
prototype	prototyp
copied	skopiowane
canterbury	canterbury
midnight	północy
midnight	północ
quarterback	rozgrywający
duchy	księstwo
bailey	bailey
arbitrators	arbitrów
performers	wykonawcy
performers	wykonawców
diversity	zróżnicowanie
diversity	różnorodności
diversity	różnorodność
sixteen	szesnaście
sixteen	sixteen
findings	ustalenia
brussels	bruksela
brussels	brukseli
imdb	imdb
planets	planet
planets	planety
theatrical	teatralne
reconnaissance	rozpoznanie
reconnaissance	zwiad
reconnaissance	rekonesans
shots	strzałów
shots	strzały
complaint	zażalenie
complaint	skarga
complaint	skargę
complaint	skargi
batman	batman
batman	batmana
exhibited	wystawiane
exhibited	wystawione
exhibited	pokazane
espn	espn
investigate	zbadać
verify	zweryfikować
absent	nieobecny
absent	nieobecność
absent	nieobecna
girlfriend	dziewczyna
girlfriend	dziewczynę
resignation	rezygnacja
resignation	rezygnacji
resignation	rezygnację
fossil	kopalnych
tang	tang
inches	centymetry
inches	cale
inches	cali
proven	udowodniono
proven	udowodnione
franco	franco
dying	umiera
dying	umieram
tribal	plemienia
tyler	tyler
glenn	glenn
substance	substancje
substance	substancji
substance	substancja
luxembourg	luksemburgu
luxembourg	luksemburg
luxembourg	luksemburga
colored	kolorowe
colored	kolorowy
colored	kolorowych
administered	podawać
administered	podawany
explosion	wybuch
explosion	eksplozja
generations	pokolenie
generations	pokolenia
generations	pokoleń
duck	kaczka
duck	duck
duck	kaczor
duck	kaczki
porter	portier
porter	portera
porter	porter
permanently	trwale
memphis	memphis
salvador	salvador
emma	emma
mit	mit
zoo	zoo
gibson	gibson
emerging	wschodzących
notre	notre
portions	porcje
portions	porcji
macedonia	macedonii
macedonia	macedonia
ethics	etyka
ethics	etyki
curtis	curtisa
curtis	curtis
rescued	uratował
rescued	uratowany
rescued	uratowani
gaelic	gaelic
slovakia	słowacja
slovakia	słowacji
elevated	podwyższone
elevated	podniesiony
jeremy	jeremy
listen	posłuchaj
listen	słuchaj
impressive	imponujące
bradley	bradley
egg	jajko
egg	jajka
egg	jajo
conquest	podbój
conquest	zdobycie
rod	rod
rod	pręt
cdp	cdp
algorithm	algorytm
algorithm	algorytmu
burn	płonie
burn	spalić
burn	spal
thesis	tezy
lover	kochanka
lover	kochankiem
lover	kochanek
capitol	kapitolu
capitol	capitol
ferdinand	ferdinand
marshal	marszałek
judaism	judaizm
balls	jaja
balls	piłki
balls	kulki
nacional	nacional
wrestlers	zapaśnicy
ahmed	ahmed
sin	grzechu
sin	grzechem
sin	sin
sin	grzech
holocaust	holokaustu
edgar	edgara
edgar	edgar
saxophone	saksofon
curriculum	nauczania
wishes	życzenia
wishes	życzy
wishes	życzeń
ruins	ruin
ruins	ruiny
ibm	ibm
rochester	rochester
nigerian	nigerii
pitched	rzucał
jesse	jessie
jesse	jesse
malaysian	malezji
atlas	atlas
telegraph	telegraph
performer	wykonawca
cannon	armata
cannon	armaty
cannon	działo
emily	emily
dissolved	rozpuszczonego
catalogue	katalog
catalogue	katalogu
catalogue	katalogi
discrimination	dyskryminacja
discrimination	dyskryminacji
discrimination	dyskryminację
myspace	myspace
reveal	ujawnić
wizard	czarodzieja
wizard	czarodziej
wizard	asystent
wizard	czarnoksiężnik
teen	teen
teen	nastolatka
teen	nastolatek
spots	plamki
bomber	zamachowiec
foods	żywności
foods	żywność
quest	poszukiwanie
quest	quest
quest	wyprawa
connor	connora
connor	connor
screenplay	scenariusz
motors	motors
motors	silniki
minimal	minimalna
minimal	minimalne
minimal	minimum
minimal	minimalny
muscle	mięśnie
muscle	mięsień
muscle	mięśni
prestigious	prestiżowej
sustainable	zrównoważona
sustainable	zrównoważonego
sustainable	zrównoważone
sustainable	zrównoważony
chelsea	chelsea
strict	surowa
strict	ścisłe
strict	surowy
kingston	kingston
sheep	owcy
sheep	owca
sheep	owiec
sheep	owce
andrea	andrei
andrea	andrea
complaints	skargi
complaints	skarg
connects	łączy
defenders	obrońcy
defenders	obrońców
richardson	richardson
triangle	trójkąta
triangle	trójkąt
nato	nato
teeth	zęby
teeth	zębów
teeth	ząbki
occasional	okazjonalnych
occasional	okazjonalnie
occasional	sporadycznie
strictly	ściśle
harper	harper
fluid	ciecz
fluid	płyny
fluid	płyn
fed	fed
disbanded	rozwiązany
comparable	porównywalne
comparable	porównywalna
comparable	porównywalny
documentation	dokumentacji
documentation	dokumentację
documentation	dokumentacja
brien	brien
compounds	związki
edmund	edmund
instances	instancji
naturally	naturalnie
forcing	zmuszając
ussr	zsrr
laser	laserowe
laser	laser
lat	lat
sculptor	rzeźbiarz
guild	gildii
observer	obserwatora
observer	obserwator
observer	obserwatorzy
worlds	światy
worlds	światów
imprisoned	uwięziony
imprisoned	uwięzione
imprisoned	uwięziona
wrestler	zapaśnik
praise	chwała
praise	chwalić
parishes	parafie
parishes	parafii
bones	bones
bones	kości
css	css
cox	cox
contracts	umowy
contracts	kontrakty
contracts	umów
consequences	skutki
consequences	konsekwencje
consequences	następstwa
provisions	postanowienia
provisions	przepisy
circulation	obieg
circulation	krążenie
circulation	nakład
butterfly	motyle
butterfly	motyla
butterfly	motyl
hugo	hugo
abolished	zniosła
abolished	zniesione
abolished	zniósł
algeria	algierii
algeria	algieria
edu	edu
armies	armie
armies	armii
separation	rozdzielenie
separation	separacji
separation	oddzielenie
spy	szpieg
spy	szpiega
cliff	urwiska
cliff	cliff
technically	technicznie
reactions	reakcji
reactions	reakcje
lithuanian	litewski
trick	trick
trick	sztuczka
trick	trik
trick	sztuczki
curve	krzywa
curve	krzywej
curve	krzywą
accidents	wypadki
accidents	wypadków
horizontal	poziomy
horizontal	horyzontalne
horizontal	poziomo
horizontal	poziome
legends	legend
legends	legendy
enzyme	enzymu
enzyme	enzym
enzyme	enzymy
freight	towarowy
hydrogen	wodór
hydrogen	wodoru
broadcasts	transmisje
viii	viii
caroline	caroline
caroline	karolina
plymouth	plymouth
twentieth	twentieth
cuts	cięcia
cuts	nacięcia
mediation	mediacji
catalog	katalog
catalog	katalogu
dale	dale
synthesis	syntezy
rape	gwałtu
rape	gwałt
seoul	seulu
engagement	aktywność
engagement	zaangażowanie
engagement	zaręczyny
coin	monety
coin	moneta
lucy	lucy
platinum	platyny
twins	bliźniaki
twins	bliźniaczki
twins	bliźnięta
memories	wspomnienia
memories	wspomnień
memories	pamięci
robertson	robertson
verified	sprawdzony
verified	zweryfikowane
verified	sprawdzone
anthology	anthology
milton	milton
geological	geologiczne
defining	określenie
defining	zdefiniowanie
defining	określanie
dinner	kolacja
dinner	kolację
dinner	obiad
hosting	hosting
thriller	thriller
retreat	odwrót
albany	albany
abdul	abdul
ignore	zignorować
ignore	ignorować
migration	migracja
migration	migracji
carefully	ostrożnie
sudan	sudan
sudan	sudanie
sudan	sudanu
manages	zarządza
henderson	henderson
explorer	explorer
marco	marco
fusion	fuzja
fusion	fusion
aids	aids
gathered	zebrane
privately	prywatnie
reflected	odzwierciedlenie
presbyterian	presbyterian
automobile	samochodowe
automobile	samochód
estates	posiadłości
pound	funt
pound	funty
pound	funta
allegedly	rzekomo
delay	opóźnienia
delay	opóźnienie
developers	twórcy
developers	deweloperów
