और	et
से	du
से	de
से	depuis
है	hai
है	haï
एक	un
एक	une
एक	one
श्रेणी	catégorie
श्रेणी	catégories
श्रेणी	série
श्रेणी	séries
श्रेणी	catégories
भी	meme
भी	même
भी	également
भी	aussi
भी	egalement
भी	trop
भी	too
लिए	roleplay
यह	ceci
यह	cet
यह	cette
यह	cela
यह	ce
किया	did
किया	fait
किया	faite
इस	ceci
इस	cet
इस	cette
इस	cela
इस	ce
हैं	sont
कि	que
कि	cela
भारत	inde
भारत	indes
जो	joe
जो	qui
जो	oms
जो	who
ही	hee
रूप	forme
रूप	formulaire
रूप	apparence
रूप	apparition
रूप	aspect
कर	impôts
कर	taxe
कर	taxes
कर	fiscalité
कर	fiscale
कर	impôt
कर	impôt
कर	impôts
कर	taxes
कर	fiscalité
नहीं	not
नहीं	non
नहीं	pas
उत्तराखण्ड	uttarakhand
गया	allé
साथ	avec
साथ	ensemble
साथ	together
पूर्व	orientale
पूर्व	est
पूर्व	orient
पूर्व	ancien
पूर्व	ancienne
होता	serait
होता	aurait
होता	ferait
बाद	ultérieur
बाद	apres
बाद	after
बाद	après
बाद	aprés
तक	tak
अपने	propres
अपने	propre
अपने	posséder
अपने	votre
अपने	vos
जिले	districts
जिले	arrondissements
जिले	quartiers
था	avait
था	avaient
था	avais
था	fut
था	etait
था	était
राज्य	etats
राज्य	états
राज्य	etat
राज्य	état
बाहरी	extérieurs
बाहरी	extérieur
बाहरी	extérieure
बाहरी	externe
बाहरी	extérieurs
बाहरी	extérieur
बाहरी	extérieure
बाहरी	externes
कुछ	certains
कुछ	certaines
कुछ	quelques
कुछ	quelquechose
ईसा	jésus
ईसा	jesus
गाँव	village
सरकार	gouvernement
सरकार	gouvernements
कड़ियाँ	chaines
कड़ियाँ	chaînes
कड़ियाँ	liens
प्रदेश	région
इसके	sa
इसके	ses
इसके	son
दिया	donné
दिया	donnés
अन्य	autre
अन्य	autres
अन्य	autres
जा	jaa
वर्ष	années
वर्ष	ans
वर्ष	annee
वर्ष	an
वर्ष	année
समय	timing
समय	temps
समय	heure
नाम	nommer
नाम	nom
नाम	dénomination
नाम	noms
वे	elles
वे	ils
वे	eux
प्रकार	aimable
प्रकार	taper
प्रकार	type
प्रकार	tapez
प्रकार	types
भारतीय	indienne
भारतीय	indiens
भारतीय	indiennes
भारतीय	indien
किसी	someone
तहसील	tehsil
क्षेत्र	région
क्षेत्र	zone
क्षेत्र	domaine
क्षेत्र	région
क्षेत्र	domaines
क्षेत्र	zones
अधिक	davantage
अधिक	plus
कई	nombreux
कई	beaucoup
कई	nombreuses
कई	plusieurs
कई	plusieurs
वाले	wale
स्थित	situés
स्थित	située
स्थित	localisé
स्थित	situé
मण्डल	zone
आधिकारिक	fonctionnaire
आधिकारिक	officielles
आधिकारिक	officiels
आधिकारिक	officielle
आधिकारिक	officiel
कारण	raisons
कारण	raisons
कारण	raison
कारण	cause
कारण	cause
कारण	causes
होने	etre
होने	être
जैसे	comme
जैसे	aime
जैसे	aiment
जैसे	genre
जैसे	aimez
करता	tyrans
उनके	leur
उनके	leurs
उनके	eux
सबसे	most
हिन्दी	hindi
बहुत	très
बहुत	tres
बहुत	trés
पहले	auparavant
पहले	avant
पहले	première
पहले	premières
पहले	premier
पहले	premiers
अपनी	propres
अपनी	propre
अपनी	posséder
अपनी	charnel
दो	two
दो	deux
जिला	district
जब	lorsque
जब	quand
उन्होंने	elles
उन्होंने	ils
उन्होंने	eux
उन्होंने	egyptiens
उन्होंने	égyptiens
जन्म	naître
जन्म	né
जन्म	naissance
जन्म	née
जन्म	born
जन्म	naissance
कोई	koi
इन	inn
लेकिन	mais
ये	ceci
ये	cet
ये	cette
ये	cela
ये	ce
ये	ces
कम	basses
कम	basse
कम	faible
कम	faibles
कम	bas
कम	moins
कहा	dit
कहा	disait
लोग	gens
लोग	personnes
आदि	etc
आदि	davantage
आदि	plus
आदि	dja
आदि	adi
उसके	sa
उसके	his
उसके	ses
उसके	son
उसके	her
प्राचीन	primitives
प्राचीन	primitif
प्राचीन	primitifs
प्राचीन	primitive
प्राचीन	antiquité
प्राचीन	anciens
प्राचीन	ancien
प्राचीन	ancienne
देखें	regardez
देखें	montre
देखें	montres
देखें	regarder
देखें	regarde
देखें	consultez
देखें	voyez
देखें	voir
देखें	vois
देखें	afficher
देखें	vue
देखें	voir
देखें	affichage
देखें	visualiser
उत्तर	réponse
उत्तर	répondez
उत्तर	répondre
उत्तर	reponse
उत्तर	nord
उत्तर	réponses
भाषा	langues
भाषा	langue
भाषा	langage
भाषा	langues
लिये	pour
सभी	toute
सभी	toutes
सभी	tous
सभी	tout
सभी	all
प्राप्त	obtenues
प्राप्त	obtenue
प्राप्त	obtenus
प्राप्त	obtenu
प्राप्त	reçu
प्राप्त	reçues
प्राप्त	reçus
प्राप्त	reçue
प्राप्त	reçois
प्राप्त	reçoivent
प्राप्त	recevez
प्राप्त	recevoir
इसका	sa
इसका	ses
इसका	son
प्रयोग	expériences
प्रयोग	expérimentations
प्रयोग	utilisation
प्रयोग	usage
प्रयोग	expérimenter
प्रयोग	expérience
प्रयोग	expérimentation
शामिल	impliqué
शामिल	impliqués
शामिल	impliquée
शामिल	inclut
शामिल	comprend
शामिल	incluses
शामिल	inclus
शामिल	incluse
शामिल	compris
शामिल	incluent
शामिल	inclure
शामिल	comprennent
शामिल	inclut
उन्हें	eux
उस	que
उस	cela
स्थान	endroits
स्थान	lieux
स्थान	lieu
स्थान	localisations
स्थान	lieux
स्थान	place
स्थान	endroit
स्थान	lieu
स्थान	localisation
स्थान	emplacement
स्थान	localité
स्थान	lieu
प्रमुख	chef
प्रमुख	major
प्रमुख	commandant
प्रमुख	majeur
प्रमुख	principal
प्रमुख	principales
प्रमुख	main
प्रमुख	principale
प्रमुख	principaux
हुई	hui
बीच	plage
बीच	plages
बीच	center
बीच	centrer
बीच	centre
गए	partis
गए	parti
गए	gone
गए	allé
मुख्य	chef
मुख्य	principal
मुख्य	principales
मुख्य	main
मुख्य	principale
मुख्य	principaux
थी	fut
थी	etait
थी	était
बिहार	bihar
उसे	lui
उसे	her
कार्य	tâches
कार्य	travaux
कार्य	travail
कार्य	travailler
कार्य	emploi
कार्य	emplois
कार्य	tâche
उनकी	leur
उनकी	leurs
आंध्र	andhra
आंध्र	andra
नगर	ville
नगर	ville
नगर	villes
नगर	nagar
उपयोग	utilisation
उपयोग	usage
उपयोग	utilisation
उपयोग	utiliser
उपयोग	utilise
उपयोग	utilisez
उपयोग	usages
उपयोग	utilise
उपयोग	utilisations
लोगों	gens
लोगों	personnes
आधार	base
आधार	prémisse
आधार	prémisses
आधार	base
आधार	fondement
काम	travaux
काम	travail
काम	travailler
जीवन	vie
विश्व	monde
विश्व	mondial
विश्व	mondiale
भाग	sections
भाग	partie
भाग	pièces
भाग	parties
निर्माण	création
निर्माण	construction
निर्माण	bâtir
निर्माण	construire
निर्माण	fabrication
गई	allé
दोनों	both
राष्ट्रीय	nationaux
राष्ट्रीय	national
राष्ट्रीय	nationale
राष्ट्रीय	nationales
जानकारी	info
जानकारी	infos
जानकारी	informations
जानकारी	infos
जानकारी	renseignements
जानकारी	information
पोर्टल	portal
पोर्टल	portail
शहर	downtown
शहर	ville
शहर	villes
शहर	villes
बार	bars
बार	barres
बार	barreau
बार	bar
बार	barre
बार	fois
वाली	wali
लगभग	presque
लगभग	quasi
लगभग	pratiquement
लगभग	quasiment
लगभग	approximativement
लगभग	environ
