mortales	มรณะ
comunismo	คอมมิวนิสต์
comunismo	คอมมิวนิสต์
guardar	บันทึก
guardar	ประหยัด
espiral	เกลียว
cosecha	พืช
afuera	นอก
afuera	ภายนอก
afuera	ออก
vasos	cups
vasos	ถ้วย
vasos	เส้นเลือด
vasos	แว่น
vasos	แว่นตา
vasos	แก้ว
ápice	apex
mind	มายด์
mind	จิต
mind	ใจ
mind	mind
mind	รังเกียจ
perihelio	perihelion
cereales	ธัญพืช
cereales	เมล็ด
bit	บิต
bit	กัด
bit	bit
bolas	ลูกบอล
pasados	อดีต
transversal	transversal
desaparecida	หาย
desaparecida	ขาด
violenta	รุนแรง
sugerido	แนะ
sugerido	แนะนำ
antártica	แอนตาร์กติกา
admite	ยอมรับ
adentro	ภายใน
perspectivas	outlook
ganancias	กำไร
ganancias	กำไร
ganancias	กำไร
vizconde	vicomte
collar	ปลอกคอ
rossi	รอสซี่
murillo	murillo
dividir	แบ่ง
dividir	แยก
dividir	แบ่ง
setiembre	กันยา
setiembre	กันยายน
robar	ปล้น
robar	ขโมย
aguda	เฉียบพลัน
olvido	ลืม
olvido	ลืม
virgin	เวอร์จิน
virgin	จิ้น
rancho	rancho
spam	spam
spam	สแปม
arcilla	เคลย์
arcilla	ดิน
quitar	ลบ
ordenadores	คอมพิวเตอร์
ordenadores	คอม
ordenadores	คอมพิวเตอร์
bienvenida	ต้อนรับ
bienvenida	ยินดี
boom	ตูม
boom	บูม
tribuna	ทริบูน
storm	พายุ
aprecia	ซาบซึ้ง
underground	ใต้ดิน
agudo	เฉียบพลัน
agudo	ชาร์ป
agudo	คม
conejo	กระต่าย
conejo	บัน
conejo	กระต่าย
mont	mont
pinos	ต้นสน
senegal	เซเนกัล
carril	เลน
segundas	วินาที
precursor	forerunner
fusiles	ปืน
diga	กล่าว
diga	พูด
bin	บิน
bin	ถาด
tocado	สัมผัส
extender	ขยาย
osaka	osaka
fraude	ฉ้อโกง
solicitado	ร้องขอ
eyes	นัยน์ตา
eyes	ดวงตา
eyes	สายตา
eyes	ตา
jura	สาบาน
esmeralda	มรกต
esmeralda	emerald
complejas	ปม
complejas	complex
rapidez	รวดเร็ว
rapidez	ด่วน
rapidez	ไว
rapidez	ความเร็ว
rapidez	รวดเร็ว
rapidez	เร็ว
rapidez	ด่วน
rapidez	fast
rapidez	ไว
calcula	คำนวณ
bodas	แต่งงาน
bodas	แต่ง
intel	อินเทล
intel	intel
colapso	ถล่ม
colapso	ยุบ
colapso	ย่อ
lakers	lakers
humilde	เจียม
humilde	ถ่อม
integridad	บริบูรณ์
deber	duty
deber	หน้าที่
saudita	ซาอุดิอาระเบีย
botella	ขวด
saltos	กระโดด
rosales	rosales
concordia	คอร์ด
cayeron	เผลอ
luca	luca
sólida	ทึบ
sólida	ของแข็ง
sólida	มั่นคง
sólida	solid
sólida	แข็ง
ausente	หาย
ausente	ขาด
kingdom	อาณาจักร
accidentalmente	บังเอิญ
accidentalmente	เผลอ
notación	กรณ์
manto	อาภรณ์
ciego	บอด
ciego	ตาบอด
capitalismo	ทุนนิยม
generan	สร้าง
legislativas	นิติบัญญัติ
disminuye	ลด
bares	ผับ
bares	บาร์
bares	แท่ง
