ривалство	rivalry
епски	huyền
рикардо	riccardo
рикардо	ricardo
процесор	cpu
самит	summit
ноќни	mộng
ѕвездена	stellar
робинсон	robinson
боливар	bolivar
пор	poor
пор	por
коцка	cube
коцка	rubik
куршуми	đạn
отров	poison
гавран	quạ
гавран	raven
свештенството	clergy
станот	hộ
виден	thấy
харт	hart
јаглероден	carbon
јаглероден	cacbon
конектикат	connecticut
пастрмка	trout
дафи	duffy
окупирана	overrun
откажа	hủy
откажа	hủy
вавринка	wawrinka
додавајќи	thêm
пјетро	pietro
лаплас	laplace
емс	ems
предградие	suburb
гуштер	lằn
московски	moscow
московски	moskva
минск	minsk
прати	gửi
прати	gởi
винченцо	vincenzo
сомнеж	reo
лазо	lazo
државјани	open
државјани	nationals
наоѓање	finding
гилберт	gilbert
викиизвор	wikisource
кварк	quark
слогови	gun
копје	javelin
копје	xiên
копје	giáo
копје	spear
слатки	kẹo
слатки	kẹo
слатки	candy
зрна	lúa
зрна	hạt
изговорот	pronunciation
шумахер	schumacher
христа	christ
насликал	sơn
поттикне	spur
ванг	vương
ванг	wang
хималаите	himalaya
хималаите	himalayas
пиперки	ớt
слушне	thuộc
слушне	tít
слушне	nghe
слушне	spring
визиготите	visigoth
малави	malawi
солзи	lăn
корејски	hàn
точен	đúng
чуден	weird
чуден	rar
чуден	lạ
чуден	lẻ
рудниците	mìn
триаголници	tam
џојс	joyce
водител	máy
лагуна	laguna
лагуна	đầm
лагуна	lagoon
тегови	weights
тегови	tạ
нолан	nolan
оклоп	giáp
оклоп	armour
оклоп	giáp
пајаци	nhện
пајаци	nhện
пајаци	spider
рен	rennes
рен	wren
рен	ren
рен	nhâm
рен	rehn
гулаб	dua
гулаб	pigeon
гулаб	patagioenas
гулаб	dove
лавови	lions
ниса	nyssa
омилени	fave
ниро	nero
строг	chuỗi
теоретска	huấn
поканет	mời
клајстерс	clijsters
колумбиски	colombia
преживување	survival
артилерија	pháo
енрико	enrico
кастел	castel
админ	admin
решетка	lưới
соништа	mơ
соништа	dreams
уши	tai
внесе	tiêm
барок	baroque
модул	modul
модул	môđun
модул	module
модул	đun
вертикални	dọc
влажна	trơn
влажна	vat
влажна	ướt
харли	hurley
харли	harley
гулбис	gulbis
греам	graham
ники	nicky
ники	nikki
ники	niki
ники	nicki
напуштен	thác
вектори	vectors
лисица	fox
лисица	cáo
лисица	chồn
алонсо	alonso
совршена	hảo
педагог	educator
телевизии	broadcasters
странична	lateral
мавританија	mauritania
лајбниц	leibniz
фараонот	pharaoh
клисурата	gorge
клисурата	hẻm
предрасуди	prejudice
џастин	justine
џастин	justin
грозни	grozny
шминка	makeup
антигон	antigonos
катанија	catania
митолошки	mythological
усвоена	nuôi
тор	tor
тор	tor
тор	thor
лаборатории	labs
лаборатории	laboratories
цензура	censorship
арх	arh
гевара	guevara
картон	bìa
сиена	siena
гетеборг	göteborg
гетеборг	gothenburg
нијанса	nhuốm
нијанса	râm
нијанса	khuất
светли	sáng
