morris	morris
kontserdil	concert
poliitikast	politiek
friuli	friuli
schumacher	schumacher
cis	cis
cis	gos
cis	dis
doyle	doyle
tagasiside	terugkoppeling
tagasiside	feedback
kõrvits	pompoen
kõrvits	pompoenen
manfred	manfred
toitainete	nutriënten
toitainete	voedingsstoffen
toitainete	nutriënten
toitainete	voedingsstoffen
caspar	caspar
bobby	bobby
sumeri	soemerische
simone	simone
tenor	tenor
eemaldamine	verwijder
eemaldamine	verwijderen
eemaldamine	verwijdering
ball	bal
ball	ball
globaalne	global
globaalne	mondiale
globaalne	globaal
globaalne	wereldwijd
key	key
key	sleutel
key	toets
tõestatud	bewezen
tõestatud	aangetoonde
toetajad	voorstanders
toetajad	supporters
toetajad	aanhangers
vähk	kanker
coq	coq
ato	ato
bahama	bahamas
bahama	bahamaanse
larsson	larsson
kandidatuuri	kandidatuur
kandidatuuri	voordracht
kandidatuuri	nominatie
kandidatuuri	nomineren
viola	viola
sept	sept
ookean	oceaan
jäljed	nummers
jäljed	tracks
jäljed	sporen
jäljed	rupsbanden
jäljed	traces
jäljed	sporen
lyoni	lyon
võtmine	nemen
pravda	pravda
kultuuriline	cultureel
kultuuriline	culturele
kohtumised	meetings
kohtumised	ontmoetingen
kohtumised	vergaderingen
kohtumised	bijeenkomsten
vastupidine	inverse
vastupidine	achteruit
vastupidine	omgekeerde
vastupidine	omkeren
vastupidine	omgekeerd
vastupidine	tegengesteld
vastupidine	tegenovergesteld
vastupidine	tegenovergestelde
vastupidine	tegenover
bois	bois
kilp	schilden
kilp	afschermen
kilp	afscherming
kilp	schild
miami	miami
sidemeid	verband
tähelepanuväärne	opmerkelijk
tähelepanuväärne	opmerkelijke
tähelepanuväärne	opvallend
abu	abu
olof	olof
magic	magie
magic	magic
magic	magisch
vali	kies
vali	kiezen
vali	kies
vali	selecteren
vali	selecteer
hubble	hubble
osalus	participerende
osalus	deelneming
osalus	participatie
osalus	deelname
modifitseeritud	gemodificeerd
modifitseeritud	gewijzigd
modifitseeritud	aangepast
sigulda	sigulda
gregorio	gregorio
glasgow	glasgow
patricia	patricia
quercus	quercus
vahemaa	afstand
karm	ruig
karm	ruw
karm	ruwe
karm	stoer
karm	taai
karm	hard
seimi	sejm
kauplus	winkel
lähemale	dichterbij
lähemale	dichter
koore	blaffen
koore	schors
koore	bast
marja	bes
marja	berry
marja	bessen
sektsioon	afdeling
sektsioon	sectie
huvid	belangen
huvid	interesses
huvid	belangstelling
huvid	rente
huvid	belang
huvid	interesse
mõõk	degen
mõõk	zwaard
naan	naan
ensüüm	enzymen
ensüüm	enzym
retseptorid	receptor
retseptorid	receptoren
ülemineku	overgang
föderatsioon	federatie
pronks	bronzen
pronks	brons
pronks	bronze
laager	kamp
saatja	zender
saatja	afzender
saatja	verzender
price	prijzen
price	prijs
sõltuv	afhankelijke
sõltuv	afhankelijk
tunnistab	onderkent
tunnistab	herkent
tunnistab	erkent
tunnistab	erkent
tunnistab	onderkent
index	index
index	indexcijfer
index	indexeren
tarbija	consument
tarbija	consumenten
kolmkümmend	dertig
kolmkümmend	thirty
mündid	muntstukken
mündid	munten
vastutus	aansprakelijk
vastutus	aansprakelijkheid
vastutus	verantwoordelijkheid
vastutus	verantwoordelijkheden
vastutus	verantwoordelijkheid
apostel	boodschapper
apostel	apostel
apostel	gezant
