diesel	diesel
toronto	toronto
darwin	darwin
teolog	teolog
rey	rey
cadre	rammer
așteptat	forventa
așteptat	ventes
așteptat	ventet
așteptat	forventet
așteptat	forventes
așteptat	venta
așteptat	ventet
copie	kopi
copie	kopier
augusta	augusta
conservatorul	konservatoriet
conservatorul	vinterhagen
individ	individuelle
individ	individuell
individ	individ
individ	individet
cauze	formål
cauze	forårsaker
cauze	saker
cauze	årsaker
posturi	poster
posturi	innlegg
rosa	rosa
neil	neil
orientale	orientalsk
murray	murray
giorgio	giorgio
bloc	blokkering
bloc	blokker
bloc	blokk
bloc	blokkere
extremă	ekstrem
extremă	ekstremt
extremă	ekstreme
extremă	extreme
sophie	sophie
democratice	demokratisk
verii	fettere
verii	søskenbarn
aventură	adventure
aventură	eventyr
aventură	eventyret
ciot	stub
ciot	stump
ciot	stubben
gri	gray
gri	grå
gri	grått
gri	grå
gri	grey
imdb	imdb
producători	produsenter
producători	produsentene
producători	produsenter
editată	redigert
editată	redigerte
gratuit	gratis
gratuit	fri
gratuit	free
gratuit	ledig
gratuit	frie
gratuit	fritt
proiectele	prosjekter
proiectele	prosjektene
versailles	versailles
floarea	blomst
floarea	flower
terry	terry
nordice	nordiske
nordice	nordic
nordice	nordisk
viziune	visjon
viziune	syn
partidele	fester
partidele	partier
catalonia	catalonia
profesie	yrke
profesie	profesjon
mayenne	mayenne
tablouri	malerier
dean	dekanus
dean	dean
zagreb	zagreb
exemplul	eksempel
magnolia	magnolia
informare	briefing
populații	befolkninger
bere	ølen
bere	pils
bere	beer
bere	øl
solicitat	forespurte
solicitat	forespurt
solicitat	bedt
mandatul	mandat
cape	cape
cape	kapp
expert	ekspert
zahăr	rørsukker
zahăr	sukker
zahăr	sugar
wagner	wagner
călugăr	monk
călugăr	munk
scandal	skandalen
scandal	skandale
digitală	digitalt
digitală	digitale
digitală	digital
fals	falsk
fals	usant
fals	falske
fals	falskt
fals	falskt
fals	falsk
fals	fake
ruta	route
ruta	ruta
ruta	rute
ruta	ruten
clement	clément
clement	klemens
clement	clement
liberi	gratis
liberi	fri
liberi	free
liberi	ledig
liberi	frie
liberi	fritt
arhiducele	erkehertug
amintirea	minnet
amintirea	hukommelse
amintirea	minne
amintirea	memory
medicamente	stoff
medicamente	dop
medicamente	narkotika
medicamente	narko
medicamente	medisiner
medicamente	legemidler
întrebat	spurt
întrebat	stilt
întrebat	bedt
întrebat	spurte
stări	stater
stări	delstater
stări	humør
colaborator	samarbeidspartner
colaborator	bidragsyter
auf	auf
opiniile	meninger
opiniile	meningene
lunar	månedlige
lunar	månedlig
lunar	lunar
omenirii	menneskeheten
celulele	cellene
celulele	celler
percuție	perkusjon
short	kort
short	short
short	korte
baron	baron
suficientă	tilstrekkelig
atelier	workshop
atelier	verksted
atelier	verkstedet
barry	barry
mercur	kvikksølv
mercur	mercury
tun	cannon
tun	kanon
tun	tun
păr	hår
păr	håret
cresc	gror
cresc	voks
cresc	vokse
concluzie	konklusjon
concluzie	konklusjonen
admis	innlagt
astrofizică	astrofysikk
egalitate	likeverd
egalitate	likhet
egalitate	likestilling
domnit	regjerte
identificare	identifisering
identificare	identifikasjon
astronomic	astronomiske
astronomic	astronomisk
demonstrează	demonstrere
ideal	ideelt
ideal	ideal
ideal	ideell
ideal	ideelle
ungureanu	ungureanu
găsită	funnet
găsită	fann
găsită	fant
găsită	funne
haine	klær
haine	tøy
structurii	struktur
abdallah	abdallah
repetat	gjentatt
repetat	gjentas
repetat	gjentatte
tinere	ungt
tinere	young
tinere	ung
tinere	unge
gros	tjukk
gros	tykk
gros	tykt
gros	tykke
calendar	kalenderen
calendar	kalender
patrimoniu	arv
vocale	vokaler
vocale	vokal
donat	donerte
donat	donert
dakota	dakota
valle	valle
mansur	mansur
susan	susan
holt	holt
federală	føderalt
federală	føderale
federală	federal
federală	føderal
pont	pont
pont	tips
înlocuirea	erstatter
înlocuirea	erstatter
înlocuirea	erstatning
apple	eple
apple	apple
dame	dam
dame	dame
strasbourg	strasbourg
sportivi	atleter
sportivi	utøverne
sportivi	utøvere
sportivi	idrettsutøvere
sportivi	idrettsfolk
apostoli	sendebud
apostoli	apostlenes
château	château
adăugarea	tilskudd
adăugarea	tillegg
bois	bois
formularul	skjemaet
formularul	skjema
grupate	gruppert
crimă	myrde
crimă	drap
crimă	mord
crimă	kriminalitet
crimă	forbrytelse
gotic	gotiske
gotic	gotisk
tre	tre
roz	pink
roz	rosa
ahmed	ahmed
latine	latin
latine	latinske
latine	latinsk
frunzele	løv
frunzele	blader
exprima	express
compoziții	komposisjoner
moscovei	moscow
moscovei	moskva
kashmir	kashmir
belgian	belgiske
belgian	belgias
belgian	belgisk
wikimapia	wikimapia
orange	orange
orange	appelsin
orange	oransje
pierderile	tapene
pierderile	tap
naviga	seile
naviga	seil
echipament	utstyr
includerea	inkludering
simona	simona
joachim	joachim
formal	formell
formal	formelle
formal	formelt
austin	austin
filozofia	filosofi
aedes	aedes
explica	forklare
explica	forklar
wall	vegg
wall	mur
harald	harald
meridiane	meridianer
autonome	autonome
village	landsby
village	village
village	bygda
răspândirea	sprer
răspândirea	spre
intensă	intens
intensă	intenst
intensă	intense
mutată	beveget
mutată	flytta
mutată	flyttet
strâmtoarea	stredet
strâmtoarea	strait
refugiat	flyktning
refugiat	refugee
ungară	ungarsk
ungară	ungarns
scăzută	lavmål
scăzută	lav
scăzută	lavt
scăzută	low
scăzută	lave
exterioară	utvendig
exterioară	utvendige
exterioară	eksteriør
ofensivă	offensiv
ofensivă	støtende
intervenție	intervensjon
intervenție	inngripen
galilor	gallere
fenomene	fenomen
fenomene	fenomener
austrieci	østerrikere
austrieci	østerriksk
costume	kostymer
costume	drakter
costume	dresser
muban	muban
cânta	syng
cânta	sing
cânta	synge
grija	omsorg
grija	omsorgsfull
grija	pleie
grija	omsorg
grija	stell
grija	bryr
grija	care
corul	sangkor
corul	refrenget
corul	chorus
corul	kor
modelele	modeller
îndeplini	oppfylle
reich	reich
józsef	józsef
agricol	landbruks
originile	opprinnelsen
khan	khan
khan	khanen
mutarea	flytting
mutarea	flytte
mutarea	flytter
moscheea	moské
moscheea	moskeen
lățimea	bredde
cooper	cooper
preah	preah
invazie	invasjon
ehf	ehf
brabant	brabant
dealuri	åser
dealuri	hills
danny	danny
determinată	besluttsom
determinată	målbevisst
determinată	bestemt
tag	tagg
perete	vegg
perete	mur
amenajare	passende
nicholas	nicholas
istoricii	historikere
străină	utenlandske
străină	utenlandsk
iubit	elska
iubit	elsket
iubit	elskede
iubit	kjæresten
iubit	kjæreste
entitate	enhet
platină	platinum
platină	platina
rezolva	løs
rezolva	løse
rezolva	oppklare
rezolva	løser
indivizi	enkeltindivider
indivizi	enkeltpersoner
indivizi	individer
continental	continental
continental	kontinental
continental	kontinentale
caesar	caesar
caesar	cæsar
cruci	krysser
pierdute	mistet
pierdute	fortapt
pierdute	tapte
pierdute	tapt
pierdute	lost
perioadele	perioder
bianco	bianco
ilustrează	illustrerer
ilustrează	illustrere
cardinal	cardinal
cardinal	kardinal
clare	clare
vulcan	vulkan
vulcan	vulcan
moștenit	arva
moștenit	arvet
curentului	gjeldende
curentului	nåværende
destinație	destinasjon
destinație	bestemmelsessted
hawaii	hawaii
sunetul	lyd
sunetul	sound
sunetul	lyden
xbox	xbox
inca	forsatt
inca	framleis
inca	fremdeles
inca	likevel
inca	fortsatt
gama	gamma
baby	baby
evaluarea	vurdering
evaluarea	evaluering
cinematografie	kinematografi
danez	danske
danez	dansk
raportat	rapportert
raportat	rapporterte
râurilor	rivers
râurilor	elver
paula	paula
acoperiș	taket
acoperiș	tak
conferință	konferanse
conferință	konferansen
legală	juridiske
legală	juridisk
legală	lovlig
civili	sivilister
civili	sivile
calliphoridae	spyfluer
elisabeth	elisabeth
citește	lest
citește	lese
citește	les
citește	read
variate	varierte
variate	variert
bros	bros
prăbușit	styrtet
prăbușit	kræsjet
prăbușit	krasjet
prăbușit	kollapset
clasificate	klassifisert
clasificate	gradert
pic	pic
administrare	administrasjonen
administrare	administrasjon
cereale	korn
cereale	frokostblanding
warren	warren
ferenc	ferenc
pictori	malere
stein	stein
basel	basel
doo	doo
étienne	étienne
trafic	vikeplikt
trafic	trafikk
trafic	trafikken
baraj	dam
baraj	demning
baraj	demningen
islamică	islamsk
derivă	driften
derivă	driv
derivă	drift
derivă	drive
derivă	drivende
balta	dam
balta	dammen
balta	tjern
balta	pytt
aires	aires
roberts	roberts
kingdom	kingdom
kingdom	kongedømme
amândoi	både
amândoi	begge
statuie	statue
tennessee	tennessee
toamnă	høst
toamnă	høsten
moștenirea	legacy
moștenirea	arven
moștenirea	arv
moștenirea	arven
moștenirea	arv
oslo	oslo
turner	turner
beta	beta
aripi	vingene
aripi	vinger
aripi	wings
golf	golf
interzisă	forbudte
interzisă	forbudt
interzisă	forbudt
numirea	avtale
contactul	kontakte
contactul	kontakt
contactul	contact
java	java
alexandre	alexandre
siberia	sibir
inspector	inspektør
ocean	hav
ocean	ocean
claudia	claudia
plăcut	likte
plăcut	likt
plăcut	behagelig
evans	evans
franceza	fransk
wien	wien
edge	kant
edge	edge
edge	kanten
declarație	erklæring
declarație	uttalelse
declarație	utsagn
declarație	erklæring
declarație	erklæringen
conferă	konferere
discursul	tale
discursul	talen
alabama	alabama
folosire	bruken
intrând	entrer
tabel	bord
tabel	tabell
indiei	india
keith	keith
asigurată	forsikret
corrèze	corrèze
emise	utstedt
campionatele	mesterskap
campionatele	allround
manastirea	kloster
louisiana	louisiana
baschet	basket
baschet	basketball
organ	orgel
organ	organ
hotelul	hotell
hotelul	hotel
oarecum	litt
oarecum	ganske
oarecum	nokså
oarecum	noe
tranziție	overgangen
tranziție	overgang
distanțe	avstander
cald	varm
cald	hot
cald	varmt
cald	varm
cald	warm
cald	varmt
adânc	dype
adânc	dyp
adânc	dypt
adânc	deep
salvare	frelse
salvare	rescue
salvare	unnsetning
salvare	redningen
salvare	redning
salvare	redde
vacanță	holiday
vacanță	ferie
vacanță	helligdag
vacanță	ferie
malta	malta
manifestări	manifestasjoner
fotbalul	fotball
radical	radikal
radical	radikaler
radical	radikalt
radical	radikale
asalt	legemsfornærmelse
asalt	overfall
renault	renault
sierra	sierra
specializate	spesialisert
buenos	buenos
dificultăți	vanskeligheter
dificultăți	vansker
dificultăți	vanskeligheter
dificultăți	vansker
râurile	rivers
râurile	elver
tribuna	tribune
tribuna	tribun
lapte	melk
grove	grove
memoriile	memoarer
memoriile	memoarer
viteze	hastigheter
studios	studios
clara	clara
vieți	lives
boemia	böhmen
oferind	kappestrid
oferind	tilbyr
letonia	latvia
letonia	latvias
islanda	island
hanovra	hannover
hanovra	hannover
rahman	rahman
edinburgh	edinburgh
hlist	hlist
silva	silva
democratic	demokratisk
distinge	skjelne
distinge	skille
vrei	ønsker
vrei	lyst
vrei	want
vrei	vil
strategice	strategisk
strategice	strategiske
utilizând	bruke
utilizând	bruker
numeric	numerisk
simte	feel
simte	kjenn
simte	føler
lloyd	lloyd
robinson	robinson
oldenburg	oldenburg
controverse	kontroverser
lunile	måneder
lunile	månedsvis
rase	raser
rase	arrangement
rase	avler
bordeaux	bordeaux
lecții	leksjoner
jay	jay
soră	sister
soră	søster
soră	syster
soră	søsteren
soră	søstera
teste	tester
aventuri	adventures
aventuri	eventyr
aventuri	adventure
aventuri	eventyr
aventuri	eventyret
autorități	autoriteter
autorități	myndigheter
autorități	myndighetene
estimare	anslå
estimare	anslag
estimare	overslag
estimare	estimat
comparativ	komparativ
comparativ	sammenliknet
comparativ	sammenlignet
islamice	islamsk
salt	jump
salt	hopp
salt	hoppe
salt	salt
dezvolta	utvikle
tensiune	spenninger
tensiune	spenning
tensiune	voltage
banda	teip
banda	tape
banda	bånd
lycosa	lycosa
batman	batman
pius	pius
trăiască	direkte
trăiască	live
trăiască	lev
trăiască	direktesending
trăiască	bodd
exprimate	uttrykt
exprimate	uttrykkes
moneda	valuta
moneda	valutaen
moneda	mynt
instalații	installasjoner
romeo	romeo
aruncă	kast
aruncă	sleng
aruncă	slenger
aruncă	kaste
conservare	bevaring
matilda	matilda
recentă	nylig
recentă	nylige
accentul	aksent
trenul	trene
trenul	tog
trenul	tren
philodromus	philodromus
bate	beat
bate	slår
bate	beats
propuse	fridde
propuse	fridd
propuse	foreslått
manuscris	manuskriptet
manuscris	manuskript
tanc	tank
veliko	veliko
zguduit	rystet
zguduit	ristet
zguduit	rystet
zguduit	ristet
bolnav	syke
bolnav	sykt
prix	prix
nguyen	nguyen
