年	ano
月	lua
月	moon
月	meses
月	mês
日	dia
村	vila
村	aldeia
人	man
人	pá
人	cara
人	homem
人	pessoas
人	povo
人	gente
小行星	asteróides
小行星	asteroides
小行星	asteróide
小行星	asteroide
小行星	asteróides
大	big
大	grande
大	grandes
德	tak
重	pesado
重	heavy
重	pesadas
重	pesados
重	pesada
一	um
一	uma
一	one
定向	orientação
定向	direcional
但	mas
也	igualmente
也	também
拉	puxa
拉	puxar
拉	puxe
後	após
後	after
後	depois
留言	recado
留言	mensagem
市	cidade
市	município
市	concelho
克	gramas
新	novo
新	novas
新	novos
新	novidade
新	nova
站	estação
站	stand
州	estaduais
州	state
州	estado
州	estadual
研究	estudo
研究	estuda
研究	estude
研究	estudar
研究	estudos
研究	investigação
研究	pesquisa
研究	pesquisas
日本	japao
日本	japão
三	tres
三	three
三	três
前	antes
家	home
家	casa
家	lar
近	perto
近	próximo
米	rice
米	arroz
米	metros
多	mais
多	more
使用	uso
使用	utilização
使用	utilizar
使用	usar
使用	usando
使用	utilizando
使用	uso
使用	usar
使用	use
使用	utilizar
使用	utilização
使用	utilizada
使用	usada
使用	usado
使用	utilizado
使用	utilizados
使用	usados
基	kei
王	king
王	rei
王	wang
林	lam
林	lin
公司	corporativo
公司	empresarial
公司	corporativa
公司	empresa
公司	company
公司	companhia
公司	companhias
公司	empresas
李	lee
一個	um
一個	uma
一個	one
西	west
西	ocidente
西	oeste
省	província
省	voivodia
度	graus
度	licenciatura
度	grau
度	graus
卡	cartões
卡	cartas
卡	cards
卡	card
卡	cartão
二	duas
二	two
二	dois
小	small
小	pequenos
小	pequeno
小	pequena
小	pequenas
小	pequeno
小	pouco
小	pequena
小	little
小	tiny
小	minúsculo
相似	semelhante
相似	similar
相似	semelhantes
相似	similares
相似	semelhança
相似	semelhança
區	zona
區	zone
區	distrito
區	area
區	área
人口	demografia
人口	demográfica
人口	demográfico
人口	demográficas
人口	demografia
人口	população
四	four
四	quatro
政府	governos
政府	governo
道	dao
將	will
將	vontade
高	alto
高	high
高	altos
高	altas
高	alta
高	alto
高	tall
高	altos
高	altas
高	alta
高	gao
美國	america
美國	américa
集	conjunto
集	definir
集	set
集	definido
集	episódios
集	episódio
台灣	taiwan
台灣	formosa
布	tecido
布	tecidos
布	pano
世界	world
世界	mundo
南	nan
南	sul
南	south
南	nam
路	rodoviário
路	estrada
路	road
五	cinco
五	five
本	ben
金	jin
金	ouro
金	gold
金	dourado
金	kim
曾	zeng
文	wen
林肯	lincoln
人民	pessoas
人民	povo
人民	gente
包括	incluído
包括	incluídas
包括	incluso
包括	incluido
包括	incluídos
包括	inclua
包括	inclui
包括	incluem
包括	incluir
包括	incluindo
包括	inclusive
包括	inclui
峰	pico
峰	peak
峰	picos
峰	cumes
位於	localizada
位於	localizado
位於	localizados
其他	outro
其他	outros
其他	outras
其他	outra
其他	outros
其他	outras
塔	pagode
塔	torre
塔	tower
縣	condado
縣	cantão
縣	canton
第一	primeira
第一	primeiros
第一	primeiramente
第一	primeiro
任	ren
時間	hora
時間	horário
時間	tempo
時間	time
比	rácio
比	proporção
元	meta
元	yuan
元	dólar
元	venceu
元	won
元	ganhou
元	ganhado
中國	porcelana
中國	china
六	seis
六	six
主要	major
主要	principais
主要	main
主要	principal
城	cidade
城	castelo
法	método
中心	centros
中心	centralizar
中心	centrar
中心	centro
中心	center
中心	centrar
中心	centralizar
中心	centro
中心	centre
線	line
線	linha
線	linhas
線	fio
第二	segunda
第二	second
第二	segundo
山	montanha
山	monte
山	mount
山	montar
山	colina
山	hill
山	montanhas
加	adicione
加	adiciona
加	add
加	adicionar
加	plus
太空	espaço
太空	space
張	chang
張	zhang
內	interior
主	senhor
雷	raia
雷	ray
管理	gerência
管理	gestão
管理	gerenciamento
管理	gerir
管理	gerenciamento
管理	gerir
管理	gerenciar
建	construir
建	construa
建	build
建	constrói
建	construída
建	construídos
建	construídas
建	construído
性	sexualidade
性	sexuais
性	sexual
性	sex
性	sexo
成	cantadas
成	cantado
成	sung
成	cantada
代表	representantes
代表	representante
代表	representativo
代表	representativa
代表	delegar
代表	delegada
代表	delegado
那	então
那	depois
公里	quilómetros
公里	quilômetros
公里	quilómetro
公里	kms
公里	quilómetros
公里	quilômetros
海	mar
海	oceanos
海	oceano
這	este
這	esta
這	isso
這	isto
這	essa
這	esse
大學	universidades
大學	university
大學	universidade
大學	faculdade
大學	colégio
大學	college
大學	universidade
版	edição
版	versão
從	do
從	de
從	da
羅	luo
原	originais
原	original
原	hara
工作	emprego
工作	job
工作	trabalho
工作	jó
工作	trabalhos
工作	trabalho
工作	trabalhar
工作	trabalhe
工作	emprego
工作	trabalhos
工作	empregos
工作	trabalhando
工作	trabalhar
工作	funcionando
北	kita
北	norte
北	north
政治	politica
政治	política
政治	politico
政治	político
星	estrela
星	star
星	estrelas
星	estrelas
星	stars
她	ela
她	she
陳	chen
陳	chan
陳	trần
他的	seu
他的	his
他的	sua
面	massa
面	noodles
面	macarrão
面	massas
作品	funciona
作品	obras
作品	trabalhos
作品	works
作品	trabalha
河	rio
文化	cultura
文化	culturas
條目	entradas
條目	inscrições
條目	menções
馬	cavalos
馬	cavalos
馬	cavalo
氏	clã
氏	thi
更	mais
更	more
曼	mann
電影	filme
電影	cinemas
電影	cinema
電影	película
電影	filmes
電影	películas
電影	filme
電影	filmes
電影	cinema
季	temporada
季	época
季	estações
季	temporadas
季	seasons
龍	dragões
龍	dragons
龍	lung
龍	pulmão
龍	pulmões
龍	dragão
龍	dragões
龍	dragon
女	mulher
女	mulher
女	fêmea
女	feminino
正式	formalmente
正式	oficialmente
正式	formais
正式	formal
外	fora
明	ming
美	linda
美	beleza
字	word
字	palavra
字	palavras
因為	porque
因為	pq
北京	beijing
北京	pequim
北京	pequim
不同	diferente
不同	diferentes
足球	soccer
足球	futebol
足球	football
足球	futebol
目前	correntes
目前	atual
目前	atuais
目前	actual
目前	corrente
目前	actualmente
目前	atualmente
所有	todas
所有	tudo
所有	todos
部分	parcial
部分	parciais
部分	parcialmente
中央	centrais
中央	central
森	sen
森	mori
郡	condado
國家	estados
國家	pais
國家	país
國家	estaduais
國家	state
國家	estado
國家	estadual
國家	national
國家	nacionais
國家	nacional
國家	países
球	bola
球	ball
生	raw
生	crua
生	cru
但是	mas
街	rua
街	street
提供	fornecidas
提供	fornecidos
提供	fornecida
提供	fornecido
提供	forneceu
提供	fornecer
提供	forneça
提供	providenciar
提供	proporcionar
城市	cidade
城市	cidades
一些	alguns
一些	algum
一些	algumas
長	longa
長	longos
長	longo
長	comprido
長	long
水	águas
水	agua
水	água
人物	carácter
人物	caractere
人物	personagem
人物	caracter
人物	caráter
軍	exército
軍	tropa
軍	army
加入	participe
加入	aderir
加入	juntar
加入	participar
加入	aderiram
加入	entrou
加入	aderiu
加入	juntou
加入	adesão
英	ying
上海	shanghai
上海	xangai
史	shi
第三	terceira
第三	terço
第三	terceiro
