que	че
per	за
les	лес
els	на
amb	със
com	като
com	like
més	повече
més	още
bar	бар
bar	барът
seu	седалище
seu	щаб
seu	щаба
seu	централа
van	микробус
van	бус
van	van
van	ван
van	вана
era	епоха
era	ерата
era	ера
text	текст
també	също
entre	между
fou	бе
anys	години
anys	годините
any	година
any	годината
població	популация
població	население
però	но
aquest	това
altres	друго
altres	друг
altres	други
altres	другите
altres	други
estat	щат
estat	държава
estat	държавно
després	след
són	са
fins	докато
des	дес
des	des
des	дез
aquesta	това
eren	бяха
estats	държави
estats	щати
persones	народ
persones	хора
persones	хората
from	от
part	част
sobre	плик
gran	страхотно
durant	дюрант
tot	всичко
enllaços	връзки
dos	двама
dos	две
externs	външна
externs	външно
externs	външни
externs	външен
família	семейство
família	семейството
ciutat	град
ciutat	градът
ciutat	сити
ciutat	city
quan	когато
quan	кога
habitatges	къщи
habitatges	къщите
qual	което
qual	която
molt	много
tenia	тения
nord	северно
nord	север
nord	северна
habitants	обитатели
habitants	жители
barcelona	барселона
dones	жени
dones	жените
res	нищо
segons	секунди
primer	първи
primer	първо
segle	век
segle	вековен
segle	века
nom	името
nom	наименование
nom	име
tres	три
tres	трима
sud	южно
sud	южен
sud	юг
sud	южна
lloc	място
nova	ню
nova	ново
nova	нов
nova	нови
nova	нова
nova	nova
nova	нова
homes	мъжете
homes	men
homes	мъже
primera	първи
primera	първо
dues	двама
dues	две
guerra	войната
guerra	война
següent	следващо
següent	следващ
següent	следваща
sense	без
això	това
general	обща
general	общи
general	генерал
municipi	община
catalunya	каталуния
vivien	вивиън
forma	формата
forma	форма
forma	формуляр
forma	форма
mateix	същият
mateix	същата
mateix	същото
fet	готово
fet	направено
fet	сторено
han	хан
encara	още
mort	смърт
mort	смъртта
dades	дейта
dades	данни
només	само
només	единствено
només	просто
només	само
regió	район
regió	регион
regió	област
temps	времето
temps	време
empreses	дружества
empreses	фирми
empreses	компании
troba	открийте
troba	намиране
troba	намерете
troba	намери
troba	намеря
grup	група
grup	групово
grup	групиране
grup	групова
contra	срещу
contra	против
admin	админ
admin	администратор
properes	предстоящите
properes	предстоящи
properes	предстоящо
famílies	фамилии
famílies	семейства
frança	франция
poblacions	популации
fills	децата
fills	деца
rei	крал
rei	кинг
rei	кралят
rei	цар
rei	краля
francès	френско
francès	французи
francès	френска
francès	френски
francès	французин
mentre	докато
nombre	брой
nombre	число
nombre	номер
tots	всички
tots	всичко
edició	редактиране
edició	монтаж
edició	публикуване
edició	издателство
isbn	isbn
renda	наем
renda	наеми
renda	наемът
renda	наема
quatre	четири
quatre	четирима
partit	парти
partit	party
partit	купон
partit	партия
alguns	някои
aquests	тези
fill	синко
fill	сине
fill	син
nou	ню
nou	ново
nou	нов
nou	нови
nou	нова
març	март
setembre	септември
principal	основни
principal	основна
principal	главна
principal	главен
principal	главни
color	цветове
color	цвят
color	цветен
color	цветно
color	цветна
color	цветове
color	цвят
color	цветен
color	цветно
món	свят
món	света
octubre	октомври
empresa	дружество
empresa	компания
empresa	company
empresa	рота
empresa	фирма
abans	преди
edat	възраст
web	web
web	уеб
jpg	jpg
dins	вътрешно
dins	вътре
església	църква
església	чърч
església	църквата
maig	май
terme	терме
casa	house
casa	къща
casa	къщата
casa	хаус
història	приказка
història	история
història	историята
història	история
país	държава
país	страна
segona	второ
segona	втора
segona	втори
joan	джон
joan	йоан
joan	джоан
joan	джоун
final	край
govern	правителство
est	източно
est	изток
vida	живот
vida	живота
vida	life
vida	лайф
vida	животът
poder	мощност
poder	сила
poder	власт
poder	мощ
totes	всички
totes	всичко
situat	разположена
situat	разположен
situat	разположено
gener	януари
tipus	вид
tipus	тип
habitatge	жилища
juny	джун
juny	юни
diferents	различна
diferents	различно
diferents	различни
diferents	различен
parelles	двойките
parelles	двойки
parelles	двойки
parelles	чифта
diversos	няколко
català	каталонски
fitxa	лист
fitxa	листове
fitxa	чаршаф
títol	заглавие
títol	дял
títol	титла
oest	запад
oest	западно
oest	западна
oest	западен
oest	уест
desembre	декември
què	какво
san	сан
nacional	национална
nacional	национални
nacional	национален
nacional	национално
nacional	национал
abril	ейприл
abril	април
major	майорът
major	майор
agost	август
agost	аугуст
vivint	жива
vivint	живите
vivint	живи
poble	село
centre	център
centre	център
perquè	защото
aquestes	тези
riu	ривър
riu	река
riu	реката
disc	диск
disc	диска
mostra	мостра
mostra	проба
mostra	извадка
mostra	покажи
mostra	показване
novembre	ноември
obres	работи
obres	произведения
espanya	испания
sistema	система
sistema	системата
sistema	системни
santa	санта
juliol	юли
diverses	няколко
total	общо
total	общ
total	обща
universitat	университет
universitat	university
universitat	университета
dia	денят
dia	ден
mitjà	средна
mitjà	среден
mitjà	средни
mitjà	средно
data	среща
data	дата
world	свят
world	света
departament	отдел
departament	департамент
construcció	изграждане
construcció	строеж
construcció	конструкция
construcció	строителство
vol	полета
vol	полет
premi	награда
premi	възлагане
premi	награда
exemple	примерна
exemple	пример
febrer	февруари
escola	училището
escola	школа
escola	училище
cinc	пет
espècie	видове
espècie	вид
principals	основни
principals	основна
principals	главна
principals	главен
principals	главни
madrid	мадрид
font	източник
zona	зона
los	лос
grans	голямо
