substrat	substraatti
prix	prix
holandès	hollannin
holandès	hollantilainen
holandès	alankomaiden
holandès	hollanti
estrenat	julkaistu
estrenat	vapautuu
estrenat	luovutettu
estrenat	vapautettu
ibèric	iberian
harris	harris
harris	harrisin
mortal	tappava
mortal	kuolettava
mortal	tappavaa
mortal	kuolevainen
servit	palveli
servit	palvellut
elionor	eleanor
chen	chen
trans	trans
anunci	ilmoitus
exposat	alttiina
exposat	altistuvat
exposat	altistunut
dilluns	maanantaina
dilluns	maanantai
editada	muokattu
examen	koe
rudolf	rudolf
mèdici	medici
viscut	asunut
viscut	asui
viscut	elänyt
cama	jalkaa
cama	jalka
paquet	paketti
paquet	pakkaus
paquet	paketin
sergi	sergi
transforma	muunnos
morfologia	morfologia
bru	bru
tierra	tierra
autopista	valtatie
autopista	maantie
autopista	highway
autopista	moottoritie
rebuda	vastaanotettu
rebuda	saadut
rebuda	saanut
rebuda	saatu
huracà	pyörremyrsky
huracà	hurrikaani
margaret	margaret
desastre	tuho
desastre	katastrofi
desastre	onnettomuus
desastre	katastrofin
protector	suojelija
defensiva	puolustus
entrat	syötetty
conscient	tietoinen
conscient	tajuissaan
capitals	pääkaupungeissa
sensible	herkkää
sensible	herkät
sensible	herkkä
criminal	rikolliset
criminal	rikollista
criminal	rikollinen
warner	warner
humits	kosteaa
humits	kostea
bank	pankkiin
bank	pankki
bank	pankin
essència	olemus
vectors	vektorit
bit	puri
gustav	gustav
decorats	sisustettu
fans	faneja
fans	fanien
fans	fanit
fans	faneille
domina	hallitsee
julien	julien
josef	josef
bas	bas
esclau	orja
esclau	orjan
tebes	theba
ajudat	auttoi
ajudat	auttoivat
ajudat	auttanut
setena	seitsemäs
schmidt	schmidt
condemna	tuomitseminen
adjacents	vierekkäisten
adjacents	vieressä
construeix	muodosta
construeix	rakentaa
bany	kylpyhuone
bany	vessa
estimació	arvio
estimació	arvioi
estimació	arvion
estimació	arvio
barba	parta
barba	partaa
barba	parran
exportació	vienti
exportació	viennin
exportació	vie
exportació	vientiä
suports	rekvisiittaa
notre	notre
anatomia	anatomian
codificació	koodaus
codificació	koodaus
francesca	francesca
jurament	valan
jurament	vala
venjança	koston
venjança	kosto
venjança	kostoa
venjança	kostaa
venjança	koston
venjança	kosto
mercenaris	palkkasotureita
alep	aleppo
medicaments	lääkkeiden
medicaments	lääkkeet
medicaments	lääkkeitä
habitacions	huoneita
habitacions	huoneet
habitacions	huonetta
habitacions	eläkkeet
tija	kantasolujen
exclusiva	yksinomainen
exclusiva	yksinoikeudella
exclusiva	yksinoikeus
integrant	integrointi
contractat	palkattu
sumatra	sumatran
scala	scala
veïnat	naapurusto
registrat	rekisteröity
registrat	kirjattu
registrat	rekisteröityä
registrat	rekisteröidyt
relatiu	suhteellista
relatiu	suhteellisesti
relatiu	suhteellinen
relatiu	sukulainen
next	seuraava
next	seuraavaksi
proporcional	suhteellisesti
proporcional	suhteellinen
proporcional	suhteutettu
pisa	pisa
dependent	riippuvaisia
dependent	riippuvainen
esperant	odottaen
esperant	odottaa
esperant	odottaminen
esperant	odotetaan
esperant	odottamassa
concentrar	keskity
concentrar	keskittyä
cine	cine
gonzalo	gonzalo
característics	ominaisuus
incendis	tulipaloja
incendis	tulipalot
sony	sony
kurt	kurt
ibm	ibm
suggerir	ehdottaa
suggerir	ehdota
sou	palkan
sou	palkat
sou	palkka
focs	ilotulitus
dividits	jaettuna
dividits	jaettu
preservació	säilytys
preservació	säilyminen
preservació	säilyttäminen
thompson	thompson
thompson	thompsonin
oportunitats	mahdollisuuksia
oportunitats	mahdollisuuksien
oportunitats	mahdollisuudet
oportunitats	tilaisuudet
cook	cook
cook	kokki
eugeni	eugene
assistents	osallistujia
assistents	osallistujat
assistents	avustajat
assistents	avustajia
targetes	cards
targetes	kortit
targetes	kortteja
targetes	korttia
latitud	leveys
latitud	leveysaste
latitud	leveyttä
motocròs	motocross
concentracions	pitoisuudet
caçadors	metsästäjiä
caçadors	metsästäjät
catherine	catherine
catherine	katariina
reglament	asetus
reglament	sääntely
residir	oleskella
beguda	juoma
beguda	juoma
beguda	juo
beguda	juoda
bicicleta	polkupyörä
bicicleta	polkupyörän
duració	voimassaoloaika
duració	kesto
consolidació	vakauttaminen
determinació	määritys
determinació	päättäväisyyttä
determinació	määrittäminen
determinació	päättäväinen
elevades	kohonneet
elevades	korotettu
elevades	koholla
elevades	kohonnut
pep	pep
combinat	yhdistetyn
combinat	yhdistetty
combinat	yhdistetyt
facció	ryhmittymä
école	école
carlota	charlotte
carlota	lotta
estels	tähdet
estels	tähtien
estels	tähtiä
estels	tähteä
esclavitud	orjuus
esclavitud	orjuuden
àtom	atomi
segòvia	segovia
ortega	ortega
ramírez	ramirez
dinosaures	dinosaurukset
dinosaures	dinosauruksia
immediata	välitön
immediata	välittömät
envolten	ympäröi
esquadra	joukkue
esquadra	ryhmä
levi	levi
dead	kuolleet
dead	kuollut
brut	brutus
lang	lang
clans	klaanit
tubs	putket
celebracions	juhlinta
celebracions	vietto
accidents	onnettomuudet
accidents	onnettomuuksia
accidents	onnettomuuksien
accidents	onnettomuuksista
entrant	startti
lloyd	lloyd
fix	korjattu
fix	kiinteät
fix	kiinteän
fix	kiinteä
privilegi	etuoikeus
càlculs	laskelmat
càlculs	laskelmia
acompanyament	kämppä
montenegro	montenegro
montenegro	montenegron
descàrrega	lataus
descàrrega	ladata
descàrrega	lataa
realista	realistisia
realista	realistinen
realista	realistista
ras	ras
angel	angel
angel	enkeli
handbol	käsipallo
mercedes	mercedes
bizanci	bysantin
hondures	honduras
malawi	malawin
primari	ensisijainen
mobilitat	liikkuvuutta
mobilitat	liikkuminen
mobilitat	liikkuvuus
crustacis	äyriäiset
racó	kulmassa
racó	kulman
racó	kulma
canet	canet
troia	troy
troia	troijan
erupció	purkaus
gats	kissoja
gats	kissat
homer	homer
perpendicular	kohtisuorassa
costaneres	rannikon
costaneres	rannikko
poderosa	voimakasta
poderosa	voimakkaita
poderosa	voimakas
sàhara	saharan
promotor	promoottori
tabac	tupakka
tabac	tupakan
tabac	tupakkaa
metropolitan	metropolitan
pics	luodit
pics	luoteja
pics	huiput
pronunciat	lausutaan
fiable	luotettavaa
fiable	luotettava
montpeller	montpellier
assassí	murhaaja
assassí	tappaja
precipitacions	sademäärä
eficiència	tehokkuutta
eficiència	tehokkuus
eficiència	tehokkuuden
sencera	koko
sencera	kokonaisena
sencera	kokonainen
sencera	kokonaiset
entesa	ymmärtää
entesa	yhteisymmärrys
entesa	ymmärtäminen
entesa	ymmärrys
entesa	ymmärtäväinen
entesa	ymmärrystä
stanford	stanford
info	info
info	tiedot
info	tietoja
virgili	virgil
classic	klassinen
classic	classic
classic	klassista
classic	klassikko
cràter	kraatteri
esquadró	laivue
suprema	korkein
franquícia	franchising
declaracions	lausunnot
declaracions	lausumat
declaracions	lausuntoja
declaracions	väitteet
mecànic	mekaanikko
mecànic	mekaanisen
mecànic	mekaaninen
mecànic	mekaaniset
explorar	tutkia
explorar	tutustu
explorar	tutki
hereva	perijätär
wei	wei
diferencial	erotus
martell	martell
esplendor	loisto
baker	baker
baker	bakerin
turistes	matkailijat
turistes	turisteja
turistes	turistit
calcària	kalkkikiveä
leiden	leidenin
limitacions	rajoitukset
limitacions	rajoitteet
limitacions	rajoituksia
consola	konsoli
partició	osio
partició	osion
postura	ryhti
tribunals	tuomioistuinten
tribunals	tuomioistuimet
cortés	cortés
descomposició	hajoaminen
significativament	merkittävästi
significativament	merkitsevästi
significativament	huomattavasti
conreus	viljelykasvien
respostes	vastausten
respostes	vastauksia
respostes	vastaukset
respostes	vastauksia
respostes	vastaukset
respostes	vastauksia
respostes	vastaukset
conservadors	konservatiivien
conservadors	konservatiivit
candidatures	ehdokkaat
candidatures	nimitykset
mariners	merimiehet
horari	aikataulut
horari	aikataulun
horari	aikataulu
horari	ajasta
annexió	liittäminen
kurdistan	kurdistanin
devoció	omistautumista
kent	kentin
kent	kent
portals	portaaleja
portals	portteja
melodies	melodioita
mixta	sekoitettuna
mixta	sekoitettu
mosaic	mosaiikki
proa	keula
proa	kumartaa
proa	jousi
sostenir	ylläpitää
desenes	kymmeniä
desenes	kymmenet
agnès	agnes
evans	evans
utrecht	utrecht
infeccions	infektiot
infeccions	infektioita
explotar	räjähtää
lliurement	vapaasti
olivier	olivier
successives	peräkkäisten
slam	slam
graham	grahamin
graham	graham
prosperitat	vauraus
prosperitat	hyvinvointia
prosperitat	vaurautta
prosperitat	hyvinvointi
savi	viisaat
savi	viisaita
savi	viisas
savi	viisasta
andes	andien
gutiérrez	gutiérrez
gutiérrez	gutierrez
belgrad	belgradin
ingredients	ainesosat
ingredients	aineet
ingredients	ainekset
advocats	asianajajat
advocats	lakimiehet
advocats	asianajajia
sorgit	ilmestynyt
mills	tehtaat
mills	mills
fuga	fuuga
fuga	pakene
fuga	pako
fuga	paeta
rom	rom
rom	rommia
louise	louise
hospitals	sairaaloissa
hospitals	sairaalat
hospitals	sairaaloita
obligació	velvoite
obligació	velvollisuus
esteban	esteban
trastorn	häiriö
sara	saralla
sara	sara
sara	saran
panzer	panzer
imam	imaami
oslo	oslo
oslo	oslon
prevenció	ennaltaehkäisy
prevenció	ehkäisy
prevenció	ehkäiseminen
mussolini	mussolini
bombarders	pommikoneet
comparar	vertaa
comparar	vertailla
comparar	verrata
vespre	iltaa
vespre	ilta
morales	morales
jeff	jeffin
jeff	jeff
descans	riko
descans	rikkoa
descans	tauko
descans	lepo
