dahlgren	ダールグレン
bark	バーク
bark	樹皮
concepción	コンセプシオン
strålning	放射線
strålning	放射
violinist	ヴァイオリン
atlético	アトレティコ
atlético	アトレチコ
dialekt	方言
dialekt	アクセント
bundesliga	ブンデスリーガ
suppleant	交互
tredjedel	番目
tredjedel	サード
teresa	テレサ
ness	ネス
url	url
distribution	分布
distribution	流通
distribution	配当
kräva	require
kräva	需要
kräva	催告
parentes	括弧
parentes	括弧
parentes	括弧
parentes	かっこ
dynamo	ダイナモ
lucy	ルーシー
fyr	灯台
pierce	ピアス
pierce	ピアース
socker	砂糖
tillverkat	made
tillverkat	製造
getingar	ハチ
syntes	合成
richter	リヒター
beat	beat
beat	ビート
alexis	アレクシス
nisse	エルフ
ändring	チェンジ
ändring	変更
ändring	変化
arbetsgivare	事業主
juryn	陪審制
juryn	陪審員
oavgjort	引き分け
oavgjort	ネクタイ
slavar	奴隷
angela	アンジェラ
produkten	製品
produkten	プロダクト
katt	キャッツ
katt	ネコ
katt	ネコ
katt	ねこ
representation	表現
lärt	学習
organismer	生物
ersätter	置換
ersätter	差し替え
fenomenet	現象
ändrat	変更された
skribent	作家
skribent	ライター
karibiska	カリブ
cheng	チェン
martha	マーサ
lägenhet	フラット
lägenhet	アパート
lägenhet	アパート
fond	ファンド
iriska	アイリッシュ
fjorton	fourteen
kapital	資本
kapital	首都
kapital	キャピタル
école	エコール
öknar	砂漠
sally	サリー
årlig	年次
ockupationen	占領
ockupationen	職業
strikt	厳重
intäkter	収益
intäkter	収入
intäkter	歳入
intäkter	収益
intäkter	収入
intäkter	所得
intäkter	収益
intäkter	歳入
intäkter	代価
databas	データベース
guvernören	知事
avancerad	上級
sikt	視界
underjordiska	地下
underjordiska	地下鉄
ost	チーズ
ost	チーズ
medina	マディーナ
uttal	発音
uttal	アクセント
mohammed	モハメッド
dominica	ドミニカ
variationer	バリエーション
variationer	変奏曲
kaga	加賀
krets	サーキット
krets	回路
afc	afc
mjuka	やわらかい
mjuka	柔らかい
mjuka	ソフト
patienten	患者
hushåll	世帯
hushåll	世帯
verklighet	リアリティ
verklighet	現実
juventus	ユヴェントス
doctor	医師
doctor	ドクター
doctor	先生
doctor	医者
ask	ask
ask	尋ねる
vagn	ワゴン
vagn	カート
vagn	荷車
rich	金持ち
rich	リッチ
indirekt	間接
framträdanden	出演
magnolia	マグノリア
stack	スタック
elliot	エリオット
suzanne	スザンヌ
floyd	フロイド
furste	プリンス
effektiv	効率
effektiv	実効
filippo	フィリッポ
varelser	生き物
abba	アバ
carlson	カールソン
starkaste	最強
identifiera	同定
identifiera	識別
identifiera	識別
identifiera	識別
varumärket	ブランド
varumärket	銘柄
varumärket	商標
gay	ゲイ
ibk	ibk
frida	フリーダ
cell	セル
upprätthålla	サステイン
ansluta	接続
ansluta	コネクト
ansluta	接続
intervjuer	インタビュー
trädet	ツリー
guadalajara	グアダラハラ
klicka	クリック
boxare	ファイターズ
boxare	ボクサー
sunshine	サンシャイン
sunshine	日光
sunshine	日差し
auckland	オークランド
klassiker	古典
klassiker	クラシック
klassiker	古典
klassiker	classic
dagliga	デイリー
give	与える
give	give
schlesien	シレジア
web	web
web	ウェブ
omgivning	環境
omgivning	周辺
policy	ポリシー
policy	政策
policy	方針
schröder	シュレーダー
stalin	スターリン
maxwell	マックスウェル
maxwell	マクスウェル
zelotes	zelotes
trinity	三位一体
röstar	投票
snitt	切開
efterfrågan	需要
efterfrågan	催告
uppföljaren	続編
testa	テスト
testa	try
testa	試す
testa	トライ
testa	テスト
kök	台所
kök	キッチン
kök	台所
överenskommelse	協定
överenskommelse	合意
övervägande	対価
grenada	グレナダ
rädd	怖がる
rädd	怖い
pauli	パウリ
sexuell	性的
mother	おかあさん
mother	母親
admin	管理者
admin	管理人
irene	イレーネ
irene	アイリーン
ordnade	編曲
falska	false
falska	虚偽
falska	フェイク
ideologi	イデオロギー
sophia	ソフィア
uttalade	発音
blair	ブレア
felaktiga	不正確
ulrich	ウルリッヒ
bakåt	後方
bakåt	戻る
bakåt	後ろ
bakåt	背中
bakåt	裏側
bakåt	後ろ向き
essen	エッセン
nån	誰か
control	コントロール
poster	アイテム
poster	品物
poster	エントリー
poster	項目
poster	エントリ
rachel	レイチェル
rygg	戻る
rygg	後ろ
rygg	背中
rygg	裏側
klubbarna	クラブ
utrikes	外国
mellanrum	間隔
mellanrum	ギャップ
mellanrum	gap
mellanrum	隙間
mellanrum	ギャップ
månaders	ヶ月
månaders	months
tät	濃密
västindien	カリブ
crown	クラウン
jilin	吉林省
lübeck	リューベック
extrema	エクストリーム
stavning	つづり
stavning	スペル
stavning	スペリング
samlat	蓄積
publikationer	出版物
faktor	ファクター
faktor	因子
faktor	係数
hemlig	秘密
uppsatser	随筆
uppsatser	エッセイ
uppsatser	エセー
utseendet	出演
utseendet	外観
standarden	基準
standarden	スタンダード
standarden	標準
pier	桟橋
tomten	サンタ
planerar	計画
planerar	企画
planerar	プランニング
planerar	計画
planerar	プラン
planerar	計画
planerar	プラン
återstående	剰余
återstående	残り
återstående	残額
kaffe	コーヒー
kanon	大砲
expert	エキスパート
bars	バー
wing	ウイング
utsatt	露出
äga	own
frisk	ヘルシー
frisk	健康
frisk	sane
flickvän	ガールフレンド
lysande	ブリリアント
lysande	発光
trädgårdar	庭園
monark	君主
monark	モナーク
programvara	ソフトウエア
programvara	ソフトウェア
ateljé	スタジオ
sittplatser	座席
konferens	カンファレンス
konferens	会議
comeback	カムバック
loss	ゆるい
loss	ルース
alive	アライブ
erövra	征服
gäng	ギャング
gäng	ギャング
orkestern	オーケストラ
glädje	喜び
glädje	joy
glädje	ジョイ
glädje	喜び
parma	パルマ
avslutat	終了
jin	jin
jin	ジン
välkommen	ようこそ
välkommen	歓迎
tågen	電車
tågen	列車
sundet	海峡
sundet	海峡
synd	哀れみ
synd	シン
synd	sin
gaborone	ハボローネ
cohen	コーヘン
cohen	コーエン
dietrich	ディートリヒ
else	else
verkan	エフェクト
verkan	効果
förbjudet	禁止
uggla	フクロウ
