сопот	sopot
пацифик	แปซิฟิก
пацифик	แปซิฟิค
топол	อบอุ่น
топол	อุ่น
цртани	การ์ตูน
грабеж	ปล้น
врзан	ผูกพัน
врзан	มัด
слонови	ช้าง
субјектот	หัวข้อ
оток	บวม
мистерија	ลึกลับ
мистерија	ปริศนา
мистерија	ลี้ลับ
стап	เฆี่ยน
стап	ติด
австралиска	ออสเตรเลีย
пик	รูป
редица	แถว
едуардо	eduardo
капитализам	ทุนนิยม
жалба	อุทธรณ์
жалба	แย้ง
абортус	แท้ง
абортус	ทำแท้ง
абортус	แท้ง
абортус	ทำแท้ง
хроника	chronicle
џоан	โจน
вкусови	รส
вкусови	รสชาติ
вкусови	รสนิยม
вкусови	รสชาติ
секвенца	ลำดับ
секвенца	อนุกรม
водици	นิมิต
потпишана	เซ็น
инвестирање	ลงทุน
инвестирање	ลงทุน
преведе	แปล
гостински	แขก
спилберг	spielberg
модем	โมเด็ม
обвинител	โจทก์
обвинител	อัยการ
разговараат	อภิปราย
мадам	มาดาม
мадам	คุณนาย
мадам	มาดาม
речници	พจนานุกรม
уставни	รัฐธรรมนูญ
панда	แพนด้า
девојчиња	สาว
девојчиња	สาวๆ
тинејџер	teen
тинејџер	ทีน
мајлс	ไมลส์
мајлс	ไมล์
моментална	ปัจจุบัน
био	ประวัติ
гласале	โหวต
бој	บอย
модерно	แฟชั่น
павилјон	ศาลา
среќни	สุขใจ
среќни	ดีใจ
среќни	แฮปปี้
намалени	ลด
пофали	แซ่
фунта	ปอนด์
авенир	avenir
бетон	คอนกรีต
атлантик	แอตแลนติก
тен	ตาล
сметките	บัญชี
чамци	เรือ
напредна	ก้าวหน้า
напредна	ก้าวหน้า
плутарх	plutarch
задоволни	พอใจ
интернационална	international
интернационална	นานาชาติ
интернационална	สากล
иванович	ivanovich
грев	บาป
железото	เหล็ก
железото	เตารีด
твитер	twitter
планирани	วางแผน
рамно	แบน
рамно	แฟลต
придобивките	ประโยชน์
вук	vuk
полесен	ไฟแช็ก
кокаин	โค้ก
кокаин	โคเคน
кокаин	โคเคน
воини	warriors
воини	นักรบ
потенцијали	ศักยภาพ
зафатен	ยุ่งๆ
зафатен	ยุ่ง
чен	เฉิน
чен	จัน
чен	ชาน
фрли	วาง
фрли	หย่อน
фрли	หยด
фрли	ดรอป
фрли	ขว้าง
фрли	โยน
отказ	เลิก
орда	กองพล
орда	พวง
расправија	ทะเลาะ
течно	คล่อง
жозе	jose
