yang	јанг
dan	дан
dengan	со
the	на
untuk	за
terletak	лоцирано
terletak	сместена
terletak	лежи
terletak	лаги
terletak	лагите
terletak	лаже
indonesia	индонезиски
indonesia	индонезија
dari	oд
dari	од
daerah	реон
daerah	округ
tahun	години
tahun	година
tahun	year
adalah	се
adalah	are
telah	има
wilayah	покраина
wilayah	провинција
wilayah	покраината
wilayah	регион
wilayah	територии
wilayah	територија
lihat	види
lihat	гледаш
lihat	видете
kawasan	област
kawasan	подрачје
kawasan	регион
kawasan	региони
luar	надвор
sekolah	школи
sekolah	училишта
sekolah	училиште
sekolah	школа
tidak	не
komun	комуна
komun	заедници
bahasa	јазици
bahasa	јазик
orang	особа
orang	личност
orang	народ
orang	луѓе
pautan	врска
pautan	врските
pautan	линковите
pautan	врски
pautan	линкови
malaysia	малезија
daripada	oд
daripada	од
daripada	одошто
daripada	отколку
daripada	одколку
kampung	село
kampung	селски
jabatan	оддел
satu	една
satu	едната
satu	еден
satu	едно
negara	земја
negara	држава
negara	кантри
negara	состојба
negara	држава
negara	земји
negara	држави
mereka	ги
mereka	нив
mereka	тие
mereka	они
kebangsaan	националност
kebangsaan	национални
kebangsaan	национална
kebangsaan	национален
kebangsaan	национално
bandar	град
bandar	градче
bandar	град
bandar	градско
bandar	градот
bandar	градски
bandar	градови
bandar	бандар
imperial	кралско
lelaki	маж
lelaki	чоек
lelaki	човек
lelaki	мен
lelaki	човекот
negeri	состојба
negeri	држава
menjadi	битие
barat	запад
barat	западно
barat	вест
barat	вестерн
barat	западни
barat	западна
lain	macedonian
lain	други
lain	друѓи
lain	други
lebih	уште
lebih	повеќе
etnik	етничка
etnik	етнички
etnik	етничко
mempunyai	има
perancis	французи
perancis	француски
perancis	франс
perancis	франција
akan	ке
akan	вил
akan	ќе
nama	име
nama	имиња
perbandaran	квартовите
perbandaran	општина
perbandaran	општинско
perbandaran	општински
boleh	може
boleh	можи
boleh	можат
filem	филмови
filem	филм
filem	филмски
filem	филмска
filem	филм
filem	филмови
filem	кино
timur	исток
timur	тимур
timur	источна
timur	источни
timur	источно
timur	источен
digunakan	искористен
digunakan	користени
digunakan	користена
digunakan	искористена
digunakan	користен
dua	dua
dua	два
dua	двајца
dua	две
pertama	прв
pertama	први
pertama	прво
pertama	прва
perempuan	жената
perempuan	жено
perempuan	жена
perempuan	женките
perempuan	жени
perempuan	женски
perempuan	жените
india	индијанец
india	индиски
india	индиска
india	индиец
india	индија
senarai	листа
senarai	список
dia	dia
presiden	претседател
terbang	мува
terbang	летај
terbang	летаат
terbang	лета
terbang	летање
terbang	летаа
terbang	одлета
terbang	прелета
dunia	ворлд
dunia	world
dunia	свет
dunia	светот
dunia	свету
kerana	бидејќи
bahawa	тоа
bahawa	дека
laut	море
selepas	откако
selepas	по
selepas	после
selatan	јужен
selatan	јужна
selatan	јужни
selatan	југ
selatan	јужно
selatan	јужна
stadium	стадиони
stadium	стадион
tempat	место
tempat	места
besar	голем
besar	голема
besar	големи
besar	големо
besar	голем
besar	голема
besar	големи
tetapi	но
tetapi	ама
antara	помеѓу
antara	помегу
antara	измеѓу
