और	ve
से	from
है	mrb
एक	biri
एक	bir
श्रेणी	kategori
श्रेणी	kategorisi
श्रेणी	serisi
श्रेणी	dizi
श्रेणी	seri
श्रेणी	kategorileri
भी	bile
भी	hatta
भी	ayrica
भी	ayrıca
यह	bu
यह	bunu
किया	bitti
किया	yapıldı
इस	bu
इस	bunu
कि	bu
कि	bunu
भारत	hindistan
भारत	hint
जो	joe
जो	kimler
जो	who
जो	kim
ही	hee
रूप	formu
रूप	biçim
रूप	form
रूप	görünüşü
रूप	görünümü
रूप	görünüş
रूप	görünüm
कर	vergiler
कर	vergiden
कर	vergi
कर	vergisi
कर	vergiler
कर	vergileri
कर	vergi
नहीं	olmaz
नहीं	değil
नहीं	yok
साथ	with
साथ	ile
साथ	beraber
साथ	beraberce
साथ	birlikte
पूर्व	doğuya
पूर्व	doğu
पूर्व	doğuda
बाद	sonradan
बाद	sonra
बाद	sonrası
बाद	ardından
बाद	sonrasında
बाद	sonra
तक	tak
अपने	kendi
अपने	sizin
अपने	senin
जिले	ilçeleri
जिले	bölgeler
था	vardı
राज्य	devletler
राज्य	eyaletler
राज्य	state
राज्य	eyalet
राज्य	devlet
बाहरी	dış
बाहरी	harici
कुछ	bazı
कुछ	bazıları
कुछ	bazılarını
कुछ	kimisi
कुछ	birşeyler
कुछ	birşey
ईसा	isa
गाँव	köyü
गाँव	köy
सरकार	sürüngenler
सरकार	devlet
सरकार	hükümet
कड़ियाँ	zincirler
कड़ियाँ	zincirleri
कड़ियाँ	zincir
कड़ियाँ	bağlantılar
कड़ियाँ	bağlar
कड़ियाँ	bağlantıları
प्रदेश	bölge
प्रदेश	bölgede
प्रदेश	bölgesi
दिया	verildi
दिया	verilmiş
दिया	verilen
दिया	vermiş
दिया	verdi
अन्य	diğer
अन्य	diğeri
अन्य	öteki
अन्य	diger
अन्य	diger
अन्य	diğerleri
अन्य	diğerlerini
अन्य	başkaları
जा	jaa
वर्ष	yıllarca
वर्ष	yıllardır
वर्ष	yıllar
वर्ष	yılların
वर्ष	seneler
वर्ष	yıl
वर्ष	yılı
वर्ष	sene
समय	zamanlaması
समय	zamanlama
समय	zaman
समय	vakit
समय	süre
समय	time
नाम	adınız
नाम	isim
नाम	ad
नाम	adın
नाम	adı
वे	onlar
प्रकार	kibar
प्रकार	nazik
प्रकार	tipi
प्रकार	tip
प्रकार	türü
प्रकार	tür
प्रकार	type
प्रकार	çeşitleri
प्रकार	türler
प्रकार	tipler
प्रकार	türleri
भारतीय	yerli
भारतीय	kızılderili
भारतीय	hintli
भारतीय	hint
किसी	biri
किसी	birini
किसी	birisi
किसी	birileri
क्षेत्र	bölge
क्षेत्र	alanı
