biografiske	biografiniai
koalisjonen	koalicijos
koalisjonen	koalicija
botanisk	botanikos
bacon	kumpis
graves	duobes
vinci	vinci
forbudte	draudžiama
forbudte	uždraustos
bestemor	močiute
bestemor	močiutė
bestemor	senelė
bestemor	močiutės
bestemor	močiute
bestemor	močiutė
bestemor	kopenhagoje
bestemor	močiute
bestemor	močiutė
bestemor	treniruotė
ungdommen	jaunimo
ungdommen	jaunimas
waffen	waffen
vulkan	ugnikalnio
lives	gyvena
avslutter	apdaila
avslutter	apdailos
augsburg	augsburg
florence	florencijos
elskerinne	meilužė
defense	gynyba
defense	gynybos
leverandør	tiekėjas
kay	kay
voldelig	smurtinių
delaware	delavero
skildring	apibūdinimas
ride	ri
høyskoler	kolegijose
severdigheter	taikikliai
lacroix	lacroix
eksperimentell	eksperimentinių
qin	čin
evige	amžina
substantiv	daiktavardis
smeltet	skystą
hastings	hastings
retorikk	retorika
serveres	tarnavo
serveres	vykdė
frimerker	antspaudus
elena	elena
itunes	itunes
joy	džiaugsmas
joy	džiaugsmo
eiendeler	turtas
lita	lita
hvete	kviečiai
hvete	kviečių
innvendinger	protestas
innvendinger	prieštaravimo
innvendinger	prieštaravimas
innvendinger	prieštaravimai
innvendinger	protestai
innvendinger	prieštaravimų
tjenestemenn	pareigūnai
tjenestemenn	pareigūnams
mathilde	mathilde
honda	honda
mygg	uodų
poster	postų
poster	pareigybės
poster	įrašai
ballade	baladė
lev	gyva
lev	live
lev	gyvi
lev	gyventi
lev	gyvos
lev	levas
observere	stebėti
jøde	žydas
abdullah	abdullah
hybrid	hibridinių
videoer	vaizdai
videoer	videos
gymnasium	gimnazija
klassikere	klasika
bonnie	boni
fulham	fulham
oppfordrer	skatina
sirius	sirius
middag	vakarienė
mentor	apmokymą
bevæpnet	ginkluotas
bevæpnet	ginkluoti
siegfried	siegfried
ila	ila
abort	abortą
insisterte	reikalavo
explorer	explorer
enwiki	enwiki
gösta	gösta
publisering	publikuoti
publisering	paskelbia
publisering	leidyba
publisering	leidybos
letter	pakelia
jakub	jakub
strek	linija
gansu	gansu
villiers	villiers
brennende	deginimas
brennende	deginti
brennende	degimo
fiskeri	žuvininkystė
gen	genų
gen	genas
émile	émile
winnipeg	vinipegas
blander	maišymo
aik	aik
ånder	spiritas
adm	adm
janet	sudomino
hertuginne	hercogienė
flyvninger	skrydžiai
jena	jena
beethoven	bethoveno
dekorasjoner	dekoracijos
britton	britton
diktatur	diktatūra
diktatur	diktatūros
bemannet	pilotuojami
sally	salis
sally	sale
worcester	vorčesterio
uran	uranas
uran	urano
genesis	genesis
michele	michele
diktere	poetai
diktere	diktuoti
grunnstoff	elementas
skikker	muitinė
skikker	muitinės
cry	verkti
codex	codex
rufus	rufas
atskilt	atskirtas
atskilt	atskirta
silent	tyli
elg	elk
vale	vale
revolusjonær	revoliucinė
velstand	klestėjimas
velstand	gerovės
velstand	gerovė
watanabe	watanabe
mare	mare
sympati	užuojautą
uønsket	nepageidaujamos
uønsket	nepageidaujamas
altertavle	altorius
drakt	kostiumas
diplomati	diplomatijos
diplomati	diplomatija
oppdagelse	atradimas
kafé	cafe
kafé	kavinė
busk	bušas
livsstil	gyvensenos
satire	satyra
cerro	cerro
newfoundland	niufaundlando
marathon	maratonas
hjemby	šeimininkus
manuell	rankinis
fear	baimė
fear	baime
fear	baimės
reid	reid
rivaliserende	konkurentas
jurisdiksjon	jurisdikcijos
jurisdiksjon	jurisdikcija
universidad	universidad
poengsum	balu
edmonton	edmonton
champion	čempionas
skytevåpen	ginklus
skytevåpen	ginklų
skytevåpen	ginklai
skytevåpen	šaunamojo
kjever	kojeles
zone	zona
harbour	uosto
harbour	harbour
smør	sviesto
smør	sviestas
pirater	originalas
schellenberg	schellenberg
lionel	lionel
feber	karščiavimas
realisert	realizuotas
luna	luna
skipper	kapitonas
kommentator	komentatorius
blankt	tuščia
blankt	tuščias
frédéric	frédéric
memphis	memfio
reich	reicho
rod	rodai
arktis	arkties
regulere	reguliuoti
mongolene	mongolai
holly	hole
tolkien	tolkien
flash	flash
darren	darren
lær	oda
lær	odos
lær	mokytis
sergio	sergio
atelier	studijoje
atelier	studija
atelier	studio
atelier	studijos
joey	džo
stevne	siu
transportert	vežami
transportert	gabenama
forbruk	suvartojimas
forbruk	sunaudojimas
gutenberg	gutenbergo
jelena	elena
jelena	jelena
voldemort	voldemortas
casino	kazino
chamberlain	chamberlain
punjab	pendžabo
kompromiss	kompromisas
taktisk	taktinis
perfect	tobulos
perfect	tobulas
perfect	tobula
borussia	borussia
flink	gerai
flink	geras
flink	puikiai
flink	gera
tribute	duoklę
myk	minkštas
myk	minkšta
kidnappet	pagrobė
maksimum	didžiausias
alien	ateivių
bertrand	bertrand
hur	hur
morton	morton
katherine	katerina
lastebiler	sunkvežimiai
lastebiler	sunkvežimių
reservert	rezervuota
aggressiv	agresyvus
adeccoligaen	adeccoligaen
pont	pont
jevgenij	jevgenijus
metallica	metallica
konkurrent	konkurentai
konkurrent	konkurentas
middlesbrough	midlsbro
streik	streikas
batteriet	baterija
batteriet	akumuliatorius
batteriet	baterijos
kraatz	kraatz
leiesoldater	samdiniai
griffin	grifinas
gjestene	svečiai
generator	generatorių
generator	generatorius
pia	pia
omega	omega
mattias	mattias
bønner	pupos
bønner	pupelių
bønner	pupelės
bønner	maldos
bønner	maldas
griffith	griffith
klekkes	liukas
sosialisme	socializmas
frigjøring	išlaisvinimo
håndtering	tvarkymo
pasient	pacientas
kanalene	kanalais
kanalene	kanalai
webster	webster
wolff	wolff
salem	salem
funksjonærer	pareigūnai
funksjonærer	pareigūnams
luftfart	aviacijos
luftfart	aviacija
blanc	blanc
laurence	laurence
asteroide	asteroidas
tegningene	graviūros
tegningene	piešiniai
tegningene	brėžiniai
dyrking	auginti
dyrking	auginimas
vandring	žygis
vandring	vaikšto
phantom	phantom
tiltrukket	traukia
léon	léon
bone	kaulų
bone	kaulas
bone	kaulai
departementer	departamentai
berre	tik
berre	tik
berre	tiesiog
defensiv	gynybą
domingo	domingo
forstyrret	sutrikęs
hardcore	griežti
satellitter	palydovai
toledo	toledo
oppdatere	atnaujinti
oppdatere	atnaujina
oppdatere	atnaujinimas
oppdatere	atnaujinama
mohr	mohr
hjelm	šalmą
skadde	sužeista
skadde	sužeistas
ørene	ausis
ørene	ausys
lim	lim
murmansk	murmansko
warwick	warwick
åpninger	angų
røyking	rūkymas
røyking	rūkymo
likhetstrekk	panašumas
likhetstrekk	panašumo
asfalt	asfalto
tomorrow	rytoj
martínez	martínez
natta	natta
core	branduolys
platået	skardis
ueda	ueda
skogbruk	miškininkystė
folke	folke
rapper	reperis
sundsvall	sundsvall
apostelen	apaštalo
hval	banginis
ebert	ebert
sophia	sophia
forkjemper	advocate
cliff	uolos
helikoptre	sraigtasparnių
helikoptre	sraigtasparniai
ala	ala
welsh	velso
battista	battista
watt	vatas
cicero	cicero
nowiki	nowiki
medici	medici
klaget	skundėsi
gottlieb	gottlieb
blick	blick
frigjort	išlaisvinta
frigjort	išlaisvinti
knuste	sutriuškino
benito	benito
naturvitenskap	mokslas
naturvitenskap	mokslo
executive	generalinis
blogger	blogger
blogger	tinklaraščių
arabere	arabai
blomst	gėlių
blomst	gėlė
merking	žymėjimas
merking	ženklinimas
merking	žymėjimas
khmer	khmerų
bruer	tiltai
patroner	užtaisai
kashmir	kašmyro
encyklopedi	enciklopedija
nektar	nektaras
sosiolog	sociologė
lærebøker	vadovėlių
#efefef	#efefef
inskripsjon	užrašas
lade	jarlai
smykker	papuošalas
smykker	papuošalai
linné	linné
forræderi	klasta
forræderi	išdavystę
ofret	paaukota
personligheter	asmenybės
løven	liūto
løven	liūtas
katastrofen	nelaimė
katastrofen	katastrofa
katastrofen	nelaimės
poeter	poetai
mentale	psichikos
intense	intensyvus
