kuģniecības	کشتیرانی
vakuuma	خلاء
vakuuma	خلأ
vakuuma	خلا
hipotēzi	فرضیه
apvienojas	ادغام
apvienojas	ادغام
palikusi	چپ
matricas	ماتریکس
matricas	ماتریس
kopenhāgenā	کپنهاگ
kaķiem	گربه
laulība	ازدواج
sasniegumu	دستاوردهای
sasniegumu	کامیابی
gaz	گز
nigērijas	نیجریه
profesore	پروفسور
profesore	پرفسور
iecirknis	کوپه
tcp	tcp
muti	دهانت
muti	دهان
muti	دهن
gmbh	gmbh
agrākā	معنى
fails	پرونده
redakcijas	سرمقاله
slovēnija	اسلوونی
copa	کوپا
peldēt	شنا
peldēt	شنای
solaris	سولاریس
obama	اوباما
lībekas	لوبک
īzaks	ایزاک
īzaks	اسحاق
īzaks	اسحق
īzaks	آیزاک
dārzos	باغ
dārzos	بوستان
dārzos	باغها
veicinātu	فاستر
veicinātu	ترویج
veicinātu	ارتقاء
veicinātu	ترفیع
veicinātu	ارتقا
veicinātu	تبلیغ
pelēkas	گری
pelēkas	خاکستری
pērkons	تندر
pērkons	رعد
dejotāja	رقصنده
dejotāja	dancer
dejotāja	رقاص
olimpiskajā	المپیک
luters	لوتر
vāgners	وگنر
vāgners	واگنر
tuksnesis	کویر
tuksnesis	بیابان
tuksnesis	بیابانی
tuksnesis	صحرا
tuksnesis	اعراب
teritoriālais	ارضی
dziļš	اعماق
dziļš	ژرف
dziļš	عمیق
piesaista	جذب
žaunu	گیل
dana	دانا
dana	دینا
dana	دنا
dārziņš	باغچه
dārziņš	باغ
dārziņš	گاردن
dārziņš	بهشت
silvija	سیلویا
silvija	سیلویا
izpildītāji	هنرمندان
pavlovs	پاولوف
sausā	خشک
sausā	خشکیده
sausā	dri
pacientiem	بیمارها
pacientiem	بیماران
asp	اسپ
vienādu	یونیفرم
vienādu	یونیفورم
avārijā	اتوبان
vadims	وادیم
mini	mini
mini	مینی
sekcija	بخش
sekcija	خلیج
sekcija	بای
adams	آدامز
adams	ادامز
ethernet	اترنت
digitālā	رقمی
digitālā	digital
digitālā	دیجیتالی
digitālā	دیجیتال
bioloģija	زیست
bioloģija	بیولوژی
eļļa	نفت
eļļa	اویل
eļļa	روغن
frakcija	کسر
saturēt	حاوی
bahs	باخ
bahs	بچ
atbalstītāji	حامیان
definīcija	تعریف
labāks	بهتر
labāks	بهترش
palīgā	کمک
dzīvsudraba	عطارد
dzīvsudraba	جیوه
dzīvsudraba	مرکوری
fiksēts	ثابت
fiksēts	معین
mākslīgais	مصنوعی
lādiņu	مرمی
cieņu	شأن
cieņu	بزرگواری
cieņu	وقار
cauna	سمور
paplašināta	گسترده
paplašināta	گسترده
veselas	کل
falco	فالکو
frakciju	حزبی
biļetes	بلیط
biļetes	بلیت
dimantu	الماس
dimantu	دیاموند
dimantu	الماسی
dimantu	دایموند
izplatīšanās	انتشار
izplatīšanās	توزیع
izplatīšanās	پخش
izplatīšanās	گسترده
gadījuma	تصادفی
gadījuma	سرسری
utype	utype
amerikāņi	آمریکاییها
tīra	خالص
tīra	ناب
tīra	پاک
tīra	تمیز
tīra	پاکم
tīra	پاک
baumas	شایعات
baumas	شایعاتی
baumas	شایعه
baumas	شایع
izabella	ایزابل
izabella	ایزابلا
izabella	ایزابل
prāga	پراگ
nogulumu	رسوبی
nieres	کلیه
nieres	کلیه
nieres	قلوه
pasākuma	پیمانه
patērē	بلعیدن
zālamana	سلیمان
zālamana	سولومون
reklāma	تبلیغات
reklāma	تبلیغاتی
reklāma	آگهی
vikingi	وایکینگها
vikingi	وایکینگ
sidnejas	سیدنی
munīcijas	مهمات
plānā	تدبیر
plānā	پلان
plānā	نقشه
muguru	عقب
muguru	پشت
muguru	باز
muguru	برگشت
mūris	وال
mūris	دیواری
mūris	دیوار
apzīmējumi	شروط
apzīmējumi	اصطلاحات
apzīmējumi	شرایط
apzīmējumi	افسانه
apzīmējumi	اسطوره
polo	پلو
polo	پولو
polo	چوگان
laivas	قایقهای
laivas	قایقها
interscope	اینتراسکوپ
mainsnak	mainsnak
vasalis	واسال
clippers	کلیپرز
leonards	لئونارد
atpūta	تفریح
atpūta	تفریحات
atpūta	فراغت
atpūta	آرامش
atpūta	الباقی
atpūta	استراحت
nirnbergas	نورنبرگ
dzemdes	رحم
dzemdes	رحمه
dzemdes	رحم
saimnieki	اساتید
saimnieki	استادان
saimnieki	اربابان
saimnieki	مسترز
tarkovskis	تارکوفسکی
gods	شرافتی
gods	عزت
gods	گرامی
gods	عزت
gods	شرافت
gods	شرف
gods	افتخار
skaļi	بلند
algu	حقوق
veru	وورو
uzplaukums	بوم
piramīdas	هرم
piramīdas	هرمی
piramīdas	اهرام
piramīdas	هرم
piramīdas	اهرام
augstākas	بالاتری
augstākas	بالاتر
publikācija	چاپخانه
publikācija	نشر
publikācija	انتشار
gps	یاب
teju	تقریباً
teju	تقریبا
teju	نزدیک
teju	نمانده
uzraudzības	نظارت
uzraudzības	نظارتی
tīrs	خالص
tīrs	ناب
tīrs	پاک
tīrs	تمیز
tīrs	پاکم
tīrs	پاک
konflikti	درگیریهای
konflikti	تضاد
konflikti	ناسازگار
konflikti	ناسازگاری
konflikti	درگیری
konflikti	منازعه
konflikti	کشمکش
konflikti	نزاع
konflikti	ناسازگاری
sārmu	قلیایی
mijiedarbība	تعامل
mijiedarbība	تعاملات
kritiski	بحرانی
kritiski	انتقادی
kritiski	حیاتی
markss	مارکس
nintendo	نینتندو
sertificēts	certified
internazionale	internazionale
piecpadsmit	پانزده
mācīja	آموخت
mācīja	آموخته
spartaks	اسپارتاکوس
laukiem	فیلدز
laukiem	مزارع
urālu	اورال
mir	میر
mir	mir
sems	سَم
sems	سام
sems	sam
viltus	کاذب
viltus	دروغین
viltus	نادرست
viltus	غلط
viltus	باطل
viltus	تقلبی
viltus	الکی
viltus	زرشک
viltus	جعل
viltus	جعلی
apmaiņā	تبادل
maisījums	اختلاط
maisījums	مخلوط
maisījums	میکس
maisījums	آمیخته
maisījums	مخلوطی
maisījums	ترکیب
dalīšanās	اشتراک
automašīna	خودرو
automašīna	خودروی
automašīna	ماشین
pievienojies	بپیوندید
pievienojies	پیوستن
extra	اضافی
extra	اضافه
lēna	لینا
lēna	لنا
lēna	آهسته
aizstāvji	مدافعان
amsterdamā	آمستردام
amsterdamā	امستردام
sīrija	سوریه
jaunieši	جوانی
jaunieši	جوانان
milzīgs	بزرگی
adatas	سوزن
adatas	سرنگ
adatas	سوزن
tūre	تور
tūre	tour
novērtēt	تعیین
novērtēt	ارزیابی
intensitāte	شدت
jūdžu	مایل
sajūta	احساس
sajūta	حس
sajūta	احساسش
aizdomas	مظنون
aizdomas	مضنون
aizdomas	بدگمانی
aizdomas	ظن
tic	تیک
domāja	تفکر
pretinieki	مخالفان
pretinieki	دشمنان
alba	آلبا
alba	البا
garsija	گارسیا
pieaugušiem	بزرگسال
pieaugušiem	بزرگسالان
pieaugušiem	بزرگترها
keita	kate
vienkāršā	ساده
vienkāršā	ابتدایی
vienkāršā	مقدماتی
drēzdenes	درسدن
cieš	رنج
cieš	رنج
sitiens	شات
sitiens	شلیک
adrijas	آدریاتیک
zemāks	پایینی
stratēģiski	راهبردی
stratēģiski	استراتژیک
haizivs	کوسه
kabeļu	کابلی
kabeļu	کابل
interjera	interior
interjera	داخلی
interjera	درونی
apmatojums	موی
apmatojums	مو
apmatojums	موها
sadalīšanās	تجزیه
hornets	بابکتس
itunes	آیتونز
lūdz	پرسه
cola	کولا
stadija	مرحله
stadija	صحنه
stadija	استیج
apsūdzības	کیفرخواست
apsūdzības	اتهامات
apsūdzības	اتهام
apsūdzības	اتهاماتی
rīks	ابزار
lexikon	lexikon
lokomotīvju	محرکه
lokomotīvju	لوکوموتیو
komunisti	کمونیستها
ģeogrāfisko	جغرافیایی
ģeogrāfisko	جغرافی
xml	xml
gruzija	گرجستان
gruzija	جورجیا
imdb	imdb
vakaros	عصرها
vakaros	شامگاه
panda	پاندای
panda	پاندا
zīmols	برندسازی
zīmols	براند
zīmols	برند
degviela	سوخت
piedāvājums	دلسوز
piedāvājums	بید
piedāvājums	توجیه
piedāvājums	تامین
piedāvājums	پیشکش
piedāvājums	پیشنهاد
piedāvājums	تقدیم
rīkoties	عمل
timberwolves	تیمبرولوز
aizmugurējā	عقب
stāvus	یکتاپرست
zieds	گل
zieds	شکوفه
zieds	فلاور
raidījums	پخش
raidījums	مخابره
caurules	لوله
caurules	لوله
kimi	کیمی
kimi	kimi
zobiem	دندانها
zobiem	دندون
zobiem	دندان
zobiem	دندانهای
agnese	اگنس
timbaland	تیمبلند
cēloņi	علل
cēloņi	موجب
āpsis	گورکن
āpsis	بجر
dziļa	اعماق
dziļa	ژرف
dziļa	عمیق
nelaimes	تصادفات
nelaimes	حوادث
filipīnas	فیلیپین
egons	اگون
garšas	مزه
garšas	طعمی
afgāņu	افغانی
afgāņu	afghan
afgāņu	افغان
afgāņu	افغانها
dabūt	شو
bioloģisko	زیستی
lašu	سالمون
dzirdēt	شنیدن
dzirdēt	بشنود
rīts	صبح
rīts	بامداد
magazine	مجله
mākonis	ابری
mākonis	ابر
denijs	دنی
pulkstenis	کلاک
pulkstenis	ساعت
lēcas	عدسی
lēcas	لنز
anastasija	آناستازیا
pārvadājumi	کالسکه
pārvadājumi	نورد
pārvadājumi	درشکه
pārvadājumi	انتقال
pārvadājumi	ترابری
gviānas	گویان
tavs	شما
albānija	آلبانی
grafika	نگارهای
grafika	گرافیک
grafika	گرافیکی
flora	فلورا
stabili	پایدار
svarīgas	مهمند
svarīgas	مهم
pārdod	فروش
pārdod	بفروش
pārdod	بفروشید
līgumi	قراردادهای
līgumi	قراردادها
līgumi	معاهدات
līgumi	توافقنامه
līgumi	توافقات
grūtniecības	حاملگی
grūtniecības	بارداری
pārbaude	بررسی
pārbaude	وارسی
pārbaude	تصدیق
pārbaude	آزمون
pārbaude	آزمایش
pārbaude	تست
pārbaude	تفتیش
pārbaude	بازرسی
pārbaude	بررسی
vērtējums	ارزیابی
vērtējums	ارزیابی
astotā	هشتم
astotā	هشتمین
kurss	دوره
siltums	گرما
siltums	حرارت
siltums	گرمای
siltums	گرما
siltums	گرمی
kursā	دوره
veselība	سلامت
veselība	بهداشت
veselība	health
veselība	سلامتی
bengālijas	بنگال
vēzis	سرطانی
vēzis	سرطان
golfa	گلف
telekomunikāciju	مخابرات
telekomunikāciju	مخابرات
sniegums	عملکرد
sniegums	اجرا
sniegums	کارایی
infrastruktūra	زیرساخت
dzēriens	نوشیدن
dzēriens	بنوش
dzēriens	بنوشید
navbox	navbox
tīkli	تورها
relatīvais	نسبی
līdzības	شباهت
mijiedarbības	تعامل
mijiedarbības	تعاملات
protokoli	دقیقه
protokoli	دقایقی
protokoli	قراردادهای
protokoli	قراردادها
ieradumi	عادات
asa	آسا
salīdzinājums	مقایسه
rabīns	ربی
īres	اقساط
pierādījumi	برهان
pierādījumi	اثبات
pierādījumi	مدرک
pierādījumi	شواهد
pierādījumi	مدارک
pierādījumi	مدرک
karēlijas	کارلیا
marokas	مراکشی
anete	انت
anete	آنت
reģistrācija	ضبط
alekss	الکس
alekss	آلکس
dzintara	امبر
dzintara	آمبر
dzintara	کهربا
konfederācija	کنفدراسیون
indukcijas	القایی
indukcijas	القای
sampo	سامپو
rūzvelts	روزولت
tauriņu	پروانه
miruši	مرده
miruši	مردن
miruši	مُرده
miruši	مردگان
piedāvāts	امانت
ierobežot	حد
ierobežot	محدود
ierobežot	محدودیت
briselē	بروکسل
vagoni	ونس
vagoni	ون
vagoni	وَن
vagoni	coaches
klauss	کلاوس
reālā	رئال
reālā	حقیقی
reālā	واقعی
imagesize	imagesize
sasniegta	رسید
degunradzis	کرگدن
degunradzis	رینو
traģēdija	تراژدی
nākotni	اینده
nākotni	future
nākotni	آینده
ieroča	سلاح
dokuments	سند
dokuments	نوشتار
bruņotajiem	مسلح
bruņotajiem	مجهز
dzejolis	شعری
dzejolis	شعر
izcils	برجسته
izcils	عالی
auduma	پارچه
stabilitāti	پایداری
stabilitāti	ثبات
stunda	ساعتی
stunda	ساعت
skulptūru	مجسمه
skulptūru	تندیس
edu	ادو
datubāzē	دادگان
izstaro	ساطع
identitātes	همانی
identitātes	هویت
minimālā	کمترین
minimālā	کمینه
jēga	معنای
jēga	معنی
jēga	معنا
jēga	عقل
jēga	حس
paraugi	مدلهای
zobens	سیبر
zobens	سایبر
zobens	شمشیر
smith	اسمیت
desmiti	دهها
desmiti	دوجین
benz	بنز
benz	benz
benz	بنزو
pframe	pframe
sulas	آبمیوه
sulas	شربت
nogādāt	تحویل
teroristu	تروریست
teroristu	تروریستی
ciematu	روستای
ciematu	دهکده
ciematu	ویلیج
ciematu	روستا
akadēmiskais	دانشگاهی
akadēmiskais	آکادمیک
akadēmiskais	تحصیلی
korupcijas	تباهی
korupcijas	فساد
krēpes	یال
dārzkopības	horticulture
dārzkopības	horticultural
dārzkopības	باغبانی
valdījumā	تسخیر
valdījumā	تملک
valdījumā	مالکیت
valdījumā	تصرف
viesi	میهمانان
viesi	میهمان
viesi	مهمانان
ctx	ctx
turdus	turdus
indiana	ایندیانا
oksīds	اکسید
civilizācija	تمدن
civilizācija	تمدنی
atslēga	کلید
atslēga	کلیدی
izplešanās	گسترش
