baptistu	baptista
nīlas	nílus
labāku	jobb
labāku	jobban
konferenču	konferenciák
buļļu	bulls
buļļu	bikák
georgijs	georgij
georgijs	georgi
kerija	carrie
ņēma	vette
ņēma	elvitte
telegrāfa	telegraph
veicināšana	kinevezés
veicināšana	előléptetés
veicināšana	előmozdítása
veicināšana	kiemelés
veicināšana	promóciós
kļūda	tévedés
kļūda	hiba
nora	nora
sur	sur
log	napló
log	log
pagarināts	meghosszabbított
pagarināts	kiterjesztett
pagarināts	kibővített
pagarināts	elhúzódó
gultas	ágyak
gultas	ágy
gultas	ágyban
gultas	ágyat
gultas	ágy
mazdēls	unoka
mazdēls	unokája
karaļi	királyok
hamburgā	hamburg
olivers	oliver
olivers	olivér
atnesa	hozták
atnesa	hozott
atnesa	hoztam
atnesa	hozta
lieldienu	pészah
forums	fórum
forums	fórumon
organismi	szervezetek
organismi	organizmus
organismi	élőlények
vienpadsmit	tizenegy
papildina	kiegészítik
papildina	kiegészítés
sila	sila
ceļotājs	utazó
ceļotājs	utazó
ceļotājs	utazók
ceļotājs	utas
simti	száz
simti	száz
skaidro	megmagyarázza
zorro	zorro
sociālais	társadalmi
sociālais	szociális
darīts	kész
faila	fájl
faila	file
faila	akta
abū	yas
minoritātes	kisebbségek
modas	maud
likteni	végzet
likteni	sors
likteni	végzet
likteni	sors
dieviete	istennő
barošanas	etetés
pārveidot	átalakítás
pārveidot	módosítható
pārveidot	módosítani
pārveidot	módosítás
pārveidot	átalakítás
briesmas	veszélyeket
briesmas	veszélyek
briesmas	veszély
patiesi	valóban
patiesi	igazán
barjeru	korlát
barjeru	akadály
aizstāvēt	megvédeni
atvaļināts	visszavonult
atvaļināts	nyugdíjas
džeina	jane
džeina	jayne
mēreni	mérsékelten
novērotas	megfigyelhető
novērotas	megfigyelt
sociālistu	szocialista
sociālistu	szocialisták
piecdesmit	ötven
piecdesmit	fifty
piekļūt	belépés
piekļūt	hozzáférést
piekļūt	hozzáférés
atcelta	lemondta
atcelta	törölve
atcelta	törölve
atcelta	törölt
atcelta	lemondás
barbara	barbara
politiķi	politikusok
stratēģijas	stratégiák
tuvākā	legközelebbi
masačūsetsas	massachusetts
failus	akták
failus	fájlok
prezidentūras	elnöksége
prezidentūras	elnökség
sēj	vetett
sēj	bevetett
neapoles	nápolyi
neapoles	nápoly
kaļķu	lime
genādijs	gennagyij
čaka	chaka
čaka	chuck
uzstādīt	szett
uzstādīt	set
uzstādīt	beállítva
uzstādīt	forgatás
uzstādīt	telepítés
uzstādīt	telepíteni
uzstādīt	telepítése
uzstādīt	telepítve
uzstādīt	beépített
uzstādīt	telepített
ceļojums	utazás
ceļojums	kirándulás
ceļojums	utazás
ceļojums	trip
ceļojums	kiruccanás
pastāvīga	állandó
pastāvīga	végleges
pastāvīga	tartós
pastāvīga	maradandó
tendence	trend
tendence	tendencia
tendence	tendencia
tendence	hajlam
nogāzes	lejtő
nogāzes	lejtő
nogāzes	lejtőkön
noslēdz	bezárja
noslēdz	zár
noslēdz	bezár
ienaidnieks	ellenség
ērgļi	eagles
ērgļi	sasok
pagātnes	elmúlt
pagātnes	múlt
pagātnes	múltbeli
piedzīvojumi	kaland
piedzīvojumi	kalandjai
piedzīvojumi	kalandok
piedzīvojumi	kaland
piedzīvojumi	kalandok
slāņi	réteg
slāņi	rétegek
atvērt	nyitva
vārdnīcas	szótár
vārdnīcas	szótárak
izdzīvot	túlélni
gabriels	gabriel
gabriels	gábriel
hiēnas	hiénák
uzsver	kiemeli
uzsver	hangsúlyozza
donavas	duna
auss	fül
auss	füle
kviešu	búza
šaura	szűk
šaura	keskeny
ribentropa	ribbentrop
ledu	jég
ledu	ice
izgatavota	gyártottak
izgatavota	előállított
izgatavota	gyártott
ienākumus	jövedelem
ienākumus	bevétel
ienākumus	jövedelmek
ienākumus	bevételek
ienākumus	jövedelme
jaunākie	legújabb
lode	golyót
lode	golyó
lode	lövedék
lode	töltény
skalas	mérleg
kvarca	kvarc
akts	aktus
akts	felvonás
kaujinieku	milícia
pakešu	csomagok
mainījies	megváltozott
mainījies	változott
iepriekšējie	előző
iepriekšējie	korábbi
izdalīt	elosztására
izdalīt	terjesztés
izdalīt	elosztás
