ngc	ngc
kao	gustar
kao	like
kao	como
koji	oms
koji	quiénes
koji	quién
koji	quien
također	igualmente
također	además
također	también
također	tambien
također	también
također	too
također	demasiado
također	tambien
katalog	catálogo
katalog	catalogo
katalog	catálogos
katalog	catálogo
katalog	catalogo
spisak	lista
spisak	listado
galaksija	galaxy
galaksija	galaxia
vanjski	externa
vanjski	externo
vanjski	externos
vanjski	exterior
koja	cuáles
koja	cuál
koja	cual
što	qué
the	el
the	las
the	los
the	la
nalazi	hallazgos
nalazi	conclusiones
nalazi	descubrimientos
nalazi	hallazgos
nalazi	encuentra
bio	bio
bio	biografía
bio	fue
bio	estaba
bio	era
bio	sido
prečnik	diámetro
gdje	where
gdje	donde
gdje	adonde
gdje	dónde
broj	número
broj	numero
oko	acerca
oko	sobre
oko	ojo
oko	alrededor
oko	around
mjesto	lugar
mjesto	place
nakon	despues
nakon	after
nakon	tras
nakon	después
nakon	velatorio
nakon	despertar
nakon	despierta
nakon	estela
pogledajte	check
pogledajte	comprobación
pogledajte	compruebe
pogledajte	comprobar
pogledajte	cheque
sajtu	sitio
sajtu	site
najveći	greatest
poznat	conocidas
poznat	conocida
poznat	conocido
poznat	conocidos
poznat	famosa
poznat	famosas
poznat	famosos
poznat	famoso
stanovnika	habitantes
izvještaj	reporte
izvještaj	denuncia
izvještaj	reportar
izvještaj	denunciar
izvještaj	informe
pgc	pgc
ali	sino
ali	pero
udaljenost	distancias
udaljenost	distancia
apsolutna	absolutas
apsolutna	absoluta
apsolutna	absoluto
apsolutna	absolutos
pomak	turno
grupa	grupo
grupa	group
grupa	agrupar
spiralna	espiral
pop	pop
vidljivo	visible
vidljivo	visibles
minuta	actas
minuta	minutos
minuta	minuto
općine	ayuntamientos
općine	municipios
općine	municipalidades
najmanji	mondo
naseljeno	habitadas
naseljeno	habitada
naseljeno	habitado
naseljeno	poblada
naseljeno	poblado
naseljeno	pobladas
mag	mag
novi	novedad
novi	nuevas
novi	nuevos
novi	nuevo
novi	novedades
novi	nueva
sadrži	contenidas
sadrži	contenida
sadrži	contiene
sadrži	contenga
zvijezda	estrella
zvijezda	star
zvijezda	estelar
zvijezda	estrellas
zvijezda	stars
može	podrían
može	podía
može	podría
može	podria
može	pueden
može	puedo
može	lata
može	can
može	puede
ima	ima
ima	tiene
ima	ha
licenca	licencias
licenca	licencia
com	com
popis	censo
popis	censos
stadion	estadio
stadion	macron
stadion	estadio
stadion	stadium
kod	code
kod	códigos
kod	codigo
kod	código
svg	svg
pod	debajo
pod	bajo
pod	under
sastavu	composición
isbn	isbn
zbog	due
zbog	debido
samo	únicamente
samo	solo
samo	sólo
samo	solamente
samo	solo
samo	simplemente
samo	sólo
samo	just
godina	años
godina	anos
godina	año
prvo	primera
prvo	primeras
prvo	primer
prvo	primeros
prvo	primero
hiljada	mil
zavod	institute
zavod	instituto
sve	everything
sve	todo
sve	todas
sve	all
sve	todo
sve	todos
zemlje	paises
zemlje	países
brzina	velocidad
brzina	rapidez
brzina	celeridad
brzina	speed
brzina	velocidad
naselje	asentamiento
naselje	liquidación
naselje	vecindario
naselje	barrio
naselje	vecindad
više	más
više	mas
više	more
kada	cuándo
kada	when
kada	cuando
prvi	primera
prvi	primeras
prvi	primer
prvi	primeros
prvi	primero
deset	diez
deset	rte
deset	ten
tip	guy
tip	escribe
tip	type
tip	escriba
tip	tipo
odnos	coeficiente
odnos	ratio
odnos	proporción
odnos	cociente
između	entre
sljedeći	proxima
sljedeći	próximo
sljedeći	siguiente
sljedeći	próxima
sljedeći	next
lokacija	lugar
lokacija	ubicacion
lokacija	ubicación
lokacija	emplazamiento
lokacija	localización
lokacija	localizaciones
lokacija	ubicaciones
lokacija	lugares
lokacija	localidades
svjetlost	ligera
svjetlost	light
svjetlost	luz
svjetlost	ligero
svjetlost	resplandor
svjetlost	luminosidad
svjetlost	brillo
svjetlost	brillantez
masa	masas
masa	misas
masa	mass
