loại	тып
được	быць
một	адзін
một	хто
năm	гады
năm	гадоў
năm	год
năm	5
năm	пяці
năm	пяць
năm	пяцёрку
năm	год
năm	штогод
năm	года
của	з
trong	ў
trong	у
các	вы
các	вас
các	вам
các	ты
này	гэта
này	гэты
này	гэтага
này	гэтае
này	гэй
vật	жывёлаў
vật	жывёлы
vật	жывёл
vật	жывёлах
vật	чатырохногіх
vật	жывёла
thích	як
thích	любіць
học	вывучаць
học	даследванне
học	вучыцца
học	школу
học	школе
học	школы
học	школа
học	вывучэння
học	навучання
học	вучыцца
học	навучэнне
học	навучэння
học	вывучыць
học	навучыцца
học	навучыцеся
người	чалавек
người	хто
người	чалавек
người	ён
người	людзей
người	людзі
thực	рэальным
thực	сапраўднае
thực	сапраўдны
thực	рэальны
thực	рэальныя
thực	насамрэч
thực	самой
thực	што
thực	сапраўды
thực	вельмі
thực	насамрэч
kết	канец
đầu	галавы
đầu	галаве
đầu	галаву
đầu	галава
đầu	галавою
đầu	і
đầu	галовы
đầu	галовамі
đầu	галовах
đầu	галоваў
đầu	ўпершыню
đầu	спачатку
đầu	першы
đầu	перш
ngoài	за
ngoài	звонку
ngoài	вонкі
ngoài	цемру
thành	каб
thành	да
khoa	навуцы
khoa	навука
khoa	навуку
khoa	навукі
với	з
tháng	месяцы
tháng	месяцаў
tháng	месяц
cho	каб
cho	да
cho	для
cho	за
cho	бо
không	не
không	ня
không	не
không	ніхто
không	ня
thuộc	чуеце
thuộc	чуюць
vào	ў
vào	у
hoa	зша
hoa	штаты
hoa	кветак
hoa	кветкі
hoa	лілеі
hoa	кветку
ngày	дзень
ngày	дня
ngày	дні
ngày	дзён
những	гэтых
những	гэтае
những	гэтыя
những	гэта
những	яны
những	тых
những	тыя
những	хто
những	яны
nam	паўднёвай
nam	поўдзень
nam	пар
nam	паўдёвы
nam	поўдня
nam	паўднёвы
công	attack
công	ліцэнзіі
quốc	краіне
quốc	краіну
quốc	краінай
quốc	кантры
quốc	краіны
quốc	краіна
quốc	зямлі
tại	у
tại	ў
tại	на
chính	нават
chính	і
chính	галоўны
chính	галоўнае
khi	калі
khi	і
đến	каб
đến	да
đến	прыйшла
đến	прыйшоў
đến	прыйшлі
đến	прыйшоў
đến	прыходзіць
theo	за
theo	ідзі
theo	мною
theo	табою
theo	ідуць
theo	пасля
theo	пасьля
theo	і
